Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AAL,2021-03,-7.036B,14.04B,6.164B,4.039B,7.921B,-1.97,-1.97,6.11B,55.72B,-2.156B,2021-03,1.658B,-1.25B,-367.00M,-367.00M,38.90B,7.055B,43.98B,-3.023B,5.373B,-1.573B,-323.00M,4.008B,151.00M,-7.945B,68.65B,6.00M,18.09B,17.33B,76.59B,50.56B,59.26B,867.00M,1.624B,971.00M
AAL,2020-12,-7.103B,6.864B,5.883B,4.448B,6.79B,-3.81,-3.81,6.12B,56.50B,-1.855B,2020-12,1.614B,-2.178B,-371.00M,-371.00M,39.74B,7.162B,36.57B,-2.533B,5.331B,-2.809B,-631.00M,4.028B,95.00M,-6.867B,62.01B,6.00M,11.10B,16.57B,68.88B,50.91B,52.31B,678.00M,1.196B,1.342B
AAL,2020-09,-6.476B,8.284B,5.61B,4.446B,6.954B,-4.71,-4.71,6.13B,56.90B,-2.437B,2020-09,1.633B,-2.399B,-335.00M,-335.00M,40.24B,7.043B,36.76B,-3.166B,5.184B,-3.095B,-696.00M,3.173B,70.00M,-5.528B,62.77B,5.00M,12.34B,16.58B,68.30B,50.43B,51.72B,729.00M,1.077B,1.135B
AAL,2020-06,-6.463B,9.813B,4.946B,4.379B,7.473B,-4.82,-4.82,6.14B,58.17B,-3.324B,2020-06,1.653B,-2.067B,-244.00M,-244.00M,41.67B,6.608B,35.67B,-3.912B,6.148B,-2.659B,-592.00M,1.622B,43.00M,-3.169B,64.54B,5.00M,13.79B,18.00B,67.71B,50.76B,49.71B,588.00M,1.175B,879.00M
AAL,2020-03,-6.48B,3.576B,8.277B,5.27B,8.567B,-5.26,-5.26,6.15B,59.27B,238.00M,2020-03,1.772B,-2.241B,-236.00M,-236.00M,42.82B,5.757B,28.80B,-1.65B,5.376B,-2.89B,-649.00M,8.515B,385.00M,-2.636B,58.58B,4.00M,7.175B,19.21B,61.22B,51.40B,42.00B,1.888B,1.648B,1.02B
AAL,2019-12,-6.331B,3.826B,8.80B,4.569B,8.001B,0.95,0.95,6.175B,62.39B,2.513B,2019-12,1.851B,414.00M,-241.00M,-241.00M,43.73B,5.422B,28.88B,896.00M,5.741B,571.00M,157.00M,11.31B,408.00M,-118.00M,60.00B,4.00M,8.206B,18.31B,60.11B,51.79B,41.80B,1.617B,2.062B,1.75B
AAL,2019-09,-5.946B,5.168B,9.115B,5.28B,8.766B,0.96,0.96,6.186B,61.96B,2.796B,2019-09,1.80B,425.00M,-250.00M,-250.00M,43.46B,5.325B,29.16B,1.035B,5.514B,557.00M,132.00M,11.91B,424.00M,160.00M,61.18B,4.00M,9.572B,19.56B,61.02B,51.60B,41.46B,1.761B,1.932B,1.85B
AAL,2019-06,-5.927B,5.407B,9.039B,5.139B,9.266B,1.49,1.49,6.196B,61.92B,2.921B,2019-06,1.708B,662.00M,-240.00M,-240.00M,43.80B,5.249B,29.61B,1.249B,5.718B,882.00M,220.00M,11.96B,401.00M,-22.00M,61.97B,5.00M,9.85B,20.12B,61.99B,52.12B,41.87B,1.672B,2.118B,1.943B
AAL,2019-03,-5.909B,4.349B,8.45B,4.999B,9.284B,0.41,0.41,6.206B,61.28B,2.134B,2019-03,1.666B,185.00M,-238.00M,-238.00M,43.53B,5.214B,28.44B,495.00M,5.566B,245.00M,60.00M,10.58B,370.00M,-636.00M,60.79B,5.00M,8.654B,19.85B,61.42B,52.13B,41.57B,1.639B,2.139B,1.876B
AAL,2018-12,-5.896B,4.76B,8.557B,4.948B,7.606B,0.71,0.7,6.228B,60.69B,2.381B,2018-12,1.522B,324.00M,-234.00M,-234.00M,43.25B,5.272B,29.08B,791.00M,5.542B,395.00M,71.00M,10.94B,384.00M,-169.00M,60.58B,5.00M,8.637B,18.10B,60.75B,51.94B,42.65B,1.59B,1.773B,1.706B
