Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ABBV,2020-12,-3.117B,8.479B,4.684B,8.502B,0.0204,0.01,116.00B,10.86B,9.174B,2020-12,3.31B,36.00M,-618.00M,-618.00M,5.248B,3.646B,77.55B,4.053B,20.16B,-1.507B,-1.545B,1.89B,13.86B,3.231B,13.08B,150.56B,18.00M,24.17B,28.66B,137.47B,126.39B,108.81B,5.121B,4.611B,8.822B
ABBV,2020-09,-3.259B,7.95B,5.05B,4.777B,1.3,1.29,117.44B,10.39B,7.852B,2020-09,3.474B,2.308B,-620.00M,-620.00M,4.986B,4.485B,82.28B,3.30B,19.40B,2.50B,187.00M,1.706B,12.90B,2.846B,15.27B,149.62B,18.00M,23.01B,24.18B,134.33B,126.61B,110.15B,4.552B,3.223B,8.416B
ABBV,2020-06,-3.435B,6.04B,3.711B,5.371B,-0.46,-0.46,119.13B,10.33B,6.714B,2020-06,4.059B,-738.00M,-614.00M,-614.00M,4.908B,4.785B,82.06B,1.605B,19.28B,-693.00M,46.00M,1.582B,10.42B,3.527B,14.71B,149.53B,18.00M,21.26B,24.65B,134.80B,128.27B,110.15B,5.109B,3.153B,8.354B
ABBV,2020-03,-3.697B,41.14B,1.942B,3.762B,2.02,2.02,33.76B,8.25B,6.677B,2020-03,1.844B,3.01B,-428.00M,-428.00M,2.961B,959.00M,63.28B,3.603B,12.71B,3.098B,88.00M,1.379B,8.619B,1.695B,-7.415B,91.20B,18.00M,51.76B,16.47B,98.61B,39.44B,82.14B,3.074B,0,6.362B
ABBV,2019-12,-3.596B,39.92B,2.006B,3.753B,1.894,1.88,34.25B,8.188B,6.698B,2019-12,1.813B,2.801B,-455.00M,-455.00M,2.962B,1.13B,62.98B,4.095B,11.83B,3.074B,273.00M,1.542B,8.704B,1.951B,-8.172B,89.12B,18.00M,49.52B,15.58B,97.29B,39.60B,81.70B,2.603B,0,5.428B
ABBV,2019-09,-2.528B,10.65B,1.92B,5.276B,1.27,1.26,34.57B,8.492B,6.559B,2019-09,1.929B,1.884B,-420.00M,-420.00M,2.894B,1.058B,33.13B,2.617B,12.22B,2.001B,117.00M,2.285B,8.479B,1.657B,-8.226B,59.44B,18.00M,20.17B,17.49B,67.67B,39.28B,50.17B,3.942B,0,5.529B
ABBV,2019-06,-2.491B,5.416B,1.819B,5.641B,0.49,0.49,36.10B,8.443B,6.436B,2019-06,1.895B,741.00M,-309.00M,-309.00M,2.879B,1.148B,31.62B,3.491B,11.30B,807.00M,66.00M,1.291B,8.255B,1.654B,-8.566B,57.14B,18.00M,15.10B,16.94B,65.71B,42.04B,48.77B,2.945B,0,5.482B
ABBV,2019-03,-2.516B,5.228B,1.694B,2.078B,1.65,1.65,36.45B,8.37B,6.134B,2019-03,1.702B,2.456B,-325.00M,-325.00M,2.86B,1.116B,35.07B,3.165B,11.83B,2.544B,88.00M,1.289B,7.828B,1.68B,-7.826B,56.77B,18.00M,14.41B,13.90B,64.60B,42.36B,50.69B,2.969B,0,5.68B
ABBV,2018-12,-2.48B,8.061B,2.022B,5.308B,-1.235,-1.235,36.90B,8.396B,6.283B,2018-12,1.605B,-1.826B,-319.00M,-319.00M,2.883B,1.067B,35.00B,-2.141B,11.93B,-2.373B,-547.00M,6.495B,8.305B,1.929B,-8.446B,59.35B,18.00M,16.94B,17.24B,67.80B,42.41B,50.56B,8.424B,0,5.384B
ABBV,2018-09,-2.559B,8.785B,1.835B,4.021B,1.81,1.81,42.34B,8.449B,6.401B,2018-09,1.786B,2.747B,-302.00M,-302.00M,2.95B,1.49B,36.49B,3.214B,11.37B,2.761B,14.00M,1.268B,8.236B,1.919B,-2.921B,66.16B,18.00M,18.46B,15.39B,69.08B,47.70B,53.70B,3.187B,0,5.78B
ABBV,2018-06,-2.639B,3.743B,1.934B,6.53B,1.26,1.26,42.60B,8.214B,6.344B,2018-06,1.58B,1.983B,-272.00M,-272.00M,2.787B,1.67B,30.58B,2.762B,10.69B,2.012B,29.00M,1.322B,8.278B,1.76B,-3.375B,61.64B,18.00M,13.84B,17.22B,65.02B,47.80B,47.79B,3.582B,2.617B,5.793B
ABBV,2018-03,-2.63B,9.474B,1.927B,6.381B,1.74,1.74,43.11B,8.231B,6.007B,2018-03,1.738B,2.783B,-251.00M,-251.00M,2.828B,2.304B,30.91B,2.972B,10.68B,2.797B,14.00M,1.244B,7.934B,1.791B,3.553B,69.34B,18.00M,20.44B,17.06B,65.79B,48.90B,48.73B,3.035B,2.435B,5.841B
ABBV,2017-12,-2.727B,9.789B,2.281B,6.415B,0.0327,0.03,43.34B,8.071B,5.458B,2017-12,1.605B,52.00M,-252.00M,-252.00M,2.803B,2.49B,30.95B,2.094B,10.23B,1.193B,1.141B,1.408B,7.739B,1.956B,5.097B,70.79B,18.00M,21.22B,16.64B,65.69B,49.56B,49.05B,3.364B,0,5.088B
ABBV,2017-09,-2.613B,9.554B,1.616B,3.821B,1.02,1.01,43.92B,7.894B,5.379B,2017-09,1.785B,1.631B,-252.00M,-252.00M,2.697B,6.147B,33.97B,2.694B,9.212B,2.095B,464.00M,1.228B,6.995B,1.457B,6.687B,68.84B,18.00M,18.93B,13.03B,62.15B,49.91B,49.12B,2.685B,0,4.891B
ABBV,2017-06,-2.548B,7.205B,1.529B,3.42B,1.2,1.19,44.02B,7.786B,5.415B,2017-06,1.582B,1.915B,-253.00M,-253.00M,2.657B,6.391B,33.82B,2.677B,8.839B,2.353B,438.00M,1.229B,6.944B,1.509B,6.009B,66.99B,18.00M,16.96B,12.26B,60.98B,50.03B,48.73B,2.738B,0,4.859B
ABBV,2017-03,-2.542B,6.248B,1.616B,425.00M,1.07,1.06,44.12B,7.596B,4.922B,2017-03,1.427B,1.711B,-247.00M,-247.00M,2.612B,6.797B,36.53B,2.407B,8.419B,2.086B,375.00M,1.142B,6.538B,1.373B,4.998B,65.66B,18.00M,15.55B,8.844B,60.67B,50.12B,51.82B,2.515B,0,4.677B
ABBV,2016-12,-2.586B,6.423B,1.554B,402.00M,0.8735,0.85,44.31B,7.526B,5.242B,2016-12,1.444B,1.391B,-290.00M,-290.00M,2.604B,6.89B,36.44B,2.354B,9.379B,1.998B,607.00M,1.209B,6.796B,1.679B,4.636B,66.10B,18.00M,16.19B,9.781B,61.46B,49.91B,51.68B,2.888B,0,4.758B
ABBV,2016-09,-2.34B,7.95B,1.504B,26.00M,0.97,0.97,44.77B,7.71B,4.928B,2016-09,1.63B,1.598B,-250.00M,-250.00M,2.638B,6.124B,37.28B,2.441B,9.077B,2.014B,416.00M,1.106B,6.432B,1.381B,6.469B,66.63B,18.00M,16.29B,9.103B,60.16B,50.34B,51.05B,2.487B,0,4.999B
