Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ABC,2020-12,-70.47M,4.891B,51.06B,59.37M,0,1.83,1.81,8.572B,3.244B,1.452B,2020-12,13.18B,374.84M,-33.61M,-33.61M,1.477B,703.65M,3.641B,617.61M,34.99B,527.88M,149.18M,52.52B,735.07M,-697.22M,45.85B,2.891M,34.70B,35.04B,46.36B,11.15B,11.31B,834.62M,33.45B,15.20B
ABC,2020-09,-108.83M,4.598B,47.90B,501.26M,0,-23.74,-23.74,8.593B,3.349B,1.347B,2020-09,12.59B,-4.846B,-34.71M,-34.71M,1.485B,686.48M,3.618B,528.54M,33.35B,-6.143B,-1.299B,49.24B,720.97M,-1.019B,44.27B,2.878M,33.06B,33.85B,45.11B,11.22B,11.26B,818.30M,31.71B,14.33B
ABC,2020-06,-128.66M,3.420B,44.14B,519.71M,0,1.42,1.41,8.616B,3.325B,1.226B,2020-06,11.85B,289.44M,-37.75M,-37.75M,1.455B,1.806B,3.621B,463.42M,30.11B,343.84M,56.57M,45.37B,666.88M,3.857B,40.79B,2.875M,29.92B,30.63B,36.82B,10.87B,6.190B,762.30M,29.15B,13.14B
ABC,2020-03,-132.81M,3.692B,46.03B,522.81M,0,4.68,4.64,8.640B,3.385B,1.388B,2020-03,11.10B,960.28M,-34.42M,-34.42M,1.422B,1.844B,3.622B,600.90M,31.59B,276.20M,-694.91M,47.42B,693.41M,3.591B,42.04B,2.868M,31.18B,32.11B,38.34B,10.86B,6.225B,787.21M,30.72B,14.91B
ABC,2019-12,-87.73M,3.233B,46.63B,532.49M,0,0.91,0.9,8.846B,3.493B,1.231B,2019-12,11.69B,187.64M,-31.01M,-31.01M,1.442B,1.895B,3.636B,440.75M,30.10B,229.59M,43.02M,47.86B,685.95M,2.955B,40.02B,2.86M,28.95B,30.63B,36.95B,11.06B,6.317B,790.47M,29.18B,12.57B
ABC,2019-09,-111.96M,3.374B,44.45B,139.01M,0,0.64,0.63,9.000B,3.408B,1.185B,2019-09,11.06B,132.62M,-36.40M,-36.40M,1.771B,1.860B,4.034B,354.25M,29.44B,144.65M,12.34M,45.64B,721.94M,2.879B,39.17B,2.853M,28.13B,29.58B,36.18B,11.04B,6.597B,830.49M,28.39B,12.39B
ABC,2019-06,-86.88M,3.000B,44.01B,166.14M,0,1.44,1.43,9.037B,0,1.231B,2019-06,11.25B,301.96M,-35.92M,-35.92M,1.767B,1.872B,4.019B,466.70M,28.62B,371.12M,69.11M,45.24B,656.94M,2.989B,38.48B,2.849M,27.40B,28.79B,35.37B,11.08B,6.582B,764.54M,27.81B,11.99B
ABC,2019-03,-85.14M,2.876B,41.89B,282.97M,0,0.13,0.13,9.056B,0,1.425B,2019-03,11.37B,27.14M,-43.28M,-43.28M,1.859B,1.857B,4.010B,672.95M,28.93B,18.78M,-9.289M,43.32B,628.04M,2.921B,38.81B,2.846M,27.62B,29.21B,35.77B,11.19B,6.560B,751.80M,28.19B,12.22B
ABC,2018-12,-92.88M,2.540B,44.09B,156.28M,0,1.86,1.84,9.622B,0,1.298B,2018-12,11.80B,393.65M,-42.17M,-42.17M,1.897B,1.880B,4.165B,518.50M,29.20B,432.56M,40.80M,45.39B,656.58M,3.048B,39.27B,2.842M,27.48B,29.35B,36.10B,11.79B,6.751B,779.08M,28.34B,11.98B
ABC,2018-09,-79.25M,2.493B,42.26B,151.66M,0,1.09,1.09,9.612B,0,1.033B,2018-09,11.92B,233.29M,-43.05M,-43.05M,1.892B,1.829B,4.159B,254.28M,27.72B,111.87M,-82.13M,43.30B,657.80M,2.933B,37.67B,2.836M,25.89B,27.87B,34.62B,11.78B,6.750B,778.36M,26.84B,11.31B
