Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ABMD,2020-12,-4.169M,486.45M,41.11M,0,21.29M,1.37,1.35,123.02M,266.12M,190.55M,2020-12,82.45M,61.87M,189.76M,4.303M,0,71.35M,56.42M,80.74M,18.87M,33.00M,231.66M,86.20M,1.261B,1.428B,0.452M,693.69M,120.40M,166.99M,734.74M,46.59M,119.20M,37.22M,92.99M
ABMD,2020-09,-7.199M,533.08M,38.74M,0,21.31M,1.38,1.36,131.06M,256.09M,171.03M,2020-09,83.21M,62.21M,186.60M,4.251M,0,61.34M,48.14M,72.92M,10.70M,30.52M,209.76M,79.17M,1.182B,1.328B,0.452M,716.62M,105.21M,145.56M,611.35M,40.35M,109.69M,32.97M,80.91M
ABMD,2020-06,-8.535M,427.36M,35.98M,0,19.90M,0.99,0.98,127.49M,246.14M,128.87M,2020-06,89.28M,44.59M,182.02M,4.204M,0,34.07M,62.01M,61.08M,16.49M,26.36M,164.85M,68.44M,1.102B,1.250B,0.45M,619.69M,110.38M,147.66M,629.82M,37.28M,94.80M,50.08M,82.08M
ABMD,2020-03,-11.19M,443.12M,39.37M,0,19.15M,0.71,0.7,46.88M,223.21M,167.29M,2020-03,90.09M,31.80M,164.93M,0.806M,0,58.05M,73.79M,39.31M,7.515M,25.35M,206.66M,83.89M,1.065B,1.216B,0.451M,635.86M,131.88M,151.00M,580.60M,19.11M,109.24M,54.42M,84.65M
ABMD,2019-12,-17.00M,427.54M,40.00M,0,19.16M,1.53,1.51,47.80M,214.79M,181.59M,2019-12,91.19M,69.22M,162.06M,0.822M,0,70.26M,67.59M,97.02M,27.80M,25.66M,221.58M,85.67M,1.047B,1.197B,0.451M,636.58M,126.26M,149.75M,560.04M,23.49M,111.33M,53.34M,100.99M
ABMD,2019-09,-17.56M,445.32M,34.87M,0,19.32M,0.29,0.28,46.53M,204.92M,170.11M,2019-09,90.30M,13.07M,157.90M,0.80M,0,60.18M,59.85M,17.36M,4.287M,23.97M,204.97M,85.96M,991.46M,1.124B,0.452M,647.43M,112.23M,132.89M,476.92M,20.66M,109.92M,46.56M,94.32M
ABMD,2019-06,-11.76M,486.67M,37.07M,0,16.19M,1.97,1.93,48.45M,194.82M,170.59M,2019-06,87.73M,88.92M,151.65M,0.833M,0,60.72M,53.21M,103.14M,14.22M,23.79M,207.67M,86.08M,1.003B,1.125B,0.454M,677.36M,100.20M,122.47M,447.70M,22.27M,109.87M,42.74M,86.21M
ABMD,2019-03,-14.69M,491.70M,34.85M,0,16.39M,1.64,1.6,47.81M,184.70M,172.23M,2019-03,80.94M,73.96M,145.00M,0.822M,0,65.39M,55.41M,98.53M,24.57M,25.55M,207.08M,81.30M,936.89M,1.054B,0.451M,677.20M,106.00M,117.46M,377.15M,11.46M,106.84M,44.45M,90.81M
ABMD,2018-12,-12.32M,458.16M,34.02M,0,15.08M,1,0.97,48.78M,174.63M,166.54M,2018-12,71.81M,44.86M,138.46M,0.838M,0,62.36M,44.67M,64.51M,19.65M,23.96M,200.56M,80.22M,851.53M,957.12M,0.451M,628.73M,92.98M,105.59M,328.39M,12.61M,104.18M,33.49M,88.22M
ABMD,2018-09,-11.54M,410.45M,29.85M,0,14.00M,1.11,1.09,49.45M,166.94M,151.93M,2018-09,63.66M,50.13M,134.06M,0.85M,0,50.32M,38.32M,51.83M,1.706M,22.72M,181.78M,78.90M,792.95M,887.16M,0.45M,561.60M,81.98M,94.21M,325.57M,12.23M,101.61M,28.87M,74.20M
