Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ACN,2021-02,-1.410B,9.170B,8.493B,742.12M,4.182B,2.27,2.23,9.961B,4.647B,3.595B,2021-02,1.441B,-0.515M,-0.515M,4.647B,925.93M,2.732B,1.654B,9.167B,1.762B,300.95M,12.09B,1.942B,18.31B,39.99B,0.072M,19.56B,14.09B,21.14B,20.42B,7.052B,1.942B,2.921B,8.725B
ACN,2020-11,-1.479B,8.677B,7.864B,741.80M,3.525B,2.37,2.32,9.208B,4.607B,3.898B,2020-11,1.500B,1.831M,1.831M,4.607B,869.64M,2.687B,1.891B,8.553B,1.987B,464.81M,11.76B,2.008B,17.91B,38.27B,0.072M,18.63B,12.82B,19.84B,19.64B,7.023B,2.008B,2.666B,8.548B
ACN,2020-08,-1.562B,8.510B,7.395B,763.88M,3.637B,2.03,1.99,8.739B,7.043B,3.441B,2020-08,1.288B,-6.214M,-6.214M,4.729B,870.63M,2.722B,1.545B,8.262B,1.783B,477.93M,10.84B,1.896B,17.00B,37.08B,0.072M,17.75B,12.66B,19.58B,19.33B,6.917B,1.896B,2.466B,7.847B
ACN,2020-05,-1.994B,6.446B,7.463B,747.34M,3.537B,1.93,1.9,8.367B,4.668B,3.529B,2020-05,1.228B,7.71M,7.71M,4.668B,846.97M,2.765B,1.713B,7.544B,1.681B,428.13M,10.99B,1.816B,16.01B,35.06B,0.072M,16.15B,11.83B,18.57B,18.91B,6.745B,1.816B,2.514B,8.346B
ACN,2020-02,-1.802B,5.440B,7.782B,744.48M,3.594B,1.94,1.91,7.607B,4.607B,3.359B,2020-02,1.235B,12.82M,12.82M,4.607B,796.97M,2.666B,1.489B,6.839B,1.510B,257.47M,11.14B,1.870B,15.47B,33.50B,0.072M,15.41B,11.18B,17.58B,18.10B,6.405B,1.870B,1.898B,8.518B
ACN,2019-11,-1.780B,5.814B,7.711B,714.48M,2.987B,2.13,2.09,7.170B,4.541B,3.648B,2019-11,1.357B,21.94M,21.94M,4.541B,729.96M,2.668B,1.767B,7.498B,1.801B,425.48M,11.36B,1.880B,15.17B,33.17B,0.072M,15.61B,11.20B,17.57B,17.56B,6.370B,1.880B,2.029B,8.577B
ACN,2019-08,-1.841B,6.130B,7.621B,6.411M,3.189B,1.77,1.74,7.046B,3.347B,3.435B,2019-08,1.130B,19.90M,19.90M,1.391B,698.46M,16.25M,1.571B,7.867B,1.561B,415.20M,11.06B,1.863B,14.41B,29.79B,0.072M,15.45B,11.06B,14.96B,14.34B,3.900B,1.863B,2.471B,8.095B
ACN,2019-05,-1.467B,4.772B,7.571B,4.137M,3.256B,1.96,1.93,6.766B,1.342B,3.528B,2019-05,1.250B,16.05M,16.05M,1.342B,720.96M,19.86M,1.718B,7.292B,1.704B,435.66M,11.10B,1.810B,13.74B,28.16B,0.072M,14.14B,10.55B,14.01B,14.01B,3.461B,1.810B,2.076B,8.134B
ACN,2019-02,-1.465B,4.468B,7.400B,4.365M,3.336B,1.76,1.73,6.515B,1.283B,3.054B,2019-02,1.124B,13.46M,13.46M,1.283B,746.83M,19.75M,1.387B,6.879B,1.376B,235.53M,10.45B,1.668B,13.34B,27.39B,0.072M,13.83B,10.22B,13.66B,13.56B,3.443B,1.668B,2.027B,8.151B
ACN,2018-11,-1.477B,4.367B,7.308B,4.727M,2.850B,2,1.96,6.220B,1.243B,3.297B,2018-11,1.275B,15.13M,15.13M,1.243B,737.53M,19.90M,1.629B,7.321B,1.610B,319.16M,10.61B,1.668B,12.68B,26.71B,0.072M,13.54B,10.18B,13.65B,13.17B,3.475B,1.668B,1.869B,8.023B
