Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ABDE,2021-02,-141.00M,4.963B,447.00M,94.00M,4.134B,2.63,2.61,13.57B,2.007B,3.458B,2021-02,0,1.261B,-30.00M,-30.00M,2.007B,232.00M,4.613B,1.454B,1.137B,1.433B,172.00M,620.00M,3.905B,1.339B,13.55B,24.98B,0,7.384B,5.806B,11.44B,17.60B,5.633B,2.004B,467.00M,1.52B
ABDE,2020-11,-158.00M,5.992B,428.00M,92.00M,3.629B,4.69,4.64,12.10B,3.462B,2.996B,2020-11,0,2.25B,-21.00M,-21.00M,2.004B,140.00M,4.616B,1.215B,1.412B,1.197B,-1.053B,558.00M,3.424B,1.184B,13.26B,24.28B,0,8.146B,5.512B,11.02B,16.14B,5.508B,1.781B,498.00M,1.398B
ABDE,2020-08,-153.00M,5.264B,427.00M,90.00M,3.317B,1.99,1.97,12.18B,1.974B,2.798B,2020-08,0,955.00M,-21.00M,-21.00M,1.974B,207.00M,4.636B,1.069B,1.335B,1.06B,105.00M,566.00M,3.225B,1.122B,11.71B,22.41B,0,7.387B,5.13B,10.70B,15.03B,5.571B,1.729B,522.00M,1.318B
ABDE,2020-05,-195.00M,4.351B,415.00M,85.00M,3.321B,2.28,2.27,12.23B,1.876B,2.713B,2020-05,0,1.10B,-17.00M,-17.00M,1.876B,247.00M,4.612B,1.016B,1.324B,1.00B,-100.00M,532.00M,3.128B,1.125B,10.88B,21.60B,0,6.649B,5.164B,10.72B,14.95B,5.558B,1.697B,559.00M,1.366B
ABDE,2020-02,-189.00M,4.171B,452.00M,84.00M,3.489B,1.98,1.96,12.32B,1.844B,2.639B,2020-02,0,955.00M,-33.00M,-33.00M,1.844B,173.00M,4.627B,937.00M,1.258B,919.00M,-36.00M,532.00M,3.091B,1.128B,10.46B,21.21B,0,6.455B,5.228B,10.75B,14.76B,5.521B,1.702B,560.00M,1.389B
ABDE,2019-11,-188.00M,4.177B,452.00M,3.149B,3.378B,1.76,1.74,12.41B,2.862B,2.54B,2019-11,0,851.00M,-18.00M,-18.00M,1.293B,263.00M,989.00M,970.00M,1.313B,957.00M,106.00M,500.00M,2.992B,1.028B,10.53B,20.76B,0,6.495B,8.191B,10.23B,14.27B,2.041B,1.57B,410.00M,1.535B
ABDE,2019-08,-193.95M,3.651B,416.00M,3.149B,3.120B,1.63,1.61,12.50B,2.481B,2.418B,2019-08,0,793.00M,-22.00M,-22.00M,1.244B,265.15M,988.43M,854.00M,1.148B,835.00M,42.00M,490.00M,2.834B,1.031B,10.24B,20.05B,0.061M,5.750B,7.803B,9.812B,14.30B,2.009B,1.564B,362.48M,1.372B
ABDE,2019-05,-144.36M,3.479B,407.00M,3.146B,3.012B,1.3,1.29,12.62B,0,2.337B,2019-05,0,633.00M,-24.00M,-24.00M,1.205B,256.41M,987.94M,750.00M,1.128B,711.00M,78.00M,476.00M,2.744B,1.068B,9.932B,19.67B,0.061M,5.343B,7.687B,9.734B,14.32B,2.047B,1.587B,328.80M,1.273B
ABDE,2019-02,-150.43M,3.226B,397.00M,892.75M,3.084B,1.38,1.36,12.72B,0,2.204B,2019-02,0,674.00M,-25.00M,-25.00M,1.104B,260.01M,3.237B,695.00M,974.80M,702.00M,28.00M,465.00M,2.601B,997.00M,9.871B,19.51B,0.061M,5.134B,5.314B,9.634B,14.37B,4.320B,1.509B,278.81M,1.342B
ABDE,2018-11,-148.13M,3.229B,359.26M,0,2.916B,1.39,1.37,12.65B,0,2.105B,2018-11,0,678.47M,-4.593M,-4.593M,1.075B,184.33M,4.125B,720.18M,1.070B,699.34M,20.88M,416.15M,2.465B,936.20M,9.362B,18.77B,0.061M,4.857B,4.301B,9.407B,13.91B,5.105B,1.385B,331.02M,1.316B
ABDE,2018-08,-128.05M,4.944B,295.49M,0,2.615B,1.36,1.34,7.806B,2.203B,1.996B,2018-08,0,666.29M,0.454M,0.454M,1.019B,92.18M,1.875B,718.61M,748.26M,701.36M,35.07M,398.96M,2.291B,854.15M,8.862B,15.40B,0.061M,6.301B,3.792B,6.534B,9.095B,2.742B,1.277B,249.68M,1.045B
ABDE,2018-05,-129.23M,6.334B,281.34M,0,2.543B,1.35,1.33,6.144B,1.926B,1.914B,2018-05,0,663.17M,5.408M,5.408M,993.49M,90.80M,1.874B,698.48M,752.62M,690.80M,27.63M,374.13M,2.195B,824.26M,8.706B,15.16B,0.061M,7.741B,3.729B,6.458B,7.422B,2.729B,1.216B,243.53M,1.075B
ABDE,2018-02,-109.94M,6.148B,258.90M,0,2.484B,1.18,1.17,6.198B,0,1.820B,2018-02,0,583.08M,2.731M,2.731M,991.67M,88.46M,1.875B,702.73M,703.00M,702.50M,119.43M,348.77M,2.079B,751.40M,8.634B,14.97B,0.061M,7.481B,3.536B,6.339B,7.493B,2.803B,1.117B,235.40M,1.063B
ABDE,2017-11,-111.82M,5.820B,270.87M,0,2.406B,1.02,1,6.207B,0,1.736B,2017-11,0,501.55M,0.40M,0.40M,936.98M,368.53M,1.881B,649.34M,864.64M,643.01M,141.46M,324.03M,2.007B,743.67M,8.460B,14.54B,0.061M,7.248B,3.527B,6.076B,7.288B,2.548B,1.086B,223.70M,1.218B
ABDE,2017-08,-98.63M,5.368B,262.92M,0,2.137B,0.85,0.84,6.241B,0,1.578B,2017-08,0,419.57M,-1.629M,-1.629M,939.81M,344.36M,1.889B,545.67M,705.92M,541.38M,121.81M,315.56M,1.841B,697.50M,8.170B,13.91B,0.061M,6.581B,3.216B,5.736B,7.326B,2.520B,1.032B,229.83M,1.006B
ABDE,2017-05,-146.75M,4.932B,239.36M,0,2.006B,0.76,0.75,6.243B,0,1.533B,2017-05,0,374.39M,-3.131M,-3.131M,924.11M,348.69M,1.888B,504.08M,683.86M,492.62M,118.23M,299.40M,1.772B,710.03M,7.804B,13.36B,0.061M,6.052B,3.048B,5.561B,7.313B,2.513B,1.029B,242.68M,901.45M
ABDE,2017-02,-185.41M,4.648B,237.34M,0,1.988B,0.81,0.8,6.243B,0,1.444B,2017-02,0,398.45M,-3.973M,-3.973M,821.73M,358.64M,1.884B,469.00M,693.76M,460.63M,62.19M,285.08M,1.682B,671.10M,7.589B,13.04B,0.061M,5.756B,2.954B,5.456B,7.289B,2.502B,975.31M,268.38M,850.84M
ABDE,2016-11,-173.60M,4.761B,216.56M,0,1.946B,0.81,0.8,5.821B,0,1.392B,2016-11,0,399.61M,-4.188M,-4.188M,816.26M,286.79M,1.892B,472.28M,526.53M,456.70M,57.09M,257.85M,1.608B,643.23M,7.425B,12.70B,0.061M,5.840B,2.812B,5.272B,6.857B,2.461B,919.58M,194.59M,833.03M
ABDE,2016-08,-134.11M,4.446B,202.70M,0,1.745B,0.54,0.54,5.887B,0,1.261B,2016-08,0,270.79M,-5.432M,-5.432M,811.52M,291.16M,1.917B,369.32M,447.52M,356.30M,85.51M,248.45M,1.464B,620.84M,7.278B,12.37B,0.061M,5.419B,2.506B,5.089B,6.949B,2.584B,891.94M,151.88M,731.17M
ABDE,2016-05,-133.05M,4.318B,202.08M,0,1.633B,0.49,0.48,5.939B,0,1.197B,2016-05,0,244.07M,-5.692M,-5.692M,796.08M,294.02M,1.918B,344.24M,448.90M,329.83M,85.76M,232.48M,1.399B,600.92M,7.249B,12.22B,0.061M,5.239B,2.386B,4.968B,6.978B,2.583B,852.39M,148.83M,666.74M
ABDE,2016-02,-151.68M,4.098B,198.57M,0.064M,1.564B,0.51,0.5,5.908B,1.759B,1.185B,2016-02,0,254.31M,-7.792M,-7.792M,794.88M,310.59M,1.917B,307.76M,416.74M,292.31M,38.00M,237.20M,1.383B,621.41M,7.081B,11.90B,0.061M,4.935B,2.232B,4.815B,6.961B,2.584B,877.00M,124.61M,599.21M
ABDE,2015-11,-169.08M,3.988B,201.36M,603.23M,1.434B,0.45,0.44,5.877B,1.699B,1.105B,2015-11,0,222.70M,-8.283M,-8.283M,787.42M,259.30M,1.907B,289.40M,466.58M,296.94M,74.24M,220.51M,1.306B,577.08M,7.002B,11.73B,0.061M,4.822B,2.214B,4.725B,6.905B,2.511B,815.65M,150.80M,672.01M
