Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ADI,2021-01,-218.50M,1.048B,513.09M,399.22M,0,1.05,1.04,15.82B,3.945B,1.045B,2021-01,618.64M,388.52M,-42.27M,-42.27M,1.129B,1.862B,4.747B,464.30M,1.278B,436.62M,48.10M,288.15M,1.558B,185.28M,12.09B,21.44B,61.48M,2.625B,1.677B,9.352B,18.82B,7.676B,581.07M,375.61M,826.96M
ADI,2020-10,-249.46M,1.056B,503.21M,449.32M,0,1.05,1.04,15.93B,3.886B,1.023B,2020-10,608.26M,386.53M,-48.07M,-48.07M,1.121B,1.920B,5.145B,469.72M,946.72M,417.31M,30.78M,280.24M,1.526B,165.12M,12.00B,21.47B,61.58M,2.518B,1.365B,9.471B,18.95B,8.106B,553.36M,409.35M,737.54M
ADI,2020-07,-272.93M,1.090B,483.56M,448.94M,0,0.98,0.97,16.07B,3.853B,972.58M,2020-07,612.65M,362.66M,-45.41M,-45.41M,1.134B,1.961B,5.144B,450.95M,1.238B,373.03M,10.36M,260.79M,1.456B,153.75M,11.78B,21.60B,61.53M,2.485B,1.688B,9.822B,19.11B,8.134B,521.62M,365.27M,681.73M
ADI,2020-04,-277.00M,784.94M,470.39M,748.46M,0,0.73,0.72,16.18B,3.878B,846.67M,2020-04,590.27M,267.70M,-48.65M,-48.65M,1.189B,2.001B,5.142B,345.34M,1.133B,295.06M,27.36M,252.41M,1.317B,141.78M,11.59B,21.35B,61.40M,2.051B,1.582B,9.760B,19.30B,8.178B,501.33M,345.90M,588.24M
ADI,2020-01,-202.15M,654.41M,455.42M,299.67M,0,0.55,0.55,16.33B,3.843B,848.14M,2020-01,588.50M,203.87M,-46.87M,-46.87M,1.207B,2.103B,4.745B,284.56M,1.022B,226.22M,22.34M,257.07M,1.304B,199.28M,11.69B,21.38B,61.37M,1.911B,1.771B,9.687B,19.47B,7.917B,563.58M,330.08M,584.37M
ADI,2019-10,-187.80M,648.32M,501.03M,411.43M,0,0.75,0.74,16.47B,3.811B,942.19M,2019-10,609.89M,277.69M,-48.79M,-48.79M,1.220B,2.088B,5.192B,403.15M,901.70M,287.83M,10.13M,277.02M,1.443B,154.80M,11.71B,21.39B,61.38M,1.985B,1.509B,9.683B,19.41B,8.175B,539.04M,413.15M,635.14M
ADI,2019-07,-153.67M,612.16M,482.33M,374.16M,0,0.98,0.97,16.59B,3.760B,997.81M,2019-07,638.30M,362.37M,-57.25M,-57.25M,1.221B,2.217B,5.279B,447.65M,1.072B,389.56M,27.18M,280.10M,1.480B,162.82M,11.79B,21.57B,61.57M,2.007B,1.484B,9.776B,19.56B,8.293B,550.16M,394.15M,689.98M
ADI,2019-04,-96.02M,713.60M,492.51M,67.00M,0,0.99,0.98,16.74B,3.694B,1.034B,2019-04,608.08M,367.94M,-56.77M,-56.77M,1.211B,2.271B,5.612B,477.86M,990.87M,408.40M,40.46M,285.85M,1.527B,163.13M,11.74B,21.78B,61.63M,2.080B,1.365B,10.03B,19.70B,8.669B,556.24M,332.60M,685.98M
ADI,2019-01,-78.02M,605.86M,501.44M,0,0,0.96,0.95,16.89B,3.614B,1.040B,2019-01,593.21M,355.01M,-56.04M,-56.04M,1.182B,2.332B,6.235B,477.61M,849.96M,399.95M,44.94M,287.38M,1.541B,167.34M,11.59B,21.83B,61.39M,1.985B,849.96M,10.24B,19.84B,9.393B,562.05M,261.68M,713.73M
ADI,2018-10,-58.44M,816.59M,490.36M,0,0,1.08,1.07,17.03B,3.528B,1.046B,2018-10,586.76M,404.86M,-56.31M,-56.31M,1.154B,1.030B,6.266B,468.08M,729.82M,409.34M,4.481M,295.34M,1.536B,175.00M,11.27B,20.44B,61.69M,2.112B,1.052B,9.170B,18.33B,8.118B,577.68M,354.64M,639.72M
ADI,2018-07,-65.47M,772.58M,497.63M,22.50M,547.28M,1.1,1.08,17.17B,3.456B,1.061B,2018-07,563.64M,408.56M,-59.08M,-59.08M,1.108B,973.77M,6.533B,490.02M,769.10M,430.51M,21.95M,291.64M,1.558B,171.49M,10.86B,20.55B,61.95M,2.117B,1.339B,9.692B,18.43B,8.354B,570.54M,343.61M,710.75M
ADI,2018-04,-53.01M,806.52M,491.11M,56.00M,565.67M,1.08,1.06,17.32B,3.416B,1.072B,2018-04,551.22M,400.33M,-62.88M,-62.88M,1.115B,980.48M,6.926B,503.64M,811.20M,440.12M,39.80M,289.47M,1.564B,172.15M,10.59B,20.78B,61.82M,2.188B,1.433B,10.19B,18.59B,8.758B,568.75M,318.35M,759.56M
ADI,2018-01,-44.36M,827.55M,495.19M,50.00M,529.53M,0.79,0.78,17.41B,3.367B,1.072B,2018-01,559.72M,293.24M,-65.94M,-65.94M,1.115B,1.021B,7.385B,499.16M,657.02M,375.35M,82.11M,288.60M,1.567B,176.91M,10.35B,20.85B,61.64M,2.178B,1.237B,10.51B,18.68B,9.269B,572.52M,271.71M,709.76M
ADI,2017-10,-61.36M,1.048B,567.35M,300.00M,473.97M,1.2,1.19,17.54B,3.304B,1.113B,2017-10,550.82M,425.77M,-61.13M,-61.13M,1.107B,1.707B,7.551B,555.84M,551.04M,487.93M,62.16M,273.28M,1.680B,185.21M,10.16B,21.14B,61.44M,2.351B,1.596B,10.98B,18.79B,9.383B,556.83M,323.53M,688.95M
ADI,2017-07,-58.74M,908.57M,667.28M,4.321B,449.66M,0.18,0.18,17.68B,3.256B,766.62M,2017-07,519.70M,68.92M,-67.55M,-67.55M,1.099B,1.762B,8.199B,194.82M,651.41M,126.80M,57.88M,275.67M,1.434B,183.98M,9.923B,21.11B,61.28M,2.189B,1.101B,11.19B,18.93B,10.09B,571.80M,250.43M,692.55M
ADI,2017-04,-66.71M,6.188B,507.54M,0,377.79M,0.27,0.27,17.86B,3.201B,640.44M,2017-04,647.86M,93.56M,-59.22M,-59.22M,1.089B,2.459B,8.572B,145.84M,750.32M,86.71M,-6.85M,235.23M,1.148B,190.69M,9.967B,26.62B,61.17M,7.535B,5.449B,16.66B,19.09B,11.21B,494.61M,250.81M,630.35M
ADI,2017-01,-76.29M,6.317B,335.94M,0,356.67M,0.7,0.69,2.207B,2.701B,648.50M,2017-01,365.59M,217.13M,-32.61M,-32.61M,628.92M,128.94M,3.805B,315.73M,454.96M,233.31M,16.18M,183.95M,984.45M,130.66M,5.306B,10.20B,51.54M,7.234B,811.63M,4.897B,2.970B,4.085B,332.77M,162.00M,472.51M
ADI,2016-10,-73.81M,4.056B,336.94M,0,351.54M,0.96,0.95,2.228B,2.677B,666.69M,2016-10,376.56M,296.16M,-31.65M,-31.65M,636.12M,136.08M,1.732B,356.98M,319.39M,323.43M,27.28M,172.93M,1.004B,118.88M,5.166B,7.970B,51.36M,4.975B,782.93M,2.805B,2.995B,2.022B,309.71M,175.54M,477.61M
ADI,2016-07,-49.56M,3.803B,297.30M,0,327.44M,0.75,0.74,2.168B,2.663B,572.29M,2016-07,392.30M,230.43M,-12.81M,-12.81M,629.09M,159.59M,1.732B,268.71M,351.25M,256.40M,25.97M,163.23M,869.59M,122.91M,4.983B,7.685B,51.25M,4.728B,678.69M,2.702B,2.957B,2.023B,303.58M,162.81M,452.94M
ADI,2016-04,-43.72M,3.754B,267.86M,0,317.29M,0.55,0.55,2.188B,2.633B,510.90M,2016-04,399.46M,170.57M,-13.21M,-13.21M,626.16M,149.81M,1.731B,221.06M,367.31M,194.91M,24.34M,160.24M,778.77M,112.19M,4.874B,7.570B,51.23M,4.628B,684.60M,2.697B,2.942B,2.012B,289.84M,171.42M,398.98M
