Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ADM,2020-12,-2.604B,666.00M,16.63B,2.305B,626.00M,1.236,1.22,5.413B,27.44B,1.352B,2020-12,11.71B,687.00M,-52.00M,-52.00M,11.05B,1.302B,8.748B,603.00M,12.27B,756.00M,63.00M,17.98B,749.00M,20.00B,49.72B,2.824B,27.29B,18.18B,29.70B,22.43B,11.52B,749.00M,11.34B,4.984B
ADM,2020-09,-2.749B,948.00M,14.08B,462.00M,344.00M,0.4,0.4,5.275B,26.00B,1.042B,2020-09,8.762B,225.00M,-84.00M,-84.00M,9.816B,1.344B,7.922B,406.00M,10.78B,200.00M,-26.00M,15.13B,636.00M,19.32B,44.80B,2.76B,22.77B,13.91B,25.45B,22.03B,11.55B,636.00M,9.891B,4.91B
ADM,2020-06,-2.705B,1.203B,15.17B,780.00M,286.00M,0.84,0.84,5.212B,25.90B,1.108B,2020-06,7.626B,469.00M,-72.00M,-72.00M,9.833B,1.347B,8.632B,470.00M,10.32B,552.00M,80.00M,16.28B,638.00M,19.29B,44.34B,2.705B,22.01B,12.81B,25.03B,22.33B,12.22B,638.00M,9.326B,5.323B
ADM,2020-03,-2.764B,4.734B,14.02B,4.108B,512.00M,0.69,0.69,5.194B,25.81B,951.00M,2020-03,8.83B,391.00M,-43.00M,-43.00M,9.883B,1.347B,8.613B,287.00M,10.99B,375.00M,-16.00M,14.97B,664.00M,18.95B,48.40B,2.69B,26.15B,17.32B,29.42B,22.25B,12.10B,664.00M,10.08B,4.965B
ADM,2019-12,-2.405B,852.00M,15.16B,1.424B,604.00M,0.9048,0.9,5.476B,26.97B,1.169B,2019-12,9.17B,504.00M,-45.00M,-45.00M,11.08B,1.194B,8.453B,515.00M,10.66B,496.00M,-3.00M,16.33B,654.00M,19.21B,44.00B,2.655B,21.35B,13.73B,24.77B,22.65B,11.04B,654.00M,9.576B,5.206B
ADM,2019-09,-2.395B,958.00M,15.65B,1.443B,319.00M,0.72,0.72,5.401B,25.73B,1.078B,2019-09,8.075B,407.00M,-50.00M,-50.00M,10.10B,1.302B,7.631B,500.00M,9.312B,503.00M,95.00M,16.73B,578.00M,18.87B,41.80B,2.617B,19.18B,12.02B,22.91B,22.63B,10.89B,578.00M,8.303B,4.369B
ADM,2019-06,-2.13B,853.00M,15.32B,1.711B,367.00M,0.42,0.42,5.545B,25.84B,972.00M,2019-06,8.294B,235.00M,-63.00M,-63.00M,10.24B,1.305B,7.701B,370.00M,9.45B,274.00M,36.00M,16.30B,602.00M,18.96B,42.62B,2.588B,19.55B,12.60B,23.64B,23.07B,11.04B,602.00M,8.219B,4.414B
ADM,2019-03,-2.242B,935.00M,14.38B,2.209B,477.00M,0.41,0.41,5.459B,25.64B,928.00M,2019-03,8.946B,233.00M,-52.00M,-52.00M,10.30B,1.25B,7.675B,269.00M,9.771B,315.00M,81.00M,15.30B,659.00M,18.90B,43.15B,2.584B,20.26B,13.36B,24.24B,22.89B,10.88B,659.00M,8.636B,4.615B
ADM,2018-12,-2.106B,1.997B,14.89B,690.00M,501.00M,0.5635,0.55,4.041B,25.10B,1.053B,2018-12,8.813B,315.00M,-50.00M,-50.00M,9.953B,1.067B,7.698B,495.00M,9.487B,312.00M,-5.00M,15.95B,558.00M,18.98B,40.83B,2.56B,20.59B,11.78B,21.84B,20.24B,10.06B,558.00M,8.548B,3.844B
ADM,2018-09,-2.032B,915.00M,14.74B,1.122B,106.00M,0.95,0.94,4.065B,24.88B,1.058B,2018-09,8.483B,536.00M,-47.00M,-47.00M,9.885B,965.00M,6.73B,524.00M,8.952B,632.00M,96.00M,15.80B,534.00M,18.99B,39.66B,2.541B,19.46B,11.65B,20.66B,20.20B,9.016B,534.00M,8.135B,3.756B
