Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ADP,2020-12,40.30M,1.602B,2.122B,1.015B,207.70M,1.51,1.51,3.554B,1.194B,1.573B,2020-12,0,647.50M,-3.50M,-3.50M,1.194B,1.085B,2.352B,817.50M,2.903B,832.60M,185.10M,0,3.696B,755.80M,5.90B,49.33B,63.90M,41.66B,39.18B,43.43B,7.664B,4.249B,755.80M,537.20M,2.510B
ADP,2020-09,15.90M,1.613B,2.034B,1.002B,205.00M,1.4,1.4,3.542B,1.180B,1.436B,2020-09,0,602.10M,-1.30M,-1.30M,1.180B,1.113B,2.324B,755.40M,3.026B,765.20M,163.10M,0,3.471B,681.00M,5.809B,42.39B,63.90M,34.82B,32.33B,36.58B,7.575B,4.252B,681.00M,631.30M,2.489B
ADP,2020-06,-14.80M,1.908B,2.067B,1.002B,212.50M,0.96,0.96,3.525B,2.722B,1.310B,2020-06,0,411.60M,-85.70M,-85.70M,1.198B,1.102B,1.347B,544.10M,3.067B,531.30M,119.70M,0,3.377B,765.60M,5.752B,39.17B,63.90M,31.56B,30.13B,33.41B,7.601B,3.287B,765.60M,529.40M,2.441B
ADP,2020-03,-234.40M,1.708B,2.239B,4.967B,215.80M,1.91,1.9,3.406B,1.264B,1.809B,2020-03,0,820.90M,-7.90M,-7.90M,1.264B,1.110B,1.364B,1.052B,3.096B,1.077B,255.80M,0,4.048B,756.60M,5.491B,43.38B,63.90M,35.71B,34.67B,37.89B,7.675B,3.220B,756.60M,553.50M,2.621B
ADP,2019-12,-231.20M,1.508B,2.094B,262.00M,210.40M,1.51,1.5,3.417B,1.262B,1.575B,2019-12,0,651.60M,-5.90M,-5.90M,1.262B,1.083B,1.363B,821.10M,3.040B,835.50M,183.90M,0,3.670B,754.30M,5.364B,49.06B,63.90M,41.36B,40.52B,43.70B,7.694B,3.173B,754.30M,560.30M,2.588B
ADP,2019-09,-233.90M,4.949B,2.045B,1.206B,213.10M,1.35,1.34,3.382B,1.271B,1.451B,2019-09,0,582.40M,-7.60M,-7.60M,1.271B,1.086B,1.359B,724.40M,3.010B,739.10M,156.70M,0,3.496B,726.50M,5.361B,37.71B,63.90M,29.51B,29.20B,32.35B,8.206B,3.153B,726.50M,571.60M,2.490B
ADP,2019-06,-257.30M,1.960B,2.001B,453.00M,220.70M,1.1,1.09,3.394B,2.182B,1.478B,2019-06,0,475.40M,-105.30M,-105.30M,764.20M,1.059B,2.002B,623.40M,3.000B,633.30M,157.90M,0,3.479B,854.80M,5.400B,41.89B,63.90M,34.34B,32.63B,36.49B,7.545B,3.860B,854.80M,520.40M,2.439B
ADP,2019-03,-411.90M,1.826B,2.093B,0,228.30M,1.74,1.73,3.379B,0,1.736B,2019-03,0,753.70M,-6.70M,-6.70M,765.80M,1.022B,2.002B,985.20M,2.882B,984.50M,230.80M,0,3.828B,750.40M,5.246B,48.20B,63.90M,40.92B,39.17B,42.95B,7.272B,3.784B,750.40M,596.00M,2.485B
ADP,2018-12,-615.00M,2.786B,2.000B,0,224.00M,1.28,1.27,3.248B,0,1.492B,2018-12,0,558.20M,-10.50M,-10.50M,772.70M,990.70M,2.002B,747.00M,3.025B,741.00M,182.80M,0,3.492B,745.20M,4.764B,38.81B,63.90M,31.68B,30.30B,34.04B,7.124B,3.746B,745.20M,521.70M,2.638B
ADP,2018-09,-740.10M,1.490B,1.928B,0,229.00M,1.16,1.15,3.242B,0,1.383B,2018-09,0,505.40M,-7.40M,-7.40M,787.70M,961.80M,2.002B,668.80M,2.556B,646.80M,141.40M,0,3.310B,713.90M,4.679B,37.42B,63.90M,29.96B,29.04B,32.74B,7.461B,3.701B,713.90M,506.00M,2.216B
ADP,2018-06,-679.80M,2.17B,1.889B,129.40M,225.70M,0.25,0.25,3.130B,2.136B,1.374B,2018-06,0,140.90M,-88.00M,-88.00M,793.70M,970.10M,2.002B,563.50M,2.694B,254.90M,114.00M,0,3.263B,810.40M,4.736B,38.85B,63.90M,31.82B,30.41B,34.11B,7.026B,3.700B,810.40M,478.20M,1.984B
ADP,2018-03,-638.80M,2.294B,2.079B,0,235.40M,1.5,1.49,3.139B,2.031B,1.617B,2018-03,0,661.00M,-7.60M,-7.60M,794.60M,496.90M,2.002B,866.60M,2.562B,875.20M,214.20M,0,3.696B,750.10M,4.029B,44.07B,63.90M,38.71B,36.74B,40.04B,5.352B,3.295B,750.10M,461.00M,2.043B
ADP,2017-12,-432.60M,1.773B,1.938B,0,227.50M,1.52,1.51,2.997B,1.841B,1.300B,2017-12,0,670.40M,-4.80M,-4.80M,799.90M,536.20M,2.002B,576.80M,2.515B,587.50M,-82.90M,0,3.238B,723.60M,3.931B,44.55B,63.90M,39.35B,37.25B,40.61B,5.196B,3.363B,723.60M,434.80M,2.046B
ADP,2017-09,-344.60M,2.364B,1.852B,0,230.50M,0.93,0.93,2.445B,0,1.226B,2017-09,0,412.60M,-2.20M,-2.20M,800.40M,583.50M,2.002B,550.30M,2.330B,564.90M,152.30M,0,3.077B,675.40M,3.953B,35.66B,63.90M,31.00B,28.29B,31.71B,4.658B,3.421B,675.40M,448.60M,1.789B
ADP,2017-06,-379.20M,2.780B,1.822B,0,232.90M,0.6,0.59,2.361B,0,1.235B,2017-06,0,320.20M,-77.30M,-77.30M,779.90M,554.50M,2.002B,414.80M,2.394B,474.20M,154.00M,0,3.057B,820.20M,3.977B,37.18B,63.90M,32.66B,29.82B,33.20B,4.521B,3.387B,820.20M,449.20M,1.704B
ADP,2017-03,-513.20M,2.996B,1.911B,0,227.20M,1.32,1.31,2.322B,0,1.500B,2017-03,0,587.90M,-6.70M,-6.70M,750.60M,495.70M,2.002B,834.80M,2.375B,827.90M,240.00M,0,3.411B,665.00M,4.103B,43.86B,63.90M,39.51B,36.42B,39.75B,4.342B,3.334B,665.00M,511.30M,1.812B
ADP,2016-12,-566.70M,2.705B,1.768B,0,215.40M,1.14,1.13,2.205B,0,1.220B,2016-12,0,510.90M,0.80M,0.80M,733.20M,454.90M,2.002B,578.70M,2.338B,786.20M,275.30M,0,2.987B,640.80M,3.815B,40.00B,63.90M,35.81B,32.96B,36.18B,4.191B,3.228B,640.80M,473.30M,1.840B
ADP,2016-09,-246.40M,2.818B,1.744B,0,220.60M,0.82,0.81,2.252B,0,1.173B,2016-09,0,368.70M,3.00M,3.00M,701.00M,626.30M,2.008B,525.60M,2.150B,528.70M,160.00M,0,2.917B,647.70M,4.250B,34.34B,63.90M,30.12B,26.72B,30.09B,4.213B,3.368B,647.70M,456.80M,1.621B
ADP,2016-06,-215.10M,3.191B,1.699B,0,233.20M,0.62,0.62,2.216B,0,1.200B,2016-06,0,282.00M,-1.30M,-1.30M,685.00M,632.20M,2.008B,429.40M,2.282B,427.00M,145.00M,0,2.898B,770.30M,4.482B,43.67B,63.90M,39.50B,35.85B,39.19B,4.170B,3.341B,770.30M,418.90M,1.743B
ADP,2016-03,-160.00M,2.965B,1.813B,0,243.90M,1.17,1.17,2.203B,0,1.436B,2016-03,0,532.50M,-6.60M,-6.60M,668.80M,656.80M,2.008B,801.50M,2.325B,794.80M,262.30M,0,3.249B,634.40M,4.503B,51.13B,63.90M,46.82B,43.25B,46.62B,4.307B,3.372B,634.40M,465.80M,2.074B
ADP,2015-12,-379.10M,2.822B,1.682B,0,215.20M,0.75,0.74,2.166B,1.776B,1.124B,2015-12,0,341.40M,0.50M,0.50M,679.60M,554.90M,1.995B,497.30M,2.015B,507.90M,166.50M,0,2.807B,627.20M,4.206B,39.90B,63.90M,35.66B,32.47B,35.69B,4.240B,3.225B,627.20M,401.70M,1.634B
ADP,2015-09,-247.40M,3.212B,1.646B,0,218.10M,0.73,0.72,2.161B,1.719B,1.068B,2015-09,0,336.60M,13.70M,13.70M,680.30M,519.60M,1.995B,462.20M,2.129B,505.00M,167.50M,0,2.714B,605.30M,4.630B,34.38B,63.90M,30.18B,26.59B,29.75B,4.204B,3.163B,605.30M,471.20M,1.565B
ADP,2015-06,-260.60M,1.666B,1.602B,1.937B,228.60M,0.72,0.72,2.297B,0,1.093B,2015-06,0,336.20M,11.40M,11.40M,672.70M,534.80M,9.20M,367.60M,2.235B,381.60M,124.60M,0,2.694B,725.20M,4.808B,33.11B,63.90M,28.81B,27.11B,28.30B,4.301B,1.188B,725.20M,448.10M,1.547B
ADP,2015-03,-137.00M,1.836B,1.684B,2.173B,241.50M,1.04,1.03,2.284B,0,1.34B,2015-03,0,489.60M,6.40M,6.40M,646.00M,583.30M,9.70M,732.80M,2.145B,739.90M,249.60M,0,3.024B,607.20M,5.178B,37.11B,63.90M,32.79B,30.71B,31.93B,4.314B,1.214B,607.20M,416.40M,1.581B
ADP,2014-12,-114.70M,1.953B,1.583B,2.818B,232.80M,0.7,0.69,2.333B,0,1.070B,2014-12,0,331.50M,16.10M,16.10M,650.30M,600.80M,10.30M,481.80M,2.076B,498.80M,166.30M,0,2.654B,588.50M,5.492B,43.50B,63.90M,39.12B,36.77B,38.01B,4.387B,1.241B,588.50M,409.60M,1.596B
ADP,2014-09,-74.10M,4.437B,1.558B,0,232.70M,0.62,0.61,2.358B,0,1.008B,2014-09,0,295.20M,16.40M,16.40M,650.70M,593.90M,10.90M,431.80M,2.054B,450.40M,153.80M,0,2.566B,576.00M,5.827B,30.21B,63.90M,25.79B,23.16B,24.38B,4.415B,1.222B,576.00M,490.80M,1.390B
