Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AEE,2020-12,-1.00M,139.00M,730.00M,498.00M,109.00M,0.47,0.46,411.00M,40.58B,598.00M,2020-12,521.00M,115.00M,-129.00M,-129.00M,26.81B,3.677B,11.08B,211.00M,1.072B,137.00M,21.00M,1.328B,8.938B,32.03B,3.00M,1.653B,2.18B,22.95B,30.38B,20.77B,387.00M,958.00M,749.00M
AEE,2020-09,-15.00M,6.00M,733.00M,629.00M,126.00M,1.48,1.47,411.00M,37.38B,895.00M,2020-09,557.00M,367.00M,-103.00M,-103.00M,25.54B,3.589B,10.17B,494.00M,839.00M,432.00M,63.00M,1.628B,8.489B,30.52B,2.00M,1.59B,2.105B,21.89B,28.93B,19.78B,401.00M,839.00M,817.00M
AEE,2020-06,-16.00M,8.00M,654.00M,477.00M,111.00M,0.99,0.98,411.00M,35.08B,744.00M,2020-06,514.00M,243.00M,-101.00M,-101.00M,25.08B,3.49B,10.17B,354.00M,876.00M,294.00M,50.00M,1.398B,8.227B,30.02B,2.00M,1.62B,2.00B,21.65B,28.40B,19.65B,390.00M,758.00M,885.00M
AEE,2020-03,-16.00M,42.00M,819.00M,972.00M,126.00M,0.59,0.59,411.00M,0,621.00M,2020-03,471.00M,146.00M,-86.00M,-86.00M,24.68B,3.43B,9.378B,241.00M,544.00M,169.00M,21.00M,1.44B,8.085B,29.27B,2.00M,1.464B,2.367B,21.04B,27.81B,18.68B,380.00M,544.00M,733.00M
AEE,2019-12,-17.00M,16.00M,781.00M,882.00M,0,0.38,0.38,411.00M,0,535.00M,2019-12,494.00M,94.00M,-116.00M,-116.00M,24.38B,3.386B,8.915B,179.00M,968.00M,119.00M,24.00M,1.316B,8.059B,28.93B,2.00M,1.431B,2.505B,20.73B,27.50B,18.23B,356.00M,874.00M,734.00M
AEE,2019-09,-21.00M,20.00M,760.00M,880.00M,0,1.48,1.47,411.00M,0,899.00M,2019-09,488.00M,364.00M,-88.00M,-88.00M,23.89B,3.368B,8.651B,520.00M,762.00M,458.00M,92.00M,1.659B,8.062B,28.55B,2.00M,1.495B,2.285B,20.34B,27.05B,18.06B,379.00M,762.00M,807.00M
AEE,2019-06,-21.00M,6.00M,732.00M,1.335B,0,0.73,0.72,411.00M,0,647.00M,2019-06,433.00M,179.00M,-88.00M,-88.00M,23.48B,3.222B,8.222B,280.00M,593.00M,219.00M,39.00M,1.379B,7.791B,28.10B,2.00M,1.514B,2.752B,20.17B,26.59B,17.42B,367.00M,593.00M,878.00M
AEE,2019-03,-21.00M,8.00M,894.00M,1.135B,0,0.78,0.78,411.00M,0,662.00M,2019-03,402.00M,191.00M,-89.00M,-89.00M,23.04B,3.13B,8.221B,288.00M,684.00M,220.00M,27.00M,1.556B,7.705B,27.51B,2.00M,1.422B,2.392B,19.66B,26.09B,17.27B,374.00M,603.00M,829.00M
AEE,2018-12,-22.00M,16.00M,902.00M,1.177B,0,0.28,0.28,411.00M,0,517.00M,2018-12,483.00M,68.00M,-124.00M,-124.00M,22.81B,3.074B,7.859B,166.00M,817.00M,85.00M,16.00M,1.419B,7.631B,27.22B,2.00M,1.533B,2.687B,19.44B,25.68B,16.76B,351.00M,817.00M,837.00M
AEE,2018-09,-17.00M,11.00M,823.00M,1.17B,0,1.46,1.45,411.00M,0,901.00M,2018-09,525.00M,357.00M,-93.00M,-93.00M,22.38B,3.146B,7.614B,533.00M,853.00M,464.00M,105.00M,1.724B,7.656B,26.96B,2.00M,1.64B,2.58B,19.16B,25.32B,16.58B,368.00M,745.00M,949.00M
AEE,2018-06,-19.00M,29.00M,818.00M,1.353B,114.00M,0.98,0.97,411.00M,33.10B,745.00M,2018-06,475.00M,239.00M,-91.00M,-91.00M,22.00B,3.061B,7.613B,385.00M,813.00M,314.00M,74.00M,1.563B,7.386B,26.64B,2.00M,1.685B,2.711B,19.11B,24.95B,16.40B,360.00M,704.00M,1.005B
AEE,2018-03,-17.00M,30.00M,953.00M,2.13B,115.00M,0.62,0.62,411.00M,31.07B,632.00M,2018-03,453.00M,151.00M,-93.00M,-93.00M,21.67B,3.056B,6.766B,273.00M,685.00M,195.00M,42.00M,1.585B,7.23B,26.08B,2.00M,1.567B,3.345B,18.71B,24.51B,15.36B,359.00M,588.00M,870.00M
AEE,2017-12,-18.00M,10.00M,846.00M,1.325B,108.00M,-0.24,-0.24,411.00M,0,553.00M,2017-12,522.00M,-60.00M,-87.00M,-87.00M,21.47B,3.015B,7.094B,212.00M,1.053B,141.00M,200.00M,1.399B,7.184B,25.94B,2.00M,1.612B,2.94B,18.62B,24.33B,15.68B,341.00M,954.00M,838.00M
AEE,2017-09,-21.00M,9.00M,800.00M,1.223B,108.00M,1.19,1.18,411.00M,0,923.00M,2017-09,547.00M,288.00M,-90.00M,-90.00M,20.91B,5.24B,6.922B,569.00M,813.00M,495.00M,205.00M,1.723B,7.345B,25.62B,2.00M,1.581B,2.581B,18.13B,24.04B,15.55B,354.00M,707.00M,854.00M
AEE,2017-06,-21.00M,10.00M,811.00M,1.47B,108.00M,0.79,0.79,411.00M,0,726.00M,2017-06,512.00M,193.00M,-90.00M,-90.00M,20.59B,4.973B,6.821B,387.00M,748.00M,308.00M,114.00M,1.537B,7.158B,25.25B,2.00M,1.571B,2.765B,17.95B,23.68B,15.19B,339.00M,644.00M,857.00M
AEE,2017-03,-23.00M,8.00M,934.00M,1.595B,106.00M,0.42,0.42,411.00M,0,581.00M,2017-03,467.00M,102.00M,-90.00M,-90.00M,20.30B,4.855B,6.597B,242.00M,637.00M,161.00M,57.00M,1.515B,7.064B,24.81B,2.00M,1.45B,2.762B,17.60B,23.36B,14.84B,339.00M,537.00M,752.00M
AEE,2016-12,-23.00M,9.00M,944.00M,1.239B,107.00M,0.13,0.13,411.00M,0,412.00M,2016-12,527.00M,32.00M,-86.00M,-86.00M,20.11B,4.796B,6.595B,86.00M,944.00M,59.00M,26.00M,1.356B,7.103B,24.70B,2.00M,1.593B,2.674B,17.45B,23.11B,14.78B,326.00M,851.00M,795.00M
AEE,2016-09,-2.00M,18.00M,828.00M,1.039B,104.00M,1.52,1.52,411.00M,0,1.031B,2016-09,551.00M,369.00M,-87.00M,-87.00M,19.65B,4.792B,6.607B,691.00M,782.00M,604.00M,233.00M,1.859B,7.193B,24.13B,2.00M,1.599B,2.291B,16.80B,22.54B,14.51B,340.00M,672.00M,832.00M
AEE,2016-06,-1.00M,13.00M,777.00M,1.209B,100.00M,0.61,0.61,411.00M,0,650.00M,2016-06,515.00M,147.00M,-85.00M,-85.00M,19.32B,4.575B,6.605B,325.00M,725.00M,240.00M,92.00M,1.427B,6.922B,23.79B,2.00M,1.594B,2.43B,16.73B,22.20B,14.30B,325.00M,623.00M,838.00M
