Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AEP,2021-03,-30.80M,472.30M,1.836B,5.419B,331.00M,1.16,1.15,52.50M,86.43B,2.446B,2021-03,1.272B,575.00M,-290.20M,-290.20M,65.52B,9.084B,30.84B,810.30M,3.426B,604.80M,54.50M,4.281B,20.97B,82.99B,3.376B,4.258B,10.22B,61.77B,78.73B,51.54B,1.635B,3.102B,2.046B
AEP,2020-12,-85.10M,593.50M,1.333B,4.807B,335.60M,0.88,0.87,52.50M,85.18B,2.277B,2020-12,1.31B,435.50M,-288.30M,-288.30M,64.77B,8.969B,29.62B,570.20M,3.454B,389.70M,-17.40M,3.611B,20.55B,80.76B,3.359B,4.352B,9.927B,59.98B,76.41B,50.06B,1.707B,3.186B,2.028B
AEP,2020-09,-135.40M,618.70M,1.438B,4.545B,339.70M,1.51,1.5,52.50M,83.78B,2.628B,2020-09,1.267B,748.60M,-291.30M,-291.30M,63.67B,8.806B,28.85B,943.20M,2.933B,732.30M,-1.20M,4.066B,20.37B,78.69B,3.358B,4.338B,9.047B,58.05B,74.35B,49.01B,1.685B,2.602B,1.851B
AEP,2020-06,-172.90M,541.10M,1.208B,5.451B,356.50M,1.05,1.05,52.50M,82.62B,2.286B,2020-06,1.280B,520.80M,-294.00M,-294.00M,62.84B,8.527B,27.33B,722.70M,3.102B,507.90M,12.60M,3.494B,20.01B,77.80B,3.355B,4.273B,10.12B,57.53B,73.53B,47.40B,1.563B,2.840B,1.792B
AEP,2020-03,-216.50M,1.740B,1.400B,6.808B,361.00M,1,1,52.50M,81.34B,2.347B,2020-03,1.196B,495.20M,-292.10M,-292.10M,61.98B,8.378B,26.52B,751.60M,3.157B,516.20M,46.50M,3.748B,19.73B,77.72B,3.350B,5.292B,11.65B,57.72B,72.43B,46.06B,1.595B,2.849B,1.742B
AEP,2019-12,-147.70M,449.50M,1.460B,4.671B,366.10M,0.31,0.31,52.50M,80.10B,2.156B,2019-12,1.169B,153.50M,-290.90M,-290.90M,61.10B,8.308B,25.86B,451.10M,3.687B,88.10M,-43.60M,3.616B,19.63B,75.89B,3.343B,4.078B,10.30B,55.98B,71.81B,45.68B,1.705B,3.444B,1.791B
AEP,2019-09,-187.90M,547.20M,1.683B,4.066B,381.40M,1.49,1.48,52.50M,78.44B,2.632B,2019-09,1.051B,733.50M,-275.10M,-275.10M,59.68B,8.218B,25.35B,958.20M,2.955B,759.30M,40.60M,4.315B,19.72B,73.90B,3.342B,4.166B,8.611B,53.90B,69.73B,45.29B,1.674B,2.650B,1.825B
AEP,2019-06,-230.70M,386.20M,1.490B,3.764B,382.10M,0.93,0.93,52.50M,76.66B,2.083B,2019-06,1.034B,461.30M,-250.70M,-250.70M,58.22B,8.057B,24.97B,551.00M,2.976B,387.30M,-54.40M,3.574B,19.26B,72.55B,3.341B,4.061B,8.357B,53.13B,68.49B,44.77B,1.532B,2.735B,1.781B
AEP,2019-03,-150.70M,396.60M,1.687B,3.615B,400.40M,1.16,1.16,52.50M,75.20B,2.370B,2019-03,946.60M,572.80M,-255.80M,-255.80M,57.01B,7.991B,23.76B,788.40M,2.960B,600.10M,44.50M,4.057B,19.20B,70.72B,3.339B,3.915B,7.991B,51.49B,66.81B,43.50B,1.582B,2.654B,1.882B
AEP,2018-12,-120.40M,393.20M,1.662B,3.608B,412.20M,0.73,0.73,52.50M,73.09B,2.139B,2018-12,921.10M,363.40M,-251.30M,-251.30M,55.10B,7.869B,21.65B,621.70M,3.324B,368.80M,21.80M,3.801B,19.03B,68.80B,3.337B,4.114B,8.649B,49.74B,64.69B,41.09B,1.517B,3.092B,1.926B
