Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AES,2020-12,-2.397B,1.424B,1.654B,1.43B,438.00M,0.48,0.47,1.888B,31.30B,906.00M,2020-12,461.00M,318.00M,-227.00M,-227.00M,22.83B,1.10B,18.45B,860.00M,2.827B,579.00M,161.00M,2.56B,46.00M,2.634B,34.60B,8.00M,5.414B,5.362B,29.88B,29.19B,24.52B,46.00M,1.413B,1.30B
AES,2020-09,-2.628B,1.889B,1.789B,1.841B,611.00M,-0.5,-0.5,1.673B,30.42B,756.00M,2020-09,474.00M,-333.00M,-226.00M,-226.00M,22.29B,926.00M,19.50B,715.00M,2.806B,-516.00M,-147.00M,2.545B,41.00M,2.004B,34.27B,8.00M,5.885B,5.777B,30.19B,28.38B,24.42B,41.00M,1.345B,1.404B
AES,2020-06,-2.693B,1.839B,1.693B,2.041B,34.00M,-0.12,-0.12,1.625B,31.46B,524.00M,2020-06,504.00M,-83.00M,-154.00M,-154.00M,22.84B,1.166B,19.33B,484.00M,2.881B,105.00M,113.00M,2.217B,40.00M,2.462B,34.57B,8.00M,5.966B,5.448B,29.92B,28.60B,24.48B,40.00M,1.451B,1.414B
AES,2020-03,-2.692B,1.872B,1.831B,2.223B,0,0.22,0.22,1.518B,31.17B,507.00M,2020-03,461.00M,144.00M,-163.00M,-163.00M,22.57B,1.105B,18.87B,469.00M,2.771B,320.00M,89.00M,2.338B,38.00M,2.539B,34.14B,8.00M,5.751B,5.432B,29.42B,28.39B,23.99B,38.00M,1.356B,1.446B
AES,2019-12,-2.229B,1.429B,1.871B,1.868B,0,-0.12,-0.12,1.528B,31.08B,560.00M,2019-12,487.00M,-78.00M,-186.00M,-186.00M,22.57B,1.213B,18.30B,500.00M,2.752B,105.00M,50.00M,2.431B,60.00M,2.996B,33.65B,8.00M,5.231B,5.096B,28.42B,28.42B,23.32B,60.00M,1.564B,1.479B
AES,2019-09,-2.335B,1.479B,1.924B,1.882B,0,0.32,0.32,1.521B,30.45B,701.00M,2019-09,495.00M,210.00M,-169.00M,-169.00M,21.85B,1.198B,17.88B,660.00M,2.654B,424.00M,130.00M,2.625B,41.00M,3.14B,33.42B,8.00M,5.47B,4.991B,28.04B,27.95B,23.05B,41.00M,1.467B,1.503B
AES,2019-06,-2.147B,1.579B,1.981B,1.087B,0,0.02,0.02,1.519B,30.00B,502.00M,2019-06,496.00M,17.00M,-191.00M,-191.00M,21.56B,1.233B,18.67B,453.00M,2.537B,118.00M,57.00M,2.483B,49.00M,3.208B,33.24B,8.00M,5.517B,4.042B,27.77B,27.72B,23.73B,49.00M,1.446B,1.538B
AES,2019-03,-2.107B,1.804B,2.064B,1.265B,0,0.23,0.23,1.526B,29.50B,586.00M,2019-03,579.00M,154.00M,-186.00M,-186.00M,21.23B,1.302B,18.44B,540.00M,2.674B,354.00M,115.00M,2.65B,46.00M,3.234B,33.47B,8.00M,5.855B,4.357B,27.82B,27.62B,23.46B,46.00M,1.495B,1.564B
AES,2018-12,-2.071B,1.479B,1.976B,1.659B,0,0.19,0.19,1.495B,29.62B,646.00M,2018-12,577.00M,128.00M,-178.00M,-178.00M,21.40B,1.28B,17.64B,581.00M,2.732B,346.00M,199.00M,2.622B,58.00M,3.208B,32.52B,8.00M,5.015B,4.399B,26.92B,27.51B,22.52B,65.00M,1.579B,1.595B
AES,2018-09,-2.02B,1.588B,2.166B,1.308B,0,0.15,0.15,1.459B,29.14B,671.00M,2018-09,562.00M,101.00M,-176.00M,-176.00M,21.11B,1.214B,18.09B,628.00M,2.722B,332.00M,146.00M,2.837B,43.00M,3.305B,32.49B,8.00M,5.015B,4.047B,26.78B,27.47B,22.73B,43.00M,1.299B,1.51B
AES,2018-06,-1.988B,1.996B,1.937B,1.235B,0,0.44,0.44,1.40B,28.62B,600.00M,2018-06,583.00M,290.00M,-187.00M,-187.00M,20.72B,1.165B,18.36B,565.00M,2.742B,342.00M,132.00M,2.537B,35.00M,3.309B,32.60B,8.00M,5.287B,3.994B,26.94B,27.31B,22.95B,35.00M,1.506B,1.423B
AES,2018-03,-1.808B,1.829B,2.084B,2.025B,0,1.04,1.03,1.421B,28.86B,656.00M,2018-03,569.00M,684.00M,-205.00M,-205.00M,20.69B,1.207B,17.66B,600.00M,2.788B,998.00M,231.00M,2.74B,56.00M,3.193B,32.57B,8.00M,5.438B,4.876B,27.05B,27.14B,22.17B,56.00M,1.317B,1.498B
AES,2017-12,-1.876B,1.373B,1.998B,2.164B,0,-2.04,-2.04,1.425B,28.24B,645.00M,2017-12,562.00M,-1.342B,-251.00M,-251.00M,20.30B,1.006B,17.80B,600.00M,2.831B,84.00M,744.00M,2.643B,60.00M,2.465B,33.11B,8.00M,6.398B,6.028B,28.27B,26.71B,22.24B,45.00M,1.623B,1.463B
AES,2017-09,-2.666B,1.961B,2.053B,2.257B,0,0.23,0.23,1.631B,34.56B,640.00M,2017-09,660.00M,152.00M,-234.00M,-234.00M,24.36B,742.00M,19.78B,573.00M,4.464B,304.00M,93.00M,2.693B,52.00M,3.186B,38.83B,8.00M,6.66B,6.736B,32.66B,32.17B,25.92B,67.00M,2.091B,2.357B
AES,2017-06,-2.741B,1.953B,1.99B,2.572B,0,0.08,0.08,1.554B,33.03B,623.00M,2017-06,633.00M,53.00M,-217.00M,-217.00M,23.19B,746.00M,18.20B,574.00M,3.802B,226.00M,86.00M,2.613B,49.00M,3.021B,36.47B,8.00M,6.318B,6.411B,30.40B,30.15B,23.98B,49.00M,1.684B,2.173B
AES,2017-03,-2.717B,2.222B,2.024B,1.137B,0,-0.04,-0.04,1.51B,32.92B,557.00M,2017-03,645.00M,-24.00M,-224.00M,-224.00M,23.15B,758.00M,19.20B,503.00M,4.065B,157.00M,67.00M,2.581B,54.00M,2.991B,36.51B,8.00M,6.401B,5.243B,30.38B,30.11B,25.14B,54.00M,1.657B,2.134B
AES,2016-12,-2.756B,1.774B,-373.00M,1.052B,0,-1.44,-1.44,1.444B,28.33B,612.00M,2016-12,622.00M,-949.00M,-168.00M,-168.00M,20.42B,804.00M,18.40B,501.00M,2.571B,-258.00M,-133.00M,239.00M,59.00M,2.794B,36.12B,8.00M,6.416B,5.277B,30.42B,29.71B,25.15B,111.00M,1.238B,1.421B
AES,2016-09,-3.753B,1.921B,2.854B,1.091B,0,0.26,0.26,1.384B,33.17B,688.00M,2016-09,637.00M,175.00M,-244.00M,-244.00M,23.28B,1.042B,19.74B,648.00M,3.82B,294.00M,75.00M,3.542B,40.00M,2.882B,37.11B,8.00M,7.294B,5.713B,31.34B,29.81B,25.63B,40.00M,1.426B,2.081B
AES,2016-06,-3.768B,1.809B,2.655B,1.61B,0,-0.73,-0.73,1.376B,32.74B,574.00M,2016-06,655.00M,-482.00M,-252.00M,-252.00M,23.04B,1.036B,19.17B,527.00M,3.765B,-22.00M,-7.00M,3.229B,47.00M,2.766B,36.97B,8.00M,7.381B,6.216B,31.30B,29.59B,25.08B,47.00M,1.434B,2.087B
AES,2016-03,-3.807B,1.813B,2.762B,2.22B,0,0.19,0.19,1.366B,33.18B,509.00M,2016-03,682.00M,126.00M,-225.00M,-225.00M,23.42B,1.118B,18.34B,461.00M,4.352B,173.00M,96.00M,3.271B,48.00M,3.201B,36.90B,8.00M,6.947B,6.572B,30.72B,29.95B,24.14B,48.00M,1.739B,2.581B
AES,2015-12,-3.883B,1.726B,-198.00M,2.172B,0,-0.13,-0.13,1.497B,30.96B,522.00M,2015-12,671.00M,-85.00M,-215.00M,-215.00M,22.02B,1.09B,17.91B,476.00M,4.093B,86.00M,146.00M,324.00M,46.00M,3.149B,36.47B,8.00M,6.842B,6.926B,30.30B,29.63B,23.37B,46.00M,1.571B,2.302B
AES,2015-09,-3.758B,1.89B,2.857B,2.30B,0,0.27,0.26,1.724B,31.73B,665.00M,2015-09,670.00M,180.00M,-239.00M,-239.00M,22.46B,1.185B,18.40B,620.00M,4.204B,160.00M,43.00M,3.522B,45.00M,3.567B,37.00B,8.00M,7.22B,6.534B,30.54B,29.78B,24.00B,45.00M,1.729B,2.477B
