Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AJG,2020-12,-643.60M,664.60M,1.138B,278.60M,475.60M,0.7373,0.72,8.527B,1.554B,576.50M,2020-12,142.20M,-47.80M,-47.80M,824.60M,65.70M,4.587B,212.20M,7.785B,133.70M,-19.40M,1.714B,0,6.186B,22.33B,193.70M,11.12B,10.14B,16.10B,11.21B,5.964B,364.30M,7.785B,6.893B
AJG,2020-09,-870.40M,629.90M,1.234B,318.00M,465.80M,0.92,0.9,8.027B,805.10M,611.40M,2020-09,176.60M,-48.10M,-48.10M,805.10M,65.60M,4.558B,274.30M,7.953B,209.50M,21.70M,1.846B,0,5.772B,21.81B,192.30M,11.20B,10.12B,16.00B,10.61B,5.880B,337.10M,7.953B,7.140B
AJG,2020-06,-982.20M,349.70M,1.009B,328.60M,453.30M,0.81,0.79,7.982B,823.60M,573.80M,2020-06,153.70M,-50.00M,-50.00M,823.60M,66.30M,4.623B,236.40M,7.950B,171.70M,9.90M,1.583B,0,5.489B,21.31B,191.50M,10.76B,9.864B,15.77B,10.55B,5.908B,337.40M,7.950B,7.251B
AJG,2020-03,-1.231B,352.80M,1.119B,577.60M,423.30M,1.83,1.79,7.802B,829.10M,747.40M,2020-03,346.30M,-50.50M,-50.50M,829.10M,68.20M,4.634B,317.30M,7.779B,356.00M,0.60M,1.867B,0,5.030B,20.84B,189.60M,10.53B,9.838B,15.77B,10.31B,5.929B,430.10M,7.779B,7.459B
AJG,2019-12,-759.60M,604.80M,1.176B,790.60M,434.10M,0.5257,0.51,7.937B,1.453B,532.30M,2019-12,98.50M,-48.10M,-48.10M,860.90M,69.70M,4.157B,122.40M,6.348B,84.00M,-21.60M,1.708B,0,5.156B,19.63B,188.10M,9.118B,8.921B,14.42B,10.52B,5.498B,409.90M,6.348B,5.892B
AJG,2019-09,-925.10M,578.90M,1.271B,660.10M,421.20M,0.68,0.66,7.388B,843.30M,551.10M,2019-09,126.10M,-46.60M,-46.60M,843.30M,72.70M,4.151B,163.80M,6.574B,114.80M,-22.30M,1.822B,0,4.843B,19.17B,186.50M,9.329B,8.911B,14.26B,9.845B,5.351B,387.30M,6.574B,6.200B
AJG,2019-06,-802.50M,512.30M,1.131B,562.30M,429.00M,0.59,0.58,7.251B,826.40M,524.60M,2019-06,110.10M,-44.90M,-44.90M,826.40M,75.30M,4.143B,151.90M,6.874B,105.50M,-15.90M,1.656B,0,4.879B,19.20B,186.10M,9.547B,8.932B,14.25B,9.653B,5.32B,372.70M,6.874B,6.494B
AJG,2019-03,-721.50M,871.50M,1.253B,494.80M,402.10M,1.81,1.77,6.642B,819.00M,680.80M,2019-03,334.10M,-40.20M,-40.20M,819.00M,78.00M,4.020B,307.80M,6.741B,321.80M,-29.90M,1.934B,0,4.880B,18.63B,185.30M,9.670B,8.638B,13.67B,8.962B,5.035B,373.00M,6.741B,6.674B
AJG,2018-12,-785.60M,607.20M,1.228B,519.00M,379.30M,0.6381,0.63,6.399B,941.70M,428.40M,2018-12,117.30M,-36.50M,-36.50M,436.90M,78.40M,3.091B,81.50M,5.740B,43.20M,-84.60M,1.657B,0,4.499B,16.33B,184.00M,8.119B,7.694B,11.76B,8.215B,4.071B,346.90M,5.740B,5.366B
AJG,2018-09,-673.40M,605.00M,1.312B,389.30M,396.60M,0.7,0.68,6.273B,0,466.10M,2018-09,127.60M,-36.70M,-36.70M,429.30M,76.10M,3.141B,132.20M,5.694B,90.30M,-48.10M,1.778B,0,4.544B,16.11B,183.70M,8.084B,7.423B,11.50B,8.031B,4.079B,333.90M,5.694B,5.333B
AJG,2018-06,-651.40M,652.20M,1.202B,346.10M,395.20M,0.63,0.62,6.135B,880.60M,452.40M,2018-06,114.90M,-33.90M,-33.90M,427.60M,76.60M,3.141B,125.40M,5.983B,103.60M,-20.10M,1.654B,0,4.444B,16.23B,182.60M,8.365B,7.569B,11.72B,7.866B,4.149B,327.00M,5.983B,5.567B
AJG,2018-03,-499.50M,697.90M,1.242B,481.00M,390.40M,1.51,1.48,5.876B,789.10M,593.00M,2018-03,273.70M,-31.30M,-31.30M,424.20M,74.80M,2.792B,278.10M,6.071B,242.30M,-43.70M,1.835B,0,4.515B,16.13B,182.10M,8.533B,7.742B,11.54B,7.594B,3.801B,314.90M,6.071B,6.034B
