Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALK,2021-03,-494.00M,3.549B,791.00M,1.517B,1.297B,-1.05,-1.05,2.048B,7.567B,6.00M,2021-03,57.00M,-131.00M,-22.00M,-22.00M,7.567B,1.951B,3.608B,-132.00M,1.059B,-173.00M,-42.00M,797.00M,33.00M,2.875B,14.26B,1.00M,4.284B,4.762B,11.39B,9.978B,6.625B,138.00M,108.00M,480.00M
ALK,2020-12,-450.00M,3.346B,1.112B,1.428B,1.806B,-3.47,-3.47,2.05B,11.14B,-304.00M,2020-12,57.00M,-447.00M,-23.00M,-23.00M,7.611B,2.019B,3.625B,-419.00M,1.04B,-643.00M,-196.00M,808.00M,18.00M,2.988B,14.05B,1.00M,4.006B,4.293B,11.06B,10.04B,6.765B,115.00M,93.00M,321.00M
ALK,2020-09,-458.00M,3.759B,715.00M,1.433B,1.734B,-3.49,-3.49,2.05B,11.36B,-14.00M,2020-09,56.00M,-431.00M,-23.00M,-23.00M,7.897B,2.138B,3.992B,-127.00M,713.00M,-589.00M,-158.00M,701.00M,24.00M,3.454B,14.75B,1.00M,4.465B,4.207B,11.30B,10.28B,7.088B,113.00M,102.00M,280.00M
ALK,2020-06,-482.00M,2.803B,557.00M,1.36B,2.047B,-1.74,-1.74,2.052B,11.80B,-136.00M,2020-06,68.00M,-214.00M,-9.00M,-9.00M,8.363B,2.21B,2.925B,-218.00M,817.00M,-291.00M,-77.00M,421.00M,4.00M,3.861B,14.00B,1.00M,3.244B,4.12B,10.14B,10.75B,6.017B,82.00M,119.00M,279.00M
ALK,2020-03,-465.00M,2.125B,1.596B,1.325B,1.588B,-1.89,-1.89,2.053B,11.74B,40.00M,2020-03,72.00M,-232.00M,-1.00M,-1.00M,8.438B,1.955B,2.578B,-158.00M,1.047B,-317.00M,-85.00M,1.636B,55.00M,4.015B,13.36B,1.00M,2.572B,3.73B,9.348B,10.79B,5.618B,198.00M,146.00M,323.00M
ALK,2019-12,-421.00M,1.521B,1.746B,504.00M,1.65B,1.47,1.46,2.065B,12.10B,482.00M,2019-12,63.00M,181.00M,-3.00M,-3.00M,8.613B,1.885B,2.703B,257.00M,987.00M,243.00M,62.00M,2.228B,77.00M,4.331B,12.99B,1.00M,2.037B,3.201B,8.662B,10.96B,5.461B,225.00M,120.00M,377.00M
ALK,2019-09,-422.00M,1.619B,1.748B,533.00M,1.826B,2.61,2.6,2.066B,11.87B,641.00M,2019-09,55.00M,322.00M,-3.00M,-3.00M,8.481B,1.763B,2.82B,427.00M,1.032B,416.00M,94.00M,2.389B,77.00M,4.252B,12.98B,1.00M,2.202B,3.346B,8.731B,10.78B,5.385B,214.00M,156.00M,389.00M
ALK,2019-06,-433.00M,1.627B,1.693B,561.00M,1.941B,2.12,2.11,2.068B,11.75B,595.00M,2019-06,58.00M,262.00M,-6.00M,-6.00M,8.44B,1.678B,2.962B,372.00M,938.00M,351.00M,89.00M,2.288B,87.00M,3.973B,12.95B,1.00M,2.218B,3.534B,8.978B,10.73B,5.444B,223.00M,157.00M,358.00M
ALK,2019-03,-448.00M,1.436B,1.615B,575.00M,1.873B,0.03,0.03,2.07B,11.58B,261.00M,2019-03,60.00M,4.00M,-9.00M,-9.00M,8.344B,1.681B,3.107B,51.00M,963.00M,6.00M,2.00M,1.876B,72.00M,3.746B,12.64B,1.00M,2.001B,3.386B,8.894B,10.64B,5.508B,210.00M,132.00M,366.00M
ALK,2018-12,0,1.236B,1.748B,486.00M,1.493B,0.19,0.19,2.07B,10.02B,316.00M,2018-12,0,23.00M,-7.00M,-7.00M,6.781B,0,1.617B,86.00M,0,36.00M,13.00M,2.064B,81.00M,3.751B,10.91B,0,1.787B,2.942B,7.161B,9.125B,4.219B,230.00M,0,0
