Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALL,2020-12,3.304B,8.177B,0,8.54,8.45,2.997B,2020-12,2.624B,4.075B,-80.00M,-80.00M,1.057B,1.355B,7.825B,0,3.31B,686.00M,12.02B,1.131B,30.22B,125.99B,1.979B,23.88B,0,95.77B,97.58B,25.13B,1.122B,0,15.70B
ALL,2020-09,2.833B,4.929B,0,3.62,3.58,2.544B,2020-09,1.153B,7.194B,-78.00M,-78.00M,1.076B,905.00M,6.635B,0,1.442B,289.00M,11.50B,1.309B,27.26B,122.75B,1.979B,20.87B,0,95.49B,97.07B,23.57B,1.141B,0,15.71B
ALL,2020-06,2.628B,5.891B,0,3.9,3.86,2.544B,2020-06,1.25B,4.774B,-79.00M,-79.00M,1.10B,842.00M,6.634B,0,1.546B,296.00M,11.20B,1.524B,26.99B,121.27B,1.979B,21.55B,0,94.28B,92.95B,22.92B,2.278B,0,15.66B
ALL,2020-03,558.00M,6.009B,0,1.62,1.59,2.544B,2020-03,549.00M,4.759B,-81.00M,-81.00M,1.123B,331.00M,6.633B,0,661.00M,112.00M,10.08B,1.717B,24.17B,116.11B,1.979B,21.62B,0,91.93B,88.62B,21.96B,1.951B,0,15.62B
ALL,2019-12,1.95B,4.594B,0,5.32,5.23,3.026B,2019-12,1.773B,4.817B,-82.00M,-82.00M,1.145B,1.154B,6.631B,0,2.231B,458.00M,11.47B,1.265B,26.00B,119.95B,2.257B,20.28B,0,93.95B,91.58B,23.13B,1.233B,0,15.68B
ALL,2019-09,2.107B,5.841B,0,2.71,2.67,2.545B,2019-09,931.00M,4.694B,-80.00M,-80.00M,1.092B,1.079B,6.63B,0,1.16B,229.00M,11.07B,1.639B,26.14B,121.07B,3.061B,21.76B,0,94.93B,92.42B,23.05B,1.671B,0,15.92B
ALL,2019-06,1.76B,4.339B,0,2.47,2.44,2.547B,2019-06,851.00M,4.687B,-82.00M,-82.00M,1.058B,997.00M,6.628B,0,1.078B,227.00M,11.14B,1.505B,24.48B,118.37B,1.939B,20.01B,0,93.90B,89.89B,22.38B,1.475B,0,15.67B
ALL,2019-03,1.085B,4.708B,0,3.79,3.74,2.547B,2019-03,1.292B,4.681B,-83.00M,-83.00M,1.047B,817.00M,6.453B,0,1.62B,328.00M,10.99B,1.395B,23.42B,115.83B,1.939B,20.28B,0,92.42B,87.59B,21.59B,1.41B,0,15.58B
ALL,2018-12,118.00M,3.526B,0,-0.91,-0.91,3.243B,2018-12,-542.00M,4.67B,-81.00M,-81.00M,1.045B,425.00M,6.451B,0,-710.00M,-168.00M,9.481B,2.008B,21.31B,112.25B,1.939B,19.24B,0,90.94B,83.99B,21.39B,2.034B,0,15.72B
ALL,2018-09,-1.284B,3.531B,0,2.72,2.68,2.189B,2018-09,979.00M,4.592B,-82.00M,-82.00M,1.032B,660.00M,6.45B,0,1.178B,199.00M,10.46B,1.386B,23.63B,114.49B,2.312B,18.72B,0,90.86B,86.18B,21.52B,1.398B,0,15.19B
