Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALLE,2021-03,-189.10M,394.30M,396.90M,0.10M,0,1.19,1.18,1.275B,830.10M,297.40M,2021-03,289.90M,108.00M,-12.30M,-12.30M,285.70M,105.70M,1.430B,131.30M,505.50M,122.50M,14.30M,694.30M,166.10M,727.70M,2.948B,0.90M,1.048B,505.60M,2.217B,1.900B,1.711B,166.10M,209.80M,312.60M
ALLE,2020-12,-157.10M,480.40M,407.40M,0.20M,0,1.02,1.01,1.306B,786.00M,319.90M,2020-12,283.10M,93.30M,-12.20M,-12.20M,294.90M,107.80M,1.429B,158.40M,428.00M,105.80M,12.40M,727.30M,161.50M,829.40M,3.069B,0.90M,1.145B,521.50M,2.237B,1.924B,1.715B,161.50M,238.60M,347.60M
ALLE,2020-09,-206.80M,428.90M,409.20M,0.20M,0,1.59,1.58,1.284B,748.80M,319.20M,2020-09,289.60M,146.90M,-12.70M,-12.70M,293.70M,115.90M,1.429B,163.00M,488.90M,159.70M,12.80M,728.40M,156.20M,824.30M,3.028B,0.90M,1.121B,489.10M,2.201B,1.907B,1.712B,156.20M,191.10M,350.90M
ALLE,2020-06,-231.00M,302.40M,342.90M,0.80M,0,0.8,0.8,1.267B,0,246.60M,2020-06,293.60M,73.70M,-12.90M,-12.90M,292.50M,0,1.428B,96.50M,462.90M,87.90M,14.20M,589.50M,150.10M,677.50M,2.834B,0.90M,977.10M,463.70M,2.154B,1.857B,1.690B,150.10M,195.50M,329.20M
ALLE,2020-03,-251.40M,245.30M,381.60M,3.40M,0,0.0043,0.0043,1.258B,0,293.10M,2020-03,275.50M,0.40M,-12.40M,-12.40M,289.20M,0,1.428B,125.20M,453.30M,12.00M,11.50M,674.70M,167.90M,611.30M,2.758B,0.90M,922.00M,456.70M,2.144B,1.836B,1.687B,167.90M,198.70M,343.10M
ALLE,2019-12,-218.60M,355.30M,400.30M,0.10M,0,0.87,0.86,1.384B,0,319.20M,2019-12,269.90M,80.70M,-12.60M,-12.60M,291.40M,0,1.428B,149.20M,408.50M,97.70M,17.00M,719.50M,170.00M,757.40M,2.967B,0.90M,1.002B,507.00M,2.207B,1.965B,1.700B,170.00M,233.80M,344.00M
ALLE,2019-09,-273.00M,232.90M,412.80M,0.10M,0,1.41,1.4,1.372B,0,335.50M,2019-09,293.90M,131.60M,-15.20M,-15.20M,281.90M,0,1.427B,168.10M,491.10M,150.50M,18.80M,748.30M,167.40M,685.00M,2.865B,0.90M,933.10M,491.20M,2.178B,1.932B,1.687B,167.40M,208.80M,367.50M
ALLE,2019-06,-233.10M,157.80M,410.50M,35.10M,0,1.17,1.16,1.412B,0,320.70M,2019-06,304.70M,109.30M,-13.00M,-13.00M,281.70M,0,1.393B,145.70M,482.00M,131.60M,22.20M,731.20M,175.00M,660.50M,2.849B,0.90M,883.20M,517.10M,2.186B,1.966B,1.669B,175.00M,206.50M,380.00M
ALLE,2019-03,-238.80M,153.80M,378.10M,35.10M,0,0.85,0.84,1.415B,0,276.90M,2019-03,296.80M,80.20M,-13.40M,-13.40M,275.10M,0,1.401B,108.00M,450.30M,95.40M,15.10M,655.00M,168.90M,633.70M,2.801B,0.90M,850.20M,485.40M,2.163B,1.951B,1.678B,168.90M,198.30M,359.60M
ALLE,2018-12,-223.50M,283.80M,401.90M,35.30M,0,1.4,1.39,1.430B,0,300.50M,2018-12,280.30M,132.80M,-13.60M,-13.60M,276.70M,0,1.410B,141.40M,390.20M,127.20M,-5.70M,702.40M,159.10M,651.00M,2.810B,0.90M,931.60M,520.80M,2.156B,1.879B,1.635B,159.10M,255.20M,340.30M
