Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMAT,2021-01,-297.00M,6.623B,2.813B,63.00M,1.572B,1.23,1.22,3.619B,4.736B,2.349B,2021-01,3.925B,1.13B,-43.00M,-43.00M,1.879B,0,5.635B,1.435B,2.141B,1.24B,110.00M,606.00M,5.162B,308.00M,11.47B,23.30B,9.00M,14.27B,4.504B,11.83B,9.036B,7.328B,914.00M,1.50B,3.212B
AMAT,2020-10,-299.00M,5.738B,2.558B,64.00M,1.321B,1.24,1.23,3.619B,4.632B,2.13B,2020-10,3.904B,1.131B,-40.00M,-40.00M,1.856B,0,5.643B,1.283B,2.073B,1.243B,112.00M,560.00M,4.688B,287.00M,10.58B,22.35B,9.00M,13.37B,4.459B,11.78B,8.984B,7.316B,847.00M,1.58B,3.125B
AMAT,2020-07,-277.00M,4.756B,2.44B,63.00M,1.39B,0.92,0.91,3.631B,4.539B,1.955B,2020-07,3.952B,841.00M,-61.00M,-61.00M,1.784B,0,5.643B,1.108B,1.91B,1.04B,199.00M,572.00M,4.395B,275.00M,9.569B,21.17B,9.00M,12.25B,4.285B,11.60B,8.923B,7.317B,847.00M,1.42B,2.965B
AMAT,2020-04,-315.00M,5.704B,2.208B,659.00M,1.334B,0.82,0.82,3.558B,4.453B,1.749B,2020-04,3.725B,755.00M,-54.00M,-54.00M,1.776B,0,6.40B,932.00M,2.06B,878.00M,123.00M,550.00M,3.957B,267.00M,9.024B,21.82B,9.00M,12.74B,4.765B,12.79B,9.08B,8.026B,817.00M,1.446B,2.749B
AMAT,2020-01,-188.00M,3.96B,2.304B,644.00M,1.40B,0.97,0.96,3.541B,4.318B,1.858B,2020-01,3.472B,892.00M,-37.00M,-37.00M,1.711B,0,4.83B,1.042B,1.877B,1.005B,113.00M,552.00M,4.162B,264.00M,8.66B,19.77B,9.00M,10.77B,4.569B,11.11B,8.998B,6.538B,816.00M,1.451B,2.796B
AMAT,2019-10,-180.00M,3.618B,2.12B,600.00M,1.336B,0.76,0.75,3.555B,4.071B,1.634B,2019-10,3.474B,698.00M,-24.00M,-24.00M,1.529B,0,4.713B,864.00M,1.756B,840.00M,142.00M,515.00M,3.754B,255.00M,8.214B,19.02B,9.00M,10.21B,4.447B,10.81B,8.818B,6.363B,770.00M,1.365B,2.629B
AMAT,2019-07,-137.00M,3.561B,2.005B,0,1.43B,0.61,0.61,3.569B,4.115B,1.557B,2019-07,3.539B,571.00M,-20.00M,-20.00M,1.513B,0,5.312B,802.00M,1.62B,782.00M,211.00M,515.00M,3.562B,240.00M,8.116B,18.80B,9.00M,10.04B,3.785B,10.69B,8.763B,6.904B,755.00M,1.22B,2.455B
AMAT,2019-04,-138.00M,3.623B,2.009B,0,1.393B,0.71,0.7,3.584B,4.028B,1.53B,2019-04,3.677B,666.00M,-17.00M,-17.00M,1.494B,0,5.311B,776.00M,1.566B,759.00M,93.00M,508.00M,3.539B,246.00M,8.201B,18.78B,9.00M,10.06B,3.605B,10.57B,8.713B,6.969B,754.00M,1.173B,2.329B
AMAT,2019-01,-154.00M,3.712B,2.088B,0,1.356B,0.81,0.8,3.567B,3.922B,1.665B,2019-01,3.703B,771.00M,-20.00M,-20.00M,1.456B,0,5.31B,908.00M,1.794B,888.00M,117.00M,516.00M,3.753B,241.00M,8.209B,18.92B,9.00M,10.28B,3.776B,10.71B,8.637B,6.937B,757.00M,1.37B,2.476B
AMAT,2018-10,-125.00M,4.03B,2.102B,0,1.201B,0.9,0.89,3.581B,3.812B,1.657B,2018-10,3.721B,757.00M,-16.00M,-16.00M,1.407B,0,5.309B,891.00M,1.874B,875.00M,118.00M,519.00M,3.759B,247.00M,6.845B,17.63B,10.00M,10.60B,3.922B,10.79B,7.029B,6.866B,766.00M,1.437B,2.363B
