Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMD,2020-12,17.00M,2.29B,1.793B,200.00M,5.00M,1.48,1.45,518.00M,1.761B,1.451B,2020-12,1.399B,1.781B,-1.00M,-1.00M,849.00M,0,531.00M,570.00M,1.829B,546.00M,-1.232B,573.00M,3.244B,308.00M,5.837B,8.962B,12.00M,6.143B,2.417B,3.125B,2.819B,708.00M,881.00M,546.00M,2.076B
AMD,2020-09,5.00M,1.771B,1.571B,38.00M,1.00M,0.33,0.32,483.00M,1.70B,1.23B,2020-09,1.292B,390.00M,-11.00M,-11.00M,810.00M,0,578.00M,449.00M,1.966B,401.00M,12.00M,508.00M,2.801B,273.00M,3.867B,7.023B,12.00M,5.50B,2.417B,3.156B,1.523B,739.00M,781.00M,867.00M,2.138B
AMD,2020-06,-4.00M,1.775B,1.084B,38.00M,2.00M,0.13,0.13,463.00M,1.637B,848.00M,2020-06,1.324B,157.00M,-14.00M,-14.00M,800.00M,0,694.00M,173.00M,1.906B,160.00M,4.00M,460.00M,1.932B,215.00M,3.305B,6.583B,12.00M,5.109B,2.434B,3.278B,1.474B,844.00M,675.00M,994.00M,1.799B
AMD,2020-03,-14.00M,1.385B,968.00M,108.00M,11.00M,0.14,0.14,483.00M,1.555B,818.00M,2020-03,1.056B,162.00M,-13.00M,-13.00M,761.00M,0,699.00M,177.00M,1.705B,168.00M,6.00M,442.00M,1.786B,199.00M,3.037B,5.864B,12.00M,4.39B,1.985B,2.827B,1.474B,842.00M,641.00M,840.00M,1.691B
AMD,2019-12,0,1.503B,1.178B,136.00M,3.00M,0.15,0.15,499.00M,1.473B,949.00M,2019-12,982.00M,170.00M,-3.00M,-3.00M,705.00M,0,685.00M,348.00M,2.00B,205.00M,35.00M,395.00M,2.127B,206.00M,2.827B,6.028B,12.00M,4.597B,2.359B,3.201B,1.431B,842.00M,601.00M,1.201B,1.879B
AMD,2019-09,-7.00M,1.209B,1.024B,136.00M,0,0.11,0.11,509.00M,1.427B,777.00M,2019-09,1.04B,120.00M,-24.00M,-24.00M,658.00M,0,1.073B,186.00M,1.603B,126.00M,7.00M,406.00M,1.801B,185.00M,2.176B,5.253B,11.00M,3.912B,1.864B,3.077B,1.341B,1.213B,591.00M,1.021B,1.393B
AMD,2019-06,0,1.128B,910.00M,0,0,0.03,0.03,520.00M,1.415B,621.00M,2019-06,1.015B,35.00M,-25.00M,-25.00M,670.00M,0,1.242B,59.00M,1.586B,37.00M,2.00M,373.00M,1.531B,189.00M,1.901B,5.102B,11.00M,3.754B,1.804B,3.201B,1.348B,1.397B,562.00M,1.069B,1.333B
AMD,2019-03,-1.00M,1.194B,751.00M,0,0,0.01,0.01,511.00M,1.315B,521.00M,2019-03,955.00M,16.00M,-27.00M,-27.00M,591.00M,0,1.237B,38.00M,1.423B,4.00M,-13.00M,373.00M,1.272B,170.00M,1.788B,4.931B,11.00M,3.677B,1.764B,3.143B,1.254B,1.379B,483.00M,986.00M,1.241B
AMD,2018-12,-8.00M,1.156B,882.00M,0,0,0.04,0.04,515.00M,1.055B,537.00M,2018-12,845.00M,38.00M,-11.00M,-11.00M,348.00M,0,1.114B,28.00M,1.588B,3.00M,-35.00M,371.00M,1.419B,138.00M,1.266B,4.556B,10.00M,3.54B,1.984B,3.29B,1.016B,1.306B,509.00M,1.041B,1.235B
AMD,2018-09,-10.00M,1.056B,992.00M,0,0,0.1,0.09,563.00M,1.036B,661.00M,2018-09,738.00M,102.00M,-30.00M,-30.00M,318.00M,0,1.167B,150.00M,1.506B,114.00M,12.00M,363.00M,1.653B,148.00M,1.125B,4.347B,10.00M,3.314B,1.878B,3.222B,1.033B,1.344B,511.00M,1.086B,1.207B
