Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AME,2020-12,-504.47M,1.213B,769.97M,177.23M,194.63M,0.96,0.95,6.849B,1.622B,428.98M,2020-12,559.17M,221.02M,-19.46M,-19.46M,693.76M,533.48M,2.281B,298.11M,579.70M,276.71M,55.68M,1.199B,130.87M,5.949B,10.36B,2.676M,2.522B,1.076B,4.408B,7.835B,3.332B,130.87M,399.27M,597.47M
AME,2020-09,-533.64M,1.305B,732.70M,548.25M,175.83M,0.89,0.88,6.833B,675.37M,394.24M,2020-09,584.75M,204.58M,-21.19M,-21.19M,675.37M,541.52M,2.425B,270.74M,679.41M,248.08M,43.49M,1.127B,123.50M,5.704B,10.43B,2.671M,2.643B,1.403B,4.729B,7.790B,3.326B,123.50M,365.61M,614.77M
AME,2020-06,-558.78M,1.131B,669.20M,158.55M,180.61M,0.73,0.72,6.823B,680.79M,342.73M,2020-06,621.52M,166.22M,-22.67M,-22.67M,680.79M,556.42M,2.881B,226.99M,678.29M,206.45M,40.24M,1.012B,115.74M,5.486B,10.31B,2.668M,2.517B,1.017B,4.825B,7.794B,3.807B,115.74M,375.40M,620.16M
AME,2020-03,-575.74M,1.253B,824.65M,552.79M,174.89M,1.23,1.22,6.844B,703.33M,377.57M,2020-03,654.30M,280.62M,-22.74M,-22.74M,703.33M,553.66M,2.874B,232.04M,749.99M,351.08M,70.46M,1.202B,145.53M,5.326B,10.60B,2.664M,2.774B,1.478B,5.276B,7.827B,3.798B,145.53M,450.53M,712.20M
AME,2019-12,-533.14M,393.03M,858.18M,540.47M,156.82M,0.97,0.96,6.810B,1.584B,446.65M,2019-12,624.57M,220.78M,-23.04M,-23.04M,728.59M,536.14M,2.271B,297.66M,567.21M,267.98M,47.20M,1.305B,148.99M,5.115B,9.845B,2.662M,2.026B,1.426B,4.729B,7.819B,3.303B,148.99M,407.51M,744.76M
AME,2019-09,-558.47M,735.38M,823.26M,240.36M,144.18M,0.97,0.96,5.979B,711.60M,453.37M,2019-09,623.68M,220.75M,-21.31M,-21.31M,711.60M,549.18M,2.369B,301.06M,725.98M,274.23M,53.48M,1.277B,152.32M,4.866B,9.220B,2.657M,2.272B,1.111B,4.354B,6.948B,3.243B,152.32M,423.85M,761.96M
AME,2019-06,-535.83M,567.91M,838.15M,140.11M,140.64M,0.95,0.94,5.952B,721.16M,451.26M,2019-06,634.14M,215.50M,-21.48M,-21.48M,721.16M,544.22M,2.516B,295.41M,697.82M,270.60M,55.10M,1.289B,155.85M,4.667B,9.070B,2.654M,2.127B,978.56M,4.403B,6.942B,3.424B,155.85M,423.47M,757.52M
AME,2019-03,-540.08M,368.06M,851.31M,104.16M,136.36M,0.9,0.89,5.980B,724.86M,436.38M,2019-03,640.58M,204.27M,-22.65M,-22.65M,724.86M,545.86M,2.368B,283.26M,766.71M,256.94M,52.67M,1.288B,153.12M,4.457B,8.891B,2.647M,1.925B,1.007B,4.435B,6.967B,3.428B,153.12M,445.59M,763.16M
AME,2018-12,-551.09M,353.98M,835.27M,358.88M,137.23M,0.92,0.91,6.016B,1.379B,436.06M,2018-12,624.74M,211.52M,-20.32M,-20.32M,554.13M,528.34M,2.274B,282.02M,612.59M,258.77M,47.25M,1.271B,154.04M,4.242B,8.662B,2.64M,1.836B,1.259B,4.420B,6.826B,3.162B,154.04M,448.17M,732.84M
AME,2018-09,-456.20M,518.72M,782.99M,68.72M,137.09M,0.83,0.82,5.365B,0,409.97M,2018-09,620.15M,191.21M,-19.39M,-19.39M,487.42M,554.04M,1.833B,265.27M,764.08M,244.93M,53.72M,1.193B,144.70M,4.512B,8.108B,2.64M,1.999B,969.90M,3.596B,6.109B,2.626B,144.70M,434.15M,714.93M
AME,2018-06,-454.08M,557.69M,791.25M,307.66M,136.94M,0.84,0.83,5.399B,1.261B,417.69M,2018-06,614.39M,193.86M,-20.78M,-20.78M,490.13M,557.70M,1.838B,270.09M,737.91M,248.22M,54.36M,1.209B,147.60M,4.338B,8.152B,2.637M,2.018B,1.183B,3.814B,6.134B,2.632B,147.60M,429.85M,710.96M
AME,2018-03,-414.76M,556.78M,776.80M,308.07M,135.46M,0.79,0.78,5.365B,1.164B,395.85M,2018-03,596.31M,181.34M,-21.69M,-21.69M,492.35M,541.87M,1.898B,258.17M,716.39M,235.82M,54.48M,1.173B,137.68M,4.204B,8.058B,2.634M,1.960B,1.160B,3.854B,6.098B,2.694B,137.68M,434.00M,684.62M
AME,2017-12,-429.18M,646.30M,769.65M,308.12M,0,1.03,1.03,5.129B,0,373.44M,2017-12,540.50M,238.53M,-24.25M,-24.25M,493.30M,512.53M,1.866B,226.59M,679.10M,197.52M,-41.01M,1.143B,146.85M,4.028B,7.796B,2.631M,1.935B,1.139B,3.768B,5.861B,2.630B,146.85M,471.99M,668.18M
