Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMP,2020-12,629.00M,43.13B,200.00M,1.52,1.47,2020-12,177.00M,5.473B,-44.00M,-44.00M,17.64B,4.744B,1.998B,190.00M,13.00M,3.189B,1.924B,5.867B,165.88B,3.00M,50.96B,2.198B,160.02B,52.32B,43.39B,1.924B,0,7.835B
AMP,2020-09,516.00M,43.63B,200.00M,-1.14,-1.14,2020-09,-140.00M,3.619B,-47.00M,-47.00M,16.82B,4.734B,1.77B,-184.00M,-44.00M,3.013B,1.791B,6.067B,158.69B,3.00M,51.02B,1.97B,152.62B,49.44B,42.02B,1.791B,0,7.392B
AMP,2020-06,394.00M,42.14B,200.00M,-4.31,-4.31,2020-06,-539.00M,5.15B,-59.00M,-59.00M,16.07B,4.324B,1.65B,-526.00M,13.00M,2.73B,1.716B,6.50B,154.90B,3.00M,49.44B,1.85B,148.40B,50.19B,40.08B,1.716B,0,7.295B
AMP,2020-03,-295.00M,40.68B,200.00M,16.11,15.88,2020-03,2.036B,5.038B,-71.00M,-71.00M,17.01B,3.72B,1.427B,2.351B,315.00M,3.026B,1.748B,6.693B,145.68B,3.00M,47.86B,1.627B,138.99B,48.02B,40.48B,1.748B,0,7.188B
AMP,2019-12,262.00M,36.96B,201.00M,3.59,3.53,2019-12,463.00M,5.243B,-80.00M,-80.00M,14.43B,4.725B,1.884B,534.00M,71.00M,3.104B,1.83B,5.729B,151.83B,3.00M,44.17B,2.085B,146.10B,47.08B,38.95B,1.83B,0,7.21B
AMP,2019-09,337.00M,36.36B,201.00M,4.09,4.04,2019-09,543.00M,5.208B,-86.00M,-86.00M,13.44B,4.771B,1.783B,641.00M,98.00M,3.351B,1.791B,5.997B,149.51B,3.00M,43.71B,1.984B,143.52B,44.73B,38.03B,1.791B,0,7.348B
AMP,2019-06,269.00M,35.00B,201.00M,3.61,3.57,2019-06,492.00M,5.216B,-96.00M,-96.00M,13.27B,4.811B,1.686B,587.00M,95.00M,3.282B,1.771B,6.03B,148.68B,3.00M,42.44B,1.887B,142.65B,43.70B,37.90B,1.771B,0,7.435B
AMP,2019-03,35.00M,32.11B,201.00M,2.85,2.82,2019-03,395.00M,3.498B,-88.00M,-88.00M,11.52B,5.125B,1.596B,470.00M,75.00M,3.153B,1.705B,5.843B,144.40B,3.00M,39.57B,1.797B,138.56B,39.73B,36.50B,1.705B,0,7.462B
AMP,2018-12,-291.00M,34.16B,201.00M,3.81,3.76,2018-12,539.00M,5.248B,-93.00M,-93.00M,11.54B,4.61B,1.862B,652.00M,113.00M,3.208B,1.702B,5.588B,137.22B,3.00M,40.34B,2.063B,131.63B,43.11B,36.10B,1.702B,0,6.185B
AMP,2018-09,-244.00M,33.32B,201.00M,3.48,3.43,2018-09,503.00M,3.538B,-74.00M,-74.00M,10.76B,4.24B,1.867B,588.00M,85.00M,3.316B,1.722B,5.618B,145.19B,3.00M,39.36B,2.068B,139.57B,42.21B,35.02B,1.722B,0,6.047B
