Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMT,2020-12,-3.759B,1.746B,572.60M,1.330B,390.60M,0.82,0.82,21.12B,28.46B,1.550B,2020-12,0,365.10M,-184.60M,-184.60M,20.60B,1.436B,35.38B,914.40M,1.935B,419.70M,58.10M,0,2.122B,196.30M,4.094B,47.23B,4.60M,2.906B,3.656B,42.67B,44.33B,39.01B,635.50M,1.049B,754.80M
AMT,2020-09,-4.191B,1.626B,562.60M,1.259B,324.40M,1.05,1.04,17.37B,18.90B,1.450B,2020-09,0,464.40M,-181.20M,-181.20M,18.90B,770.40M,30.44B,785.10M,1.683B,502.20M,39.30M,0,2.013B,176.00M,3.732B,41.46B,4.50M,2.852B,3.266B,37.27B,38.61B,34.01B,665.20M,974.50M,744.20M
AMT,2020-06,-4.274B,2.038B,540.00M,3.860B,400.20M,1.01,1,17.44B,18.48B,1.373B,2020-06,0,446.10M,-189.30M,-189.30M,18.48B,804.20M,27.94B,691.30M,1.684B,459.50M,11.10M,0,1.913B,188.60M,3.620B,41.52B,4.50M,3.227B,5.945B,37.46B,38.29B,31.51B,681.70M,903.70M,732.30M
AMT,2020-03,-4.272B,1.326B,552.00M,3.117B,408.50M,0.94,0.93,17.55B,18.42B,1.441B,2020-03,0,415.00M,-198.70M,-198.70M,18.42B,731.00M,28.08B,736.80M,1.629B,439.70M,21.10M,0,1.993B,217.80M,3.634B,40.79B,4.50M,2.505B,5.154B,36.72B,38.28B,31.57B,704.30M,940.70M,785.00M
AMT,2019-12,-2.824B,1.501B,550.20M,3.423B,294.30M,1.27,1.26,18.50B,26.68B,1.374B,2019-12,0,562.70M,-190.40M,-190.40M,19.44B,1.294B,27.64B,800.60M,1.771B,468.90M,-100.50M,0,1.924B,179.60M,5.055B,42.80B,4.50M,2.554B,5.488B,37.31B,40.25B,31.82B,572.90M,934.30M,675.80M
AMT,2019-09,-2.979B,1.353B,559.90M,2.919B,302.90M,1.13,1.12,16.38B,25.52B,1.394B,2019-09,0,498.60M,-189.10M,-189.10M,18.50B,538.50M,25.49B,728.30M,1.566B,542.00M,36.70M,0,1.954B,187.90M,5.240B,39.31B,4.50M,2.362B,4.787B,33.51B,36.95B,28.72B,665.40M,863.90M,630.70M
AMT,2019-06,-2.607B,1.192B,563.30M,2.939B,334.80M,0.97,0.96,16.45B,25.27B,1.326B,2019-06,0,429.10M,-192.80M,-192.80M,18.38B,546.20M,24.95B,683.90M,1.548B,463.90M,29.60M,0,1.890B,164.80M,5.478B,39.07B,4.50M,2.232B,4.822B,33.03B,36.84B,28.21B,642.40M,845.70M,656.90M
AMT,2019-03,-2.672B,1.023B,543.40M,2.596B,293.00M,0.9,0.89,16.58B,24.95B,1.27B,2019-03,0,397.40M,-195.10M,-195.10M,18.28B,510.80M,25.42B,614.90M,1.523B,441.60M,34.00M,0,1.813B,198.10M,5.347B,38.93B,4.50M,2.062B,4.412B,33.03B,36.86B,28.61B,655.10M,821.20M,689.40M
AMT,2018-12,-2.643B,1.209B,540.90M,2.755B,304.10M,0.63,0.62,16.68B,17.72B,1.591B,2018-12,0,277.60M,-198.00M,-198.00M,11.25B,1.547B,18.41B,868.50M,1.631B,197.30M,-95.40M,0,2.132B,192.50M,5.336B,33.01B,4.50M,2.385B,4.690B,27.11B,30.63B,22.42B,722.50M,829.30M,671.40M
AMT,2018-09,-2.696B,1.095B,556.70M,2.841B,276.60M,0.83,0.83,16.95B,11.00B,1.229B,2018-09,0,366.90M,-198.50M,-198.50M,11.00B,706.20M,18.42B,567.20M,1.462B,389.80M,12.50M,0,1.786B,177.90M,5.351B,33.08B,4.50M,2.437B,4.580B,27.15B,30.64B,22.57B,661.60M,713.00M,744.10M
