Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AMZN,2020-12,-180.00M,84.40B,97.76B,0,9.708B,14.38,14.09,20.00B,211.10B,27.80B,2020-12,23.80B,7.222B,-314.00M,-314.00M,150.67B,0,84.39B,6.873B,116.68B,7.765B,565.00M,12.05B,125.56B,9.371B,93.40B,321.20B,5.00M,132.73B,126.38B,227.79B,188.46B,101.41B,20.92B,72.54B,24.54B
AMZN,2020-09,-1.029B,68.40B,71.81B,0,9.251B,12.63,12.37,14.96B,134.10B,24.33B,2020-09,23.74B,6.331B,-310.00M,-310.00M,134.10B,0,81.52B,6.194B,92.66B,6.809B,569.00M,10.98B,96.14B,7.102B,82.78B,282.18B,5.00M,112.97B,101.91B,199.40B,169.21B,97.49B,18.14B,58.33B,20.83B
AMZN,2020-06,-1.455B,71.39B,66.47B,0,8.997B,10.5,10.3,14.75B,115.05B,22.45B,2020-06,19.60B,5.243B,-268.00M,-268.00M,115.05B,0,75.93B,5.843B,84.90B,6.221B,984.00M,10.39B,88.91B,5.925B,73.73B,258.31B,5.00M,110.91B,93.90B,184.59B,147.41B,90.69B,16.60B,51.04B,19.92B
AMZN,2020-03,-2.063B,49.29B,55.79B,0,8.864B,5.09,5.01,14.74B,104.06B,19.66B,2020-03,18.86B,2.535B,-200.00M,-200.00M,104.06B,0,63.74B,3.989B,70.85B,3.383B,744.00M,9.325B,75.45B,6.28B,65.27B,221.24B,5.00M,85.98B,79.71B,155.97B,135.25B,76.26B,15.68B,40.06B,17.84B
AMZN,2019-12,-986.00M,55.02B,66.17B,0,8.19B,6.58,6.47,18.80B,144.82B,21.27B,2019-12,20.50B,3.268B,-244.00M,-244.00M,97.85B,0,63.20B,3.879B,79.62B,4.053B,786.00M,9.74B,87.44B,7.583B,62.06B,225.25B,5.00M,96.33B,87.81B,163.19B,128.91B,75.38B,17.39B,47.18B,20.82B
AMZN,2019-09,-1.429B,43.40B,51.47B,0,7.381B,4.31,4.23,14.73B,90.78B,18.51B,2019-09,18.77B,2.134B,-172.00M,-172.00M,90.78B,0,59.53B,3.157B,64.76B,2.632B,494.00M,9.20B,69.98B,6.10B,56.51B,199.10B,5.00M,79.05B,72.14B,142.59B,120.04B,70.46B,15.36B,35.79B,16.89B
AMZN,2019-06,-960.00M,41.46B,45.61B,0,7.475B,5.32,5.22,14.73B,86.37B,17.80B,2019-06,18.58B,2.625B,-168.00M,-168.00M,86.37B,0,58.46B,3.084B,62.20B,2.889B,257.00M,9.065B,63.40B,5.561B,53.06B,191.35B,5.00M,76.79B,69.68B,138.29B,114.56B,68.61B,14.71B,36.06B,16.75B
AMZN,2019-03,-1.01B,37.02B,42.52B,0,7.298B,7.24,7.09,14.71B,81.18B,17.18B,2019-03,16.43B,3.561B,-183.00M,-183.00M,81.18B,0,56.60B,4.42B,56.40B,4.401B,836.00M,7.927B,59.70B,4.837B,48.41B,178.10B,5.00M,69.43B,63.70B,129.69B,108.67B,66.00B,12.76B,31.81B,15.98B
AMZN,2018-12,-1.035B,41.25B,54.81B,0,6.536B,6.18,6.04,18.66B,95.77B,17.57B,2018-12,17.17B,3.027B,-237.00M,-237.00M,61.80B,0,33.14B,3.786B,61.86B,3.35B,327.00M,7.669B,72.38B,6.029B,43.55B,162.65B,5.00M,75.10B,68.39B,119.10B,87.55B,50.71B,13.78B,38.19B,16.68B
AMZN,2018-09,-1.034B,29.76B,41.28B,0,6.00B,5.91,5.75,14.55B,0,15.30B,2018-09,15.86B,2.883B,-241.00M,-241.00M,58.02B,0,24.68B,3.724B,49.32B,3.39B,508.00M,7.162B,56.58B,4.344B,39.12B,143.70B,5.00M,59.88B,55.32B,104.57B,83.81B,49.25B,11.57B,30.90B,14.26B
