Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
APA,2020-12,14.00M,262.00M,877.00M,118.00M,0,0.03,-0.04,0,44.49B,342.00M,2020-12,492.00M,30.00M,-107.00M,-107.00M,8.819B,215.00M,8.77B,141.00M,867.00M,70.00M,15.00M,1.219B,76.00M,-1.639B,12.75B,262.00M,1.846B,1.308B,13.39B,10.90B,12.08B,201.00M,469.00M,908.00M
APA,2020-09,16.00M,162.00M,795.00M,294.00M,0,-0.01,-0.02,0,43.55B,325.00M,2020-09,503.00M,15.00M,-111.00M,-111.00M,9.067B,271.00M,8.75B,163.00M,782.00M,72.00M,31.00M,1.12B,52.00M,-1.641B,12.88B,262.00M,1.719B,1.382B,13.51B,11.16B,12.13B,162.00M,413.00M,899.00M
APA,2020-06,15.00M,135.00M,800.00M,417.00M,0,-1.02,-1.02,0,43.43B,-48.00M,2020-06,477.00M,-367.00M,-106.00M,-106.00M,9.344B,299.00M,8.523B,-245.00M,978.00M,-416.00M,-38.00M,752.00M,94.00M,-1.635B,13.00B,262.00M,1.658B,1.71B,13.64B,11.34B,11.92B,197.00M,492.00M,871.00M
APA,2020-03,15.00M,428.00M,1.058B,678.00M,0,-11.86,-11.86,0,43.24B,286.00M,2020-03,452.00M,-4.462B,-103.00M,-103.00M,9.586B,309.00M,8.336B,114.00M,1.114B,-4.566B,56.00M,1.344B,68.00M,-1.246B,13.39B,262.00M,1.908B,2.025B,13.62B,11.48B,11.59B,172.00M,570.00M,838.00M
APA,2019-12,16.00M,247.00M,1.222B,180.00M,0,-7.89,-7.89,0,43.96B,507.00M,2019-12,502.00M,-2.96B,-97.00M,-97.00M,14.16B,346.00M,8.555B,-233.00M,1.36B,-3.035B,212.00M,1.729B,83.00M,3.255B,18.11B,261.00M,1.961B,1.855B,13.64B,16.15B,11.79B,740.00M,746.00M,1.062B
APA,2019-09,3.00M,163.00M,1.15B,168.00M,0,-0.45,-0.45,0,44.61B,318.00M,2019-09,475.00M,-152.00M,-95.00M,-95.00M,17.66B,340.00M,8.393B,127.00M,1.422B,14.00M,131.00M,1.468B,98.00M,6.301B,21.40B,261.00M,1.971B,1.921B,13.54B,19.43B,11.62B,191.00M,741.00M,1.07B
APA,2019-06,4.00M,549.00M,1.082B,347.00M,0,-0.96,-0.96,0,43.99B,534.00M,2019-06,453.00M,-356.00M,-98.00M,-98.00M,17.76B,348.00M,8.157B,258.00M,1.534B,-152.00M,164.00M,1.616B,102.00M,6.551B,21.81B,261.00M,2.791B,2.262B,13.65B,19.02B,11.39B,276.00M,770.00M,1.098B
APA,2019-03,4.00M,327.00M,1.121B,526.00M,0,-0.12,-0.12,0,46.94B,557.00M,2019-03,438.00M,-47.00M,-97.00M,-97.00M,18.29B,370.00M,8.094B,293.00M,1.547B,165.00M,167.00M,1.678B,123.00M,6.989B,21.75B,261.00M,2.504B,2.374B,13.14B,19.25B,10.77B,264.00M,739.00M,1.185B
APA,2018-12,4.00M,714.00M,1.414B,151.00M,0,-1,-1,0,47.54B,646.00M,2018-12,401.00M,-381.00M,-93.00M,-93.00M,18.42B,391.00M,8.093B,216.00M,1.717B,-344.00M,6.00M,2.06B,101.00M,7.13B,21.58B,260.00M,2.687B,2.201B,12.77B,18.90B,10.57B,430.00M,767.00M,1.194B
APA,2018-09,4.00M,593.00M,1.084B,150.00M,0,0.21,0.21,0,46.04B,892.00M,2018-09,362.00M,81.00M,-98.00M,-98.00M,18.65B,502.00M,8.053B,638.00M,1.738B,406.00M,245.00M,1.976B,99.00M,7.612B,21.87B,260.00M,2.785B,2.207B,12.92B,19.08B,10.72B,254.00M,833.00M,1.457B
