Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
APD,2020-12,-1.713B,6.20B,1.632B,915.30M,313.80M,2.18,2.17,1.376B,26.31B,742.80M,2020-12,422.90M,482.00M,-36.70M,-36.70M,12.52B,1.003B,7.092B,539.10M,2.071B,590.30M,113.90M,23.50M,2.375B,202.70M,12.68B,26.09B,249.40M,8.810B,2.986B,13.02B,17.28B,10.03B,203.70M,2.071B,2.008B
APD,2020-09,-2.140B,6.358B,1.566B,548.40M,247.40M,2.2,2.19,1.327B,25.55B,753.60M,2020-09,404.80M,486.80M,-39.20M,-39.20M,12.34B,1.020B,7.766B,560.20M,1.486B,594.60M,99.90M,27.10M,2.320B,195.60M,12.08B,25.17B,249.40M,8.685B,2.417B,12.73B,16.48B,10.31B,193.40M,948.20M,1.417B
APD,2020-06,-2.353B,6.437B,1.345B,838.90M,156.60M,2.02,2.01,1.180B,24.20B,720.30M,2020-06,410.90M,446.50M,-32.10M,-32.10M,11.47B,942.00M,7.359B,539.20M,1.752B,566.40M,109.30M,19.90M,2.065B,176.90M,11.66B,24.78B,249.40M,9.006B,2.591B,12.76B,15.78B,10.17B,181.10M,1.752B,1.973B
APD,2020-03,-2.478B,2.220B,1.460B,67.40M,0,2.16,2.15,1.163B,23.01B,756.20M,2020-03,399.70M,477.80M,-19.30M,-19.30M,10.62B,844.40M,3.245B,543.40M,1.740B,653.20M,148.50M,19.20M,2.216B,201.70M,11.37B,19.50B,249.40M,4.688B,1.807B,7.778B,14.81B,5.971B,212.80M,1.740B,1.939B
APD,2019-12,-2.089B,2.406B,1.487B,75.60M,0,2.15,2.14,1.232B,23.10B,768.10M,2019-12,400.60M,475.60M,-18.70M,-18.70M,10.69B,810.50M,3.266B,561.00M,1.743B,609.60M,120.70M,17.70M,2.255B,201.70M,11.56B,19.65B,249.40M,4.720B,1.819B,7.722B,14.93B,5.903B,207.10M,1.743B,1.815B
APD,2019-09,-2.376B,2.415B,1.491B,98.60M,0,2.28,2.27,1.217B,22.33B,792.40M,2019-09,388.30M,503.20M,-30.10M,-30.10M,10.34B,843.00M,3.227B,603.20M,1.358B,649.90M,131.20M,22.90M,2.283B,181.90M,11.05B,18.94B,249.40M,4.618B,1.821B,7.554B,14.32B,5.734B,189.20M,870.50M,1.415B
APD,2019-06,-1.781B,2.697B,1.466B,546.40M,0,2.21,2.2,1.262B,22.43B,758.00M,2019-06,408.30M,488.00M,-34.20M,-34.20M,10.43B,823.20M,3.273B,566.10M,1.609B,609.50M,109.30M,18.10M,2.224B,188.50M,11.39B,19.53B,249.40M,4.915B,2.155B,7.805B,14.62B,5.650B,191.90M,1.609B,1.713B
APD,2019-03,-1.745B,2.738B,1.475B,488.60M,0,1.91,1.9,1.230B,21.99B,713.00M,2019-03,408.30M,421.30M,-35.40M,-35.40M,10.19B,805.40M,3.302B,516.50M,1.584B,541.00M,107.50M,16.90M,2.188B,190.00M,11.17B,19.24B,249.40M,4.895B,2.073B,7.741B,14.35B,5.668B,196.50M,1.584B,1.646B
APD,2018-12,-1.811B,2.936B,1.544B,453.30M,0,1.58,1.57,1.197B,21.59B,680.00M,2018-12,403.40M,347.50M,-37.30M,-37.30M,9.960B,768.90M,3.315B,484.00M,1.850B,489.10M,132.10M,15.00M,2.224B,189.60M,10.88B,19.14B,249.40M,5.090B,2.304B,7.939B,14.05B,5.635B,196.00M,1.850B,1.676B
APD,2018-09,-1.742B,2.976B,1.566B,460.90M,0,2.06,2.05,1.227B,21.49B,733.10M,2018-09,396.10M,452.90M,-35.40M,-35.40M,9.924B,833.30M,3.352B,533.70M,1.632B,528.90M,69.20M,20.40M,2.299B,186.00M,10.86B,19.18B,249.40M,5.082B,2.338B,8.002B,14.10B,5.664B,199.40M,1.226B,1.377B
APD,2018-06,-1.878B,2.994B,1.545B,95.40M,438.90M,2.16,2.15,1.243B,21.39B,713.60M,2018-06,322.10M,473.90M,-34.90M,-34.90M,9.902B,678.60M,3.776B,515.80M,2.014B,551.80M,107.10M,15.00M,2.259B,188.60M,10.49B,19.21B,249.40M,5.056B,2.110B,8.396B,14.15B,6.286B,197.80M,2.014B,1.636B
APD,2018-03,-1.535B,3.204B,1.506B,124.10M,371.20M,1.9,1.89,1.259B,20.52B,649.20M,2018-03,339.90M,416.40M,-30.40M,-30.40M,8.818B,699.70M,3.442B,455.40M,1.628B,479.80M,56.20M,14.50M,2.156B,194.60M,10.58B,18.51B,249.40M,5.396B,1.752B,7.818B,13.11B,6.066B,193.80M,1.628B,1.721B
APD,2017-12,-1.696B,3.130B,1.572B,98.40M,0,0.71,0.7,1.220B,20.04B,644.80M,2017-12,347.40M,154.60M,-29.80M,-29.80M,8.632B,719.20M,3.415B,460.70M,1.720B,454.50M,291.80M,14.60M,2.217B,191.60M,10.22B,18.21B,249.40M,5.356B,1.832B,7.888B,12.85B,6.056B,184.10M,1.720B,1.690B
APD,2017-09,-1.847B,3.678B,1.545B,560.40M,0,2.15,2.13,1.090B,19.55B,658.10M,2017-09,335.40M,468.70M,-30.80M,-30.80M,8.440B,817.40M,3.402B,505.80M,1.356B,479.20M,-1.30M,13.20M,2.203B,187.10M,10.09B,18.47B,249.40M,5.877B,2.489B,8.282B,12.59B,5.793B,152.30M,965.60M,1.540B
APD,2017-06,-2.217B,3.349B,1.486B,559.40M,0,0.47,0.46,1.069B,19.18B,635.90M,2017-06,293.30M,101.90M,-29.80M,-29.80M,8.317B,634.10M,3.367B,463.50M,1.857B,195.70M,89.30M,14.60M,2.122B,184.10M,9.412B,17.85B,249.40M,5.347B,2.433B,8.344B,12.51B,5.911B,172.40M,1.857B,1.616B
APD,2017-03,-2.394B,3.292B,1.404B,542.80M,0,9.78,9.7,1.205B,18.72B,576.30M,2017-03,322.80M,2.13B,-30.50M,-30.50M,8.198B,650.70M,3.300B,405.90M,2.035B,404.60M,94.50M,14.80M,1.980B,177.60M,9.317B,17.87B,249.40M,5.294B,2.602B,8.451B,12.58B,5.849B,170.40M,2.035B,1.607B
APD,2016-12,-2.612B,655.50M,1.317B,1.029B,0,1.38,1.37,1.188B,18.27B,565.80M,2016-12,330.70M,299.80M,-29.50M,-29.50M,8.030B,679.00M,3.289B,410.80M,1.811B,336.60M,78.40M,15.00M,1.882B,164.70M,7.162B,15.96B,249.40M,3.549B,2.930B,8.695B,12.41B,5.765B,155.00M,1.811B,1.634B
APD,2016-09,-2.388B,1.293B,1.348B,1.301B,0,1.81,1.8,1.233B,18.66B,597.30M,2016-09,255.00M,394.00M,-26.10M,-26.10M,8.260B,754.20M,3.910B,421.00M,1.290B,391.20M,96.80M,18.00M,1.946B,170.70M,7.080B,18.03B,249.40M,4.317B,3.283B,10.82B,13.71B,7.532B,176.30M,883.60M,1.481B
APD,2016-06,-2.126B,514.80M,1.320B,1.758B,0,1.6,1.59,1.626B,19.97B,594.30M,2016-06,611.10M,346.80M,-35.10M,-35.10M,8.799B,904.60M,3.926B,417.30M,1.879B,401.60M,145.90M,18.70M,1.914B,169.40M,7.045B,17.08B,249.40M,3.379B,3.659B,9.903B,13.70B,6.244B,177.00M,1.879B,2.154B
APD,2016-03,-2.047B,313.10M,1.213B,2.245B,0,-2.19,-2.19,1.650B,19.96B,564.40M,2016-03,649.80M,-473.30M,-25.70M,-25.70M,8.854B,882.60M,3.573B,389.70M,1.548B,378.20M,93.50M,18.20M,1.777B,169.80M,6.917B,16.81B,249.40M,3.031B,3.839B,9.758B,13.78B,5.919B,174.70M,1.548B,1.963B
APD,2015-12,-2.209B,279.10M,1.296B,1.947B,195.30M,1.68,1.67,1.606B,20.44B,570.40M,2015-12,665.60M,363.60M,-22.20M,-22.20M,9.619B,831.20M,3.870B,384.50M,1.625B,383.60M,96.40M,16.90M,1.866B,173.90M,7.367B,17.26B,249.40M,2.779B,3.572B,9.761B,14.48B,6.189B,185.90M,1.625B,1.775B
APD,2015-09,-2.126B,206.40M,355.10M,1.930B,172.10M,1.6,1.58,1.640B,19.46B,23.70M,2015-09,657.80M,344.50M,-17.90M,-17.90M,8.745B,938.50M,3.949B,22.90M,1.362B,-5.70M,1.30M,-27.80M,378.80M,38.70M,7.249B,17.33B,249.40M,2.794B,3.644B,9.953B,14.54B,6.309B,0.80M,852.10M,1.769B
APD,2015-06,-1.578B,215.30M,1.715B,1.173B,162.70M,1.48,1.47,1.705B,20.47B,755.00M,2015-06,681.90M,318.80M,-28.20M,-28.20M,9.721B,1.030B,4.690B,483.00M,1.746B,439.00M,104.10M,33.40M,2.470B,243.10M,7.586B,17.67B,249.40M,3.102B,2.919B,9.940B,14.57B,7.021B,272.00M,1.746B,2.142B
APD,2015-03,-1.662B,195.70M,1.698B,1.419B,0,1.35,1.35,1.709B,19.98B,716.30M,2015-03,693.30M,290.00M,-23.40M,-23.40M,9.486B,1.102B,4.512B,432.30M,1.663B,386.50M,87.70M,35.80M,2.414B,252.90M,7.332B,17.49B,249.40M,3.114B,3.081B,10.02B,14.38B,6.936B,284.00M,1.663B,2.111B
APD,2014-12,-1.471B,238.80M,1.831B,1.338B,0,1.52,1.5,1.786B,20.26B,729.80M,2014-12,709.70M,324.60M,-29.10M,-29.10M,9.608B,1.020B,4.751B,444.50M,1.664B,444.00M,106.50M,35.40M,2.561B,258.20M,7.352B,17.64B,249.40M,3.137B,3.002B,10.13B,14.50B,7.130B,285.30M,1.664B,2.112B
APD,2014-09,-1.242B,336.60M,1.928B,1.294B,0,0.49,0.48,1.853B,20.22B,749.30M,2014-09,706.00M,104.00M,-19.60M,-19.60M,9.532B,1.053B,4.824B,463.60M,1.366B,165.70M,80.70M,39.30M,2.677B,243.90M,7.366B,17.78B,249.40M,3.295B,2.963B,10.26B,14.48B,7.295B,285.70M,982.70M,1.909B
APD,2014-06,-924.50M,337.60M,1.919B,1.185B,0,1.47,1.46,2.278B,20.45B,715.90M,2014-06,690.20M,314.00M,-31.30M,-31.30M,9.579B,858.30M,4.951B,413.80M,1.971B,425.60M,102.10M,33.80M,2.635B,272.00M,7.697B,18.32B,249.40M,3.340B,3.156B,10.46B,14.98B,7.304B,302.10M,1.971B,2.196B
APD,2014-03,-1.035B,356.90M,1.918B,1.174B,0,1.33,1.32,2.288B,19.95B,664.30M,2014-03,665.30M,283.50M,-31.50M,-31.50M,9.312B,826.50M,4.993B,384.70M,1.936B,383.60M,92.10M,33.20M,2.582B,263.40M,7.371B,17.96B,249.40M,3.300B,3.110B,10.44B,14.66B,7.325B,279.60M,1.936B,2.180B
APD,2013-12,-966.90M,387.60M,1.866B,1.148B,0,1.37,1.35,2.343B,19.86B,679.60M,2013-12,693.40M,290.20M,-33.30M,-33.30M,9.152B,831.60M,5.021B,385.60M,1.998B,390.50M,94.50M,33.50M,2.546B,280.90M,7.264B,17.92B,249.40M,3.330B,3.145B,10.49B,14.59B,7.347B,294.00M,1.998B,2.129B
APD,2013-09,-1.021B,450.40M,1.883B,1.217B,0,0.65,0.64,2.371B,19.53B,703.60M,2013-09,706.10M,137.10M,-29.00M,-29.00M,8.974B,858.20M,5.056B,387.60M,1.792B,186.20M,25.80M,34.60M,2.586B,282.70M,7.042B,17.85B,249.40M,3.439B,3.228B,10.65B,14.41B,7.424B,316.00M,1.238B,1.968B
APD,2013-06,-1.433B,418.80M,1.876B,1.482B,155.00M,1.38,1.36,2.332B,18.87B,671.80M,2013-06,705.90M,288.40M,-35.40M,-35.40M,8.666B,714.70M,4.648B,383.10M,1.872B,391.90M,94.10M,33.50M,2.547B,271.30M,6.541B,17.49B,249.40M,3.481B,3.358B,10.80B,14.01B,7.442B,288.70M,1.872B,2.210B
