Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
APH,2020-12,-278.10M,1.738B,1.660B,230.30M,0.595,0.575,5.430B,2.793B,765.60M,2020-12,1.462B,357.00M,-28.30M,-28.30M,1.055B,299.10M,3.636B,499.80M,2.074B,460.20M,100.00M,2.426B,265.80M,5.385B,12.33B,0.30M,5.491B,2.304B,6.875B,6.836B,4.571B,265.80M,1.320B,1.952B
APH,2020-09,-388.40M,1.456B,1.588B,229.20M,0.58,0.56,5.364B,2.705B,734.90M,2020-09,1.391B,346.60M,-28.00M,-28.00M,1.037B,253.50M,3.586B,475.80M,1.986B,448.80M,99.30M,2.323B,259.10M,5.040B,11.75B,0.30M,5.037B,2.215B,6.649B,6.717B,4.434B,259.10M,1.268B,1.880B
APH,2020-06,-494.60M,1.314B,1.384B,2.30M,0.435,0.425,5.283B,2.580B,603.80M,2020-06,1.362B,257.70M,-30.20M,-30.20M,1.002B,270.70M,3.764B,357.40M,1.783B,328.50M,68.00M,1.988B,246.40M,4.739B,11.20B,0.30M,4.618B,1.785B,6.404B,6.586B,4.618B,246.40M,1.122B,1.658B
APH,2020-03,-525.10M,2.384B,1.302B,500.90M,0.405,0.395,5.274B,2.500B,559.80M,2020-03,1.325B,242.10M,-28.80M,-28.80M,982.40M,271.40M,4.592B,316.90M,1.669B,289.20M,46.00M,1.862B,242.90M,4.386B,12.08B,0.30M,5.518B,2.170B,7.632B,6.560B,5.462B,242.90M,1.011B,1.540B
APH,2019-12,-430.90M,908.60M,1.472B,403.30M,0.535,0.515,5.309B,2.486B,678.70M,2019-12,1.310B,318.70M,-28.10M,-28.10M,999.00M,260.40M,3.203B,429.80M,1.729B,402.70M,81.90M,2.151B,248.90M,4.530B,10.82B,0.30M,4.211B,2.133B,6.219B,6.604B,4.087B,248.90M,1.069B,1.736B
APH,2019-09,-493.70M,986.70M,1.439B,403.70M,0.475,0.46,5.201B,2.393B,661.90M,2019-09,1.274B,280.30M,-29.70M,-29.70M,965.20M,231.20M,3.545B,413.60M,1.719B,374.10M,91.80M,2.101B,248.30M,4.155B,10.68B,0.30M,4.232B,2.123B,6.472B,6.451B,4.350B,248.30M,1.074B,1.689B
APH,2019-06,-396.90M,997.30M,1.368B,403.10M,0.485,0.465,4.980B,2.384B,647.60M,2019-06,1.275B,288.40M,-30.00M,-30.00M,970.00M,237.50M,3.569B,408.40M,1.650B,369.60M,78.70M,2.015B,239.20M,4.148B,10.63B,0.30M,4.222B,2.053B,6.431B,6.412B,4.378B,239.20M,1.038B,1.685B
APH,2019-03,-384.80M,987.60M,1.331B,6.00M,0.45,0.435,4.687B,2.301B,627.80M,2019-03,1.224B,267.50M,-29.70M,-29.70M,932.00M,255.80M,3.555B,392.70M,1.643B,349.50M,79.60M,1.958B,235.10M,4.123B,10.21B,0.30M,4.128B,1.649B,6.038B,6.081B,4.388B,235.10M,1.043B,1.662B
APH,2018-12,-390.20M,1.292B,1.510B,764.30M,0.565,0.545,4.501B,2.191B,715.00M,2018-12,1.234B,338.10M,-26.40M,-26.40M,875.80M,255.60M,2.806B,466.10M,1.687B,431.90M,90.70M,2.225B,248.90M,4.017B,10.04B,0.30M,4.572B,2.451B,5.981B,5.473B,3.529B,248.90M,1.163B,1.792B
APH,2018-09,-337.30M,1.020B,1.441B,790.20M,0.525,0.505,4.524B,2.172B,688.20M,2018-09,1.246B,316.60M,-24.80M,-24.80M,886.40M,203.10M,2.468B,444.20M,1.753B,419.60M,100.00M,2.129B,244.00M,4.009B,9.743B,0.30M,4.282B,2.543B,5.689B,5.461B,3.146B,244.00M,1.268B,1.738B
APH,2018-06,-288.70M,991.10M,1.337B,768.40M,0.475,0.455,4.550B,2.146B,644.80M,2018-06,1.160B,284.80M,-26.00M,-26.00M,888.20M,205.00M,2.668B,408.20M,1.572B,382.30M,94.50M,1.981B,236.60M,3.761B,9.510B,0.30M,4.021B,2.341B,5.698B,5.489B,3.357B,236.60M,1.128B,1.627B
APH,2018-03,-139.70M,1.024B,1.26B,749.90M,0.435,0.42,4.580B,2.097B,606.90M,2018-03,1.167B,265.60M,-24.50M,-24.50M,839.30M,243.30M,2.489B,376.90M,1.435B,354.70M,86.40M,1.867B,230.00M,3.914B,9.404B,0.30M,3.937B,2.185B,5.436B,5.467B,3.251B,230.00M,1.022B,1.516B
APH,2017-12,-201.00M,1.754B,1.309B,1.10M,-0.17,-0.17,4.484B,2.017B,635.30M,2017-12,1.107B,-103.40M,-25.00M,-25.00M,816.80M,241.20M,3.542B,399.40M,1.578B,378.60M,479.00M,1.944B,235.90M,3.990B,10.00B,0.30M,4.656B,1.579B,5.960B,5.348B,4.381B,235.90M,1.088B,1.599B
APH,2017-09,-286.20M,1.490B,1.235B,1.10M,0.455,0.44,4.23B,1.946B,606.10M,2017-09,1.098B,277.50M,-24.60M,-24.60M,790.10M,77.70M,3.560B,377.90M,1.433B,358.40M,78.10M,1.841B,228.20M,4.067B,9.609B,0.30M,4.353B,1.434B,5.500B,5.256B,4.066B,228.20M,986.70M,1.576B
APH,2017-06,-341.00M,1.360B,1.114B,376.00M,0.41,0.4,4.176B,1.872B,552.60M,2017-06,1.059B,251.50M,-23.40M,-23.40M,769.40M,0,3.021B,340.20M,1.338B,317.20M,63.60M,1.666B,212.40M,3.875B,9.173B,0.30M,3.992B,1.714B,5.257B,5.180B,3.543B,212.40M,904.10M,1.407B
APH,2017-03,-402.30M,1.280B,1.044B,375.10M,0.365,0.355,4.028B,1.779B,515.90M,2017-03,962.30M,224.90M,-19.30M,-19.30M,726.90M,0,2.862B,314.10M,1.208B,298.40M,71.10M,1.560B,201.80M,3.704B,8.707B,0.30M,3.722B,1.583B,4.956B,4.985B,3.373B,201.80M,849.00M,1.318B
APH,2016-12,-469.00M,1.173B,1.105B,375.20M,0.38,0.375,4.153B,1.719B,546.00M,2016-12,928.90M,235.40M,-18.40M,-18.40M,711.40M,0,2.636B,339.10M,1.26B,324.20M,85.90M,1.651B,206.90M,3.675B,8.499B,0.30M,3.591B,1.635B,4.776B,4.908B,3.140B,206.90M,852.60M,1.349B
APH,2016-09,-297.30M,1.017B,1.099B,374.50M,0.365,0.355,4.012B,1.721B,537.30M,2016-09,926.60M,224.30M,-18.10M,-18.10M,717.60M,0,2.598B,332.60M,1.139B,310.50M,83.40M,1.636B,204.70M,3.708B,8.370B,0.30M,3.405B,1.514B,4.615B,4.965B,3.102B,204.70M,773.50M,1.319B
APH,2016-06,-328.80M,824.70M,1.051B,0.30M,0.335,0.325,3.944B,1.662B,497.30M,2016-06,926.60M,206.50M,-18.00M,-18.00M,692.80M,0,2.835B,300.30M,1.100B,284.00M,75.30M,1.548B,197.00M,3.535B,8.027B,0.30M,3.158B,1.10B,4.453B,4.869B,3.353B,197.00M,755.10M,1.257B
APH,2016-03,-297.40M,713.60M,992.00M,0.30M,0.255,0.25,3.976B,1.642B,459.20M,2016-03,933.50M,156.60M,-18.10M,-18.10M,693.30M,0,2.866B,269.70M,1.069B,222.30M,63.90M,1.451B,189.50M,3.386B,7.89B,0.30M,2.990B,1.070B,4.466B,4.900B,3.396B,189.50M,754.20M,1.202B
APH,2015-12,-349.50M,1.760B,972.10M,0.30M,0.325,0.315,2.909B,1.510B,458.40M,2015-12,851.80M,200.20M,1.20M,1.20M,609.50M,0,2.813B,289.00M,1.008B,275.70M,73.10M,1.430B,169.40M,3.238B,7.458B,0.30M,3.85B,1.008B,4.18B,3.608B,3.172B,169.40M,712.80M,1.105B
APH,2015-09,-303.60M,1.598B,995.60M,0.40M,0.33,0.325,2.934B,1.500B,464.00M,2015-09,887.70M,204.50M,-17.00M,-17.00M,611.70M,0,2.853B,294.80M,1.081B,282.00M,74.70M,1.460B,169.20M,3.143B,7.486B,0.30M,3.862B,1.081B,4.304B,3.623B,3.223B,169.20M,802.40M,1.163B
APH,2015-06,-256.10M,1.397B,919.00M,0.40M,0.29,0.28,2.949B,1.495B,432.50M,2015-06,893.00M,179.00M,-17.10M,-17.10M,609.90M,0,2.759B,266.40M,984.30M,247.80M,67.20M,1.352B,166.10M,3.065B,7.229B,0.30M,3.593B,984.70M,4.126B,3.636B,3.141B,166.10M,677.10M,1.090B
APH,2015-03,-271.50M,1.351B,902.50M,1.60M,0.29,0.285,2.825B,1.443B,424.60M,2015-03,871.40M,179.80M,-17.00M,-17.00M,589.50M,0,2.757B,260.20M,924.10M,247.30M,65.50M,1.327B,164.40M,2.950B,7.026B,0.30M,3.534B,925.70M,4.046B,3.492B,3.121B,164.40M,681.80M,1.092B
APH,2014-12,-205.80M,1.330B,970.00M,1.60M,0.31,0.305,2.852B,1.440B,456.50M,2014-12,865.60M,193.50M,0,0,590.70M,0,2.655B,288.30M,1.044B,263.90M,69.10M,1.426B,168.20M,2.907B,6.986B,0.30M,3.452B,1.046B,4.048B,3.534B,3.002B,168.20M,747.90M,1.124B
APH,2014-09,-97.09M,1.245B,927.10M,600.80M,0.29,0.285,2.816B,1.436B,431.60M,2014-09,848.07M,182.20M,-21.10M,-21.10M,585.35M,0,2.023B,270.30M,954.59M,251.50M,67.30M,1.359B,161.30M,2.976B,6.852B,0.312M,3.373B,1.555B,3.854B,3.479B,2.299B,161.30M,688.20M,1.092B
APH,2014-06,-52.10M,1.444B,897.40M,800.67M,0.28,0.27,2.468B,1.406B,416.80M,2014-06,805.45M,174.90M,-20.10M,-20.10M,558.65M,0,1.543B,255.80M,911.12M,240.00M,63.60M,1.314B,161.00M,2.977B,6.517B,0.157M,3.462B,1.712B,3.519B,3.055B,1.807B,161.00M,632.49M,1.031B
