Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
APTV,2020-12,-545.00M,2.821B,3.433B,190.00M,62.00M,1.05,1.04,3.671B,6.991B,779.00M,2020-12,1.297B,299.00M,-37.00M,-37.00M,3.681B,207.00M,4.311B,464.00M,3.702B,413.00M,55.00M,4.212B,278.00M,7.905B,17.52B,3.00M,7.465B,4.046B,9.422B,10.06B,5.376B,315.00M,2.751B,3.016B
APTV,2020-09,-768.00M,2.122B,3.021B,195.00M,93.00M,1.05,1.05,3.574B,3.598B,647.00M,2020-09,1.229B,299.00M,-36.00M,-36.00M,3.598B,210.00M,4.229B,382.00M,3.203B,327.00M,-2.00M,3.668B,229.00M,7.363B,16.44B,3.00M,6.589B,3.579B,8.89B,9.855B,5.311B,265.00M,2.363B,2.92B
APTV,2020-06,-894.00M,1.885B,1.947B,295.00M,80.00M,-1.43,-1.43,3.505B,3.573B,13.00M,2020-06,1.212B,-366.00M,-43.00M,-43.00M,3.573B,205.00M,4.239B,-239.00M,2.395B,-361.00M,-14.00M,1.96B,217.00M,6.942B,15.28B,3.00M,5.412B,2.859B,8.154B,9.868B,5.295B,252.00M,1.61B,2.091B
APTV,2020-03,-991.00M,2.055B,2.725B,353.00M,77.00M,6.15,6.14,3.521B,3.642B,501.00M,2020-03,1.363B,1.572B,-40.00M,-40.00M,3.642B,213.00M,6.272B,213.00M,3.107B,1.575B,10.00M,3.226B,252.00M,4.971B,16.17B,3.00M,6.19B,3.655B,11.01B,9.977B,7.359B,288.00M,2.408B,2.567B
APTV,2019-12,-719.00M,412.00M,2.909B,487.00M,78.00M,0.9,0.9,3.593B,6.33B,687.00M,2019-12,1.286B,230.00M,-39.00M,-39.00M,3.722B,229.00M,4.30B,354.00M,3.345B,268.00M,30.00M,3.596B,298.00M,3.819B,13.46B,3.00M,5.319B,4.054B,9.448B,8.14B,5.394B,333.00M,2.643B,2.829B
APTV,2019-09,-806.00M,341.00M,2.882B,536.00M,85.00M,0.96,0.96,3.264B,3.556B,677.00M,2019-09,1.345B,246.00M,-39.00M,-39.00M,3.556B,267.00M,4.268B,381.00M,3.128B,285.00M,38.00M,3.559B,262.00M,3.565B,12.94B,3.00M,5.385B,3.875B,9.158B,7.554B,5.283B,296.00M,2.418B,2.935B
APTV,2019-06,-699.00M,365.00M,2.958B,609.00M,90.00M,1.07,1.07,3.822B,3.681B,669.00M,2019-06,1.304B,274.00M,-38.00M,-38.00M,3.681B,265.00M,4.347B,366.00M,3.215B,298.00M,31.00M,3.627B,260.00M,3.519B,13.11B,3.00M,4.854B,3.991B,9.376B,8.254B,5.385B,303.00M,2.466B,2.982B
APTV,2019-03,-682.00M,321.00M,2.962B,635.00M,99.00M,0.93,0.92,3.837B,3.652B,613.00M,2019-03,1.326B,240.00M,-35.00M,-35.00M,3.652B,264.00M,4.345B,323.00M,3.217B,275.00M,33.00M,3.575B,256.00M,3.418B,13.02B,3.00M,4.819B,4.014B,9.384B,8.20B,5.37B,290.00M,2.529B,3.008B
APTV,2018-12,-694.00M,567.00M,2.967B,306.00M,67.00M,0.94,0.94,3.904B,5.343B,669.00M,2018-12,1.277B,247.00M,-33.00M,-33.00M,3.179B,251.00M,4.038B,364.00M,3.206B,293.00M,42.00M,3.636B,242.00M,3.459B,12.48B,3.00M,4.777B,3.694B,8.81B,7.703B,5.116B,305.00M,2.521B,2.788B
APTV,2018-09,-638.00M,771.00M,2.834B,24.00M,36.00M,0.84,0.84,3.378B,0,651.00M,2018-09,1.358B,222.00M,-29.00M,-29.00M,3.056B,261.00M,4.084B,388.00M,3.251B,293.00M,66.00M,3.485B,232.00M,3.608B,12.33B,3.00M,5.204B,3.387B,8.518B,7.123B,5.131B,263.00M,2.50B,2.893B
APTV,2018-06,-622.00M,970.00M,2.958B,22.00M,27.00M,1.1,1.1,3.402B,4.602B,726.00M,2018-06,1.265B,291.00M,-29.00M,-29.00M,2.972B,295.00M,4.067B,436.00M,3.297B,378.00M,83.00M,3.684B,260.00M,3.523B,12.32B,3.00M,5.34B,3.438B,8.558B,6.976B,5.12B,290.00M,2.583B,2.944B
APTV,2018-03,-436.00M,1.345B,2.947B,60.00M,32.00M,1.16,1.15,3.184B,3.745B,683.00M,2018-03,1.202B,307.00M,-29.00M,-29.00M,2.89B,218.00M,4.163B,394.00M,3.512B,370.00M,59.00M,3.63B,259.00M,3.467B,12.56B,3.00M,5.926B,3.708B,8.862B,6.634B,5.154B,289.00M,2.783B,3.174B
APTV,2017-12,-471.00M,1.596B,2.73B,17.00M,29.00M,0.963,0.95,3.163B,0,710.00M,2017-12,1.083B,256.00M,-34.00M,-34.00M,2.804B,226.00M,4.132B,414.00M,3.363B,350.00M,135.00M,3.44B,266.00M,3.299B,12.17B,3.00M,5.641B,3.54B,8.652B,6.528B,5.112B,296.00M,2.651B,2.785B
APTV,2017-09,-913.00M,557.00M,2.498B,15.00M,31.00M,1.48,1.48,2.883B,0,650.00M,2017-09,1.642B,395.00M,-33.00M,-33.00M,3.819B,178.00M,4.884B,391.00M,3.998B,331.00M,31.00M,3.148B,230.00M,3.203B,14.17B,3.00M,6.71B,4.143B,10.55B,7.456B,6.409B,259.00M,2.962B,3.534B
