Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ATVI,2020-12,-622.00M,8.647B,817.00M,0,1.689B,0.66,0.65,10.38B,1.05B,1.595B,2020-12,102.00M,509.00M,-26.00M,-26.00M,209.00M,418.00M,3.605B,650.00M,1.411B,563.00M,54.00M,348.00M,2.412B,597.00M,15.04B,23.11B,0,10.56B,3.10B,8.072B,12.54B,4.972B,945.00M,295.00M,1.052B
ATVI,2020-09,-633.00M,7.415B,469.00M,0,1.108B,0.78,0.78,10.38B,1.002B,1.485B,2020-09,46.00M,604.00M,-26.00M,-26.00M,211.00M,480.00M,3.604B,787.00M,1.079B,722.00M,118.00M,274.00M,1.954B,424.00M,14.38B,21.58B,0,9.002B,2.187B,7.195B,12.58B,5.008B,698.00M,224.00M,619.00M
ATVI,2020-06,-634.00M,6.338B,469.00M,0,1.222B,0.75,0.75,10.38B,1.052B,1.463B,2020-06,45.00M,580.00M,-21.00M,-21.00M,222.00M,436.00M,2.676B,755.00M,1.335B,727.00M,147.00M,291.00M,1.932B,417.00M,13.68B,20.22B,0,7.719B,2.557B,6.538B,12.50B,3.981B,708.00M,177.00M,614.00M
ATVI,2020-03,-628.00M,5.906B,505.00M,0,1.064B,0.66,0.65,10.35B,0,1.283B,2020-03,43.00M,505.00M,-7.00M,-7.00M,236.00M,458.00M,2.675B,635.00M,1.496B,604.00M,99.00M,238.00M,1.788B,410.00M,13.02B,19.60B,0,7.119B,2.56B,6.583B,12.48B,4.023B,648.00M,158.00M,590.00M
ATVI,2019-12,-619.00M,5.794B,657.00M,0,1.375B,0.68,0.68,10.35B,0,1.329B,2019-12,174.00M,525.00M,-4.00M,-4.00M,253.00M,505.00M,2.675B,482.00M,1.54B,447.00M,-78.00M,296.00M,1.986B,551.00M,12.80B,19.84B,0,7.292B,2.915B,7.04B,12.55B,4.125B,847.00M,292.00M,848.00M
ATVI,2019-09,-607.00M,4.939B,442.00M,0,695.00M,0.27,0.26,10.46B,0,840.00M,2019-09,0,204.00M,-3.00M,-3.00M,249.00M,23.00M,2.674B,271.00M,1.056B,249.00M,45.00M,210.00M,1.282B,359.00M,12.24B,17.80B,0,6.012B,1.751B,5.57B,11.79B,3.819B,569.00M,274.00M,386.00M
ATVI,2019-06,-608.00M,4.592B,433.00M,0,728.00M,0.43,0.43,10.49B,0,963.00M,2019-06,0,328.00M,-4.00M,-4.00M,259.00M,20.00M,2.673B,358.00M,911.00M,370.00M,42.00M,244.00M,1.396B,361.00M,11.98B,17.50B,0,5.663B,1.639B,5.518B,11.83B,3.879B,605.00M,180.00M,455.00M
ATVI,2019-03,-602.00M,4.696B,563.00M,0,931.00M,0.58,0.58,10.52B,0,1.262B,2019-03,0,447.00M,-2.00M,-2.00M,264.00M,22.00M,2.672B,627.00M,1.364B,567.00M,120.00M,249.00M,1.825B,386.00M,11.60B,17.95B,0,6.037B,2.295B,6.352B,11.91B,4.057B,635.00M,166.00M,594.00M
ATVI,2018-12,-601.00M,4.225B,832.00M,0,1.493B,0.85,0.84,10.56B,0,1.549B,2018-12,0,686.00M,-7.00M,-7.00M,282.00M,18.00M,2.671B,704.00M,1.149B,690.00M,4.00M,325.00M,2.381B,520.00M,11.39B,17.89B,0,6.106B,2.642B,6.498B,11.78B,3.856B,845.00M,253.00M,1.035B
ATVI,2018-09,-613.00M,3.308B,513.00M,0,1.017B,0.34,0.34,10.76B,0,999.00M,2018-09,0,260.00M,-16.00M,-16.00M,281.00M,11.00M,2.67B,265.00M,1.365B,212.00M,-48.00M,263.00M,1.512B,471.00M,10.66B,16.71B,0,4.972B,2.382B,6.054B,11.74B,3.672B,734.00M,312.00M,641.00M
ATVI,2018-06,-605.00M,4.857B,510.00M,1.481B,832.00M,0.53,0.52,10.80B,979.00M,1.131B,2018-06,36.00M,402.00M,-25.00M,-25.00M,281.00M,13.00M,4.394B,434.00M,1.228B,408.00M,6.00M,255.00M,1.641B,442.00M,10.35B,17.96B,0,6.134B,2.06B,7.612B,11.82B,5.552B,697.00M,167.00M,418.00M
ATVI,2018-03,-649.00M,5.217B,662.00M,56.00M,1.204B,0.66,0.65,10.84B,805.00M,1.303B,2018-03,42.00M,500.00M,-28.00M,-28.00M,286.00M,16.00M,4.392B,595.00M,1.723B,567.00M,67.00M,259.00M,1.965B,449.00M,9.819B,18.40B,0,6.41B,2.927B,8.578B,11.99B,5.651B,708.00M,172.00M,431.00M
ATVI,2017-12,-638.00M,4.713B,803.00M,64.00M,1.929B,-0.77,-0.77,10.96B,0,1.24B,2017-12,46.00M,-585.00M,-29.00M,-29.00M,294.00M,21.00M,4.39B,236.00M,1.734B,184.00M,769.00M,319.00M,2.043B,685.00M,9.462B,18.67B,0,6.52B,3.663B,9.206B,12.15B,5.543B,1.004B,323.00M,918.00M
ATVI,2017-09,-642.00M,3.576B,552.00M,0,1.373B,0.25,0.25,11.17B,0,1.066B,2017-09,94.00M,188.00M,-37.00M,-37.00M,254.00M,40.00M,4.388B,257.00M,1.016B,220.00M,32.00M,273.00M,1.618B,536.00M,9.967B,17.72B,0,5.386B,2.389B,7.751B,12.33B,5.362B,809.00M,313.00M,888.00M
ATVI,2017-06,-640.00M,3.278B,561.00M,0,940.00M,0.32,0.32,11.35B,0,1.07B,2017-06,51.00M,243.00M,-46.00M,-46.00M,246.00M,38.00M,4.387B,339.00M,825.00M,293.00M,50.00M,252.00M,1.631B,479.00M,9.715B,16.81B,0,4.352B,1.765B,7.093B,12.46B,5.328B,731.00M,163.00M,360.00M
ATVI,2017-03,-625.00M,3.248B,585.00M,0,1.153B,0.57,0.56,11.51B,0,1.141B,2017-03,48.00M,426.00M,-40.00M,-40.00M,245.00M,41.00M,4.393B,493.00M,1.086B,453.00M,27.00M,225.00M,1.726B,423.00M,9.436B,16.92B,0,4.356B,2.239B,7.485B,12.56B,5.246B,648.00M,150.00M,344.00M
