Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AVGO,2021-01,-107.00M,9.552B,2.703B,864.00M,3.098B,3.2,3.05,58.88B,5.331B,3.952B,2021-01,952.00M,1.378B,-570.00M,-570.00M,2.496B,735.00M,41.07B,1.908B,1.46B,1.384B,6.00M,1.211B,6.655B,339.00M,24.00B,76.97B,26.00M,14.30B,6.694B,52.97B,62.67B,46.28B,2.044B,1.46B,2.524B
AVGO,2020-10,-108.00M,7.618B,2.72B,827.00M,2.62B,3.09,2.93,60.23B,4.896B,3.747B,2020-10,1.003B,1.324B,-367.00M,-367.00M,2.509B,823.00M,40.24B,1.561B,1.276B,1.137B,-187.00M,1.182B,6.467B,405.00M,23.90B,75.93B,27.00M,11.90B,6.371B,52.03B,64.04B,45.66B,2.186B,1.276B,2.297B
AVGO,2020-07,-131.00M,8.857B,2.505B,922.00M,2.793B,1.52,1.45,61.80B,4.529B,3.316B,2020-07,1.081B,688.00M,-464.00M,-464.00M,2.567B,670.00M,43.20B,1.06B,1.479B,593.00M,-96.00M,1.228B,5.821B,428.00M,23.58B,79.30B,28.00M,13.68B,6.702B,55.71B,65.62B,49.01B,2.256B,1.479B,2.684B
AVGO,2020-04,-131.00M,9.207B,2.553B,819.00M,3.065B,1.22,1.17,63.37B,0,3.189B,2020-04,953.00M,563.00M,-487.00M,-487.00M,2.618B,711.00M,45.04B,820.00M,1.23B,409.00M,-159.00M,1.269B,5.742B,501.00M,23.97B,81.55B,28.00M,14.22B,6.601B,57.58B,67.33B,50.98B,2.369B,1.23B,3.211B
AVGO,2020-01,-132.00M,6.444B,2.594B,2.311B,2.88B,0.78,0.74,64.94B,0,3.264B,2020-01,944.00M,385.00M,-406.00M,-406.00M,2.616B,788.00M,42.41B,771.00M,985.00M,304.00M,-76.00M,1.289B,5.858B,601.00M,24.40B,81.01B,28.00M,12.11B,7.739B,56.61B,68.90B,48.87B,2.493B,985.00M,3.651B
AVGO,2019-10,-140.00M,5.055B,2.624B,2.787B,1.501B,2.06,1.97,54.27B,0,3.152B,2019-10,874.00M,847.00M,-263.00M,-263.00M,2.565B,307.00M,30.01B,1.092B,1.084B,747.00M,-100.00M,1.177B,5.776B,409.00M,24.97B,67.49B,29.00M,9.917B,6.899B,42.52B,57.58B,35.62B,2.06B,1.084B,3.259B
AVGO,2019-07,-116.00M,5.462B,2.481B,3.537B,1.872B,1.8,1.71,55.56B,0,3.034B,2019-07,1.091B,715.00M,-362.00M,-362.00M,2.611B,2.057B,34.03B,914.00M,1.26B,544.00M,-171.00M,1.235B,5.515B,410.00M,21.50B,69.77B,21.62B,10.90B,8.282B,48.26B,58.87B,39.98B,2.12B,1.26B,3.539B
AVGO,2019-04,-116.00M,5.328B,2.428B,3.537B,2.028B,1.74,1.64,56.85B,0,3.089B,2019-04,1.034B,691.00M,-376.00M,-376.00M,2.654B,2.313B,34.01B,1.046B,1.049B,657.00M,-36.00M,1.151B,5.517B,419.00M,22.17B,70.92B,22.29B,10.68B,8.503B,48.74B,60.24B,40.24B,2.043B,1.049B,3.484B
AVGO,2019-01,-116.00M,5.093B,2.581B,3.537B,1.692B,1.17,1.12,58.14B,0,3.208B,2019-01,1.074B,471.00M,-345.00M,-345.00M,2.684B,2.593B,34.10B,1.128B,1.394B,278.00M,-203.00M,1.133B,5.789B,471.00M,23.22B,72.11B,23.08B,10.60B,8.349B,48.89B,61.51B,40.54B,2.08B,1.394B,3.677B
AVGO,2018-10,-115.00M,4.292B,2.509B,0,164.00M,2.71,2.64,37.68B,0,2.935B,2018-10,1.124B,1.115B,-34.00M,-34.00M,2.635B,0,17.49B,1.683B,1.299B,1.422B,307.00M,948.00M,5.444B,237.00M,26.66B,50.12B,0,9.107B,2.338B,23.47B,41.02B,21.13B,1.252B,973.00M,3.325B
