Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AVY,2020-12,-349.60M,252.30M,1.420B,64.70M,0,2.296,2.28,1.361B,3.476B,571.10M,2020-12,717.20M,191.50M,-15.60M,-15.60M,1.344B,117.30M,2.052B,269.30M,1.516B,255.30M,62.90M,1.991B,301.80M,1.485B,6.084B,124.10M,2.416B,1.926B,4.599B,3.668B,2.673B,301.80M,1.137B,1.235B
AVY,2020-09,-393.90M,284.70M,1.245B,124.10M,0,1.8,1.79,1.253B,3.302B,484.20M,2020-09,662.60M,150.50M,-15.60M,-15.60M,1.234B,111.40M,2.02B,225.90M,1.152B,197.80M,46.30M,1.729B,258.30M,1.335B,5.721B,124.10M,2.374B,1.816B,4.386B,3.346B,2.570B,258.30M,932.80M,1.213B
AVY,2020-06,-403.20M,262.60M,1.146B,268.60M,0,0.96,0.95,1.235B,3.236B,382.90M,2020-06,726.60M,79.70M,-20.00M,-20.00M,1.229B,113.30M,1.998B,163.50M,1.132B,103.30M,22.20M,1.528B,219.40M,1.214B,5.652B,124.10M,2.325B,1.910B,4.438B,3.327B,2.528B,219.40M,956.50M,1.115B
AVY,2020-03,-412.00M,742.00M,1.238B,832.30M,0,1.61,1.6,1.226B,3.193B,485.10M,2020-03,723.30M,134.20M,-18.80M,-18.80M,1.232B,122.90M,1.988B,204.10M,1.22B,180.90M,46.30M,1.723B,281.00M,1.173B,6.261B,124.10M,2.914B,2.560B,5.088B,3.347B,2.527B,281.00M,1.031B,1.222B
AVY,2019-12,-348.10M,253.70M,1.288B,440.20M,0,1.949,1.92,1.057B,3.172B,484.70M,2019-12,663.00M,162.50M,-17.80M,-17.80M,1.211B,110.30M,1.499B,211.60M,1.490B,165.30M,2.20M,1.773B,273.10M,1.204B,5.489B,124.10M,2.341B,2.254B,4.285B,3.148B,2.031B,273.10M,1.138B,1.212B
AVY,2019-09,-399.30M,224.20M,1.290B,514.20M,0,1.72,1.71,1.050B,3.083B,471.70M,2019-09,665.00M,144.60M,-19.00M,-19.00M,1.142B,102.70M,1.484B,206.40M,1.233B,179.90M,34.60M,1.761B,265.30M,1.057B,5.339B,124.10M,2.333B,2.268B,4.281B,3.005B,2.013B,265.30M,1.041B,1.224B
AVY,2019-06,-369.80M,247.30M,1.313B,558.50M,0,1.7,1.69,1.077B,3.091B,482.30M,2019-06,671.00M,143.40M,-19.50M,-19.50M,1.144B,112.10M,1.503B,216.60M,1.225B,188.70M,44.90M,1.796B,265.70M,1.062B,5.390B,124.10M,2.377B,2.278B,4.327B,3.012B,2.049B,265.70M,1.055B,1.232B
AVY,2019-03,-359.40M,225.70M,1.275B,350.30M,0,-1.74,-1.74,1.078B,3.083B,465.40M,2019-03,688.30M,-146.90M,-19.50M,-19.50M,1.145B,120.40M,1.760B,189.10M,1.193B,-284.40M,-138.40M,1.740B,276.30M,991.90M,5.354B,124.10M,2.324B,2.040B,4.362B,3.03B,2.321B,276.30M,1.034B,1.199B
AVY,2018-12,-682.00M,232.00M,1.297B,194.60M,0,1.146,1.11,1.086B,3.054B,471.50M,2018-12,651.40M,97.10M,-16.30M,-16.30M,1.137B,122.10M,1.772B,197.00M,1.436B,87.80M,-9.50M,1.769B,274.50M,955.10M,5.178B,124.10M,2.298B,1.994B,4.222B,2.880B,2.228B,274.50M,1.089B,1.190B
AVY,2018-09,-740.40M,217.60M,1.300B,571.70M,0,1.71,1.69,1.102B,2.992B,459.20M,2018-09,682.50M,149.50M,-14.70M,-14.70M,1.087B,127.80M,1.295B,188.70M,1.252B,168.00M,17.70M,1.760B,270.50M,1.047B,5.182B,124.10M,2.359B,2.358B,4.135B,2.823B,1.777B,270.50M,1.048B,1.236B
