Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AWK,2020-12,-49.00M,547.00M,429.00M,1.611B,0.8,0.8,1.559B,25.71B,494.00M,2020-12,47.00M,145.00M,-99.00M,-99.00M,19.80B,2.113B,9.41B,263.00M,918.00M,181.00M,36.00M,923.00M,6.454B,24.77B,2.00M,1.906B,2.881B,18.31B,22.86B,15.43B,231.00M,239.00M,527.00M
AWK,2020-09,-38.00M,560.00M,419.00M,1.111B,1.46,1.46,1.562B,25.23B,660.00M,2020-09,49.00M,264.00M,-99.00M,-99.00M,19.36B,2.06B,9.663B,433.00M,832.00M,352.00M,88.00M,1.079B,6.512B,24.39B,2.00M,1.967B,2.26B,17.88B,22.43B,15.62B,227.00M,226.00M,559.00M
AWK,2020-06,-39.00M,569.00M,391.00M,989.00M,0.97,0.97,1.567B,24.84B,540.00M,2020-06,51.00M,176.00M,-101.00M,-101.00M,19.04B,1.98B,9.673B,313.00M,829.00M,232.00M,56.00M,931.00M,6.338B,24.01B,2.00M,1.896B,2.113B,17.67B,22.11B,15.56B,227.00M,227.00M,505.00M
AWK,2020-03,-41.00M,556.00M,383.00M,1.69B,0.69,0.68,1.563B,24.45B,461.00M,2020-03,50.00M,124.00M,-96.00M,-96.00M,18.69B,1.929B,8.708B,239.00M,783.00M,159.00M,35.00M,844.00M,6.243B,23.55B,2.00M,1.801B,2.767B,17.30B,21.74B,14.54B,222.00M,216.00M,464.00M
AWK,2019-12,-36.00M,60.00M,412.00M,814.00M,0.54,0.54,1.568B,24.04B,490.00M,2019-12,44.00M,98.00M,-98.00M,-98.00M,18.34B,1.893B,8.728B,267.00M,929.00M,136.00M,38.00M,902.00M,6.121B,22.68B,2.00M,1.285B,2.045B,16.56B,21.40B,14.52B,223.00M,249.00M,466.00M
AWK,2019-09,-46.00M,94.00M,395.00M,503.00M,1.33,1.33,1.65B,23.92B,618.00M,2019-09,46.00M,240.00M,-97.00M,-97.00M,18.26B,1.904B,8.734B,406.00M,813.00M,318.00M,78.00M,1.013B,6.19B,22.24B,2.00M,799.00M,1.488B,16.05B,21.44B,14.56B,212.00M,227.00M,522.00M
AWK,2019-06,-47.00M,64.00M,372.00M,422.00M,0.94,0.94,1.653B,23.47B,510.00M,2019-06,48.00M,170.00M,-94.00M,-94.00M,17.91B,1.823B,8.739B,296.00M,718.00M,227.00M,57.00M,882.00M,6.027B,21.85B,2.00M,741.00M,1.317B,15.83B,21.11B,14.51B,214.00M,201.00M,516.00M
AWK,2019-03,-47.00M,63.00M,365.00M,1.269B,0.62,0.62,1.655B,23.59B,448.00M,2019-03,44.00M,113.00M,-93.00M,-93.00M,17.74B,1.769B,7.663B,235.00M,683.00M,152.00M,39.00M,813.00M,5.932B,21.46B,2.00M,691.00M,2.156B,15.53B,20.77B,13.38B,213.00M,194.00M,477.00M
AWK,2018-12,-34.00M,130.00M,394.00M,1.035B,0.62,0.62,1.659B,23.20B,456.00M,2018-12,41.00M,112.00M,-91.00M,-91.00M,17.41B,1.74B,7.569B,248.00M,863.00M,170.00M,58.00M,850.00M,5.864B,21.22B,2.00M,781.00M,2.094B,15.36B,20.44B,13.26B,208.00M,220.00M,487.00M
AWK,2018-09,-60.00M,86.00M,390.00M,827.00M,1.04,1.04,1.662B,22.73B,586.00M,2018-09,42.00M,187.00M,-89.00M,-89.00M,17.06B,1.691B,7.57B,374.00M,752.00M,255.00M,70.00M,976.00M,5.86B,20.88B,2.00M,800.00M,1.748B,15.02B,20.08B,13.27B,212.00M,208.00M,550.00M
AWK,2018-06,-69.00M,68.00M,348.00M,2.013B,0.9,0.9,1.722B,22.36B,505.00M,2018-06,42.00M,162.00M,-86.00M,-86.00M,16.78B,1.639B,6.345B,302.00M,786.00M,222.00M,60.00M,853.00M,5.736B,20.47B,2.00M,833.00M,2.951B,14.74B,19.64B,11.78B,203.00M,187.00M,536.00M
AWK,2018-03,-75.00M,55.00M,347.00M,1.604B,0.6,0.59,1.379B,22.00B,414.00M,2018-03,42.00M,106.00M,-84.00M,-84.00M,16.48B,1.607B,6.396B,215.00M,776.00M,140.00M,34.00M,761.00M,5.451B,19.73B,2.00M,729.00M,2.539B,14.28B,19.00B,11.74B,199.00M,197.00M,461.00M
AWK,2017-12,-79.00M,55.00M,366.00M,1.227B,-0.0056,-0.01,1.388B,21.72B,455.00M,2017-12,41.00M,-1.00M,-83.00M,-83.00M,16.25B,1.573B,6.49B,274.00M,931.00M,201.00M,202.00M,821.00M,5.385B,19.48B,2.00M,720.00M,2.325B,14.10B,18.76B,11.77B,181.00M,228.00M,484.00M
AWK,2017-09,-87.00M,93.00M,322.00M,790.00M,1.14,1.13,1.373B,20.95B,614.00M,2017-09,42.00M,203.00M,-89.00M,-89.00M,15.68B,2.885B,6.672B,425.00M,806.00M,340.00M,137.00M,936.00M,5.518B,19.36B,2.00M,860.00M,1.747B,13.84B,18.50B,12.10B,189.00M,205.00M,546.00M
AWK,2017-06,-85.00M,64.00M,347.00M,1.803B,0.74,0.73,1.373B,20.58B,497.00M,2017-06,41.00M,131.00M,-85.00M,-85.00M,15.39B,2.746B,5.65B,308.00M,733.00M,226.00M,95.00M,844.00M,5.384B,18.97B,2.00M,808.00M,2.661B,13.58B,18.16B,10.92B,189.00M,181.00M,524.00M
AWK,2017-03,-82.00M,78.00M,334.00M,1.554B,0.52,0.52,1.345B,20.19B,422.00M,2017-03,41.00M,93.00M,-85.00M,-85.00M,15.13B,2.652B,5.744B,230.00M,729.00M,145.00M,52.00M,756.00M,5.287B,18.61B,2.00M,767.00M,2.418B,13.32B,17.84B,10.90B,192.00M,175.00M,477.00M
AWK,2016-12,-86.00M,75.00M,368.00M,1.423B,0.57,0.57,1.345B,19.95B,434.00M,2016-12,39.00M,101.00M,-83.00M,-83.00M,14.99B,2.619B,5.749B,251.00M,857.00M,166.00M,65.00M,802.00M,5.218B,18.48B,2.00M,784.00M,2.392B,13.26B,17.70B,10.87B,183.00M,185.00M,532.00M
AWK,2016-09,-99.00M,46.00M,432.00M,1.004B,0.83,0.83,1.313B,19.38B,498.00M,2016-09,40.00M,148.00M,-81.00M,-81.00M,14.56B,2.547B,5.842B,314.00M,806.00M,243.00M,95.00M,930.00M,5.238B,17.97B,2.00M,801.00M,1.928B,12.73B,17.17B,10.80B,184.00M,180.00M,587.00M
AWK,2016-06,-96.00M,52.00M,351.00M,1.004B,0.77,0.77,1.313B,19.06B,476.00M,2016-06,42.00M,137.00M,-81.00M,-81.00M,14.32B,2.453B,5.85B,297.00M,625.00M,225.00M,88.00M,827.00M,5.153B,17.71B,2.00M,691.00M,1.74B,12.55B,17.02B,10.81B,179.00M,187.00M,526.00M
AWK,2016-03,-87.00M,66.00M,348.00M,893.00M,0.46,0.46,1.313B,18.74B,395.00M,2016-03,41.00M,82.00M,-80.00M,-80.00M,14.10B,2.381B,5.85B,213.00M,638.00M,136.00M,54.00M,743.00M,5.082B,17.42B,2.00M,638.00M,1.614B,12.34B,16.78B,10.72B,182.00M,174.00M,467.00M
AWK,2015-12,-88.00M,45.00M,380.00M,682.00M,0.55,0.55,1.302B,18.50B,403.00M,2015-12,38.00M,99.00M,-80.00M,-80.00M,13.93B,2.334B,5.862B,231.00M,707.00M,158.00M,59.00M,783.00M,5.049B,17.24B,2.00M,657.00M,1.533B,12.19B,16.58B,10.66B,172.00M,152.00M,522.00M
AWK,2015-09,-79.18M,75.22M,364.00M,401.97M,0.97,0.96,1.313B,18.09B,532.00M,2015-09,37.96M,174.00M,-77.00M,-77.00M,13.61B,2.400B,5.941B,361.00M,424.66M,287.00M,113.00M,896.00M,5.165B,17.11B,1.807M,879.01M,1.165B,11.94B,16.23B,10.77B,171.00M,327.63M,595.76M
AWK,2015-06,-80.05M,144.75M,336.00M,882.94M,0.69,0.68,1.210B,17.75B,446.00M,2015-06,38.33M,123.00M,-76.00M,-76.00M,13.36B,2.308B,5.433B,277.00M,380.70M,204.00M,81.00M,782.00M,5.053B,16.73B,1.801M,890.08M,1.512B,11.68B,15.84B,10.17B,169.00M,324.71M,514.49M
AWK,2015-03,-81.50M,24.29M,324.00M,605.68M,0.45,0.44,1.208B,17.40B,374.00M,2015-03,38.62M,80.00M,-75.00M,-75.00M,13.10B,2.224B,5.429B,203.00M,354.06M,133.00M,53.00M,698.00M,4.993B,16.26B,1.799M,729.02M,1.228B,11.27B,15.53B,10.04B,171.00M,259.12M,461.84M
AWK,2014-12,-82.00M,23.00M,345.62M,511.00M,0.52,0.52,1.208B,17.27B,385.43M,2014-12,37.00M,93.39M,-71.36M,-71.36M,13.03B,2.059B,5.427B,222.10M,577.00M,149.33M,55.23M,731.05M,4.915B,16.04B,2.00M,575.00M,1.241B,11.12B,15.46B,9.882B,163.33M,125.00M,453.00M
AWK,2014-09,-35.94M,74.13M,341.35M,369.56M,0.85,0.85,1.208B,17.05B,504.82M,2014-09,37.20M,152.18M,-77.11M,-77.11M,12.80B,2.144B,5.541B,337.22M,404.72M,263.81M,107.20M,846.17M,4.920B,15.72B,1.793M,756.96M,1.059B,10.80B,14.96B,9.737B,167.60M,307.66M,486.34M
AWK,2014-06,-34.67M,32.13M,337.85M,717.47M,0.61,0.61,1.208B,16.79B,416.93M,2014-06,36.84M,109.30M,-75.30M,-75.30M,12.58B,2.053B,5.218B,254.44M,285.56M,182.50M,72.33M,754.78M,4.873B,15.43B,1.791M,707.64M,1.235B,10.55B,14.72B,9.318B,162.49M,230.02M,470.78M
AWK,2014-03,-35.15M,30.76M,325.18M,653.13M,0.38,0.38,1.208B,16.66B,353.82M,2014-03,35.24M,68.12M,-75.23M,-75.23M,12.47B,2.024B,5.209B,187.23M,331.62M,114.35M,45.24M,679.00M,4.801B,15.27B,1.79M,687.99M,1.198B,10.47B,14.59B,9.276B,166.59M,237.97M,426.98M
AWK,2013-12,-34.64M,26.96M,326.15M,644.48M,0.33,0.33,1.208B,16.28B,380.16M,2013-12,32.97M,59.43M,-70.01M,-70.01M,12.39B,1.867B,5.213B,217.95M,348.37M,101.95M,40.68M,706.31M,4.728B,15.09B,1.784M,571.81M,1.236B,10.36B,14.52B,9.125B,162.21M,296.28M,429.61M
AWK,2013-09,-109.90M,32.45M,337.67M,503.10M,0.85,0.84,1.208B,16.15B,484.52M,2013-09,35.05M,150.66M,-78.91M,-78.91M,12.11B,1.771B,5.174B,323.93M,357.33M,248.28M,98.37M,822.19M,4.633B,15.23B,1.781M,613.22M,1.141B,10.60B,14.62B,9.454B,160.58M,256.04M,481.52M
AWK,2013-06,-112.47M,20.37M,323.32M,580.33M,0.57,0.57,1.207B,15.89B,400.94M,2013-06,33.82M,101.26M,-79.38M,-79.38M,11.93B,1.667B,5.181B,241.77M,270.38M,167.72M,66.46M,724.26M,4.572B,14.98B,1.779M,545.84M,1.049B,10.41B,14.43B,9.356B,159.17M,215.85M,440.85M
AWK,2013-03,-114.29M,21.18M,312.20M,449.71M,0.32,0.32,1.207B,15.72B,323.93M,2013-03,31.15M,57.64M,-79.70M,-79.70M,11.79B,1.546B,5.185B,164.14M,318.98M,88.81M,31.17M,636.14M,4.510B,14.77B,3.497M,491.85M,958.33M,10.26B,14.28B,9.301B,159.80M,217.88M,366.73M
AWK,2012-12,-116.19M,24.43M,336.79M,385.90M,0.31,0.31,1.207B,15.60B,321.16M,2012-12,29.77M,55.48M,-76.20M,-76.20M,11.74B,1.573B,5.191B,165.91M,368.98M,93.46M,39.88M,657.95M,4.445B,14.72B,3.49M,499.45M,994.83M,10.27B,14.22B,9.279B,155.24M,315.17M,385.00M
AWK,2012-09,-91.51M,18.53M,355.13M,332.82M,0.87,0.86,1.208B,15.32B,476.69M,2012-09,31.92M,153.81M,-77.94M,-77.94M,11.53B,1.563B,5.185B,327.61M,352.03M,255.02M,100.91M,831.82M,4.449B,14.60B,3.487M,642.52M,1.006B,10.15B,13.96B,9.144B,149.08M,245.95M,423.48M
AWK,2012-06,-93.89M,12.92M,327.58M,482.26M,0.61,0.6,1.208B,11.57B,418.03M,2012-06,31.71M,107.03M,-81.09M,-81.09M,11.39B,1.463B,5.203B,270.42M,280.44M,197.26M,80.60M,745.61M,4.326B,14.41B,6.31M,606.37M,1.018B,10.09B,13.81B,9.069B,147.61M,223.03M,405.47M
