Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AXP,2021-03,-2.898B,59.93B,1.578B,2.74,2.74,4.117B,12.74B,2021-03,2.235B,67.77B,4.943B,0,42.02B,8.585B,2.993B,758.00M,9.124B,3.316B,24.45B,193.07B,161.00M,101.98B,10.16B,168.62B,110.86B,131.31B,3.316B,8.585B,41.80B
AXP,2020-12,-2.895B,52.58B,1.878B,1.76,1.76,3.582B,12.56B,2020-12,1.438B,70.64B,5.015B,0,42.95B,11.75B,1.858B,420.00M,9.044B,3.424B,22.98B,191.37B,161.00M,96.10B,13.63B,168.38B,114.97B,132.16B,3.424B,10.39B,43.43B
AXP,2020-09,-2.872B,47.05B,1.716B,1.31,1.3,3.347B,12.30B,2020-09,1.073B,67.06B,4.835B,0,44.78B,8.232B,1.364B,291.00M,8.492B,3.23B,21.87B,187.26B,161.00M,87.90B,9.948B,165.39B,111.62B,130.38B,3.23B,8.232B,40.39B
AXP,2020-06,-2.911B,52.75B,1.567B,0.29,0.29,0,11.96B,2020-06,257.00M,68.56B,4.829B,0,48.80B,7.731B,622.00M,365.00M,7.467B,2.711B,21.06B,188.61B,161.00M,90.24B,9.298B,167.55B,109.81B,133.78B,2.711B,7.731B,37.03B
AXP,2020-03,-2.996B,38.59B,3.497B,0.41,0.41,0,11.60B,2020-03,367.00M,77.42B,4.798B,0,52.59B,7.977B,452.00M,85.00M,9.869B,3.10B,21.01B,186.06B,161.00M,84.40B,11.47B,165.05B,102.37B,130.70B,3.10B,7.977B,44.27B
AXP,2019-12,-2.737B,32.69B,6.442B,2.04,2.03,0,11.40B,2019-12,1.693B,89.62B,4.834B,0,57.84B,15.65B,1.986B,293.00M,10.81B,3.576B,23.07B,198.32B,163.00M,89.57B,22.09B,175.25B,117.08B,133.55B,3.576B,13.86B,56.79B
AXP,2019-09,-2.661B,30.88B,2.818B,2.09,2.08,0,11.40B,2019-09,1.755B,85.76B,4.715B,0,58.47B,12.87B,2.266B,511.00M,10.43B,3.32B,23.02B,194.18B,165.00M,89.98B,15.68B,171.16B,110.14B,133.70B,3.32B,12.87B,58.86B
AXP,2019-06,-2.606B,33.45B,2.827B,2.07,2.07,0,11.24B,2019-06,1.761B,85.12B,4.658B,0,57.74B,16.52B,2.219B,458.00M,10.28B,3.143B,23.09B,197.60B,167.00M,94.91B,19.34B,174.51B,109.26B,132.41B,3.143B,16.52B,61.26B
AXP,2019-03,-2.599B,37.47B,2.028B,1.81,1.8,0,10.79B,2019-03,1.55B,82.84B,4.479B,0,58.42B,16.16B,1.958B,408.00M,9.814B,2.997B,22.22B,197.19B,168.00M,97.24B,18.19B,174.98B,104.47B,133.72B,2.997B,16.16B,59.36B
AXP,2018-12,-2.597B,31.98B,3.10B,2.33,2.32,0,10.43B,2018-12,2.01B,83.40B,4.416B,0,58.42B,14.93B,1.831B,-179.00M,9.979B,3.121B,22.29B,188.60B,170.00M,87.36B,18.03B,166.31B,105.77B,130.55B,3.121B,13.33B,55.32B
AXP,2018-09,-2.504B,33.79B,2.292B,1.89,1.88,3.908B,10.41B,2018-09,1.654B,79.10B,4.295B,1.554B,55.30B,15.60B,2.118B,464.00M,9.687B,2.992B,21.46B,189.09B,171.00M,92.16B,17.90B,167.63B,99.76B,126.80B,2.992B,15.60B,58.13B
AXP,2018-06,-2.483B,31.48B,1.972B,1.85,1.84,3.795B,10.17B,2018-06,1.623B,76.69B,4.251B,1.411B,55.88B,13.80B,2.091B,468.00M,9.586B,2.943B,20.89B,184.86B,173.00M,89.58B,15.77B,163.97B,95.81B,125.54B,2.943B,13.80B,57.66B
