Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
AZO,2021-02,-300.84M,1.026B,1.351B,502.52M,0,15.27,14.93,302.64M,11.07B,1.559B,2021-02,4.737B,345.95M,-46.01M,-46.01M,7.289B,358.16M,7.833B,481.77M,6.302B,435.76M,89.81M,2.911B,1.078B,-1.524B,14.16B,0.228M,6.327B,6.804B,15.68B,7.833B,8.879B,1.078B,5.435B,352.52M
AZO,2020-11,-306.91M,1.664B,1.479B,246.33M,0,19.05,18.61,302.64M,10.89B,1.676B,2020-11,4.628B,442.43M,-46.18M,-46.18M,7.193B,370.08M,8.039B,615.22M,6.210B,569.05M,126.61M,3.154B,1.060B,-1.027B,14.57B,0.238M,6.837B,6.457B,15.60B,7.732B,9.139B,1.060B,5.439B,350.92M
AZO,2020-08,-354.25M,1.751B,2.133B,291.34M,0,31.67,30.93,304.09M,10.72B,2.413B,2020-08,4.473B,740.46M,-65.64M,-65.64M,7.091B,354.19M,8.015B,1.018B,5.671B,952.41M,211.95M,4.546B,1.395B,-877.98M,14.42B,0.237M,6.812B,6.283B,15.30B,7.612B,9.019B,1.395B,5.353B,364.77M
AZO,2020-05,-344.52M,509.12M,1.289B,236.76M,0,14.66,14.39,305.37M,10.51B,1.491B,2020-05,4.441B,342.90M,-47.45M,-47.45M,6.998B,325.92M,7.900B,491.67M,5.532B,444.22M,101.33M,2.779B,998.98M,-1.633B,12.90B,0.237M,5.398B,5.769B,14.53B,7.504B,8.766B,998.98M,4.844B,266.92M
AZO,2020-02,-228.34M,152.97M,1.148B,234.51M,0,12.7,12.39,306.34M,10.53B,1.366B,2020-02,4.606B,299.28M,-44.34M,-44.34M,7.056B,325.26M,7.946B,407.94M,5.545B,363.60M,64.32M,2.514B,958.12M,-1.711B,12.86B,0.237M,5.301B,5.780B,14.57B,7.563B,8.795B,958.12M,4.913B,340.28M
AZO,2019-11,-250.08M,158.09M,1.292B,232.55M,0,14.67,14.3,307.30M,10.43B,1.501B,2019-11,4.463B,350.34M,-43.74M,-43.74M,7.036B,315.60M,7.794B,500.02M,5.636B,456.28M,105.94M,2.793B,1.001B,-1.776B,12.70B,0.254M,5.157B,5.868B,14.48B,7.543B,8.608B,1.001B,5.017B,333.25M
AZO,2019-08,-269.32M,176.30M,1.858B,56.25M,0,21.47,20.95,308.26M,7.713B,2.130B,2019-08,4.319B,565.23M,-61.20M,-61.20M,4.399B,311.98M,5.206B,780.78M,5.286B,719.58M,154.35M,3.988B,1.350B,-1.714B,9.896B,0.254M,5.029B,5.512B,11.61B,4.867B,6.098B,1.350B,5.013B,309.00M
AZO,2019-05,-236.61M,174.06M,1.291B,0,0,16.35,15.99,309.55M,7.557B,1.492B,2019-05,4.326B,405.95M,-43.24M,-43.24M,4.325B,301.08M,5.152B,547.52M,5.317B,504.28M,98.34M,2.783B,944.50M,-1.590B,9.774B,0.254M,4.971B,5.317B,11.36B,4.802B,6.046B,944.50M,4.721B,281.61M
AZO,2019-02,-235.84M,195.66M,1.125B,0,0,11.71,11.49,310.51M,7.437B,1.325B,2019-02,4.305B,294.64M,-41.36M,-41.36M,4.270B,290.63M,5.111B,400.02M,5.334B,358.66M,64.02M,2.451B,925.09M,-1.594B,9.745B,0.253M,4.997B,5.334B,11.34B,4.748B,6.005B,925.09M,4.721B,298.32M
AZO,2018-11,-276.07M,252.09M,1.224B,0,0,13.71,13.47,311.47M,7.324B,1.417B,2018-11,4.090B,351.41M,-39.01M,-39.01M,4.229B,288.44M,5.156B,487.82M,5.168B,448.81M,97.41M,2.642B,929.66M,-1.659B,9.524B,0.277M,4.814B,5.168B,11.18B,4.709B,6.014B,929.66M,4.531B,275.19M
