Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BA,2020-12,-17.13B,25.59B,20.99B,1.961B,50.49B,-14.65,-14.65,10.92B,32.33B,-5.688B,2020-12,81.72B,-8.42B,-698.00M,-698.00M,11.82B,1.01B,61.89B,-8.121B,24.27B,-8.625B,-186.00M,605.00M,15.30B,1.828B,-18.32B,152.14B,5.061B,121.64B,87.28B,170.21B,30.49B,82.93B,2.433B,12.97B,10.05B
BA,2020-09,-15.78B,27.12B,13.10B,3.634B,51.97B,-0.79,-0.79,11.01B,32.21B,1.034B,2020-09,86.96B,-449.00M,-643.00M,-643.00M,11.97B,503.00M,57.32B,-495.00M,36.70B,-925.00M,-459.00M,574.00M,14.14B,955.00M,-11.82B,161.26B,5.061B,131.01B,92.31B,172.81B,30.25B,80.51B,1.529B,14.48B,11.72B
BA,2020-06,-16.02B,32.43B,12.98B,2.922B,53.37B,-4.2,-4.2,11.08B,32.04B,-1.171B,2020-06,83.74B,-2.376B,-553.00M,-553.00M,12.18B,404.00M,58.46B,-2.957B,36.19B,-3.423B,-1.028B,625.00M,11.81B,1.161B,-11.67B,162.87B,5.061B,130.28B,92.48B,174.25B,32.60B,81.77B,1.786B,13.70B,11.48B
BA,2020-03,-16.33B,15.53B,16.77B,5.173B,52.88B,-1.11,-1.11,11.31B,32.00B,140.00M,2020-03,80.02B,-628.00M,-262.00M,-262.00M,12.40B,336.00M,33.75B,-1.405B,36.45B,-1.503B,-862.00M,672.00M,16.91B,873.00M,-9.665B,143.08B,5.061B,111.01B,94.50B,152.44B,32.06B,57.93B,1.545B,14.96B,12.72B
BA,2019-12,-16.15B,10.03B,18.71B,7.592B,51.55B,-1.79,-1.79,11.40B,31.84B,-797.00M,2019-12,76.62B,-1.01B,-242.00M,-242.00M,12.50B,413.00M,19.96B,-2.598B,29.64B,-2.342B,-1.332B,749.00M,17.91B,1.052B,-8.617B,133.62B,5.061B,102.23B,97.31B,141.92B,31.40B,44.61B,1.801B,17.38B,12.47B
BA,2019-09,-14.93B,10.91B,16.93B,4.354B,53.17B,2.07,2.05,11.65B,31.65B,3.05B,2019-09,73.28B,1.167B,-203.00M,-203.00M,12.53B,1.615B,20.30B,1.271B,34.32B,1.177B,10.00M,778.00M,19.98B,1.001B,-4.116B,132.60B,5.061B,101.66B,91.85B,136.41B,30.94B,44.56B,1.779B,15.10B,14.81B
BA,2019-06,-14.91B,9.606B,17.81B,4.357B,52.52B,-5.21,-5.21,11.81B,31.46B,-2.059B,2019-06,68.49B,-2.942B,-154.00M,-154.00M,12.60B,1.656B,14.86B,-3.557B,35.31B,-3.427B,-485.00M,826.00M,15.75B,672.00M,-5.322B,126.26B,5.061B,95.11B,92.19B,131.20B,31.15B,39.02B,1.498B,15.27B,13.71B
BA,2019-03,-14.97B,7.729B,18.64B,3.381B,52.53B,3.79,3.75,11.46B,31.42B,4.272B,2019-03,65.37B,2.149B,-123.00M,-123.00M,12.59B,1.736B,11.36B,2.222B,27.70B,2.333B,184.00M,866.00M,22.92B,1.184B,125.00M,120.21B,5.061B,89.51B,83.62B,119.98B,30.70B,36.36B,2.05B,14.69B,14.22B
BA,2018-12,-15.08B,8.564B,22.09B,3.19B,50.68B,6,5.93,11.27B,31.21B,6.251B,2018-12,62.57B,3.424B,-158.00M,-158.00M,12.64B,1.738B,10.66B,4.177B,18.27B,4.046B,622.00M,852.00M,28.34B,1.222B,339.00M,117.36B,5.061B,87.83B,81.59B,116.95B,29.53B,35.36B,2.074B,14.56B,14.36B
BA,2018-09,-15.95B,9.99B,21.04B,1.389B,51.50B,4.11,4.07,8.252B,30.90B,4.106B,2018-09,62.04B,2.363B,-106.00M,-106.00M,12.57B,0,10.49B,2.126B,26.53B,2.133B,-230.00M,826.00M,25.15B,1.154B,-1.289B,114.66B,5.061B,87.69B,79.42B,115.87B,26.97B,36.45B,1.98B,13.66B,13.26B
BA,2018-06,-16.14B,9.77B,19.54B,1.611B,50.97B,3.77,3.73,8.044B,30.74B,4.722B,2018-06,61.25B,2.196B,-109.00M,-109.00M,12.60B,1.90B,10.51B,2.701B,25.14B,2.586B,390.00M,827.00M,24.26B,1.194B,-1.441B,113.20B,5.061B,86.40B,77.72B,114.57B,26.79B,36.84B,2.021B,12.90B,12.98B
BA,2018-03,-16.16B,9.891B,18.82B,1.981B,49.96B,4.19,4.15,8.083B,30.52B,4.558B,2018-03,61.30B,2.477B,-102.00M,-102.00M,12.63B,2.001B,10.47B,2.797B,23.60B,2.839B,362.00M,764.00M,23.38B,997.00M,1.222B,113.55B,5.061B,86.54B,75.53B,112.25B,27.01B,36.72B,1.761B,12.61B,12.87B
BA,2017-12,-16.37B,9.992B,19.88B,1.335B,48.04B,5.25,5.18,8.132B,30.31B,4.889B,2017-12,61.39B,3.32B,-93.00M,-93.00M,12.67B,2.188B,9.782B,2.922B,16.78B,2.917B,-403.00M,762.00M,24.77B,1.205B,1.656B,112.36B,5.061B,85.19B,74.65B,110.65B,27.17B,36.00B,1.967B,13.59B,11.40B
BA,2017-09,-13.04B,10.03B,19.96B,988.00M,26.70B,3.03,2.99,7.867B,30.11B,4.267B,2017-09,43.03B,1.81B,-87.00M,-87.00M,12.71B,2.884B,9.78B,2.581B,26.73B,2.583B,773.00M,768.00M,24.22B,918.00M,1.086B,91.01B,5.061B,64.14B,54.41B,89.86B,26.86B,35.45B,1.686B,12.72B,11.08B
BA,2017-06,-13.23B,10.33B,18.70B,720.00M,25.80B,2.91,2.87,7.914B,30.20B,4.349B,2017-06,42.45B,1.749B,-93.00M,-93.00M,12.82B,1.415B,10.06B,2.493B,26.39B,2.462B,713.00M,813.00M,23.05B,1.043B,-2.037B,90.04B,5.061B,62.83B,52.91B,92.01B,27.20B,39.10B,1.856B,12.09B,10.05B
BA,2017-03,-13.42B,9.205B,18.07B,367.00M,24.12B,2.57,2.54,7.838B,30.00B,3.888B,2017-03,43.25B,1.579B,-87.00M,-87.00M,12.84B,1.339B,10.43B,2.123B,25.30B,2.145B,566.00M,836.00M,21.96B,929.00M,95.00M,89.67B,5.061B,62.37B,49.78B,89.52B,27.31B,39.74B,1.765B,11.96B,9.915B
BA,2016-12,-13.62B,10.03B,17.70B,384.00M,23.87B,2.63,2.59,7.864B,29.69B,4.511B,2016-12,43.20B,1.77B,-79.00M,-79.00M,12.81B,1.338B,9.568B,2.79B,17.36B,2.318B,548.00M,725.00M,22.21B,996.00M,817.00M,90.00B,5.061B,62.49B,50.13B,89.12B,27.51B,38.99B,1.721B,12.14B,9.26B
BA,2016-09,-12.66B,9.668B,19.90B,632.00M,22.65B,3.64,3.6,7.616B,29.46B,3.994B,2016-09,42.68B,2.279B,-81.00M,-81.00M,12.71B,2.211B,9.824B,2.214B,25.21B,2.203B,-76.00M,857.00M,23.90B,923.00M,2.089B,88.95B,5.061B,62.24B,48.49B,86.80B,26.71B,38.31B,1.78B,11.97B,9.889B
BA,2016-06,-12.80B,9.265B,22.32B,1.168B,23.41B,-0.37,-0.37,7.672B,29.17B,2.43B,2016-06,44.18B,-234.00M,-73.00M,-73.00M,12.53B,2.422B,9.847B,-503.00M,25.28B,-479.00M,-245.00M,2.127B,24.76B,806.00M,585.00M,89.61B,5.061B,63.51B,49.86B,88.96B,26.10B,39.10B,2.933B,11.75B,10.06B
BA,2016-03,-12.84B,8.352B,19.10B,1.243B,23.93B,1.85,1.83,7.726B,28.74B,3.535B,2016-03,47.27B,1.219B,-73.00M,-73.00M,12.27B,2.297B,8.721B,1.73B,24.35B,1.741B,522.00M,917.00M,22.63B,888.00M,4.043B,91.55B,5.061B,65.59B,49.52B,87.44B,25.96B,37.92B,1.805B,11.56B,9.969B
BA,2015-12,-12.75B,12.05B,20.64B,1.234B,24.36B,1.52,1.51,7.783B,28.36B,2.931B,2015-12,47.26B,1.026B,-72.00M,-72.00M,12.08B,2.392B,8.73B,1.095B,16.95B,1.099B,73.00M,905.00M,23.57B,931.00M,6.335B,94.41B,5.061B,68.23B,50.41B,88.01B,26.17B,37.60B,1.836B,11.78B,8.925B
BA,2015-09,-13.26B,9.857B,21.60B,614.00M,32.65B,2.5,2.47,7.828B,27.80B,4.249B,2015-09,48.62B,1.704B,-67.00M,-67.00M,11.61B,2.207B,8.402B,2.503B,24.55B,2.487B,783.00M,857.00M,25.85B,889.00M,6.74B,99.00B,5.061B,67.58B,57.81B,92.21B,31.42B,34.40B,1.746B,11.78B,9.081B
