Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
BAC,2021-03,-3.472B,333.96B,21.72B,0.87,0.86,68.95B,2021-03,8.05B,878.46B,10.80B,251.21B,194.44B,9.166B,1.116B,23.26B,11.86B,274.00B,2.970T,107.39B,721.77B,415.61B,2.696T,2.248T,2.280T,11.86B,82.76B
BAC,2020-12,-1.656B,621.50B,19.32B,0.6,0.59,68.95B,2020-12,5.47B,901.37B,11.00B,262.93B,181.80B,6.119B,649.00M,20.69B,10.18B,272.92B,2.820T,110.49B,1.054T,371.44B,2.547T,2.000T,2.175T,10.18B,81.16B
BAC,2020-09,-978.00M,318.40B,17.86B,0.51,0.51,68.95B,2020-09,4.881B,922.70B,10.90B,255.72B,175.96B,4.546B,-335.00M,20.60B,10.82B,268.85B,2.738T,109.38B,768.43B,384.59B,2.470T,1.982T,2.085T,10.82B,78.99B
BAC,2020-06,-1.162B,498.33B,18.00B,0.38,0.37,68.95B,2020-06,3.533B,968.83B,10.79B,261.64B,175.30B,3.799B,266.00M,22.33B,9.962B,265.64B,2.742T,109.22B,1.068T,372.32B,2.476T,1.876T,2.104T,9.962B,73.50B
BAC,2020-03,-120.00M,483.78B,30.12B,0.4,0.4,68.95B,2020-03,4.01B,1.024T,10.79B,256.71B,183.03B,4.531B,521.00M,23.26B,10.19B,264.92B,2.620T,109.17B,931.73B,383.19B,2.355T,1.909T,1.972T,10.19B,88.33B
BAC,2019-12,-6.633B,414.31B,24.20B,0.75,0.74,68.95B,2019-12,6.994B,963.45B,10.56B,240.86B,182.80B,8.169B,1.175B,22.35B,9.955B,264.81B,2.434T,115.12B,805.05B,372.11B,2.169T,1.875T,1.797T,9.955B,75.66B
BAC,2019-09,-5.617B,418.99B,30.68B,0.57,0.56,68.95B,2019-09,5.777B,953.34B,10.49B,243.40B,172.29B,6.859B,1.082B,22.81B,11.96B,268.39B,2.426T,122.82B,808.22B,405.04B,2.158T,1.872T,1.753T,11.96B,72.51B
BAC,2019-06,-7.477B,426.18B,27.24B,0.75,0.74,68.95B,2019-06,7.348B,939.47B,10.43B,238.01B,168.66B,8.959B,1.611B,23.08B,10.06B,271.41B,2.396T,131.31B,792.71B,390.85B,2.124T,1.849T,1.734T,10.06B,73.54B
BAC,2019-03,-10.04B,423.06B,14.01B,0.71,0.7,68.95B,2019-03,7.311B,921.29B,10.25B,233.93B,173.68B,8.767B,1.456B,23.00B,10.10B,267.01B,2.377T,135.16B,807.00B,376.14B,2.110T,1.812T,1.734T,10.10B,74.54B
BAC,2018-12,-12.21B,423.00B,20.19B,0.71,0.7,68.95B,2018-12,7.278B,925.28B,9.906B,229.39B,165.03B,8.698B,1.42B,22.68B,9.845B,265.32B,2.355T,141.22B,816.05B,372.20B,2.089T,1.777T,1.717T,9.845B,88.19B
BAC,2018-09,-14.84B,444.36B,29.04B,0.67,0.66,68.95B,2018-09,7.167B,904.24B,9.68B,234.10B,170.14B,8.994B,1.827B,22.72B,9.873B,262.16B,2.339T,146.25B,816.57B,370.77B,2.077T,1.774T,1.706T,9.873B,78.36B
BAC,2018-06,-13.33B,454.67B,40.62B,0.64,0.63,68.95B,2018-06,6.784B,911.05B,9.537B,226.60B,152.01B,8.498B,1.714B,22.55B,10.11B,264.22B,2.292T,152.00B,805.41B,370.54B,2.027T,1.762T,1.657T,10.11B,79.05B
BAC,2018-03,-12.28B,515.61B,38.07B,0.63,0.62,68.95B,2018-03,6.918B,911.45B,9.399B,232.26B,150.62B,8.394B,1.476B,23.07B,10.69B,266.22B,2.328T,158.20B,887.83B,367.22B,2.062T,1.744T,1.695T,10.69B,79.73B
