Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BAX,2020-12,-3.314B,3.73B,1.99B,517.00M,0,0.33,0.33,4.888B,11.87B,1.191B,2020-12,1.916B,168.00M,-38.00M,-38.00M,5.325B,143.00M,6.287B,360.00M,2.261B,210.00M,39.00M,135.00M,3.181B,696.00M,8.689B,20.02B,683.00M,8.411B,3.333B,11.29B,11.61B,7.96B,831.00M,1.451B,2.077B
BAX,2020-09,-3.839B,4.359B,1.777B,727.00M,0,0.7,0.69,4.772B,11.57B,1.195B,2020-09,1.988B,356.00M,-39.00M,-39.00M,5.038B,244.00M,6.25B,471.00M,2.695B,415.00M,56.00M,123.00M,2.972B,601.00M,8.567B,20.10B,683.00M,9.033B,3.422B,11.50B,11.06B,8.074B,724.00M,2.695B,2.001B
BAX,2020-06,-3.988B,4.085B,1.68B,319.00M,0,0.48,0.48,4.768B,11.26B,1.038B,2020-06,1.905B,246.00M,-36.00M,-36.00M,4.963B,218.00M,6.543B,331.00M,2.561B,289.00M,42.00M,117.00M,2.718B,590.00M,8.128B,19.46B,683.00M,8.566B,2.88B,11.30B,10.90B,8.425B,707.00M,2.561B,1.884B
BAX,2020-03,-4.177B,4.11B,1.639B,536.00M,0,0.65,0.64,4.72B,11.02B,1.163B,2020-03,1.694B,331.00M,-21.00M,-21.00M,4.917B,0,6.482B,409.00M,2.50B,378.00M,45.00M,146.00M,2.802B,628.00M,7.699B,19.08B,683.00M,8.333B,3.036B,11.34B,10.74B,8.309B,754.00M,2.50B,1.892B
BAX,2019-12,-3.71B,3.335B,1.741B,642.00M,0,-0.04,-0.04,4.501B,11.27B,1.298B,2019-12,1.653B,-23.00M,-20.00M,-20.00M,5.12B,0,5.319B,-279.00M,2.004B,-223.00M,-204.00M,156.00M,3.039B,1.421B,7.882B,18.19B,683.00M,7.503B,3.23B,10.28B,10.69B,7.051B,1.577B,1.201B,1.896B
BAX,2019-09,-4.288B,3.009B,1.621B,2.00M,0,0.72,0.71,4.212B,10.97B,1.23B,2019-09,1.715B,369.00M,-13.00M,-13.00M,4.995B,0,5.557B,459.00M,2.609B,481.00M,106.00M,144.00M,2.851B,627.00M,7.588B,17.30B,683.00M,7.21B,2.611B,9.682B,10.09B,7.071B,771.00M,2.609B,1.814B
BAX,2019-06,-4.639B,2.925B,1.681B,4.00M,0,0.61,0.6,4.302B,11.18B,1.153B,2019-06,1.757B,313.00M,-20.00M,-20.00M,5.129B,0,5.647B,346.00M,2.593B,326.00M,13.00M,166.00M,2.834B,641.00M,7.812B,17.54B,683.00M,7.218B,2.597B,9.708B,10.33B,7.111B,807.00M,2.593B,1.885B
BAX,2019-03,-4.562B,1.908B,1.558B,798.00M,0,0.67,0.66,4.371B,10.99B,1.08B,2019-03,1.751B,342.00M,-18.00M,-18.00M,5.056B,0,3.871B,383.00M,2.529B,386.00M,44.00M,129.00M,2.638B,601.00M,7.646B,16.35B,683.00M,6.087B,3.327B,8.681B,10.26B,5.354B,697.00M,2.529B,1.802B
BAX,2018-12,-3.823B,1.838B,1.65B,4.00M,0,0.66,0.65,4.412B,10.33B,1.183B,2018-12,1.667B,305.00M,-11.00M,-11.00M,4.53B,0,3.481B,390.00M,2.234B,413.00M,102.00M,175.00M,2.833B,628.00M,7.844B,15.72B,683.00M,5.959B,2.814B,7.854B,9.761B,5.04B,793.00M,1.334B,1.84B
BAX,2018-09,-4.239B,2.86B,1.529B,3.00M,0,0.97,0.95,4.382B,10.32B,1.232B,2018-09,1.718B,518.00M,-11.00M,-11.00M,4.52B,0,3.485B,382.00M,2.701B,372.00M,-146.00M,166.00M,2.761B,684.00M,9.13B,16.85B,683.00M,7.028B,2.704B,7.734B,9.819B,5.03B,850.00M,2.701B,1.826B
BAX,2018-06,-4.199B,2.857B,1.603B,3.00M,0,0.64,0.63,4.411B,10.23B,1.239B,2018-06,1.622B,343.00M,-11.00M,-11.00M,4.531B,280.00M,3.495B,384.00M,2.626B,404.00M,61.00M,174.00M,2.842B,681.00M,8.881B,16.58B,683.00M,6.89B,2.629B,7.709B,9.688B,5.08B,855.00M,2.626B,1.783B
BAX,2018-03,-3.876B,2.947B,1.563B,3.00M,0,0.72,0.71,4.614B,10.39B,1.114B,2018-03,1.581B,389.00M,-12.00M,-12.00M,4.614B,93.00M,3.55B,364.00M,2.639B,438.00M,49.00M,140.00M,2.677B,610.00M,9.099B,16.89B,683.00M,6.956B,2.642B,7.797B,9.934B,5.155B,750.00M,2.639B,1.807B
BAX,2017-12,-4.001B,3.394B,1.629B,3.00M,0,-0.13,-0.13,4.473B,10.15B,1.168B,2017-12,1.475B,-186.00M,-14.00M,-14.00M,4.588B,0,3.509B,311.00M,2.17B,176.00M,352.00M,183.00M,2.797B,730.00M,9.124B,17.11B,683.00M,7.263B,2.821B,7.995B,9.848B,5.174B,857.00M,1.235B,1.793B
BAX,2017-09,-3.994B,3.517B,1.577B,3.00M,0,0.46,0.45,4.488B,9.954B,1.13B,2017-09,1.55B,251.00M,-14.00M,-14.00M,4.488B,0,3.495B,292.00M,2.659B,290.00M,42.00M,150.00M,2.707B,688.00M,9.466B,17.54B,683.00M,7.448B,2.662B,8.082B,10.09B,5.42B,838.00M,2.659B,1.748B
BAX,2017-06,-4.176B,3.817B,1.473B,3.00M,0,0.49,0.48,3.855B,9.592B,1.132B,2017-06,1.525B,265.00M,-13.00M,-13.00M,4.337B,0,3.454B,347.00M,2.554B,306.00M,42.00M,155.00M,2.605B,630.00M,9.175B,16.96B,683.00M,7.704B,2.558B,7.798B,9.259B,5.24B,785.00M,2.554B,1.721B
BAX,2017-03,-4.418B,2.858B,1.431B,3.00M,0,0.5,0.49,3.724B,9.336B,1.044B,2017-03,1.48B,272.00M,-14.00M,-14.00M,4.274B,0,2.784B,353.00M,2.432B,328.00M,55.00M,127.00M,2.475B,564.00M,8.686B,15.66B,683.00M,6.633B,2.438B,6.984B,9.026B,4.546B,691.00M,2.432B,1.646B
BAX,2016-12,-4.556B,2.801B,1.537B,3.00M,0,0.46,0.46,3.706B,9.162B,1.108B,2016-12,1.43B,243.00M,-13.00M,-13.00M,4.289B,0,2.779B,282.00M,1.997B,279.00M,39.00M,156.00M,2.645B,670.00M,8.29B,15.55B,683.00M,6.574B,2.744B,7.266B,8.972B,4.522B,826.00M,1.13B,1.691B
BAX,2016-09,-4.172B,2.597B,1.487B,6.00M,0,0.24,0.24,3.859B,9.258B,1.071B,2016-09,1.568B,130.00M,-14.00M,-14.00M,4.327B,0,2.834B,186.00M,2.597B,128.00M,1.00M,159.00M,2.558B,726.00M,8.677B,15.80B,683.00M,6.589B,2.606B,7.131B,9.206B,4.525B,885.00M,2.597B,1.739B
BAX,2016-06,-4.204B,2.63B,1.613B,1.074B,0,2.21,2.19,3.912B,9.129B,972.00M,2016-06,1.591B,1.212B,-11.00M,-11.00M,4.329B,0,2.094B,68.00M,2.645B,1.218B,6.00M,195.00M,2.585B,709.00M,8.509B,15.98B,683.00M,6.823B,3.723B,7.472B,9.159B,3.749B,904.00M,2.645B,1.813B
BAX,2016-03,-3.035B,3.443B,1.41B,1.289B,0,6.16,6.12,4.086B,9.134B,965.00M,2016-03,1.682B,3.38B,-28.00M,-28.00M,4.403B,0,2.068B,188.00M,2.524B,3.329B,-58.00M,136.00M,2.375B,641.00M,9.019B,17.35B,683.00M,8.017B,3.823B,8.33B,9.333B,4.507B,777.00M,2.524B,1.83B
BAX,2015-12,224.00M,7.361B,1.531B,2.585B,21.00M,0.37,0.37,4.036B,8.99B,1.072B,2015-12,1.604B,205.00M,-32.00M,-32.00M,4.386B,195.00M,3.922B,178.00M,2.298B,205.00M,22.00M,161.00M,2.603B,733.00M,8.846B,20.96B,683.00M,11.80B,5.75B,12.10B,9.166B,6.347B,894.00M,1.472B,1.731B
