Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BBY,2021-01,328.00M,5.494B,13.39B,817.00M,1.028B,3.15,3.1,1.287B,11.87B,3.543B,2021-01,5.612B,816.00M,-9.00M,-9.00M,4.872B,0,3.174B,1.175B,7.951B,1.043B,227.00M,16.94B,2.368B,4.587B,19.07B,26.00M,12.54B,10.52B,14.48B,6.527B,3.959B,2.368B,6.979B,1.061B
BBY,2020-10,268.00M,5.681B,9.058B,1.355B,1.066B,1.5,1.48,1.325B,4.957B,2.795B,2020-10,7.459B,391.00M,-11.00M,-11.00M,4.957B,0,3.373B,672.00M,10.08B,555.00M,164.00M,11.85B,2.123B,4.086B,21.20B,26.00M,14.55B,12.94B,17.12B,6.651B,4.171B,2.123B,9.11B,1.028B
BBY,2020-07,256.00M,5.305B,7.64B,1.355B,966.00M,1.67,1.65,1.345B,5.047B,2.27B,2020-07,4.136B,432.00M,-15.00M,-15.00M,5.047B,0,2.838B,568.00M,7.506B,561.00M,129.00M,9.91B,1.702B,3.778B,17.41B,26.00M,10.68B,10.08B,13.63B,6.729B,3.554B,1.702B,6.613B,906.00M
BBY,2020-04,243.00M,3.919B,6.597B,2.606B,788.00M,0.61,0.61,1.348B,4.922B,1.965B,2020-04,3.993B,159.00M,-17.00M,-17.00M,4.922B,0,2.697B,230.00M,5.197B,218.00M,59.00M,8.562B,1.735B,3.41B,15.60B,26.00M,8.996B,8.804B,12.20B,6.609B,3.391B,1.735B,4.428B,749.00M
BBY,2020-01,295.00M,2.229B,11.96B,674.00M,782.00M,2.87,2.84,1.347B,11.94B,3.235B,2020-01,5.174B,745.00M,-14.00M,-14.00M,5.037B,0,3.306B,967.00M,6.194B,967.00M,222.00M,15.20B,2.268B,3.479B,15.59B,26.00M,8.857B,8.06B,12.11B,6.734B,4.052B,2.268B,5.288B,1.149B
BBY,2019-10,290.00M,1.205B,7.403B,658.00M,716.00M,1.11,1.1,1.384B,5.11B,2.361B,2019-10,7.569B,293.00M,-16.00M,-16.00M,5.11B,0,3.439B,388.00M,8.001B,389.00M,96.00M,9.764B,1.973B,3.125B,16.93B,26.00M,10.18B,9.726B,13.80B,6.751B,4.075B,1.973B,7.232B,1.056B
BBY,2019-07,294.00M,1.609B,7.253B,657.00M,732.00M,0.89,0.89,1.381B,5.135B,2.283B,2019-07,5.208B,238.00M,-16.00M,-16.00M,5.135B,0,3.477B,361.00M,5.844B,307.00M,69.00M,9.536B,1.922B,3.285B,14.98B,26.00M,8.192B,7.576B,11.69B,6.786B,4.117B,1.922B,5.045B,966.00M
BBY,2019-04,289.00M,1.561B,6.973B,653.00M,674.00M,0.99,0.98,1.266B,5.042B,2.169B,2019-04,5.195B,265.00M,-18.00M,-18.00M,5.042B,0,3.366B,334.00M,5.569B,330.00M,65.00M,9.142B,1.835B,3.354B,14.55B,27.00M,8.014B,7.171B,11.20B,6.536B,4.025B,1.835B,4.718B,833.00M
BBY,2019-01,294.00M,1.98B,11.52B,56.00M,736.00M,2.73,2.69,1.265B,9.20B,3.283B,2019-01,5.409B,735.00M,-20.00M,-20.00M,2.51B,0,1.332B,977.00M,6.239B,972.00M,237.00M,14.80B,2.306B,3.306B,12.90B,27.00M,8.87B,7.513B,9.595B,4.031B,2.082B,2.306B,5.257B,1.015B
BBY,2018-10,300.00M,1.304B,7.266B,46.00M,730.00M,1.01,0.99,1.304B,2.525B,2.324B,2018-10,8.168B,277.00M,-15.00M,-15.00M,2.525B,0,1.28B,322.00M,8.808B,330.00M,53.00M,9.59B,2.002B,3.012B,15.00B,27.00M,10.90B,9.933B,11.99B,4.099B,2.055B,2.002B,7.964B,921.00M
BBY,2018-07,296.00M,2.33B,7.15B,47.00M,713.00M,0.88,0.86,425.00M,2.432B,2.229B,2018-07,5.016B,244.00M,-19.00M,-19.00M,2.432B,0,801.00M,352.00M,6.151B,329.00M,85.00M,9.379B,1.877B,3.186B,11.99B,27.00M,8.771B,7.229B,8.807B,3.222B,1.578B,1.877B,5.35B,915.00M
BBY,2018-04,310.00M,2.633B,6.984B,550.00M,656.00M,0.74,0.72,443.00M,2.385B,2.125B,2018-04,4.964B,208.00M,-19.00M,-19.00M,2.385B,0,792.00M,295.00M,5.553B,257.00M,49.00M,9.109B,1.83B,3.42B,12.08B,28.00M,8.93B,7.055B,8.662B,3.152B,1.607B,1.83B,4.773B,860.00M
BBY,2018-01,314.00M,3.133B,11.94B,544.00M,838.00M,1.26,1.23,425.00M,8.70B,3.421B,2018-01,5.209B,364.00M,-18.00M,-18.00M,2.421B,0,811.00M,882.00M,5.874B,873.00M,509.00M,15.36B,2.539B,3.612B,13.05B,28.00M,9.829B,7.817B,9.437B,3.22B,1.62B,2.539B,4.873B,1.049B
BBY,2017-10,304.00M,3.34B,7.04B,545.00M,801.00M,0.8,0.78,443.00M,2.352B,2.28B,2017-10,6.663B,239.00M,-20.00M,-20.00M,2.352B,0,784.00M,348.00M,7.475B,342.00M,104.00M,9.32B,1.932B,4.152B,14.78B,30.00M,11.40B,9.152B,10.63B,3.38B,1.481B,1.932B,6.667B,971.00M
BBY,2017-07,321.00M,3.49B,6.787B,44.00M,810.00M,0.69,0.67,443.00M,2.327B,2.153B,2017-07,5.167B,209.00M,-18.00M,-18.00M,2.327B,0,1.31B,323.00M,5.942B,310.00M,101.00M,8.94B,1.83B,4.347B,13.44B,30.00M,10.08B,7.105B,9.097B,3.366B,1.992B,1.83B,5.155B,965.00M
BBY,2017-04,266.00M,3.599B,6.506B,45.00M,760.00M,0.61,0.6,443.00M,2.287B,2.022B,2017-04,4.637B,188.00M,-19.00M,-19.00M,2.287B,0,1.302B,300.00M,5.391B,292.00M,104.00M,8.528B,1.722B,4.499B,12.96B,31.00M,9.656B,6.47B,8.456B,3.299B,1.986B,1.722B,4.692B,1.011B
BBY,2017-01,279.00M,3.921B,10.45B,44.00M,845.00M,1.94,1.91,443.00M,8.143B,3.03B,2017-01,4.864B,607.00M,-18.00M,-18.00M,2.293B,0,1.321B,890.00M,5.875B,873.00M,266.00M,13.48B,2.14B,4.709B,13.86B,31.00M,10.52B,7.122B,9.147B,3.34B,2.025B,2.14B,5.01B,1.347B
