Tracker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BF.B,2021-01,-489.00M,1.106B,361.00M,312.00M,0,0.46,0.45,1.45B,1.589B,550.00M,2021-01,1.723B,219.00M,-21.00M,-21.00M,826.00M,146.00M,2.347B,281.00M,732.00M,259.00M,40.00M,911.00M,278.00M,2.468B,6.495B,72.00M,3.914B,1.044B,4.027B,2.581B,2.983B,269.00M,732.00M,820.00M
BF.B,2020-10,-508.00M,964.00M,404.00M,358.00M,0,0.5,0.5,1.413B,1.525B,581.00M,2020-10,1.715B,240.00M,-19.00M,-19.00M,828.00M,146.00M,2.309B,330.00M,664.00M,309.00M,69.00M,985.00M,250.00M,2.403B,6.35B,72.00M,3.815B,1.022B,3.947B,2.535B,2.925B,251.00M,664.00M,879.00M
BF.B,2020-07,-523.00M,908.00M,288.00M,389.00M,0,0.68,0.67,1.417B,0,465.00M,2020-07,1.741B,324.00M,-20.00M,-20.00M,834.00M,156.00M,2.316B,260.00M,702.00M,366.00M,42.00M,753.00M,210.00M,2.15B,6.191B,72.00M,3.646B,1.091B,4.041B,2.545B,2.95B,205.00M,702.00M,721.00M
BF.B,2020-04,-547.00M,675.00M,256.00M,333.00M,0,0.27,0.27,1.391B,0,453.00M,2020-04,1.685B,128.00M,-19.00M,-19.00M,848.00M,177.00M,2.269B,187.00M,476.00M,166.00M,38.00M,709.00M,242.00M,1.975B,5.766B,72.00M,3.265B,880.00M,3.791B,2.501B,2.911B,266.00M,241.00M,570.00M
BF.B,2020-01,-392.00M,276.00M,342.00M,4.00M,0,0.48,0.48,1.419B,0,557.00M,2020-01,1.668B,231.00M,-19.00M,-19.00M,840.00M,187.00M,2.293B,304.00M,660.00M,284.00M,53.00M,899.00M,257.00M,2.005B,5.518B,72.00M,2.994B,664.00M,3.513B,2.524B,2.849B,253.00M,660.00M,732.00M
BF.B,2019-10,-400.00M,235.00M,370.00M,156.00M,0,0.59,0.59,1.417B,0,619.00M,2019-10,1.654B,282.00M,-20.00M,-20.00M,828.00M,162.00M,2.288B,352.00M,615.00M,331.00M,49.00M,989.00M,270.00M,1.942B,5.553B,72.00M,3.039B,771.00M,3.611B,2.514B,2.84B,267.00M,615.00M,823.00M
BF.B,2019-07,-407.00M,307.00M,268.00M,220.00M,0,0.39,0.39,1.408B,0,498.00M,2019-07,1.609B,186.00M,-19.00M,-19.00M,815.00M,148.00M,2.267B,248.00M,647.00M,228.00M,42.00M,766.00M,256.00M,1.663B,5.322B,72.00M,2.837B,867.00M,3.659B,2.485B,2.792B,250.00M,647.00M,616.00M
BF.B,2019-04,-363.00M,307.00M,262.00M,166.00M,0,0.33,0.33,1.398B,0,482.00M,2019-04,1.52B,159.00M,-19.00M,-19.00M,816.00M,145.00M,2.327B,228.00M,453.00M,206.00M,47.00M,744.00M,256.00M,1.647B,5.139B,72.00M,2.719B,703.00M,3.492B,2.42B,2.789B,254.00M,222.00M,609.00M
BF.B,2019-01,-360.00M,260.00M,333.00M,207.00M,0,0.47,0.47,1.405B,0,571.00M,2019-01,1.471B,227.00M,-21.00M,-21.00M,801.00M,119.00M,2.301B,320.00M,688.00M,284.00M,57.00M,904.00M,252.00M,1.493B,5.163B,72.00M,2.755B,895.00M,3.67B,2.408B,2.775B,251.00M,688.00M,737.00M
BF.B,2018-10,-365.00M,193.00M,320.00M,258.00M,0,0.52,0.52,1.398B,0,590.00M,2018-10,1.477B,249.00M,-20.00M,-20.00M,785.00M,113.00M,2.288B,332.00M,637.00M,310.00M,61.00M,910.00M,263.00M,1.497B,5.149B,72.00M,2.743B,895.00M,3.652B,2.406B,2.757B,258.00M,637.00M,768.00M
BF.B,2018-07,-364.00M,211.00M,243.00M,176.00M,0,0.42,0.41,1.413B,1.436B,523.00M,2018-07,1.449B,200.00M,-20.00M,-20.00M,778.00M,119.00M,2.31B,264.00M,692.00M,242.00M,42.00M,766.00M,266.00M,1.368B,5.025B,72.00M,2.623B,868.00M,3.657B,2.402B,2.789B,259.00M,692.00M,658.00M
BF.B,2018-04,-378.00M,239.00M,221.00M,215.00M,0,0.23,0.23,1.433B,1.333B,512.00M,2018-04,1.379B,110.00M,-17.00M,-17.00M,780.00M,85.00M,2.341B,147.00M,507.00M,128.00M,18.00M,733.00M,366.00M,1.316B,4.976B,72.00M,2.555B,821.00M,3.66B,2.421B,2.839B,365.00M,256.00M,639.00M
BF.B,2018-01,-382.00M,287.00M,291.00M,327.00M,0,0.39,0.39,1.448B,1.217B,587.00M,2018-01,1.343B,190.00M,-15.00M,-15.00M,766.00M,61.00M,1.77B,306.00M,1.159B,289.00M,99.00M,878.00M,285.00M,1.201B,5.042B,72.00M,2.641B,1.486B,3.841B,2.401B,2.355B,281.00M,1.159B,725.00M
BF.B,2017-10,-391.00M,212.00M,304.00M,485.00M,0,0.5,0.49,1.415B,0,610.00M,2017-10,1.359B,239.00M,-15.00M,-15.00M,740.00M,139.00M,1.719B,349.00M,567.00M,331.00M,92.00M,914.00M,271.00M,1.647B,4.978B,58.00M,2.661B,1.052B,3.331B,2.317B,2.279B,261.00M,567.00M,753.00M
BF.B,2017-07,-376.00M,238.00M,230.00M,508.00M,0,0.37,0.37,1.416B,0,493.00M,2017-07,1.337B,178.00M,-15.00M,-15.00M,719.00M,135.00M,1.72B,246.00M,581.00M,229.00M,51.00M,723.00M,248.00M,1.42B,4.802B,58.00M,2.503B,1.089B,3.382B,2.299B,2.293B,247.00M,581.00M,576.00M
BF.B,2017-04,-390.00M,182.00M,215.00M,460.00M,0,0.304,0.296,1.394B,0,480.00M,2017-04,1.27B,145.00M,-14.00M,-14.00M,713.00M,152.00M,1.689B,232.00M,413.00M,197.00M,52.00M,695.00M,250.00M,1.37B,4.625B,68.00M,2.351B,970.00M,3.255B,2.274B,2.285B,248.00M,207.00M,557.00M
BF.B,2017-01,-433.00M,197.00M,272.00M,557.00M,0,0.38,0.38,1.382B,0,536.00M,2017-01,1.238B,182.00M,-15.00M,-15.00M,669.00M,150.00M,1.669B,273.00M,573.00M,258.00M,76.00M,808.00M,264.00M,1.184B,4.60B,68.00M,2.377B,1.13B,3.416B,2.223B,2.286B,263.00M,573.00M,611.00M
BF.B,2016-10,-407.00M,211.00M,278.00M,337.00M,0,0.408,0.4,1.383B,0,552.00M,2016-10,1.286B,197.00M,-15.00M,-15.00M,651.00M,150.00M,1.917B,291.00M,567.00M,276.00M,79.00M,830.00M,270.00M,1.283B,4.72B,68.00M,2.53B,904.00M,3.437B,2.19B,2.533B,261.00M,567.00M,660.00M
BF.B,2016-07,-402.00M,459.00M,208.00M,288.00M,0,0.296,0.288,1.405B,0,453.00M,2016-07,1.262B,144.00M,-12.00M,-12.00M,645.00M,122.00M,1.953B,213.00M,586.00M,201.00M,57.00M,661.00M,245.00M,1.33B,4.755B,68.00M,2.561B,874.00M,3.425B,2.194B,2.551B,240.00M,586.00M,501.00M
BF.B,2016-04,-350.00M,263.00M,216.00M,271.00M,0,1.048,1.04,1.185B,0,513.00M,2016-04,1.054B,522.00M,-11.00M,-11.00M,629.00M,160.00M,1.23B,241.00M,415.00M,715.00M,193.00M,729.00M,281.00M,1.562B,4.183B,34.00M,2.233B,791.00M,2.621B,1.95B,1.83B,272.00M,198.00M,559.00M
BF.B,2016-01,-323.00M,317.00M,254.00M,509.00M,8.00M,0.376,0.376,1.171B,1.14B,555.00M,2016-01,1.031B,190.00M,-12.00M,-12.00M,621.00M,138.00M,1.229B,278.00M,583.00M,266.00M,76.00M,809.00M,274.00M,1.417B,4.333B,34.00M,2.405B,1.10B,2.916B,1.928B,1.816B,277.00M,583.00M,630.00M
BF.B,2015-10,-306.00M,195.00M,268.00M,553.00M,12.00M,0.392,0.392,1.214B,1.054B,586.00M,2015-10,1.067B,200.00M,-12.00M,-12.00M,619.00M,116.00M,1.229B,302.00M,565.00M,290.00M,90.00M,854.00M,286.00M,1.401B,4.319B,34.00M,2.348B,1.13B,2.918B,1.971B,1.788B,284.00M,565.00M,727.00M
BF.B,2015-07,-304.00M,494.00M,208.00M,263.00M,13.00M,0.304,0.296,1.21B,0,491.00M,2015-07,1.035B,156.00M,-9.00M,-9.00M,608.00M,112.00M,1.229B,227.00M,557.00M,218.00M,62.00M,699.00M,264.00M,1.707B,4.334B,34.00M,2.371B,833.00M,2.627B,1.963B,1.794B,264.00M,557.00M,505.00M
BF.B,2015-04,-300.00M,370.00M,213.00M,440.00M,9.00M,0.268,0.264,1.218B,0,526.00M,2015-04,953.00M,141.00M,-5.00M,-5.00M,586.00M,182.00M,743.00M,232.00M,399.00M,227.00M,86.00M,739.00M,288.00M,1.905B,4.188B,34.00M,2.254B,958.00M,2.283B,1.934B,1.325B,294.00M,194.00M,583.00M
BF.B,2015-01,-215.00M,250.00M,260.00M,258.00M,9.00M,0.352,0.348,1.226B,0,553.00M,2015-01,920.00M,186.00M,-6.00M,-6.00M,567.00M,129.00M,748.00M,272.00M,593.00M,266.00M,80.00M,813.00M,275.00M,2.041B,4.161B,34.00M,2.209B,860.00M,2.12B,1.952B,1.26B,281.00M,593.00M,631.00M
BF.B,2014-10,-191.00M,235.00M,268.00M,124.00M,7.00M,0.392,0.388,1.265B,0,609.00M,2014-10,971.00M,208.00M,-7.00M,-7.00M,556.00M,113.00M,998.00M,303.00M,547.00M,296.00M,88.00M,877.00M,301.00M,2.075B,4.243B,34.00M,2.299B,678.00M,2.168B,1.944B,1.49B,306.00M,547.00M,761.00M
BF.B,2014-07,-195.00M,460.00M,210.00M,13.00M,7.00M,0.28,0.28,1.284B,0,495.00M,2014-07,949.00M,150.00M,-7.00M,-7.00M,538.00M,107.00M,998.00M,221.00M,617.00M,214.00M,64.00M,705.00M,269.00M,2.054B,4.191B,34.00M,2.259B,637.00M,2.137B,1.932B,1.50B,274.00M,617.00M,547.00M
BF.B,2014-04,-188.00M,437.00M,196.00M,8.00M,8.00M,0.248,0.248,1.297B,0,493.00M,2014-04,882.00M,133.00M,-6.00M,-6.00M,526.00M,192.00M,997.00M,188.00M,427.00M,182.00M,49.00M,689.00M,314.00M,2.032B,4.103B,34.00M,2.177B,561.00M,2.071B,1.926B,1.51B,305.00M,262.00M,569.00M
BF.B,2014-01,-203.00M,287.00M,250.00M,9.00M,7.00M,0.332,0.328,1.289B,0,532.00M,2014-01,873.00M,177.00M,-6.00M,-6.00M,497.00M,97.00M,997.00M,255.00M,588.00M,249.00M,72.00M,782.00M,277.00M,1.889B,3.993B,34.00M,2.103B,604.00M,2.104B,1.89B,1.50B,277.00M,588.00M,679.00M
BF.B,2013-10,-201.00M,192.00M,257.00M,7.00M,7.00M,0.388,0.384,1.291B,0,576.00M,2013-10,901.00M,206.00M,-6.00M,-6.00M,483.00M,199.00M,997.00M,311.00M,528.00M,305.00M,99.00M,833.00M,273.00M,1.838B,3.882B,34.00M,2.033B,542.00M,2.044B,1.849B,1.502B,265.00M,528.00M,729.00M
BF.B,2013-07,-212.00M,217.00M,209.00M,6.00M,7.00M,0.268,0.264,1.287B,956.00M,477.00M,2013-07,874.00M,143.00M,-6.00M,-6.00M,459.00M,185.00M,997.00M,217.00M,502.00M,211.00M,68.00M,686.00M,259.00M,1.666B,3.686B,34.00M,1.861B,515.00M,2.02B,1.825B,1.505B,260.00M,502.00M,542.00M
BF.B,2013-04,-211.00M,204.00M,200.00M,5.00M,7.00M,0.212,0.208,1.285B,875.00M,460.00M,2013-04,827.00M,113.00M,-16.00M,-16.00M,450.00M,180.00M,997.00M,177.00M,349.00M,161.00M,48.00M,660.00M,279.00M,1.628B,3.626B,34.00M,1.821B,473.00M,1.998B,1.805B,1.525B,283.00M,208.00M,548.00M
BF.B,2013-01,-206.40M,386.80M,240.00M,264.30M,7.10M,0.296,0.292,1.289B,843.00M,507.00M,2013-01,801.90M,157.00M,-8.00M,-8.00M,426.60M,193.20M,996.60M,237.00M,535.90M,229.00M,72.00M,747.00M,273.00M,1.519B,3.832B,34.10M,2.046B,807.30M,2.314B,1.786B,1.506B,270.00M,535.90M,633.80M
BF.B,2012-10,-223.00M,368.50M,252.00M,10.60M,5.60M,0.324,0.32,1.283B,0,525.00M,2012-10,797.50M,173.00M,-4.00M,-4.00M,415.90M,185.20M,501.40M,262.00M,489.70M,258.00M,85.00M,777.00M,266.00M,2.305B,3.804B,34.10M,2.055B,505.90M,1.499B,1.749B,993.20M,263.00M,489.70M,681.50M
BF.B,2012-07,-231.50M,361.50M,202.00M,9.20M,6.10M,0.276,0.276,1.277B,0,464.00M,2012-07,764.40M,147.00M,-5.00M,-5.00M,404.60M,172.60M,502.10M,222.00M,461.00M,217.00M,70.00M,666.00M,240.00M,2.122B,3.583B,34.10M,1.850B,476.30M,1.461B,1.734B,984.70M,242.00M,461.00M,524.90M
BF.B,2012-04,-230.00M,338.00M,180.60M,7.00M,1.00M,0.196,0.192,1.285B,0,421.80M,2012-04,712.00M,104.30M,-6.50M,-6.50M,399.00M,158.00M,503.00M,149.70M,303.00M,143.20M,38.90M,602.40M,274.80M,2.069B,3.477B,24.00M,1.749B,404.00M,1.408B,1.728B,1.004B,272.10M,188.00M,475.00M
BF.B,2012-01,-160.90M,494.90M,250.70M,258.00M,6.80M,0.252,0.248,1.284B,0,450.90M,2012-01,684.20M,133.10M,-7.30M,-7.30M,385.30M,173.40M,503.50M,206.20M,460.80M,198.90M,65.80M,701.60M,246.80M,2.035B,3.676B,23.40M,1.953B,725.60M,1.642B,1.723B,916.10M,244.70M,460.80M,568.70M
BF.B,2011-10,-158.40M,380.10M,279.20M,256.00M,7.70M,0.292,0.292,1.294B,0,501.90M,2011-10,694.50M,157.60M,-7.10M,-7.10M,383.00M,162.30M,504.20M,246.30M,489.00M,239.20M,81.60M,781.10M,253.50M,2.006B,3.674B,23.40M,1.946B,752.70M,1.667B,1.728B,914.70M,255.60M,489.00M,641.90M
BF.B,2011-07,-132.00M,552.50M,217.50M,256.30M,8.50M,0.216,0.216,1.298B,0,420.30M,2011-07,685.50M,118.10M,-7.10M,-7.10M,388.00M,153.60M,505.10M,185.90M,502.10M,178.80M,60.70M,637.80M,229.80M,2.070B,3.749B,23.40M,2.012B,766.90M,1.679B,1.738B,912.10M,234.40M,450.30M,523.30M
BF.B,2011-04,-131.00M,567.00M,187.30M,255.00M,8.00M,0.3027,0.3013,1.295B,0,422.90M,2011-04,647.00M,165.90M,-6.80M,-6.80M,393.00M,150.00M,504.00M,231.60M,406.00M,215.10M,49.20M,610.20M,266.10M,2.06B,3.712B,24.00M,1.976B,707.00M,1.652B,1.736B,945.00M,191.30M,126.00M,496.00M
