Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BIIB,2021-03,-174.30M,2.538B,478.10M,1.502B,0,2.7,2.69,8.751B,3.853B,2.216B,2021-03,1.172B,410.20M,-61.80M,-61.80M,3.853B,966.70M,7.647B,940.10M,2.870B,467.00M,44.20M,514.20M,2.694B,595.00M,10.68B,23.85B,0.10M,6.720B,3.166B,13.19B,17.14B,10.03B,1.276B,573.50M,2.224B
BIIB,2020-12,-299.00M,2.610B,490.60M,1.496B,0,2.33,2.32,8.846B,5.627B,2.362B,2020-12,1.069B,357.90M,-52.00M,-52.00M,3.845B,1.033B,7.828B,-485.90M,3.227B,352.90M,13.30M,1.726B,2.853B,806.20M,10.70B,24.62B,0.10M,6.887B,3.742B,13.93B,17.73B,10.19B,2.848B,596.90M,2.327B
BIIB,2020-09,-225.50M,3.580B,449.10M,1.495B,0,4.47,4.46,9.079B,3.794B,2.927B,2020-09,1.028B,701.50M,-50.30M,-50.30M,3.794B,1.123B,7.834B,1.057B,3.525B,957.80M,240.80M,1.141B,3.376B,573.10M,10.76B,24.93B,0.10M,7.843B,3.804B,14.19B,17.09B,10.39B,1.870B,517.80M,2.552B
BIIB,2020-06,-181.00M,4.328B,411.10M,0,0,9.6,9.59,9.135B,5.454B,3.270B,2020-06,952.70M,1.542B,-58.40M,-58.40M,3.767B,1.462B,7.839B,1.984B,3.235B,2.038B,446.10M,647.60M,3.682B,555.10M,11.31B,25.51B,0.10M,8.494B,3.447B,14.22B,17.02B,10.78B,1.286B,960.60M,2.575B
BIIB,2020-03,-149.30M,3.860B,454.30M,0,0,8.1,8.08,9.199B,5.340B,3.08B,2020-03,858.80M,1.399B,-19.90M,-19.90M,3.704B,2.723B,4.864B,1.890B,2.946B,1.699B,292.00M,476.30M,3.534B,570.10M,12.55B,26.12B,0.10M,8.007B,4.639B,13.58B,18.11B,8.944B,1.190B,699.00M,2.604B
BIIB,2019-12,-135.20M,4.476B,447.10M,0,0,8.1,8.08,9.285B,5.265B,3.224B,2019-12,804.20M,1.440B,-16.80M,-16.80M,3.674B,2.811B,4.872B,1.740B,3.052B,1.728B,276.10M,691.70M,3.671B,664.90M,13.34B,27.23B,0.10M,8.382B,4.864B,13.90B,18.85B,9.031B,1.484B,602.20M,2.471B
BIIB,2019-09,-92.30M,4.437B,430.00M,0,0,8.4,8.39,9.138B,5.115B,3.170B,2019-09,751.80M,1.546B,-15.30M,-15.30M,3.560B,2.820B,4.869B,1.731B,2.677B,1.779B,211.30M,540.40M,3.600B,554.50M,14.00B,27.48B,0.10M,8.448B,4.432B,13.49B,19.04B,9.06B,1.439B,507.80M,2.516B
BIIB,2019-06,-252.90M,2.952B,476.30M,0,0,7.85,7.85,9.430B,5.398B,3.140B,2019-06,776.70M,1.494B,-18.60M,-18.60M,3.512B,2.401B,6.372B,1.934B,2.923B,1.758B,248.10M,484.80M,3.617B,587.60M,12.95B,26.29B,0.10M,7.910B,3.211B,13.34B,18.38B,10.13B,1.206B,804.30M,2.517B
BIIB,2019-03,-219.80M,3.909B,602.00M,0,0,7.17,7.15,8.696B,5.303B,2.888B,2019-03,770.20M,1.409B,-16.70M,-16.70M,3.462B,1.742B,6.379B,1.630B,2.891B,1.86B,422.50M,563.70M,3.490B,567.70M,13.83B,26.45B,0.10M,8.943B,3.149B,12.62B,17.50B,9.475B,1.258B,616.50M,2.616B
BIIB,2018-12,-240.40M,3.538B,488.50M,0,0,4.74,4.73,8.826B,5.399B,3.038B,2018-12,929.90M,946.80M,-18.30M,-18.30M,3.601B,1.636B,5.936B,1.525B,2.974B,1.414B,469.60M,611.60M,3.526B,591.10M,13.04B,25.29B,0.10M,7.641B,3.295B,12.26B,17.65B,8.962B,1.513B,434.00M,2.485B
BIIB,2018-09,-248.30M,4.428B,460.80M,3.30M,0,7.17,7.15,8.819B,5.270B,2.978B,2018-09,916.60M,1.444B,-23.00M,-23.00M,3.539B,1.115B,5.931B,1.643B,2.901B,1.813B,369.80M,507.90M,3.439B,497.70M,13.77B,25.49B,0.10M,8.719B,3.175B,11.73B,16.77B,8.558B,1.335B,596.40M,2.526B
BIIB,2018-06,-261.60M,3.224B,421.00M,3.20M,0,4.18,4.18,8.832B,5.081B,2.936B,2018-06,931.70M,866.60M,-23.00M,-23.00M,3.409B,1.161B,5.928B,1.292B,2.943B,1.179B,263.70M,981.00M,3.356B,516.20M,12.26B,23.95B,0.10M,7.432B,3.152B,11.70B,16.52B,8.547B,1.644B,518.70M,2.433B
BIIB,2018-03,-303.90M,5.916B,446.00M,573.20M,0,5.55,5.54,8.702B,4.966B,2.685B,2018-03,890.80M,1.173B,-23.80M,-23.80M,3.335B,1.331B,5.929B,1.541B,2.962B,1.494B,322.50M,496.70M,3.131B,501.30M,14.05B,26.09B,0.10M,10.20B,3.152B,12.05B,15.89B,8.900B,1.144B,577.70M,2.493B
BIIB,2017-12,-318.40M,3.689B,509.20M,559.90M,0,-1.41,-1.41,8.512B,4.742B,2.798B,2017-12,902.70M,-297.40M,-37.70M,-37.70M,3.182B,122.60M,5.935B,1.469B,3.067B,1.400B,1.566B,587.60M,3.307B,572.00M,12.61B,23.65B,0.10M,7.873B,3.368B,11.05B,15.78B,7.686B,1.329B,463.70M,2.320B
BIIB,2017-09,-329.40M,3.508B,370.00M,561.50M,0,5.8,5.79,8.147B,4.576B,2.708B,2017-09,1.007B,1.226B,-41.20M,-41.20M,2.996B,120.70M,5.938B,1.684B,2.633B,1.610B,383.80M,446.40M,3.078B,433.40M,12.86B,23.07B,0.10M,7.568B,3.448B,10.22B,15.51B,6.776B,1.024B,420.00M,2.086B
BIIB,2017-06,-338.80M,2.893B,366.20M,4.70M,0,4.07,4.07,7.922B,4.339B,2.712B,2017-06,936.50M,862.80M,-46.70M,-46.70M,2.828B,100.80M,5.954B,1.342B,2.633B,1.132B,269.60M,796.20M,3.078B,429.80M,11.59B,21.76B,0.10M,7.109B,3.380B,10.19B,14.65B,6.806B,1.37B,382.90M,2.133B
BIIB,2017-03,-325.20M,2.880B,384.60M,4.90M,0,3.47,3.46,7.716B,4.049B,2.426B,2017-03,921.60M,747.60M,-46.70M,-46.70M,2.611B,94.50M,5.953B,1.035B,2.270B,986.70M,239.20M,423.40M,2.811B,498.70M,11.48B,21.20B,0.10M,6.860B,2.992B,9.728B,14.34B,6.736B,1.391B,386.40M,1.826B
BIIB,2016-12,-319.90M,4.895B,378.50M,4.80M,0,3,2.99,7.478B,3.941B,2.494B,2016-12,1.002B,649.20M,-44.40M,-44.40M,2.502B,93.10M,6.513B,1.350B,3.132B,838.20M,190.30M,533.90M,2.872B,494.20M,12.14B,22.88B,0.10M,8.732B,3.420B,10.75B,14.14B,7.328B,1.143B,511.70M,1.742B
BIIB,2016-09,-300.90M,4.316B,416.90M,0,0,4.72,4.71,7.290B,3.915B,2.539B,2016-09,1.010B,1.033B,-49.60M,-49.60M,2.387B,98.70M,6.530B,1.443B,2.212B,1.367B,337.00M,529.00M,2.956B,462.70M,12.12B,22.10B,0.10M,8.092B,2.500B,9.990B,14.01B,7.490B,1.096B,482.80M,1.773B
BIIB,2016-06,-282.80M,3.797B,370.30M,0,0,4.79,4.79,7.135B,3.773B,2.524B,2016-06,996.40M,1.050B,-50.50M,-50.50M,2.302B,105.60M,6.538B,1.471B,2.283B,1.402B,353.60M,473.10M,2.894B,492.40M,11.40B,21.51B,0.10M,7.448B,2.516B,10.11B,14.07B,7.595B,1.053B,438.70M,1.627B
BIIB,2016-03,-259.30M,3.585B,313.00M,4.90M,58.40M,4.44,4.43,6.930B,3.653B,2.414B,2016-03,964.60M,970.90M,-52.10M,-52.10M,2.259B,117.80M,6.536B,1.390B,2.591B,1.326B,356.40M,437.30M,2.727B,497.30M,10.33B,20.67B,0.10M,7.201B,2.777B,10.35B,13.47B,7.57B,1.023B,767.80M,1.710B
BIIB,2015-12,-224.00M,3.428B,331.80M,4.80M,62.50M,3.77,3.77,6.749B,3.518B,2.508B,2015-12,893.40M,831.60M,-58.30M,-58.30M,2.188B,124.90M,6.522B,1.286B,2.302B,1.086B,257.10M,541.70M,2.839B,583.00M,9.373B,19.50B,0.10M,6.700B,2.578B,10.13B,12.80B,7.552B,1.221B,476.10M,1.542B
BIIB,2015-09,-157.42M,5.843B,310.00M,5.171M,124.90M,4.16,4.15,6.590B,3.348B,2.468B,2015-09,918.92M,965.60M,-10.20M,-10.20M,2.028B,136.76M,6.529B,1.372B,2.356B,1.356B,330.10M,519.90M,2.778B,477.80M,10.57B,20.73B,0.124M,9.271B,2.634B,10.16B,11.46B,7.527B,1.096B,709.90M,1.648B
BIIB,2015-06,-101.02M,2.369B,286.10M,3.262M,120.90M,3.94,3.93,6.449B,3.112B,2.306B,2015-06,865.74M,927.30M,-1.50M,-1.50M,1.838B,138.40M,576.21M,1.231B,2.276B,1.222B,292.50M,490.70M,2.592B,491.90M,12.57B,16.76B,0.129M,5.619B,2.556B,4.186B,11.14B,1.630B,1.075B,740.47M,1.635B
BIIB,2015-03,-70.54M,2.152B,312.40M,3.254M,110.00M,3.5,3.49,6.203B,2.957B,2.242B,2015-03,825.35M,822.50M,-3.40M,-3.40M,1.740B,130.56M,580.67M,1.126B,1.616B,1.103B,281.90M,460.50M,2.555B,560.40M,11.67B,15.22B,0.129M,5.259B,1.946B,3.550B,9.961B,1.604B,1.117B,558.20M,1.702B
BIIB,2014-12,-59.50M,1.845B,297.23M,3.10M,145.00M,3.75,3.74,5.789B,2.952B,2.343B,2014-12,804.00M,883.48M,-3.90M,-3.90M,1.766B,52.20M,580.30M,1.162B,1.700B,1.151B,268.19M,500.07M,2.641B,573.57M,10.81B,14.31B,0.10M,4.535B,2.218B,3.501B,9.780B,1.283B,1.181B,397.30M,1.576B
BIIB,2014-09,-37.99M,1.861B,302.64M,3.22M,205.40M,3.63,3.62,5.671B,2.971B,2.209B,2014-09,753.06M,856.86M,-3.80M,-3.80M,1.724B,90.36M,583.98M,1.099B,1.504B,1.136B,274.77M,417.17M,2.511B,570.44M,10.43B,13.70B,0.129M,4.372B,1.941B,3.273B,9.332B,1.333B,1.110B,393.27M,1.361B
