Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BK,2021-03,-985.00M,271.44B,350.00M,0.97,0.97,22.39B,2021-03,927.00M,55.13B,3.602B,28.31B,30.78B,1.153B,221.00M,3.847B,1.602B,45.80B,469.63B,4.555B,313.94B,42.44B,423.69B,256.02B,374.84B,1.626B,30.78B,5.716B
BK,2020-12,-1.359B,238.49B,1.226B,0.79,0.79,22.22B,2020-12,750.00M,54.10B,3.617B,29.58B,28.86B,903.00M,148.00M,3.784B,1.554B,44.92B,428.40B,4.546B,279.91B,45.99B,383.23B,251.91B,329.69B,1.58B,28.86B,5.445B
BK,2020-09,-1.943B,247.37B,2.445B,0.98,0.98,22.08B,2020-09,937.00M,54.08B,3.598B,30.23B,30.04B,1.157B,213.00M,3.785B,1.466B,43.70B,442.32B,4.546B,295.59B,47.00B,398.51B,252.82B,339.75B,1.492B,30.04B,5.163B
BK,2020-06,-2.827B,271.29B,2.813B,1.01,1.01,21.99B,2020-06,950.00M,61.21B,3.514B,28.74B,28.72B,1.181B,216.00M,3.925B,1.464B,41.14B,468.16B,3.556B,312.86B,44.66B,426.92B,246.58B,371.95B,1.49B,28.72B,6.313B
BK,2020-03,-2.638B,237.72B,4.558B,1.05,1.05,22.08B,2020-03,980.00M,53.74B,3.625B,29.08B,24.40B,1.227B,265.00M,4.036B,1.482B,41.48B,381.51B,3.556B,279.02B,40.36B,339.92B,219.84B,292.56B,1.508B,24.40B,5.924B
BK,2019-12,-2.893B,186.57B,4.358B,1.52,1.52,22.08B,2019-12,1.44B,53.65B,3.149B,30.01B,23.44B,1.822B,373.00M,4.708B,1.639B,41.12B,373.17B,3.556B,241.31B,39.60B,331.84B,216.84B,283.04B,1.667B,23.44B,5.552B
BK,2019-09,-2.688B,181.09B,10.82B,1.07,1.07,22.21B,2019-09,1.038B,51.10B,2.97B,29.59B,23.99B,1.287B,246.00M,3.79B,1.479B,41.53B,381.17B,3.556B,254.20B,46.56B,339.47B,211.88B,285.27B,1.509B,23.99B,6.944B
BK,2019-06,-2.99B,168.19B,6.705B,1.01,1.01,22.23B,2019-06,1.017B,52.28B,3.01B,29.53B,24.00B,1.285B,264.00M,3.847B,1.421B,41.22B,346.13B,3.556B,220.48B,42.46B,304.78B,207.75B,254.48B,1.451B,24.00B,7.749B
BK,2019-03,-3.171B,207.79B,5.166B,0.94,0.94,22.22B,2019-03,946.00M,55.28B,1.832B,30.29B,25.40B,1.193B,237.00M,3.825B,1.524B,40.64B,362.87B,3.556B,265.88B,44.81B,322.13B,211.36B,271.64B,1.553B,25.40B,6.741B
BK,2018-12,-2.983B,183.94B,3.669B,0.84,0.84,22.23B,2018-12,881.00M,52.67B,1.832B,29.52B,24.28B,1.02B,150.00M,3.912B,1.602B,41.56B,349.77B,3.556B,223.62B,38.11B,308.12B,210.41B,263.52B,1.637B,24.28B,6.642B
BK,2018-09,-2.795B,184.88B,5.561B,1.07,1.06,22.28B,2018-09,1.111B,56.43B,1.752B,29.35B,24.58B,1.334B,220.00M,3.997B,1.478B,41.50B,352.93B,3.556B,223.43B,43.34B,311.37B,212.41B,262.66B,1.526B,24.58B,6.854B
BK,2018-06,-2.343B,198.75B,5.486B,1.04,1.03,22.48B,2018-06,1.103B,59.41B,1.702B,29.20B,25.52B,1.394B,286.00M,4.032B,1.489B,41.73B,373.60B,3.556B,238.98B,52.61B,331.66B,216.77B,273.71B,1.537B,25.52B,6.736B
BK,2018-03,-2.357B,229.24B,6.103B,1.11,1.1,22.47B,2018-03,1.171B,60.16B,1.634B,29.19B,26.41B,1.444B,282.00M,4.072B,1.576B,41.25B,371.76B,3.556B,270.31B,47.68B,330.19B,216.48B,277.26B,1.625B,26.41B,8.032B
BK,2017-12,-2.781B,216.67B,5.854B,1.09,1.08,22.52B,2017-12,1.175B,57.57B,1.631B,29.25B,27.25B,728.00M,-453.00M,3.893B,1.628B,40.52B,354.40B,3.556B,256.38B,43.41B,313.49B,212.45B,263.67B,1.68B,27.25B,6.802B
BK,2017-09,-3.093B,211.72B,2.214B,0.94,0.94,22.44B,2017-09,1.018B,60.14B,1.64B,28.65B,27.29B,1.368B,348.00M,3.907B,1.485B,39.97B,354.82B,3.555B,253.82B,40.44B,314.50B,214.71B,268.47B,1.537B,27.29B,9.719B
BK,2017-06,-3.524B,200.84B,3.565B,0.88,0.88,22.36B,2017-06,975.00M,59.13B,1.307B,27.31B,26.60B,1.308B,332.00M,3.853B,1.432B,39.14B,337.54B,3.555B,238.98B,41.31B,297.86B,208.99B,251.17B,1.485B,26.60B,8.023B
BK,2017-03,-3.765B,192.68B,754.00M,0.83,0.83,22.36B,2017-03,922.00M,62.58B,1.303B,25.05B,26.85B,1.206B,269.00M,3.749B,1.488B,38.81B,333.47B,3.555B,231.53B,37.60B,294.04B,211.07B,251.09B,1.54B,26.85B,7.512B
BK,2016-12,-2.785B,218.73B,993.00M,0.77,0.77,22.53B,2016-12,870.00M,64.10B,1.338B,25.36B,26.85B,1.152B,280.00M,3.692B,1.395B,39.70B,374.11B,3.555B,266.49B,35.89B,333.92B,221.60B,291.42B,1.448B,26.85B,7.477B
