Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BKNG,2020-12,-118.00M,11.06B,0,985.00M,323.00M,-4.02,-4.02,3.707B,2.438B,0,2020-12,-165.00M,-93.00M,-93.00M,1.285B,1.127B,11.40B,-79.00M,2.117B,245.00M,410.00M,0,1.238B,1.203B,4.893B,21.87B,0,12.21B,3.425B,16.98B,9.668B,13.56B,1.317B,735.00M,529.00M
BKNG,2020-09,-196.00M,11.20B,0,979.00M,487.00M,19.56,19.49,3.703B,1.312B,0,2020-09,801.00M,-93.00M,-93.00M,1.312B,1.006B,11.23B,929.00M,2.502B,835.00M,34.00M,0,2.64B,1.596B,4.913B,22.14B,0,12.58B,3.968B,17.23B,9.562B,13.26B,1.711B,1.114B,859.00M
BKNG,2020-06,-233.00M,10.40B,0,973.00M,910.00M,2.98,2.97,4.277B,1.313B,0,2020-06,122.00M,-84.00M,-84.00M,1.313B,931.00M,11.05B,-450.00M,2.026B,209.00M,87.00M,0,630.00M,968.00M,3.999B,20.91B,0,11.45B,3.909B,16.91B,9.459B,13.00B,1.08B,581.00M,566.00M
BKNG,2020-03,-342.00M,7.189B,0,995.00M,960.00M,-17.01,-17.01,4.288B,1.316B,0,2020-03,-699.00M,-32.00M,-32.00M,1.316B,786.00M,7.991B,180.00M,2.181B,-722.00M,-23.00M,0,2.288B,1.991B,3.835B,17.86B,0,9.26B,4.136B,14.03B,8.602B,9.891B,2.108B,926.00M,667.00M
BKNG,2019-12,-191.00M,7.31B,0,988.00M,1.561B,28.07,27.75,4.867B,2.285B,0,2019-12,1.171B,-23.00M,-23.00M,1.358B,876.00M,8.102B,1.172B,2.817B,1.42B,249.00M,0,3.339B,2.05B,5.933B,21.40B,0,9.833B,5.366B,15.47B,11.57B,10.10B,2.167B,1.239B,1.68B
BKNG,2019-09,-265.00M,7.439B,0,982.00M,1.567B,46.01,45.54,4.87B,1.316B,0,2019-09,1.95B,-26.00M,-26.00M,1.316B,868.00M,7.978B,2.37B,2.979B,2.363B,413.00M,0,5.04B,2.553B,5.951B,21.45B,0,10.06B,5.528B,15.50B,11.39B,9.967B,2.67B,1.275B,1.788B
BKNG,2019-06,-230.00M,6.809B,0,975.00M,2.343B,22.62,22.44,4.956B,1.355B,0,2019-06,979.00M,-34.00M,-34.00M,1.355B,504.00M,8.181B,1.247B,3.031B,1.207B,228.00M,0,3.85B,2.484B,5.307B,21.49B,0,10.02B,6.349B,16.19B,11.47B,9.838B,2.603B,1.291B,1.973B
BKNG,2019-03,-169.00M,4.315B,0,968.00M,1.797B,17.01,16.85,4.985B,1.33B,0,2019-03,765.00M,-31.00M,-31.00M,1.33B,513.00M,8.107B,556.00M,2.811B,968.00M,203.00M,0,2.837B,2.165B,6.915B,22.37B,0,7.077B,5.576B,15.45B,15.29B,9.875B,2.281B,934.00M,1.491B
BKNG,2018-12,-316.00M,6.284B,0,0,1.022B,14,13.86,5.035B,1.349B,0,2018-12,646.00M,-207.00M,-207.00M,656.00M,370.00M,8.649B,1.143B,2.533B,632.00M,-14.00M,0,3.213B,1.961B,8.785B,22.69B,0,8.407B,3.555B,13.90B,14.28B,10.35B,2.07B,1.134B,1.523B
BKNG,2018-09,-233.81M,7.131B,0,0,1.101B,37.39,37.02,4.962B,0,0,2018-09,1.767B,-20.00M,-20.00M,642.86M,491.16M,8.704B,2.247B,2.829B,2.24B,473.00M,0,4.849B,2.495B,9.952B,24.37B,0.489M,9.468B,3.930B,14.42B,14.90B,10.49B,2.602B,1.175B,1.719B
