Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BLK,2021-03,-337.00M,8.664B,2.234B,4.966B,7.86,7.77,32.81B,1.779B,2.164B,2021-03,1.199B,-36.00M,-36.00M,681.00M,3.673B,7.264B,1.552B,1.028B,1.591B,318.00M,4.398B,578.00M,35.28B,176.98B,2.00M,12.20B,1.028B,141.65B,164.78B,140.62B,612.00M,988.00M,3.535B
BLK,2020-12,-601.00M,6.507B,2.129B,4.991B,10.15,10.02,32.84B,1.733B,2.349B,2020-12,1.548B,-26.00M,-26.00M,693.00M,3.742B,7.227B,1.847B,988.00M,2.167B,427.00M,4.478B,475.00M,33.87B,165.12B,2.00M,10.21B,988.00M,131.19B,154.90B,130.20B,502.00M,914.00M,3.706B
BLK,2020-09,-781.00M,5.466B,2.124B,0,8.94,8.87,32.87B,1.676B,2.245B,2020-09,1.364B,-45.00M,-45.00M,697.00M,3.664B,7.19B,1.758B,914.00M,1.981B,464.00M,4.369B,460.00M,32.73B,157.34B,2.00M,8.456B,914.00M,124.56B,148.89B,123.64B,487.00M,982.00M,2.99B
BLK,2020-06,-810.00M,4.406B,1.827B,0,7.9,7.85,32.90B,1.637B,1.821B,2020-06,1.214B,-41.00M,-41.00M,714.00M,3.61B,5.933B,1.405B,982.00M,1.763B,361.00M,3.648B,389.00M,33.01B,149.02B,2.00M,7.501B,982.00M,115.95B,141.52B,114.97B,416.00M,1.252B,3.095B
BLK,2020-03,-571.00M,4.829B,1.859B,0,5.19,5.15,32.93B,1.595B,1.851B,2020-03,806.00M,-31.00M,-31.00M,715.00M,3.734B,4.955B,1.303B,1.167B,613.00M,-14.00M,3.71B,523.00M,33.55B,168.62B,2.00M,8.008B,1.167B,135.01B,160.61B,133.84B,548.00M,1.277B,3.179B
BLK,2019-12,-784.00M,4.607B,1.895B,0,8.38,8.29,32.96B,1.545B,2.082B,2019-12,1.301B,-22.00M,-22.00M,669.00M,3.792B,6.118B,1.586B,1.252B,1.634B,300.00M,3.977B,467.00M,32.41B,163.87B,2.00M,7.633B,1.252B,131.40B,156.24B,130.15B,496.00M,1.225B,3.026B
BLK,2019-09,-664.00M,4.023B,1.777B,0,7.21,7.15,32.99B,1.495B,1.915B,2019-09,1.119B,-35.00M,-35.00M,659.00M,3.825B,6.106B,1.499B,1.277B,1.46B,341.00M,3.692B,388.00M,31.89B,163.35B,2.00M,6.886B,1.277B,131.40B,156.46B,130.12B,416.00M,1.292B,2.863B
BLK,2019-06,-623.00M,4.061B,1.751B,0,6.46,6.41,31.35B,1.45B,1.773B,2019-06,1.003B,-32.00M,-32.00M,656.00M,3.654B,134.00M,1.303B,1.225B,1.335B,322.00M,3.524B,445.00M,31.31B,165.01B,2.00M,6.832B,6.191B,133.65B,158.18B,127.46B,470.00M,1.403B,2.771B
BLK,2019-03,-691.00M,6.488B,1.71B,0,6.65,6.61,31.36B,1.393B,1.636B,2019-03,1.053B,-17.00M,-17.00M,643.00M,3.571B,4.979B,1.247B,1.292B,1.358B,298.00M,3.346B,374.00M,32.37B,159.57B,2.00M,9.145B,1.292B,127.14B,150.43B,125.85B,389.00M,0,2.657B
BLK,2018-12,-616.00M,6.58B,1.664B,0,5.84,5.78,31.38B,1.353B,1.77B,2018-12,927.00M,-5.00M,-5.00M,588.00M,3.555B,44.00M,1.26B,1.403B,1.174B,247.00M,3.434B,495.00M,32.42B,174.86B,2.00M,9.262B,6.394B,142.39B,165.60B,136.00B,510.00M,0,2.682B
BLK,2018-09,-575.00M,6.724B,1.754B,0,7.59,7.54,30.58B,1.309B,1.822B,2018-09,1.216B,-17.00M,-17.00M,581.00M,3.511B,4.994B,1.432B,1.216B,1.429B,226.00M,3.576B,377.00M,32.13B,195.55B,2.00M,9.291B,1.216B,163.36B,186.26B,162.15B,390.00M,1.216B,2.567B
BLK,2018-06,-301.00M,6.081B,1.761B,0,6.67,6.62,30.60B,1.287B,1.844B,2018-06,1.073B,-27.00M,-27.00M,589.00M,3.516B,5.036B,1.443B,1.421B,1.416B,338.00M,3.605B,390.00M,31.98B,216.02B,2.00M,8.758B,1.421B,184.00B,207.26B,182.57B,401.00M,1.421B,2.677B
BLK,2018-03,-432.00M,7.038B,1.814B,0,6.75,6.68,30.61B,1.25B,1.769B,2018-03,1.089B,-31.00M,-31.00M,592.00M,3.527B,5.014B,1.382B,1.161B,1.359B,265.00M,3.583B,376.00M,31.80B,220.24B,2.00M,9.737B,1.161B,188.39B,210.50B,187.23B,387.00M,1.161B,2.699B
BLK,2017-12,-473.00M,6.247B,1.817B,0,14.23,14.01,30.63B,1.279B,1.947B,2017-12,2.295B,-32.00M,-32.00M,571.00M,4.966B,5.00B,1.502B,1.652B,1.486B,-815.00M,3.764B,433.00M,30.04B,220.57B,2.00M,9.43B,1.652B,190.47B,211.14B,188.82B,445.00M,1.652B,3.183B
BLK,2017-09,-575.00M,5.582B,1.737B,0,5.83,5.76,30.62B,1.22B,1.771B,2017-09,944.00M,-31.00M,-31.00M,549.00M,4.981B,4.97B,1.399B,1.52B,1.399B,443.00M,3.508B,345.00M,29.56B,217.49B,2.00M,8.566B,1.52B,187.87B,208.92B,186.35B,372.00M,1.52B,2.984B
BLK,2017-06,-677.00M,5.814B,1.629B,0,5.26,5.2,30.45B,1.182B,1.607B,2017-06,854.00M,-35.00M,-35.00M,546.00M,5.03B,5.619B,1.238B,2.00B,1.238B,374.00M,3.236B,344.00M,29.16B,230.59B,2.00M,9.041B,2.00B,201.38B,221.54B,199.38B,369.00M,2.00B,3.227B
BLK,2017-03,-716.00M,6.175B,1.628B,0,5.27,5.21,30.48B,1.16B,1.464B,2017-03,859.00M,-58.00M,-58.00M,559.00M,4.84B,4.915B,1.128B,880.00M,1.136B,268.00M,3.092B,311.00M,29.10B,220.18B,2.00M,8.29B,880.00M,191.03B,211.89B,190.15B,336.00M,880.00M,2.115B
BLK,2016-12,-598.00M,5.615B,2.42B,0,5.21,5.13,30.51B,1.195B,1.576B,2016-12,847.00M,-44.00M,-44.00M,564.00M,4.832B,4.961B,1.212B,1.354B,1.182B,335.00M,3.996B,340.00M,28.90B,226.74B,2.00M,8.216B,1.354B,197.78B,218.52B,196.42B,364.00M,1.354B,2.601B
BLK,2016-09,-560.00M,5.237B,1.291B,0,5.33,5.26,30.54B,1.197B,1.546B,2016-09,875.00M,-30.00M,-30.00M,576.00M,4.899B,4.95B,1.209B,1.615B,1.21B,333.00M,2.837B,312.00M,28.57B,222.06B,2.00M,8.122B,1.615B,193.42B,213.93B,191.80B,337.00M,1.615B,2.885B
BLK,2016-06,-474.00M,5.084B,1.29B,0,4.79,4.73,30.47B,1.173B,1.514B,2016-06,789.00M,-45.00M,-45.00M,581.00M,4.937B,4.968B,1.173B,1.385B,1.148B,353.00M,2.804B,316.00M,28.39B,222.96B,2.00M,7.61B,1.385B,194.49B,215.35B,193.10B,341.00M,1.385B,2.526B
BLK,2016-03,-448.00M,6.231B,1.242B,0,3.97,3.92,30.50B,1.151B,1.382B,2016-03,657.00M,-46.00M,-46.00M,581.00M,4.851B,4.93B,1.039B,1.068B,915.00M,268.00M,2.624B,318.00M,28.50B,225.26B,2.00M,8.468B,1.068B,196.68B,216.79B,195.61B,343.00M,1.068B,2.237B
BLK,2015-12,-408.00M,5.749B,1.292B,0,5.19,5.11,30.32B,1.167B,1.571B,2015-12,861.00M,-46.00M,-46.00M,543.00M,4.921B,4.95B,1.137B,1.343B,1.148B,279.00M,2.863B,410.00M,28.14B,222.22B,2.00M,8.291B,1.343B,193.99B,213.92B,192.65B,434.00M,1.343B,2.542B
BLK,2015-09,-339.00M,4.971B,1.335B,0,5.08,5,30.36B,1.18B,1.575B,2015-09,843.00M,-38.00M,-38.00M,545.00M,4.999B,4.947B,1.222B,1.284B,1.174B,342.00M,2.91B,319.00M,27.78B,237.01B,2.00M,7.318B,1.284B,209.14B,229.69B,207.85B,353.00M,1.284B,2.347B
BLK,2015-06,-439.00M,4.572B,1.32B,0,4.92,4.84,30.40B,1.142B,1.585B,2015-06,819.00M,-47.00M,-47.00M,537.00M,5.077B,8.902B,1.238B,1.714B,1.197B,371.00M,2.905B,312.00M,27.38B,242.71B,2.00M,7.408B,1.714B,215.24B,235.31B,213.52B,347.00M,1.714B,2.836B
BLK,2015-03,-273.00M,6.001B,1.282B,0,4.92,4.84,30.30B,1.054B,1.441B,2015-03,822.00M,-47.00M,-47.00M,467.00M,4.989B,8.311B,1.067B,1.035B,1.083B,258.00M,2.723B,339.00M,27.37B,239.79B,2.00M,8.121B,1.035B,212.31B,231.67B,211.27B,374.00M,1.035B,2.12B
BLK,2014-12,-169.00M,6.324B,1.218B,0,4.86,4.77,30.34B,1.148B,1.566B,2014-12,813.00M,-52.00M,-52.00M,468.00M,5.056B,8.826B,1.194B,1.576B,1.084B,278.00M,2.784B,337.00M,27.11B,222.81B,2.00M,8.955B,1.576B,195.58B,213.86B,194.00B,372.00M,1.576B,2.631B
BLK,2014-09,1.00M,5.497B,1.276B,0,5.46,5.37,30.39B,1.167B,1.573B,2014-09,917.00M,-51.00M,-51.00M,496.00M,5.177B,8.635B,1.157B,3.091B,1.105B,232.00M,2.849B,376.00M,26.88B,231.69B,2.00M,9.704B,3.091B,204.67B,221.99B,201.58B,416.00M,3.091B,4.207B
BLK,2014-06,-35.00M,4.585B,1.238B,0,4.79,4.72,30.43B,1.149B,1.54B,2014-06,808.00M,-57.00M,-57.00M,508.00M,5.241B,8.18B,1.122B,1.615B,1.138B,297.00M,2.778B,377.00M,26.48B,216.30B,2.00M,7.453B,1.615B,189.68B,208.84B,188.07B,418.00M,1.615B,2.868B
BLK,2014-03,-35.00M,4.551B,1.265B,0,4.47,4.4,30.48B,1.136B,1.405B,2014-03,756.00M,-43.00M,-43.00M,525.00M,5.085B,7.308B,1.051B,1.084B,1.068B,324.00M,2.67B,313.00M,26.46B,219.87B,2.00M,6.798B,1.084B,193.26B,213.08B,192.17B,354.00M,1.084B,2.247B
BLK,2013-12,-79.00M,4.08B,1.193B,0,4.98,4.86,30.45B,1.172B,1.584B,2013-12,841.00M,-48.00M,-48.00M,523.00M,5.237B,7.006B,1.257B,3.322B,1.157B,307.00M,2.777B,286.00M,26.00B,212.72B,2.00M,8.391B,3.322B,186.57B,204.33B,183.25B,327.00M,3.322B,4.311B
BLK,2013-09,-198.00M,3.793B,1.132B,100.00M,4.3,4.21,30.22B,1.138B,1.34B,2013-09,730.00M,-44.00M,-44.00M,524.00M,5.318B,7.083B,966.00M,1.271B,948.00M,219.00M,2.472B,334.00M,25.59B,193.74B,2.00M,6.042B,1.271B,167.99B,187.70B,166.72B,374.00M,1.271B,2.249B
BLK,2013-06,-166.00M,4.232B,1.128B,1.943B,4.27,4.19,30.27B,1.122B,1.354B,2013-06,729.00M,-49.00M,-49.00M,529.00M,5.379B,8.019B,849.00M,1.657B,918.00M,212.00M,2.482B,465.00M,25.34B,200.74B,2.00M,6.85B,1.657B,175.11B,193.89B,173.45B,505.00M,1.657B,2.618B
BLK,2013-03,-59.00M,4.903B,1.169B,1.539B,3.69,3.62,30.31B,1.129B,1.28B,2013-03,632.00M,-48.00M,-48.00M,557.00M,5.293B,8.089B,909.00M,1.055B,950.00M,284.00M,2.449B,331.00M,25.40B,200.45B,2.00M,7.153B,1.155B,174.87B,193.30B,173.71B,371.00M,1.055B,2.25B
BLK,2012-12,-58.00M,4.515B,1.093B,1.647B,4.02,3.93,30.35B,1.124B,1.446B,2012-12,690.00M,-48.00M,-48.00M,560.00M,5.311B,6.186B,1.005B,2.646B,938.00M,288.00M,2.539B,401.00M,25.06B,192.83B,2.00M,7.10B,4.598B,167.52B,185.73B,162.92B,441.00M,1.442B,2.585B
BLK,2012-09,-126.00M,3.639B,1.079B,100.00M,3.72,3.65,30.33B,1.115B,1.241B,2012-09,642.00M,-47.00M,-47.00M,571.00M,5.385B,6.185B,875.00M,1.89B,905.00M,250.00M,2.32B,327.00M,24.67B,182.48B,2.00M,5.794B,3.438B,157.56B,176.69B,154.12B,366.00M,1.042B,2.155B
BLK,2012-06,-90.00M,2.647B,1.037B,100.00M,3.13,3.08,30.38B,1.059B,1.192B,2012-06,554.00M,-44.00M,-44.00M,545.00M,5.429B,4.69B,829.00M,1.835B,789.00M,229.00M,2.229B,324.00M,25.30B,185.52B,1.00M,5.098B,3.491B,159.92B,180.42B,156.42B,363.00M,1.284B,2.451B
