Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BMY,2020-12,-1.839B,16.45B,2.91B,2.504B,86.00M,-4.45,-4.45,73.79B,10.33B,8.158B,2020-12,2.074B,-10.03B,-355.00M,-355.00M,6.745B,6.108B,49.17B,-839.00M,4.923B,-10.45B,-424.00M,3.75B,11.07B,2.721B,37.82B,118.48B,292.00M,30.19B,19.08B,80.60B,88.29B,61.52B,8.997B,4.489B,8.501B
BMY,2020-09,-1.699B,21.28B,2.502B,3.721B,92.00M,0.83,0.82,77.22B,10.12B,8.038B,2020-09,1.949B,1.872B,-346.00M,-346.00M,6.458B,6.575B,42.09B,1.342B,4.55B,2.257B,379.00M,2.499B,10.54B,1.706B,50.16B,125.54B,292.00M,34.28B,20.46B,75.31B,91.26B,54.84B,6.696B,4.17B,8.062B
BMY,2020-06,-1.556B,21.79B,2.699B,4.954B,103.00M,-0.04,-0.04,79.75B,9.313B,7.43B,2020-06,2.384B,-85.00M,-357.00M,-357.00M,5.777B,6.819B,42.56B,891.00M,6.594B,1.627B,1.707B,2.522B,10.13B,1.628B,49.09B,128.08B,292.00M,34.34B,23.42B,78.92B,93.73B,55.50B,6.539B,6.161B,7.855B
BMY,2020-03,-1.549B,18.32B,3.662B,3.998B,93.00M,-0.34,-0.34,84.12B,9.553B,7.119B,2020-03,2.836B,-775.00M,-362.00M,-362.00M,6.112B,7.179B,43.53B,783.00M,6.495B,-304.00M,462.00M,2.372B,10.78B,1.606B,49.91B,129.28B,292.00M,31.85B,19.23B,79.31B,97.43B,60.08B,6.336B,6.102B,8.29B
BMY,2019-12,-1.52B,15.39B,2.492B,3.479B,0,-0.55,-0.55,86.46B,10.91B,5.453B,2019-12,4.293B,-1.056B,-279.00M,-279.00M,6.956B,7.165B,44.06B,560.00M,5.48B,-129.00M,931.00M,2.097B,7.945B,1.734B,51.60B,129.94B,292.00M,29.35B,18.30B,78.25B,100.59B,59.94B,4.893B,4.987B,7.685B
BMY,2019-09,-1.463B,32.54B,1.79B,635.00M,0,0.83,0.83,7.515B,8.787B,4.217B,2019-09,1.192B,1.353B,-209.00M,-209.00M,4.83B,448.00M,24.39B,1.759B,8.843B,1.349B,-17.00M,1.378B,6.007B,1.055B,17.65B,57.43B,221.00M,40.19B,10.49B,39.68B,17.24B,29.19B,2.458B,3.102B,5.51B
BMY,2019-06,-2.621B,29.36B,1.972B,612.00M,0,0.88,0.87,7.528B,8.694B,4.301B,2019-06,1.308B,1.432B,-123.00M,-123.00M,4.849B,718.00M,24.43B,1.876B,8.126B,1.776B,337.00M,1.325B,6.273B,1.076B,16.05B,55.16B,221.00M,37.72B,9.711B,39.01B,17.45B,29.30B,2.425B,3.036B,5.667B
BMY,2019-03,-2.644B,8.764B,1.824B,421.00M,0,1.05,1.04,7.562B,8.911B,4.096B,2019-03,1.283B,1.71B,-45.00M,-45.00M,4.985B,486.00M,5.635B,1.718B,7.786B,1.979B,264.00M,1.348B,5.92B,1.006B,15.22B,34.83B,221.00M,17.09B,8.841B,19.52B,17.74B,10.68B,2.378B,3.172B,5.704B
BMY,2018-12,-2.762B,8.759B,1.61B,1.703B,0,0.73,0.73,7.629B,8.845B,4.363B,2018-12,1.195B,1.16B,-48.00M,-48.00M,5.027B,0,5.646B,1.563B,3.028B,1.505B,347.00M,1.367B,5.973B,1.336B,14.03B,34.99B,221.00M,17.72B,10.65B,20.86B,17.27B,10.20B,2.80B,2.959B,5.747B
BMY,2018-09,-2.326B,6.83B,1.648B,1.62B,0,1.16,1.16,7.793B,9.176B,4.043B,2018-09,1.282B,1.901B,-44.00M,-44.00M,5.092B,0,5.687B,1.659B,7.183B,2.167B,255.00M,1.28B,5.691B,1.104B,13.64B,33.73B,221.00M,14.87B,9.694B,19.98B,18.86B,10.29B,2.384B,2.781B,5.871B
BMY,2018-06,-2.334B,6.075B,1.625B,1.716B,88.00M,0.23,0.23,7.773B,9.111B,4.079B,2018-06,1.242B,373.00M,-45.00M,-45.00M,5.08B,501.00M,5.671B,513.00M,7.468B,517.00M,135.00M,2.435B,5.704B,1.131B,12.32B,32.64B,221.00M,13.87B,9.878B,20.22B,18.77B,10.34B,3.566B,2.899B,5.559B
