Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BR,2020-12,-57.10M,365.60M,806.50M,40.20M,182.00M,0.49,0.48,2.249B,423.00M,248.40M,2020-12,56.30M,-11.10M,-11.10M,423.00M,316.70M,2.028B,79.40M,384.30M,69.40M,13.10M,1.055B,169.00M,1.434B,4.858B,1.60M,1.148B,837.90M,3.424B,3.710B,2.586B,169.00M,260.40M,625.00M
BR,2020-09,-62.90M,356.60M,787.10M,40.70M,148.30M,0.57,0.56,2.262B,426.20M,230.30M,2020-09,65.80M,-14.40M,-14.40M,426.20M,307.30M,2.045B,78.60M,398.40M,73.60M,7.80M,1.017B,151.70M,1.414B,4.750B,1.60M,1.12B,744.00M,3.336B,3.630B,2.592B,151.70M,277.20M,619.10M
BR,2020-06,-100.40M,476.60M,884.20M,435.20M,155.70M,2,1.97,2.258B,761.20M,477.70M,2020-06,229.70M,-15.70M,-15.70M,454.20M,302.20M,1.676B,298.80M,490.00M,294.70M,65.00M,1.362B,178.90M,1.347B,4.890B,1.60M,1.328B,1.341B,3.543B,3.562B,2.202B,178.90M,321.10M,711.30M
BR,2020-03,-67.20M,402.00M,872.50M,432.10M,175.40M,1.46,1.43,2.316B,451.50M,377.40M,2020-03,166.80M,-16.20M,-16.20M,451.50M,272.50M,1.974B,226.30M,434.40M,210.50M,43.60M,1.250B,151.10M,1.203B,4.914B,1.60M,1.361B,1.255B,3.711B,3.553B,2.456B,151.10M,306.50M,814.70M
BR,2019-12,-67.70M,234.00M,780.90M,429.40M,151.80M,0.09,0.09,2.272B,373.30M,187.80M,2019-12,10.10M,-13.90M,-13.90M,373.30M,249.20M,1.672B,26.80M,370.00M,10.50M,0.40M,968.70M,161.00M,1.125B,4.385B,1.60M,1.011B,1.125B,3.259B,3.374B,2.134B,161.00M,257.60M,616.00M
BR,2019-09,-79.50M,358.30M,727.50M,429.30M,148.70M,0.49,0.48,2.042B,414.30M,221.10M,2019-09,55.90M,-13.20M,-13.20M,414.30M,250.70M,1.584B,73.10M,321.60M,63.80M,7.90M,948.60M,148.00M,1.144B,4.220B,1.60M,1.095B,1.041B,3.076B,3.125B,2.036B,148.00M,211.10M,600.70M
BR,2019-06,-71.20M,273.20M,811.60M,0,125.70M,1.59,1.55,2.056B,612.80M,399.60M,2019-06,183.30M,-11.30M,-11.30M,188.90M,247.40M,1.470B,240.80M,444.70M,230.10M,46.80M,1.211B,158.80M,1.128B,3.881B,1.60M,1.042B,802.60M,2.753B,2.838B,1.950B,158.80M,304.60M,664.00M
BR,2019-03,-64.10M,292.10M,847.30M,0,146.10M,1.49,1.45,1.684B,183.40M,377.50M,2019-03,172.20M,-10.00M,-10.00M,183.40M,259.50M,1.174B,233.60M,369.30M,223.60M,51.40M,1.225B,143.90M,1.266B,3.602B,1.60M,1.195B,705.20M,2.336B,2.407B,1.631B,143.90M,290.20M,792.80M
BR,2018-12,-69.20M,249.70M,734.00M,0,130.90M,0.43,0.42,1.700B,187.90M,219.40M,2018-12,49.90M,-10.70M,-10.70M,187.90M,243.20M,1.194B,78.20M,317.80M,64.30M,14.40M,953.40M,141.20M,1.123B,3.358B,1.60M,966.40M,597.90M,2.235B,2.391B,1.637B,141.20M,267.30M,607.40M
BR,2018-09,-63.50M,204.60M,739.00M,0,137.80M,0.66,0.64,1.729B,192.50M,233.80M,2018-09,76.70M,-9.60M,-9.60M,192.50M,222.80M,1.144B,100.10M,309.00M,89.30M,12.60M,972.80M,133.70M,1.234B,3.382B,1.60M,967.90M,573.20M,2.148B,2.414B,1.574B,133.70M,255.20M,650.10M
BR,2018-06,-51.90M,263.80M,869.60M,125.00M,145.50M,1.76,1.72,1.749B,596.20M,450.80M,2018-06,206.80M,-10.00M,-10.00M,204.00M,133.10M,1.053B,266.10M,359.50M,258.00M,51.20M,1.320B,184.70M,1.094B,3.305B,1.60M,991.10M,777.30M,2.210B,2.314B,1.433B,184.70M,274.30M,615.00M
BR,2018-03,-34.60M,352.10M,802.50M,124.90M,237.60M,0.93,0.9,1.722B,197.90M,269.40M,2018-03,109.10M,-9.00M,-9.00M,197.90M,120.30M,1.203B,130.80M,280.40M,125.20M,16.20M,1.072B,138.60M,1.162B,3.485B,1.60M,1.203B,767.30M,2.323B,2.282B,1.556B,138.60M,212.40M,714.10M
