Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BRK.B,2020-12,-4.243B,138.29B,3.348B,15.01,15.01,104.42B,2020-12,35.84B,19.20B,-1.057B,-1.057B,187.02B,74.10B,113.55B,44.50B,45.40B,9.273B,103.74B,5.505B,443.16B,873.73B,8.00M,174.14B,47.85B,422.39B,777.45B,345.45B,41.12B,50.82B,35.85B
BRK.B,2020-09,-5.19B,145.72B,3.36B,12.66,12.66,101.52B,2020-09,30.14B,18.58B,-1.00B,-1.00B,176.25B,67.34B,104.33B,50.82B,37.93B,7.517B,94.61B,5.181B,415.16B,829.95B,8.00M,183.54B,54.18B,410.73B,752.30B,328.65B,39.71B,41.78B,37.82B
BRK.B,2020-06,-5.967B,146.59B,3.158B,10.88,10.88,101.60B,2020-06,26.30B,18.18B,-1.002B,-1.002B,174.79B,61.27B,103.53B,41.78B,35.41B,9.002B,96.92B,4.652B,393.50B,788.13B,8.00M,183.36B,44.94B,390.88B,702.10B,318.08B,24.45B,48.24B,36.77B
BRK.B,2020-03,-6.721B,137.26B,3.555B,-20.44,-20.44,112.94B,2020-03,-49.75B,17.66B,-1.024B,-1.024B,173.42B,52.57B,100.68B,48.24B,-63.05B,-13.35B,-9.01B,4.471B,371.56B,760.45B,8.00M,175.22B,51.80B,385.21B,666.36B,306.00B,38.03B,49.31B,37.96B
BRK.B,2019-12,-5.243B,128.00B,4.686B,11.92,11.92,113.53B,2019-12,29.16B,17.53B,-993.00M,-993.00M,174.34B,66.80B,98.68B,42.32B,36.80B,7.571B,96.68B,5.581B,424.79B,817.73B,8.00M,163.83B,47.00B,389.17B,703.97B,314.70B,41.27B,0,35.84B
BRK.B,2019-09,-5.408B,128.15B,4.499B,6.746,6.746,112.63B,2019-09,16.52B,17.14B,-985.00M,-985.00M,171.49B,60.39B,97.70B,49.31B,20.49B,3.832B,75.90B,4.384B,397.61B,788.48B,8.00M,166.31B,53.81B,386.92B,662.20B,306.24B,40.33B,0,38.15B
BRK.B,2019-06,-4.678B,122.38B,4.261B,5.739,5.739,112.93B,2019-06,14.07B,16.81B,-992.00M,-992.00M,169.46B,59.62B,95.65B,40.59B,17.76B,3.586B,73.65B,4.829B,382.54B,760.11B,8.00M,159.96B,44.85B,373.72B,664.26B,302.15B,40.62B,0,37.58B
BRK.B,2019-03,-4.727B,114.17B,3.91B,8.806,8.806,113.12B,2019-03,21.66B,16.43B,-991.00M,-991.00M,167.42B,56.85B,93.28B,39.81B,27.65B,5.915B,81.00B,4.432B,368.88B,738.72B,8.00M,151.34B,43.72B,366.13B,661.58B,295.97B,38.70B,0,37.17B
BRK.B,2018-12,-5.015B,111.87B,4.373B,-10.29,-10.32,113.17B,2018-12,-25.39B,16.28B,-971.00M,-971.00M,166.71B,51.38B,93.12B,37.19B,-32.72B,-7.33B,28.21B,4.422B,348.70B,707.79B,8.00M,147.10B,41.56B,355.29B,628.10B,287.60B,40.49B,0,35.23B
BRK.B,2018-09,-3.927B,103.64B,3.517B,7.52,7.52,114.28B,2018-09,18.54B,14.48B,-950.00M,-950.00M,165.02B,59.34B,94.12B,40.20B,23.15B,4.44B,78.16B,4.494B,375.61B,736.46B,8.00M,135.53B,43.72B,357.04B,648.69B,287.23B,40.64B,0,31.88B
