Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BSX,2020-12,207.00M,1.734B,1.00B,13.00M,138.00M,0.1,0.1,15.87B,5.765B,1.709B,2020-12,1.351B,210.00M,-96.00M,-96.00M,2.541B,587.00M,9.526B,189.00M,2.365B,307.00M,96.00M,286.00M,2.709B,1.027B,15.33B,30.78B,17.00M,6.694B,3.681B,15.45B,24.08B,11.77B,1.52B,671.00M,1.531B
BSX,2020-09,151.00M,2.022B,869.00M,11.00M,147.00M,-0.12,-0.12,16.93B,5.487B,1.79B,2020-09,1.472B,-155.00M,-85.00M,-85.00M,2.375B,522.00M,9.32B,282.00M,2.132B,-227.00M,-72.00M,315.00M,2.659B,984.00M,15.56B,30.84B,17.00M,6.16B,3.302B,15.28B,24.68B,11.98B,1.508B,489.00M,1.598B
BSX,2020-06,131.00M,1.724B,791.00M,254.00M,143.00M,-0.11,-0.11,17.26B,5.516B,1.212B,2020-06,1.516B,-147.00M,-91.00M,-91.00M,2.394B,836.00M,9.535B,-33.00M,2.005B,-181.00M,-33.00M,242.00M,2.003B,798.00M,15.62B,30.82B,17.00M,5.803B,3.108B,15.21B,25.02B,12.10B,1.245B,601.00M,1.457B
BSX,2020-03,168.00M,370.00M,806.00M,1.004B,141.00M,0.01,0.01,17.49B,5.529B,1.737B,2020-03,1.628B,11.00M,-87.00M,-87.00M,2.425B,840.00M,9.593B,246.00M,2.201B,22.00M,12.00M,300.00M,2.543B,978.00M,13.80B,30.11B,16.00M,4.823B,3.976B,16.31B,25.29B,12.33B,1.491B,851.00M,1.702B
BSX,2019-12,270.00M,217.00M,851.00M,1.416B,144.00M,2.87,2.83,18.06B,5.504B,2.053B,2019-12,1.579B,3.996B,-178.00M,-178.00M,2.415B,852.00M,8.861B,435.00M,2.445B,-6.00M,-4.002B,308.00M,2.904B,1.092B,13.88B,30.56B,16.00M,4.699B,4.866B,16.69B,25.87B,11.82B,1.618B,807.00M,1.828B
BSX,2019-09,138.00M,277.00M,777.00M,1.297B,115.00M,0.09,0.09,18.09B,4.997B,1.93B,2019-09,1.566B,126.00M,-87.00M,-87.00M,1.942B,807.00M,9.576B,419.00M,2.115B,91.00M,-35.00M,306.00M,2.707B,1.012B,9.698B,26.76B,16.00M,4.847B,4.254B,17.06B,21.91B,12.80B,1.511B,512.00M,1.796B
BSX,2019-06,78.00M,123.00M,758.00M,1.949B,0,0.11,0.11,14.94B,4.86B,1.873B,2019-06,1.30B,154.00M,-75.00M,-75.00M,1.82B,416.00M,7.576B,447.00M,1.985B,145.00M,-9.00M,280.00M,2.631B,968.00M,9.424B,24.31B,16.00M,6.334B,4.85B,14.88B,17.97B,10.03B,1.426B,524.00M,1.712B
BSX,2019-03,87.00M,139.00M,730.00M,1.638B,0,0.31,0.3,14.63B,4.776B,1.763B,2019-03,1.228B,424.00M,-102.00M,-102.00M,1.782B,441.00M,7.574B,438.00M,1.934B,457.00M,33.00M,280.00M,2.493B,869.00M,9.232B,23.80B,16.00M,6.234B,4.479B,14.57B,17.57B,10.09B,1.325B,498.00M,1.621B
BSX,2018-12,33.00M,146.00M,729.00M,2.253B,0,0.28,0.27,14.28B,4.74B,1.832B,2018-12,1.166B,386.00M,-63.00M,-63.00M,1.782B,328.00M,4.777B,411.00M,2.009B,296.00M,-90.00M,288.00M,2.561B,953.00M,8.725B,21.00B,16.00M,4.003B,5.26B,12.27B,17.00B,7.013B,1.421B,474.00M,1.645B
BSX,2018-09,25.00M,168.00M,672.00M,1.82B,0,0.31,0.31,13.88B,4.727B,1.721B,2018-09,1.134B,432.00M,-58.00M,-58.00M,1.731B,428.00M,4.778B,397.00M,1.872B,456.00M,24.00M,289.00M,2.393B,870.00M,8.289B,20.38B,16.00M,3.971B,5.082B,12.09B,16.41B,7.008B,1.324B,453.00M,1.58B
BSX,2018-06,-16.00M,208.00M,739.00M,1.685B,0,0.4,0.4,13.18B,4.71B,1.751B,2018-06,1.087B,555.00M,-56.00M,-56.00M,1.715B,364.00M,4.776B,426.00M,1.627B,347.00M,-209.00M,275.00M,2.49B,886.00M,7.744B,19.62B,16.00M,3.929B,4.753B,11.87B,15.69B,7.118B,1.325B,403.00M,1.587B
BSX,2018-03,-128.00M,287.00M,672.00M,962.00M,0,0.22,0.21,12.70B,4.696B,1.707B,2018-03,1.113B,298.00M,-60.00M,-60.00M,1.70B,128.00M,4.768B,427.00M,1.597B,323.00M,26.00M,261.00M,2.379B,860.00M,7.029B,19.20B,16.00M,4.08B,4.988B,12.17B,15.12B,7.184B,1.28B,404.00M,1.58B
BSX,2017-12,-59.00M,188.00M,674.00M,1.801B,0,-0.45,-0.45,12.84B,4.624B,1.734B,2017-12,1.078B,-615.00M,-56.00M,-56.00M,1.696B,191.00M,3.777B,426.00M,1.81B,227.00M,841.00M,263.00M,2.408B,886.00M,7.011B,19.04B,16.00M,3.822B,5.654B,12.03B,15.22B,6.376B,1.308B,530.00M,1.548B
