Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
BXP,2020-12,-49.89M,1.669B,260.38M,0,0.05,0.05,0,404.71M,2020-12,10.31M,-110.32M,-110.32M,0,13.49B,205.64M,613.63M,24.90M,0,0,665.09M,31.05M,5.996B,22.86B,201.56M,3.049B,613.63M,14.52B,19.81B,13.90B,199.07M,507.35M,1.296B
BXP,2020-09,-52.62M,1.715B,264.32M,0,0.58,0.58,0,428.95M,2020-09,92.48M,-111.04M,-111.04M,0,13.48B,234.63M,605.86M,118.06M,0,0,693.27M,27.86M,6.130B,22.96B,201.56M,3.162B,605.86M,14.46B,19.80B,13.86B,194.32M,517.03M,1.290B
BXP,2020-06,-54.92M,1.691B,244.24M,0,1.71,1.71,0,410.53M,2020-06,269.15M,-105.84M,-105.84M,0,13.48B,194.60M,594.64M,298.58M,0,0,654.77M,37.74M,6.182B,23.00B,201.56M,3.304B,594.64M,14.45B,19.70B,13.86B,215.93M,499.37M,1.256B
BXP,2020-03,-55.70M,660.73M,273.02M,250.00M,3.2,3.2,0,479.53M,2020-03,500.12M,-98.57M,-98.57M,0,12.24B,271.98M,547.24M,577.15M,0,0,752.56M,36.45M,6.048B,21.83B,201.55M,2.239B,797.24M,13.41B,19.59B,12.61B,207.55M,464.86M,1.244B
BXP,2019-12,-48.34M,644.95M,279.40M,0,0.91,0.91,0,478.10M,2019-12,143.46M,-98.49M,-98.49M,0,12.24B,275.41M,638.28M,176.01M,0,0,757.50M,32.80M,5.685B,21.28B,201.55M,1.981B,638.28M,13.27B,19.30B,12.63B,202.69M,548.27M,1.248B
BXP,2019-09,-52.00M,751.21M,276.78M,0,0.7,0.7,0,466.78M,2019-09,110.40M,-99.29M,-99.29M,0,12.26B,269.77M,669.87M,141.37M,0,0,743.55M,31.15M,5.672B,21.29B,201.55M,2.120B,669.87M,13.29B,19.17B,12.62B,197.01M,586.69M,1.205B
BXP,2019-06,-51.34M,1.087B,269.45M,0,1.06,1.06,0,464.29M,2019-06,166.94M,-98.74M,-98.74M,0,12.22B,251.80M,673.14M,203.46M,0,0,733.74M,35.07M,5.716B,21.27B,201.55M,2.392B,673.14M,13.25B,18.88B,12.57B,212.48M,583.85M,1.161B
BXP,2019-03,-48.73M,360.09M,268.78M,0,0.63,0.63,0,456.99M,2019-03,100.73M,-97.26M,-97.26M,0,11.38B,250.64M,583.41M,131.16M,0,0,725.77M,41.76M,5.837B,20.50B,201.54M,1.710B,583.41M,12.33B,18.79B,11.75B,206.36M,494.24M,1.146B
BXP,2018-12,-47.74M,543.36M,263.48M,0,0.96,0.96,0,441.67M,2018-12,151.14M,-96.60M,-96.60M,0,11.01B,248.55M,531.03M,185.24M,0,0,705.16M,27.68M,5.883B,20.26B,201.54M,1.841B,531.03M,12.04B,18.42B,11.51B,193.12M,441.76M,1.121B
BXP,2018-09,-45.14M,322.50M,259.33M,170.00M,0.77,0.77,0,426.95M,2018-09,121.74M,-92.54M,-92.54M,0,10.72B,239.28M,573.39M,150.44M,0,0,686.28M,29.68M,5.877B,20.14B,201.54M,1.662B,743.39M,11.93B,18.48B,11.19B,187.67M,480.58M,1.105B
BXP,2018-06,-47.70M,472.56M,248.50M,0,0.83,0.83,0,415.98M,2018-06,131.31M,-89.62M,-89.62M,0,10.72B,231.10M,563.17M,160.56M,0,0,664.48M,28.47M,5.893B,19.96B,201.54M,1.789B,563.17M,11.75B,18.17B,11.18B,184.88M,466.33M,976.31M
BXP,2018-03,-49.06M,294.57M,251.29M,115.00M,1.14,1.14,0,409.86M,2018-03,178.65M,-88.57M,-88.57M,0,10.22B,208.17M,590.40M,216.31M,0,0,661.15M,35.89M,5.879B,19.58B,201.54M,1.565B,705.40M,11.40B,18.02B,10.69B,201.69M,494.22M,962.31M
BXP,2017-12,-50.43M,434.77M,242.01M,45.00M,0.67,0.67,0,413.22M,2017-12,106.48M,-89.44M,-89.44M,0,10.23B,229.56M,554.19M,132.20M,0,0,655.23M,29.40M,5.814B,19.37B,201.54M,1.537B,599.19M,11.27B,17.84B,10.67B,183.66M,470.54M,953.76M
BXP,2017-09,-51.80M,493.06M,245.79M,0,0.76,0.76,0,411.92M,2017-09,119.96M,-90.70M,-90.70M,0,10.23B,233.97M,554.97M,147.70M,0,0,657.71M,25.79M,5.825B,19.31B,201.54M,1.637B,554.97M,11.21B,17.67B,10.65B,177.96M,455.87M,915.16M
BXP,2017-06,-53.16M,492.44M,238.86M,0,0.87,0.87,0,418.05M,2017-06,136.33M,-93.64M,-93.64M,0,10.24B,238.99M,519.16M,163.24M,0,0,656.91M,27.14M,5.814B,19.28B,201.54M,1.542B,519.16M,11.21B,17.74B,10.69B,179.06M,433.99M,908.71M
BXP,2017-03,-50.98M,302.94M,235.38M,105.00M,0.63,0.63,0,396.85M,2017-03,99.71M,-94.92M,-94.92M,0,9.782B,206.26M,710.86M,115.43M,0,0,632.23M,31.39M,5.776B,18.97B,201.54M,1.390B,815.86M,11.04B,17.58B,10.23B,190.59M,444.14M,885.14M
BXP,2016-12,-52.25M,356.91M,231.83M,0,0.95,0.94,0,404.23M,2016-12,149.88M,-97.32M,-97.32M,0,9.796B,200.90M,672.76M,245.50M,0,0,636.06M,25.29M,5.786B,18.85B,201.54M,1.441B,672.76M,10.92B,17.41B,10.25B,203.32M,428.83M,891.69M
BXP,2016-09,-73.94M,419.32M,236.68M,0,0.5,0.5,0,388.55M,2016-09,79.34M,-101.01M,-101.01M,0,9.809B,159.64M,660.64M,58.52M,0,0,625.23M,25.16M,5.726B,18.79B,201.54M,1.522B,660.64M,10.93B,17.27B,10.27B,228.91M,426.02M,861.83M
BXP,2016-06,-79.75M,1.180B,225.92M,0,0.63,0.63,0,397.63M,2016-06,99.19M,-103.48M,-103.48M,0,9.934B,219.04M,622.71M,117.36M,0,0,623.55M,25.42M,5.733B,18.96B,201.54M,2.252B,622.71M,11.07B,16.71B,10.44B,178.59M,400.54M,861.68M
BXP,2016-03,-56.71M,1.606B,226.81M,0,1.18,1.18,0,439.18M,2016-03,184.36M,-103.80M,-103.80M,0,10.16B,250.38M,587.38M,148.60M,0,0,665.98M,29.35M,5.750B,19.18B,201.54M,2.655B,587.38M,11.25B,16.52B,10.66B,188.80M,365.81M,841.62M
BXP,2015-12,-14.11M,723.72M,224.53M,0,0.9,0.9,0,399.71M,2015-12,140.55M,-105.74M,-105.74M,0,9.189B,210.95M,792.42M,85.41M,0,0,624.24M,24.30M,5.709B,18.35B,201.54M,1.835B,792.42M,10.46B,16.52B,9.672B,188.76M,602.03M,852.75M
BXP,2015-09,-20.62M,1.387B,227.92M,0,1.2,1.2,0,401.96M,2015-09,186.73M,-105.09M,-105.09M,0,9.910B,228.00M,559.03M,123.79M,0,0,629.88M,20.94M,5.852B,18.98B,201.54M,2.424B,559.03M,10.92B,16.56B,10.36B,173.96M,358.11M,803.59M
