Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CAG,2021-02,-85.70M,80.70M,2.013B,949.30M,0,0.58,0.58,15.66B,5.545B,758.40M,2021-02,1.579B,281.40M,-100.60M,-100.60M,2.527B,1.330B,8.278B,448.70M,2.342B,361.80M,101.60M,2.771B,309.70M,8.252B,22.11B,2.921B,2.628B,3.291B,13.78B,19.48B,10.48B,309.70M,1.443B,841.40M
CAG,2020-11,-85.10M,68.00M,2.106B,987.00M,0,0.77,0.77,15.67B,5.425B,888.90M,2020-11,1.623B,378.90M,-107.70M,-107.70M,2.478B,1.349B,8.280B,531.20M,2.359B,437.20M,80.70M,2.995B,357.70M,8.392B,22.28B,2.921B,2.798B,3.351B,13.81B,19.48B,10.46B,357.70M,1.598B,948.50M
CAG,2020-08,-95.80M,438.20M,1.869B,719.20M,0,0.67,0.67,15.74B,5.311B,810.20M,2020-08,1.580B,329.00M,-113.70M,-113.70M,2.431B,0,8.898B,509.90M,2.383B,410.00M,86.70M,2.679B,300.30M,8.121B,22.38B,2.921B,2.935B,3.102B,14.18B,19.44B,11.08B,300.30M,1.523B,807.80M
CAG,2020-05,-109.60M,553.30M,2.365B,846.60M,0,0.41,0.41,15.75B,5.190B,922.80M,2020-05,1.378B,201.40M,-125.30M,-125.30M,2.390B,0,9.107B,390.80M,2.441B,238.20M,59.80M,3.288B,532.00M,7.876B,22.30B,2.921B,2.886B,3.287B,14.35B,19.42B,11.07B,532.00M,1.526B,860.80M
CAG,2020-02,-72.00M,99.00M,1.871B,924.60M,0,0.42,0.42,15.92B,5.079B,684.40M,2020-02,1.646B,204.40M,-117.70M,-117.70M,2.318B,0,9.094B,364.50M,2.202B,263.20M,68.90M,2.555B,319.90M,7.785B,22.20B,2.921B,2.709B,3.127B,14.34B,19.49B,11.21B,319.90M,1.357B,854.20M
CAG,2019-11,-131.00M,192.00M,2.023B,1.174B,0,0.53,0.53,15.94B,4.983B,797.90M,2019-11,1.770B,260.50M,-121.40M,-121.40M,2.322B,0,9.296B,428.10M,2.251B,318.00M,84.10M,2.821B,369.80M,7.612B,22.49B,2.921B,3.030B,3.426B,14.80B,19.46B,11.38B,369.80M,1.442B,947.60M
CAG,2019-08,-132.40M,64.70M,1.726B,206.10M,0,0.36,0.36,15.99B,4.997B,664.50M,2019-08,1.756B,173.80M,-122.70M,-122.70M,2.348B,0,10.32B,263.70M,2.237B,150.50M,-11.50M,2.391B,400.80M,7.440B,22.35B,2.921B,2.728B,2.450B,14.84B,19.63B,12.39B,400.80M,1.317B,776.30M
CAG,2019-05,-110.30M,236.60M,1.905B,21.60M,0,0.26,0.26,15.97B,4.906B,708.00M,2019-05,1.549B,126.50M,-130.90M,-130.90M,2.327B,0,10.66B,313.30M,2.116B,187.80M,71.80M,2.613B,394.70M,7.385B,22.21B,2.921B,2.734B,2.143B,14.75B,19.48B,12.61B,394.70M,1.252B,818.20M
CAG,2019-02,-85.70M,282.20M,1.955B,19.90M,0,0.5,0.5,16.31B,4.888B,752.30M,2019-02,1.639B,242.00M,-130.90M,-130.90M,2.359B,0,11.11B,418.20M,2.208B,297.10M,67.20M,2.707B,334.10M,7.373B,22.73B,2.921B,2.946B,2.242B,15.28B,19.78B,13.03B,334.10M,1.189B,870.20M
CAG,2018-11,-91.50M,442.30M,1.706B,18.10M,0,0.31,0.31,16.30B,4.876B,677.20M,2018-11,1.730B,131.60M,-80.60M,-80.60M,2.361B,0,11.55B,189.90M,2.216B,119.00M,22.40M,2.384B,487.30M,7.224B,23.01B,2.921B,3.275B,2.234B,15.70B,19.73B,13.47B,487.30M,1.246B,958.10M
