Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CAT,2020-12,-888.00M,9.352B,7.912B,11.16B,1.108B,1.43,1.42,7.702B,29.27B,3.323B,2020-12,11.40B,780.00M,-130.00M,-130.00M,12.40B,0,26.00B,1.38B,11.43B,941.00M,167.00M,374.00M,11.24B,1.216B,15.33B,78.32B,6.23B,39.46B,25.72B,62.95B,38.86B,37.23B,1.943B,6.69B,16.78B
CAT,2020-09,-1.448B,9.315B,7.056B,12.02B,1.209B,1.23,1.22,7.667B,29.22B,2.825B,2020-09,11.45B,668.00M,-136.00M,-136.00M,12.23B,0,26.11B,985.00M,9.772B,863.00M,187.00M,344.00M,9.881B,1.126B,14.95B,76.74B,6.204B,38.53B,24.98B,61.75B,38.21B,36.77B,1.84B,5.193B,15.94B
CAT,2020-06,-1.815B,8.784B,7.262B,11.72B,1.227B,0.84,0.84,7.612B,29.78B,2.735B,2020-06,11.37B,458.00M,-135.00M,-135.00M,12.36B,0,26.91B,784.00M,10.15B,678.00M,227.00M,341.00M,9.997B,1.179B,13.73B,76.57B,6.12B,37.86B,25.23B,62.79B,38.70B,37.56B,1.951B,5.641B,15.92B
CAT,2020-03,-2.012B,7.123B,7.441B,12.72B,1.295B,2,1.98,7.618B,0,3.194B,2020-03,11.75B,1.092B,-113.00M,-113.00M,12.49B,0,24.37B,1.404B,10.42B,1.513B,425.00M,356.00M,10.64B,1.121B,14.20B,75.89B,6.046B,37.59B,26.52B,61.66B,38.31B,35.14B,1.79B,5.769B,16.95B
CAT,2019-12,-1.567B,8.284B,9.30B,11.38B,1.187B,2,1.97,7.761B,0,3.844B,2019-12,11.27B,1.098B,-112.00M,-112.00M,12.90B,0,26.28B,1.85B,11.90B,1.365B,276.00M,386.00M,13.14B,1.283B,14.59B,78.45B,5.935B,39.19B,26.62B,63.82B,39.26B,37.20B,1.994B,6.524B,17.90B
CAT,2019-09,-1.783B,7.906B,8.758B,12.32B,1.309B,2.69,2.66,7.772B,0,4.00B,2019-09,12.18B,1.494B,-103.00M,-103.00M,12.84B,0,25.59B,2.02B,11.39B,2.005B,518.00M,431.00M,12.76B,1.251B,14.95B,77.99B,5.951B,39.16B,27.20B,63.00B,38.83B,35.80B,1.98B,6.141B,17.47B
CAT,2019-06,-1.499B,7.429B,10.13B,11.51B,1.263B,2.85,2.83,7.944B,0,4.299B,2019-06,12.01B,1.62B,-103.00M,-103.00M,13.17B,0,24.76B,2.213B,12.80B,2.178B,565.00M,441.00M,14.43B,1.309B,14.84B,79.19B,5.822B,39.79B,27.74B,64.31B,39.40B,36.57B,2.086B,7.601B,18.54B
CAT,2019-03,-1.588B,7.128B,9.193B,11.54B,1.354B,3.29,3.25,7.998B,0,4.273B,2019-03,12.34B,1.881B,-103.00M,-103.00M,13.26B,0,24.24B,2.207B,12.14B,2.264B,387.00M,435.00M,13.47B,1.319B,15.44B,78.73B,5.804B,39.13B,27.39B,63.25B,39.60B,35.86B,2.066B,7.198B,17.89B
CAT,2018-12,-1.684B,7.857B,10.18B,11.55B,1.243B,1.8,1.78,8.114B,0,4.166B,2018-12,11.53B,1.048B,-99.00M,-99.00M,13.57B,0,25.00B,1.883B,13.50B,1.367B,321.00M,466.00M,14.34B,1.463B,14.04B,78.51B,5.827B,38.60B,28.22B,64.43B,39.91B,36.21B,2.283B,7.546B,17.45B
CAT,2018-09,-1.568B,8.007B,9.207B,10.33B,1.491B,2.92,2.88,8.209B,0,4.303B,2018-09,11.81B,1.727B,-102.00M,-102.00M,13.61B,0,25.44B,2.135B,12.34B,2.135B,415.00M,479.00M,13.51B,1.299B,15.85B,78.21B,5.715B,38.45B,26.03B,62.32B,39.76B,36.29B,2.168B,6.788B,16.80B
CAT,2018-06,-1.496B,8.654B,9.604B,12.47B,1.378B,2.86,2.82,8.288B,31.54B,4.407B,2018-06,11.26B,1.707B,-102.00M,-102.00M,13.75B,0,23.70B,2.167B,12.58B,2.186B,490.00M,462.00M,14.01B,1.44B,14.88B,78.99B,5.746B,38.64B,28.30B,64.04B,40.35B,35.74B,2.24B,7.342B,16.90B
CAT,2018-03,-1.016B,7.888B,8.732B,12.15B,1.399B,2.78,2.74,8.539B,31.94B,4.127B,2018-03,10.95B,1.665B,-101.00M,-101.00M,13.91B,0,23.16B,2.108B,11.96B,2.134B,472.00M,443.00M,12.86B,1.276B,15.21B,78.01B,5.64B,37.36B,27.40B,62.74B,40.66B,35.34B,2.019B,6.938B,16.67B
CAT,2017-12,-1.192B,8.261B,9.127B,11.03B,1.426B,-2.18,-2.18,8.311B,0,3.769B,2017-12,10.02B,-1.299B,-169.00M,-169.00M,14.16B,0,23.85B,1.387B,12.73B,1.111B,2.418B,498.00M,12.90B,1.38B,13.70B,76.96B,5.593B,36.24B,26.93B,63.20B,40.72B,36.26B,2.382B,6.953B,16.19B
CAT,2017-09,-1.233B,9.591B,7.841B,11.09B,1.51B,1.79,1.77,8.371B,0,3.572B,2017-09,10.21B,1.059B,-118.00M,-118.00M,14.19B,0,24.84B,1.509B,11.56B,1.523B,470.00M,461.00M,11.41B,1.254B,15.63B,78.56B,5.46B,37.18B,25.90B,62.86B,41.38B,36.96B,2.063B,6.113B,15.68B
CAT,2017-06,-1.471B,10.23B,7.978B,13.38B,1.533B,1.36,1.35,8.374B,0,3.353B,2017-06,9.388B,802.00M,-121.00M,-121.00M,14.42B,0,23.82B,1.184B,11.44B,1.159B,361.00M,458.00M,11.33B,1.304B,14.01B,78.51B,5.316B,36.99B,28.13B,64.43B,41.52B,36.30B,2.169B,6.239B,15.60B
CAT,2017-03,-1.827B,9.472B,6.96B,14.56B,1.383B,0.33,0.32,8.338B,0,2.862B,2017-03,9.082B,192.00M,-123.00M,-123.00M,14.73B,0,23.72B,380.00M,10.05B,289.00M,90.00M,425.00M,9.822B,1.061B,13.59B,77.55B,5.222B,35.55B,27.64B,63.89B,42.00B,36.25B,2.482B,5.302B,15.22B
