Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,,,,,,2011-03
CB,2020-12,2.869B,96.79B,0,5.365,5.34,21.47B,2020-12,2.418B,-126.00M,-126.00M,892.00M,14.95B,22.60B,2.752B,334.00M,9.848B,778.00M,59.44B,190.77B,11.06B,125.84B,22.60B,131.33B,143.83B,103.02B,813.00M,22.60B,26.28B,,,,,,,,,,,1.782B
CB,2020-09,1.856B,96.22B,1.30B,2.64,2.63,21.39B,2020-09,1.194B,-130.00M,-130.00M,815.00M,14.83B,21.34B,1.336B,142.00M,9.464B,733.00M,56.41B,187.79B,11.06B,125.44B,22.64B,131.37B,141.91B,102.77B,799.00M,21.34B,26.46B,,,,,,,,,,,3.49B
CB,2020-06,1.098B,92.27B,1.30B,-0.73,-0.73,21.38B,2020-06,-331.00M,-128.00M,-128.00M,696.00M,13.66B,20.67B,-393.00M,-62.00M,8.985B,727.00M,54.76B,181.47B,11.12B,121.25B,21.97B,126.71B,136.94B,98.85B,784.00M,20.67B,26.26B,,,,,,,,,,,1.401B
CB,2020-03,-2.093B,86.63B,1.30B,0.56,0.55,21.16B,2020-03,252.00M,-132.00M,-132.00M,474.00M,13.51B,19.48B,467.00M,215.00M,7.697B,741.00M,52.20B,173.13B,11.12B,114.35B,20.78B,120.93B,130.33B,94.37B,898.00M,19.48B,25.15B,,,,,,,,,,,0.74
CB,2019-12,619.00M,91.32B,1.299B,2.595,2.573,21.66B,2019-12,1.173B,-134.00M,-134.00M,804.00M,13.56B,19.39B,1.342B,169.00M,8.738B,810.00M,55.33B,176.94B,11.12B,119.70B,20.69B,121.61B,133.75B,95.55B,866.00M,19.39B,25.74B,,,,,,,,,,,0.73
CB,2019-09,521.00M,89.36B,10.00M,2.4,2.38,21.65B,2019-09,1.091B,-138.00M,-138.00M,766.00M,13.28B,19.47B,1.321B,230.00M,9.045B,752.00M,54.57B,175.15B,11.12B,118.18B,19.48B,120.58B,131.82B,95.36B,850.00M,19.47B,26.13B,,,,,,,,,,,4.729B
CB,2019-06,139.00M,87.49B,9.00M,2.52,2.5,21.85B,2019-06,1.15B,-140.00M,-140.00M,697.00M,13.37B,19.74B,1.358B,208.00M,8.527B,758.00M,53.80B,174.52B,11.12B,116.83B,19.75B,120.71B,130.14B,95.40B,851.00M,19.74B,26.58B,,,,,,,,,,,2011-03
CB,2019-03,-770.00M,85.01B,509.00M,2.27,2.25,21.71B,2019-03,1.04B,-140.00M,-140.00M,541.00M,12.07B,19.54B,1.228B,188.00M,7.876B,710.00M,52.36B,171.35B,11.12B,113.88B,20.05B,118.99B,127.79B,93.39B,766.00M,19.54B,26.17B,,,,,,,,,,,250.00M
CB,2018-12,-2.448B,82.73B,509.00M,0.77,0.76,21.71B,2018-12,355.00M,-153.00M,-153.00M,304.00M,12.09B,18.84B,514.00M,159.00M,7.626B,728.00M,50.31B,167.77B,11.12B,111.55B,19.34B,117.46B,124.61B,92.61B,827.00M,18.84B,26.27B,,,,,,,,,,,-63.00M
CB,2018-09,-2.159B,82.38B,500.00M,2.66,2.64,21.77B,2018-09,1.231B,-164.00M,-164.00M,363.00M,12.15B,17.80B,1.414B,183.00M,8.75B,719.00M,50.93B,167.68B,11.12B,110.42B,18.30B,116.75B,125.16B,92.99B,819.00M,17.80B,25.49B,,,,,,,,,,,-63.00M
CB,2018-06,-1.52B,82.13B,600.00M,2.78,2.76,22.07B,2018-06,1.294B,-167.00M,-167.00M,326.00M,12.18B,17.74B,1.512B,218.00M,8.51B,747.00M,50.97B,167.53B,11.12B,110.16B,18.34B,116.56B,125.01B,92.76B,821.00M,17.74B,25.34B,,,,,,,,,,,
CB,2018-03,-502.00M,83.97B,1.669B,2.32,2.3,22.44B,2018-03,1.082B,-157.00M,-157.00M,468.00M,12.79B,16.80B,1.217B,135.00M,7.831B,692.00M,51.29B,168.78B,11.12B,111.31B,18.47B,117.49B,126.64B,93.61B,779.00M,16.80B,24.73B,,,,,,,,,,,3.358B
CB,2017-12,543.00M,83.23B,1.013B,3.29,3.27,22.38B,2017-12,1.533B,-156.00M,-156.00M,699.00M,11.56B,17.15B,1.151B,-382.00M,8.015B,737.00M,51.17B,167.02B,11.12B,110.31B,18.16B,115.85B,127.05B,92.37B,675.00M,17.15B,24.55B,,,,,,,,,,,7.08B
CB,2017-09,1.069B,87.76B,1.02B,-0.15,-0.15,22.60B,2017-09,-70.00M,-150.00M,-150.00M,1.139B,11.56B,16.76B,-155.00M,-85.00M,8.61B,714.00M,50.47B,167.58B,11.12B,114.81B,17.78B,117.11B,127.40B,94.02B,714.00M,16.76B,24.54B,,,,,,,,,,,346.00M
CB,2017-06,370.00M,85.59B,922.00M,2.79,2.77,22.35B,2017-06,1.305B,-147.00M,-147.00M,1.122B,11.67B,16.34B,1.505B,200.00M,8.108B,706.00M,50.35B,162.99B,11.12B,111.40B,17.26B,112.64B,124.20B,90.19B,700.00M,16.34B,23.22B,,,,,,,,,,,96.00M
CB,2017-03,0,84.65B,300.00M,2.33,2.31,22.41B,2017-03,1.093B,-154.00M,-154.00M,967.00M,12.30B,15.94B,1.221B,128.00M,7.51B,676.00M,49.22B,160.97B,11.12B,110.03B,16.24B,111.74B,123.59B,90.42B,612.00M,15.94B,22.84B,,,,,,,,,,,3.808B
CB,2016-12,-314.00M,84.10B,500.00M,3.44,3.41,22.45B,2016-12,1.61B,-154.00M,-154.00M,988.00M,12.61B,15.35B,1.869B,259.00M,8.168B,708.00M,48.28B,159.79B,11.12B,109.28B,15.85B,111.51B,122.78B,90.63B,619.00M,15.35B,22.73B,,,,,,,,,,,499.00M
CB,2016-09,1.197B,85.78B,500.00M,2.9,2.88,22.84B,2016-09,1.36B,-152.00M,-152.00M,1.418B,12.62B,15.77B,1.637B,277.00M,8.527B,772.00M,48.37B,161.81B,11.12B,110.36B,16.27B,113.44B,125.66B,92.15B,649.00M,15.77B,22.14B,,,,,,,,,,,23.38B
CB,2016-06,1.181B,84.59B,500.00M,1.55,1.54,23.30B,2016-06,726.00M,-153.00M,-153.00M,1.409B,12.63B,15.70B,881.00M,155.00M,7.897B,829.00M,47.23B,160.20B,11.12B,109.02B,16.20B,112.98B,124.37B,91.80B,738.00M,15.70B,21.97B,,,,,,,,,,,86.22B
CB,2016-03,367.00M,82.01B,500.00M,0.98,0.97,23.75B,2016-03,439.00M,-146.00M,-146.00M,1.142B,12.64B,14.79B,563.00M,124.00M,6.877B,772.00M,45.90B,156.64B,11.12B,105.16B,15.29B,110.75B,122.65B,90.59B,644.00M,14.79B,20.77B,,,,,,,,,,,10.08B
CB,2015-12,-735.00M,55.81B,0,2.11,2.09,6.078B,2015-12,683.00M,-93.00M,-93.00M,0,9.389B,11.52B,750.00M,67.00M,4.679B,570.00M,29.14B,102.31B,7.833B,74.79B,11.52B,73.17B,73.51B,56.84B,601.00M,11.52B,16.90B,,,,,,,,,,,9.132B
CB,2015-09,-192.00M,51.12B,2.103B,1.63,1.62,6.123B,2015-09,528.00M,-68.00M,-68.00M,0,4.157B,11.21B,660.00M,132.00M,4.871B,568.00M,29.13B,97.76B,7.833B,69.90B,13.32B,68.63B,69.93B,50.54B,658.00M,11.21B,16.72B,,,,,,,,,,,8.481B
