Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CBOE,2020-12,75.00M,337.80M,594.60M,68.70M,10.20M,0.81,0.81,4.662B,340.10M,249.60M,2020-12,87.30M,-13.60M,-13.60M,193.60M,377.60M,1.267B,163.60M,358.00M,122.90M,35.60M,844.20M,35.00M,3.349B,6.516B,1.20M,1.567B,1.313B,3.168B,4.950B,1.854B,86.00M,284.80M,390.40M
CBOE,2020-09,29.00M,235.50M,559.90M,70.00M,13.70M,1.01,1.01,4.397B,336.90M,232.80M,2020-09,109.90M,-9.50M,-9.50M,198.70M,396.80M,1.005B,145.50M,219.30M,163.40M,53.50M,792.70M,32.10M,3.344B,6.077B,1.20M,1.382B,1.128B,2.732B,4.694B,1.604B,87.30M,153.10M,341.60M
CBOE,2020-06,-2.60M,386.60M,626.70M,299.90M,17.30M,1.04,1.03,4.283B,317.50M,242.00M,2020-06,113.60M,-7.30M,-7.30M,193.40M,384.90M,1.006B,171.10M,448.40M,156.60M,43.00M,868.70M,25.70M,3.286B,5.366B,1.20M,781.20M,496.50M,2.08B,4.585B,1.584B,70.90M,292.60M,376.80M
CBOE,2020-03,0.10M,208.80M,616.50M,299.80M,17.20M,1.42,1.42,4.309B,306.40M,305.00M,2020-03,157.40M,-7.30M,-7.30M,184.70M,392.20M,996.40M,227.20M,325.20M,217.50M,60.10M,921.50M,28.90M,3.310B,5.238B,1.20M,632.10M,358.10M,1.927B,4.605B,1.569B,77.80M,155.40M,408.00M
CBOE,2019-12,37.60M,300.30M,367.30M,299.60M,4.50M,0.78,0.77,4.302B,219.00M,231.30M,2019-12,86.30M,-7.80M,-7.80M,100.40M,399.70M,914.30M,127.90M,239.70M,114.20M,27.90M,598.60M,30.90M,3.356B,5.114B,1.20M,607.60M,281.60M,1.758B,4.506B,1.477B,103.40M,185.10M,291.50M
CBOE,2019-09,-9.10M,171.40M,431.10M,0,8.10M,0.95,0.94,4.295B,226.00M,244.30M,2019-09,106.00M,-8.20M,-8.20M,102.40M,418.20M,914.50M,164.10M,158.60M,140.90M,35.00M,675.40M,30.80M,3.329B,5.019B,1.20M,489.50M,199.00M,1.691B,4.530B,1.492B,80.20M,45.20M,300.50M
CBOE,2019-06,8.10M,244.20M,389.60M,0,13.20M,0.79,0.78,4.36B,225.50M,231.00M,2019-06,88.30M,-10.00M,-10.00M,104.70M,426.70M,963.50M,146.00M,245.10M,119.60M,35.10M,620.60M,34.00M,3.327B,5.159B,1.20M,577.40M,285.80M,1.832B,4.582B,1.546B,85.00M,140.30M,316.30M
CBOE,2019-03,26.20M,376.40M,370.20M,0,18.20M,0.85,0.85,4.422B,305.20M,232.40M,2019-03,95.40M,-9.90M,-9.90M,129.90M,433.40M,966.20M,148.80M,175.10M,127.80M,32.60M,602.60M,30.70M,3.285B,5.330B,1.20M,683.20M,511.40M,2.045B,4.647B,1.534B,83.60M,67.30M,291.30M
CBOE,2018-12,11.50M,310.80M,474.00M,0,8.50M,1.23,1.23,4.446B,248.30M,273.70M,2018-12,138.80M,-9.70M,-9.70M,76.60M,436.80M,915.60M,183.20M,231.30M,175.70M,37.30M,747.70M,33.00M,3.241B,5.321B,1.20M,683.70M,595.90M,2.08B,4.637B,1.484B,90.50M,108.40M,357.70M
CBOE,2018-09,25.80M,137.70M,357.20M,0,13.40M,0.76,0.76,4.500B,241.80M,218.70M,2018-09,86.00M,-9.60M,-9.60M,70.80M,475.40M,915.10M,132.00M,129.50M,116.30M,30.60M,575.90M,29.80M,3.152B,5.120B,1.20M,435.50M,478.90M,1.968B,4.684B,1.489B,86.70M,30.80M,281.70M
CBOE,2018-06,34.20M,271.80M,441.40M,299.50M,17.40M,0.74,0.73,4.552B,238.30M,226.10M,2018-06,83.30M,-9.30M,-9.30M,70.30M,473.50M,914.60M,137.70M,318.70M,119.80M,36.80M,667.50M,32.60M,3.150B,5.317B,1.20M,584.00M,679.90M,2.167B,4.733B,1.487B,88.40M,214.90M,299.10M
CBOE,2018-03,75.50M,230.30M,508.10M,0,19.60M,1.04,1.04,4.631B,234.70M,269.60M,2018-03,118.40M,-9.60M,-9.60M,79.10M,461.20M,1.213B,176.50M,289.00M,159.40M,41.30M,777.70M,33.80M,3.175B,5.328B,1.20M,512.30M,384.30M,2.153B,4.816B,1.769B,93.10M,222.30M,268.40M
CBOE,2017-12,50.70M,190.80M,408.30M,0,15.40M,2.27,2.26,4.651B,227.90M,212.40M,2017-12,257.40M,-10.40M,-10.40M,78.80M,488.20M,1.238B,117.70M,244.00M,104.10M,-153.00M,620.70M,33.50M,3.111B,5.266B,1.20M,434.70M,334.00M,2.155B,4.831B,1.821B,94.70M,159.80M,234.50M
CBOE,2017-09,50.00M,127.20M,392.10M,0,11.40M,0.53,0.53,4.674B,262.00M,219.30M,2017-09,60.50M,-10.50M,-10.50M,82.10M,715.70M,1.312B,124.80M,156.10M,105.90M,45.60M,611.40M,33.50M,2.878B,5.228B,1.20M,374.30M,238.00M,2.350B,4.854B,2.112B,94.50M,76.60M,231.00M
CBOE,2017-06,29.60M,259.00M,423.90M,0,14.30M,0.6,0.6,4.702B,253.10M,216.90M,2017-06,68.30M,-12.50M,-12.50M,80.50M,703.40M,1.411B,122.50M,293.90M,106.10M,38.10M,640.80M,33.10M,2.817B,5.396B,1.20M,519.70M,376.30M,2.579B,4.876B,2.203B,94.40M,218.70M,242.00M
CBOE,2017-03,2.10M,194.60M,210.60M,0,18.00M,0.16,0.16,4.719B,246.10M,145.60M,2017-03,15.20M,-7.90M,-7.90M,79.50M,720.60M,1.487B,91.30M,228.60M,18.30M,3.10M,356.20M,25.20M,2.745B,5.345B,1.20M,455.70M,260.90M,2.600B,4.889B,2.339B,54.30M,147.00M,245.30M
CBOE,2016-12,-0.80M,97.30M,77.10M,0,3.10M,0.55,0.55,98.10M,220.90M,113.70M,2016-12,45.40M,-5.50M,-5.50M,60.80M,0,0,79.90M,61.70M,74.90M,29.80M,190.80M,21.00M,317.90M,476.70M,0.90M,235.10M,89.90M,158.80M,241.60M,68.90M,33.80M,18.10M,130.40M
CBOE,2016-09,-0.775M,72.76M,60.80M,0,7.01M,0.5,0.5,96.46M,237.00M,107.90M,2016-09,40.80M,-0.20M,-0.20M,64.82M,5.753M,0,74.40M,54.55M,67.40M,26.90M,168.70M,20.90M,289.56M,441.34M,0.929M,206.58M,81.12M,151.78M,234.76M,70.66M,33.50M,10.75M,120.47M
CBOE,2016-06,-0.784M,52.19M,57.50M,0,10.88M,0.62,0.62,94.03M,232.54M,115.60M,2016-06,51.20M,0,0,66.04M,4.967M,0,78.00M,47.81M,83.80M,32.90M,173.10M,22.90M,265.76M,406.64M,0.929M,173.87M,76.63M,140.88M,232.77M,64.25M,37.60M,9.486M,110.67M
CBOE,2016-03,-0.795M,107.48M,54.50M,0,14.73M,0.6,0.6,93.68M,224.50M,116.00M,2016-03,49.40M,0.70M,0.70M,62.98M,5.144M,0,79.50M,56.55M,80.50M,31.30M,170.50M,21.80M,247.93M,394.83M,0.929M,184.69M,83.35M,146.90M,210.14M,63.55M,36.50M,18.93M,68.97M
CBOE,2015-12,-0.824M,102.25M,76.10M,0,4.019M,0.61,0.61,66.97M,220.93M,109.10M,2015-12,50.38M,0.016M,0.016M,65.27M,5.309M,0,75.87M,44.57M,79.64M,29.26M,185.20M,18.73M,259.64M,384.79M,0.927M,204.12M,74.00M,125.14M,180.67M,51.15M,33.24M,9.536M,96.12M
CBOE,2015-09,-0.838M,121.68M,51.42M,0,7.488M,0.81,0.81,67.90M,219.23M,135.61M,2015-09,67.52M,-0.016M,-0.016M,63.14M,11.86M,0,101.11M,51.84M,101.45M,33.94M,187.04M,19.95M,259.82M,397.42M,0.927M,222.70M,78.66M,137.60M,174.72M,58.94M,34.50M,11.79M,92.00M
CBOE,2015-06,-0.852M,89.63M,40.89M,0,10.94M,0.54,0.54,57.00M,362.13M,107.83M,2015-06,44.84M,0,0,67.08M,14.11M,0,73.37M,50.77M,73.63M,28.79M,148.72M,20.56M,227.02M,362.11M,0.927M,194.62M,72.46M,135.09M,167.49M,62.63M,34.46M,14.36M,94.25M
CBOE,2015-03,-0.87M,137.56M,39.59M,0,14.07M,0.5,0.5,56.03M,358.25M,103.25M,2015-03,42.26M,0,0,67.64M,14.17M,0,69.55M,48.55M,69.28M,27.02M,142.84M,20.56M,243.74M,375.80M,0.927M,209.38M,70.71M,132.06M,166.41M,61.35M,33.70M,14.77M,61.90M
CBOE,2014-12,-0.689M,147.93M,48.62M,0,1.988M,0.58,0.58,55.67M,359.66M,117.87M,2014-12,49.34M,0,0,71.77M,13.68M,0,86.96M,48.54M,83.95M,34.60M,166.49M,17.06M,250.07M,383.90M,0.926M,244.11M,73.66M,133.83M,139.79M,60.17M,30.90M,15.79M,90.59M
CBOE,2014-09,-0.708M,126.52M,44.93M,0,7.211M,0.57,0.57,54.15M,357.65M,103.98M,2014-09,48.37M,0,0,75.29M,12.77M,0,75.08M,42.19M,74.81M,26.45M,148.91M,15.82M,245.12M,367.09M,0.926M,222.73M,68.28M,121.96M,144.36M,53.68M,28.89M,12.96M,88.01M
