Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CBRE,2020-12,-529.73M,1.896B,5.371B,1.599B,162.04M,0.94,0.93,5.190B,2.910B,1.540B,2020-12,0,313.76M,-15.96M,-15.96M,1.835B,124.48M,2.497B,444.74M,3.935B,410.44M,95.05M,6.911B,951.11M,7.078B,18.04B,3.356M,8.846B,7.144B,10.92B,9.194B,3.775B,1.095B,2.751B,6.218B
CBRE,2020-09,-731.40M,1.482B,4.565B,1.388B,132.50M,0.55,0.55,5.078B,1.876B,1.081B,2020-09,0,184.13M,-17.83M,-17.83M,1.876B,71.89M,2.908B,158.61M,3.288B,233.90M,49.06M,5.645B,794.23M,6.553B,16.35B,3.354M,7.771B,6.152B,9.753B,8.576B,3.601B,921.95M,2.480B,5.555B
CBRE,2020-06,-838.52M,1.214B,4.400B,1.404B,128.42M,0.24,0.24,5.026B,1.888B,981.85M,2020-06,0,81.90M,-17.95M,-17.95M,1.888B,72.61M,2.882B,94.66M,3.075B,100.92M,18.80M,5.381B,770.81M,6.244B,15.70B,3.352M,7.189B,5.853B,9.415B,8.511B,3.562B,887.19M,2.437B,5.292B
CBRE,2020-03,-851.04M,628.45M,4.713B,1.449B,107.00M,0.51,0.51,5.014B,1.799B,1.176B,2020-03,0,172.20M,-16.02M,-16.02M,1.799B,50.69M,2.800B,272.63M,3.141B,224.71M,51.18M,5.889B,790.07M,6.129B,15.68B,3.351M,7.264B,6.065B,9.511B,8.417B,3.445B,903.86M,2.447B,5.954B
CBRE,2019-12,-679.75M,971.78M,5.534B,1.152B,108.67M,1.9,1.87,5.133B,2.905B,1.586B,2019-12,0,637.62M,-18.12M,-18.12M,1.834B,34.59M,2.819B,514.04M,3.728B,539.16M,-99.97M,7.119B,956.15M,6.233B,16.20B,3.348M,7.534B,6.436B,9.924B,8.663B,3.488B,1.072B,2.466B,5.882B
CBRE,2019-09,-787.08M,577.46M,4.687B,1.569B,110.91M,0.76,0.75,4.953B,1.762B,1.238B,2019-09,0,256.60M,-21.85M,-21.85M,1.762B,21.29M,2.788B,316.62M,2.986B,321.52M,63.47M,5.925B,809.58M,5.512B,15.04B,3.358M,7.059B,6.028B,9.482B,7.982B,3.454B,921.14M,2.116B,5.433B
CBRE,2019-06,-717.66M,535.62M,4.446B,1.756B,109.51M,0.67,0.66,4.995B,1.696B,1.268B,2019-06,0,223.73M,-24.60M,-24.60M,1.696B,51.59M,2.763B,284.41M,2.806B,285.96M,62.52M,5.714B,877.40M,5.347B,14.72B,3.363M,6.885B,5.887B,9.329B,7.834B,3.441B,983.88M,2.102B,5.744B
CBRE,2019-03,-716.17M,604.95M,4.022B,2.085B,115.14M,0.49,0.48,5.003B,1.669B,1.113B,2019-03,0,164.41M,-21.19M,-21.19M,1.669B,126.38M,2.729B,214.78M,2.544B,214.70M,43.88M,5.136B,792.88M,5.089B,14.69B,3.363M,6.997B,6.010B,9.489B,7.696B,3.479B,898.70M,1.888B,5.703B
CBRE,2018-12,-718.27M,777.22M,4.772B,1.332B,82.23M,1.16,1.15,5.094B,1.630B,1.522B,2018-12,0,393.80M,-22.63M,-22.63M,721.69M,107.42M,1.767B,457.04M,3.177B,496.12M,101.61M,6.294B,948.17M,4.939B,13.46B,3.369M,6.754B,5.803B,8.447B,6.703B,2.644B,1.065B,1.988B,5.390B
CBRE,2018-09,-678.97M,550.47M,4.099B,1.725B,86.77M,0.86,0.85,5.047B,0,1.162B,2018-09,0,290.47M,-25.42M,-25.42M,702.43M,187.61M,1.760B,189.48M,2.533B,386.65M,94.96M,5.261B,859.08M,4.713B,12.98B,3.409M,6.378B,5.486B,8.205B,6.599B,2.719B,972.57M,1.690B,5.223B
