Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CCI,2021-03,-3.00M,254.00M,462.00M,491.00M,814.00M,0.28,0.28,14.40B,21.66B,1.023B,2021-03,0,121.00M,-169.00M,-169.00M,21.66B,2.093B,25.57B,451.00M,565.00M,128.00M,7.00M,0,1.485B,164.00M,8.986B,38.75B,4.00M,1.176B,1.87B,29.77B,37.58B,27.90B,572.00M,187.00M,412.00M
CCI,2020-12,-4.00M,232.00M,522.00M,458.00M,704.00M,1.17,1.17,14.51B,32.43B,971.00M,2020-12,0,508.00M,-168.00M,-168.00M,21.63B,2.256B,24.96B,747.00M,807.00M,512.00M,4.00M,0,1.493B,185.00M,9.461B,38.77B,4.00M,1.104B,1.969B,29.31B,37.66B,27.34B,224.00M,230.00M,431.00M
CCI,2020-09,-4.00M,242.00M,487.00M,430.00M,787.00M,0.38,0.38,14.61B,31.97B,999.00M,2020-09,0,163.00M,-168.00M,-168.00M,21.45B,0,24.90B,439.00M,708.00M,168.00M,5.00M,0,1.486B,154.00M,9.502B,38.79B,4.00M,1.184B,1.925B,29.28B,37.60B,27.36B,560.00M,264.00M,455.00M
CCI,2020-06,-6.00M,2.514B,486.00M,406.00M,763.00M,0.41,0.41,14.70B,31.45B,954.00M,2020-06,0,200.00M,-177.00M,-177.00M,21.21B,0,26.63B,388.00M,795.00M,206.00M,6.00M,0,1.44B,164.00M,9.826B,40.90B,4.00M,3.436B,1.964B,31.08B,37.46B,29.11B,566.00M,280.00M,439.00M
CCI,2020-03,-6.00M,310.00M,474.00M,1.249B,741.00M,0.38,0.38,14.81B,30.97B,947.00M,2020-03,0,185.00M,-174.00M,-174.00M,21.01B,0,23.31B,373.00M,679.00M,190.00M,5.00M,0,1.421B,175.00M,10.12B,38.62B,4.00M,1.247B,2.669B,28.50B,37.37B,25.83B,574.00M,296.00M,495.00M
CCI,2019-12,-5.00M,196.00M,484.00M,399.00M,657.00M,0.43,0.43,14.91B,30.47B,942.00M,2019-12,0,208.00M,-172.00M,-172.00M,20.80B,0,23.53B,388.00M,864.00M,214.00M,6.00M,0,1.426B,157.00M,10.49B,38.46B,4.00M,1.204B,1.92B,27.97B,37.25B,26.05B,554.00M,334.00M,596.00M
CCI,2019-09,-5.00M,182.00M,515.00M,396.00M,525.00M,0.51,0.51,15.05B,29.92B,967.00M,2019-09,0,242.00M,-171.00M,-171.00M,20.53B,0,23.23B,429.00M,813.00M,247.00M,5.00M,0,1.482B,150.00M,11.32B,38.34B,4.00M,1.253B,1.734B,27.02B,37.09B,25.28B,538.00M,368.00M,667.00M
CCI,2019-06,-5.00M,288.00M,502.00M,387.00M,503.00M,0.45,0.45,15.15B,29.32B,945.00M,2019-06,0,216.00M,-168.00M,-168.00M,20.20B,0,22.90B,397.00M,808.00M,220.00M,4.00M,0,1.447B,155.00M,11.52B,38.15B,4.00M,1.294B,1.698B,26.62B,36.85B,24.93B,548.00M,337.00M,591.00M
CCI,2019-03,-5.00M,245.00M,485.00M,383.00M,502.00M,0.4,0.4,15.26B,28.70B,923.00M,2019-03,0,193.00M,-166.00M,-166.00M,19.85B,0,22.46B,377.00M,680.00M,199.00M,6.00M,0,1.408B,152.00M,11.75B,37.78B,4.00M,1.193B,1.565B,26.03B,36.58B,24.47B,546.00M,311.00M,545.00M
CCI,2018-12,-5.00M,206.00M,483.00M,112.00M,554.00M,0.45,0.44,15.80B,0,883.00M,2018-12,0,164.00M,-163.00M,-163.00M,13.20B,0,15.84B,349.00M,698.00M,170.00M,6.00M,0,1.366B,145.00M,12.13B,32.35B,4.00M,1.164B,1.364B,20.22B,31.19B,18.86B,534.00M,272.00M,455.00M
CCI,2018-09,-5.00M,323.00M,474.00M,111.00M,484.00M,0.33,0.33,15.69B,21.72B,901.00M,2018-09,0,164.00M,-159.00M,-159.00M,13.43B,1.614B,16.31B,371.00M,709.00M,169.00M,5.00M,0,1.375B,145.00M,12.30B,32.64B,4.00M,1.249B,1.304B,20.35B,31.40B,19.04B,530.00M,302.00M,471.00M
CCI,2018-06,-5.00M,206.00M,454.00M,112.00M,476.00M,0.37,0.36,15.80B,21.24B,876.00M,2018-06,0,180.00M,-157.00M,-157.00M,13.22B,1.199B,15.84B,359.00M,698.00M,185.00M,5.00M,0,1.33B,138.00M,12.57B,32.37B,4.00M,1.164B,1.286B,19.81B,31.21B,18.52B,517.00M,272.00M,455.00M
