Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CCL,2021-02,-1.233B,11.51B,535.00M,4.951B,1.826B,-1.8,-1.8,2.009B,40.94B,-509.00M,2021-02,312.00M,-1.973B,-395.00M,-395.00M,40.94B,0,27.78B,-1.523B,1.841B,-1.979B,-6.00M,26.00M,462.00M,19.81B,57.23B,372.00M,12.46B,8.619B,37.41B,44.77B,28.79B,1.014B,505.00M,250.00M
CCL,2020-11,-1.436B,9.513B,689.00M,4.977B,1.94B,-2.17,-2.17,1.993B,56.52B,-656.00M,2020-11,335.00M,-2.222B,-345.00M,-345.00M,39.44B,0,23.40B,-1.642B,1.768B,-2.237B,-15.00M,33.00M,443.00M,20.56B,53.59B,372.00M,10.56B,8.686B,33.04B,43.03B,24.35B,986.00M,624.00M,273.00M
CCL,2020-08,-1.439B,8.176B,1.549B,6.145B,2.15B,-3.69,-3.69,1.993B,38.30B,-1.518B,2020-08,349.00M,-2.858B,-307.00M,-307.00M,38.30B,0,20.20B,-2.334B,1.89B,-2.861B,-2.00M,31.00M,265.00M,19.50B,50.82B,369.00M,9.268B,10.18B,31.32B,41.55B,21.13B,816.00M,691.00M,376.00M
CCL,2020-05,-1.962B,6.881B,2.484B,6.088B,2.618B,-6.07,-6.07,1.958B,38.55B,-1.744B,2020-05,362.00M,-4.374B,-176.00M,-176.00M,38.55B,0,16.16B,-2.813B,3.152B,-4.385B,-11.00M,740.00M,492.00M,20.84B,49.82B,367.00M,8.222B,11.86B,28.98B,41.60B,17.12B,1.069B,1.809B,604.00M
CCL,2020-02,-2.028B,1.354B,3.523B,3.368B,4.69B,-1.14,-1.14,3.349B,39.49B,1.267B,2020-02,440.00M,-781.00M,-50.00M,-50.00M,39.49B,0,11.05B,19.00M,2.658B,-770.00M,11.00M,4.79B,678.00M,24.29B,46.94B,366.00M,2.885B,10.72B,22.65B,44.06B,11.94B,1.248B,904.00M,405.00M
CCL,2019-11,-2.066B,518.00M,3.076B,1.827B,4.735B,0.62,0.61,4.086B,56.78B,1.705B,2019-11,427.00M,423.00M,-42.00M,-42.00M,38.13B,0,9.675B,485.00M,2.565B,436.00M,15.00M,4.781B,667.00M,25.36B,45.06B,365.00M,2.059B,9.127B,19.69B,43.00B,10.57B,1.22B,756.00M,444.00M
CCL,2019-08,-2.183B,1.153B,3.532B,1.845B,4.674B,2.58,2.58,4.052B,52.62B,3.001B,2019-08,482.00M,1.78B,-44.00M,-44.00M,36.47B,0,8.893B,1.89B,2.413B,1.827B,47.00M,6.533B,563.00M,25.30B,44.00B,365.00M,2.712B,8.932B,18.71B,41.29B,9.774B,1.111B,695.00M,441.00M
CCL,2019-05,-2.076B,1.202B,3.159B,2.094B,5.815B,0.65,0.65,4.079B,0,1.678B,2019-05,501.00M,451.00M,-49.00M,-49.00M,36.81B,0,9.08B,515.00M,2.467B,459.00M,8.00M,4.837B,621.00M,24.11B,44.51B,365.00M,2.835B,10.38B,20.40B,41.68B,10.03B,1.163B,792.00M,405.00M
CCL,2019-02,-1.869B,649.00M,3.142B,2.452B,4.755B,0.48,0.48,4.124B,0,1.531B,2019-02,444.00M,336.00M,-47.00M,-47.00M,37.00B,0,9.134B,386.00M,2.435B,338.00M,2.00M,4.673B,629.00M,24.24B,43.93B,365.00M,2.101B,9.642B,19.69B,41.83B,10.05B,1.145B,798.00M,406.00M
CCL,2018-11,-1.949B,982.00M,2.741B,2.426B,4.395B,0.71,0.71,4.101B,0,1.714B,2018-11,450.00M,493.00M,-43.00M,-43.00M,35.34B,0,7.897B,551.00M,2.384B,508.00M,14.00M,4.455B,656.00M,24.44B,42.40B,365.00M,2.225B,9.204B,17.96B,40.18B,8.754B,1.163B,730.00M,358.00M
CCL,2018-08,-1.84B,526.00M,2.958B,1.32B,4.418B,2.42,2.41,4.131B,50.86B,2.878B,2018-08,405.00M,1.707B,-44.00M,-44.00M,35.18B,0,8.297B,1.794B,2.282B,1.744B,37.00M,5.836B,573.00M,24.65B,41.75B,365.00M,1.755B,8.02B,17.10B,40.00B,9.079B,1.084B,666.00M,366.00M
CCL,2018-05,-1.855B,1.053B,2.681B,1.685B,5.308B,0.79,0.78,4.133B,47.52B,1.676B,2018-05,402.00M,561.00M,-46.00M,-46.00M,35.23B,0,8.172B,559.00M,2.316B,564.00M,3.00M,4.357B,605.00M,23.93B,42.18B,365.00M,2.278B,9.308B,18.25B,39.91B,8.943B,1.117B,745.00M,342.00M
CCL,2018-02,-1.486B,453.00M,2.709B,2.114B,4.288B,0.54,0.54,4.212B,0,1.523B,2018-02,394.00M,391.00M,-45.00M,-45.00M,35.03B,0,7.445B,419.00M,2.448B,390.00M,0,4.232B,616.00M,24.38B,41.44B,365.00M,1.667B,8.851B,17.06B,39.77B,8.208B,1.104B,795.00M,345.00M
CCL,2017-11,-1.782B,395.00M,2.617B,2.202B,3.958B,0.76,0.76,4.167B,0,1.642B,2017-11,387.00M,546.00M,-46.00M,-46.00M,34.43B,0,6.993B,548.00M,2.639B,560.00M,14.00M,4.259B,616.00M,24.22B,40.78B,365.00M,1.596B,8.80B,16.56B,39.18B,7.762B,1.094B,762.00M,312.00M
CCL,2017-08,-1.845B,489.00M,3.013B,1.447B,4.038B,1.84,1.83,4.204B,0,2.502B,2017-08,357.00M,1.329B,-46.00M,-46.00M,34.17B,0,7.723B,1.482B,2.484B,1.368B,39.00M,5.515B,547.00M,24.17B,40.64B,365.00M,1.661B,7.969B,16.47B,38.98B,8.502B,1.02B,639.00M,324.00M
CCL,2017-05,-2.154B,597.00M,2.436B,1.783B,4.778B,0.52,0.52,4.239B,0,1.509B,2017-05,351.00M,379.00M,-48.00M,-48.00M,33.82B,0,7.635B,500.00M,2.497B,384.00M,5.00M,3.945B,553.00M,22.96B,40.45B,365.00M,1.774B,9.058B,17.49B,38.68B,8.429B,1.009B,690.00M,319.00M
CCL,2017-02,-2.44B,437.00M,2.435B,1.296B,3.734B,0.48,0.48,4.19B,0,1.356B,2017-02,361.00M,352.00M,-49.00M,-49.00M,32.33B,0,7.796B,368.00M,2.435B,354.00M,2.00M,3.791B,549.00M,22.66B,38.70B,365.00M,1.597B,7.465B,16.04B,37.11B,8.578B,988.00M,669.00M,307.00M
CCL,2016-11,-2.454B,603.00M,2.319B,1.097B,3.522B,0.84,0.83,4.185B,0,1.616B,2016-11,322.00M,608.00M,-54.00M,-54.00M,32.43B,0,8.302B,597.00M,2.453B,613.00M,5.00M,3.935B,584.00M,22.60B,38.88B,365.00M,1.689B,7.072B,16.28B,37.19B,9.212B,1.019B,713.00M,298.00M
CCL,2016-08,-2.012B,462.00M,2.563B,1.073B,3.585B,1.93,1.93,4.254B,0,2.534B,2016-08,314.00M,1.424B,-59.00M,-59.00M,32.86B,0,8.32B,1.562B,2.442B,1.465B,41.00M,5.097B,529.00M,22.90B,39.33B,365.00M,1.554B,7.10B,16.43B,37.78B,9.332B,972.00M,704.00M,423.00M
CCL,2016-05,-1.648B,519.00M,2.258B,1.246B,4.275B,0.81,0.8,4.324B,0,1.447B,2016-05,315.00M,605.00M,-55.00M,-55.00M,33.24B,0,8.183B,478.00M,2.32B,607.00M,2.00M,3.705B,532.00M,22.79B,39.85B,365.00M,1.60B,7.841B,17.06B,38.25B,9.219B,969.00M,667.00M,442.00M
CCL,2016-02,-1.943B,778.00M,2.243B,1.078B,3.335B,0.18,0.18,4.274B,45.70B,1.408B,2016-02,333.00M,142.00M,-50.00M,-50.00M,31.68B,0,7.99B,434.00M,2.251B,143.00M,1.00M,3.651B,551.00M,22.62B,38.45B,365.00M,1.86B,6.664B,15.82B,36.59B,9.157B,974.00M,619.00M,423.00M
CCL,2015-11,-1.741B,1.395B,2.218B,1.374B,3.272B,0.35,0.35,4.318B,45.90B,1.493B,2015-11,330.00M,270.00M,-48.00M,-48.00M,31.82B,0,7.413B,510.00M,2.31B,271.00M,1.00M,3.711B,563.00M,23.77B,39.24B,365.00M,2.451B,6.956B,15.47B,36.79B,8.51B,983.00M,627.00M,303.00M
CCL,2015-08,-1.378B,539.00M,2.49B,1.256B,3.314B,1.56,1.56,4.299B,45.12B,2.393B,2015-08,305.00M,1.216B,-51.00M,-51.00M,32.23B,0,6.604B,1.51B,1.927B,1.25B,34.00M,4.883B,484.00M,24.35B,38.80B,365.00M,1.617B,6.749B,14.44B,37.18B,7.695B,883.00M,578.00M,452.00M
