Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CE,2021-03,-302.00M,1.122B,1.313B,533.00M,0,2.84,2.82,1.442B,7.406B,485.00M,2021-03,1.025B,322.00M,-24.00M,-24.00M,4.097B,579.00M,3.322B,322.00M,1.189B,409.00M,85.00M,20.00M,1.798B,137.00M,3.542B,10.76B,0,3.71B,1.935B,6.849B,7.046B,4.914B,163.00M,1.066B,1.51B
CE,2020-12,-328.00M,1.488B,1.215B,532.00M,0,12.56,12.5,1.485B,7.45B,376.00M,2020-12,978.00M,1.453B,-24.00M,-24.00M,4.171B,560.00M,3.435B,214.00M,1.087B,1.571B,117.00M,20.00M,1.591B,137.00M,3.526B,10.91B,0,3.763B,1.973B,7.014B,7.146B,5.041B,162.00M,937.00M,1.242B
CE,2020-09,-344.00M,650.00M,1.084B,989.00M,0,1.75,1.75,1.445B,7.262B,327.00M,2020-09,1.001B,207.00M,-27.00M,-27.00M,4.061B,213.00M,3.331B,196.00M,1.066B,241.00M,30.00M,19.00M,1.411B,106.00M,2.508B,9.769B,0,2.771B,2.409B,6.885B,6.998B,4.476B,131.00M,935.00M,1.063B
CE,2020-06,-346.00M,575.00M,951.00M,1.074B,0,0.9,0.9,1.415B,7.013B,242.00M,2020-06,1.031B,107.00M,-26.00M,-26.00M,3.926B,305.00M,3.172B,104.00M,859.00M,147.00M,35.00M,18.00M,1.193B,114.00M,2.487B,9.506B,0,2.709B,2.262B,6.637B,6.797B,4.375B,138.00M,743.00M,1.041B
CE,2020-03,-341.00M,608.00M,1.112B,778.00M,0,1.83,1.82,1.358B,6.88B,348.00M,2020-03,1.036B,218.00M,-26.00M,-26.00M,3.879B,306.00M,3.531B,201.00M,912.00M,292.00M,65.00M,17.00M,1.46B,125.00M,2.448B,9.545B,0,2.855B,1.928B,6.709B,6.69B,4.781B,147.00M,815.00M,1.16B
CE,2019-12,-300.00M,503.00M,1.116B,525.00M,0,0.36,0.36,1.386B,6.873B,316.00M,2019-12,1.038B,43.00M,-26.00M,-26.00M,3.916B,306.00M,3.59B,168.00M,950.00M,41.00M,-3.00M,17.00M,1.432B,125.00M,2.507B,9.476B,0,2.765B,1.754B,6.578B,6.711B,4.824B,148.00M,832.00M,1.181B
CE,2019-09,-306.00M,523.00M,1.172B,399.00M,0,2.14,2.13,1.368B,6.639B,414.00M,2019-09,994.00M,263.00M,-26.00M,-26.00M,3.791B,317.00M,3.541B,271.00M,943.00M,323.00M,53.00M,17.00M,1.586B,120.00M,2.747B,9.414B,0,2.843B,1.533B,6.275B,6.571B,4.742B,143.00M,835.00M,1.282B
CE,2019-06,-267.00M,518.00M,1.169B,350.00M,0,1.67,1.66,1.41B,6.679B,423.00M,2019-06,1.011B,209.00M,-31.00M,-31.00M,3.851B,316.00M,3.636B,282.00M,899.00M,239.00M,28.00M,17.00M,1.592B,118.00M,2.864B,9.506B,0,2.876B,1.408B,6.252B,6.63B,4.844B,141.00M,804.00M,1.303B
CE,2019-03,-243.00M,470.00M,1.234B,775.00M,0,2.64,2.63,1.407B,6.802B,453.00M,2019-03,1.009B,337.00M,-30.00M,-30.00M,3.931B,323.00M,3.126B,311.00M,894.00M,385.00M,46.00M,16.00M,1.687B,120.00M,3.047B,9.574B,0,2.884B,1.822B,6.135B,6.69B,4.313B,142.00M,807.00M,1.358B
CE,2018-12,-247.00M,470.00M,1.269B,561.00M,0,0.75,0.75,1.367B,6.522B,420.00M,2018-12,1.046B,99.00M,-29.00M,-29.00M,3.719B,306.00M,2.97B,262.00M,1.037B,174.00M,76.00M,18.00M,1.689B,134.00M,2.984B,9.313B,0,2.874B,1.779B,5.934B,6.439B,4.155B,158.00M,897.00M,1.318B
