Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CERN,2020-12,-120.80M,1.058B,234.67M,4.914M,393.29M,0.46,0.46,2.253B,3.804B,1.160B,2020-12,23.03M,141.50M,0,0,1.909B,376.04M,1.336B,173.82M,545.57M,176.13M,34.63M,197.91M,1.395B,776.06M,4.483B,7.521B,3.732M,2.651B,1.169B,3.039B,4.870B,1.870B,986.53M,235.76M,1.169B
CERN,2020-09,-138.02M,892.48M,231.89M,2.318M,320.29M,1.17,1.16,2.230B,1.977B,1.137B,2020-09,15.77M,356.68M,0,0,1.977B,391.79M,1.336B,194.95M,585.11M,459.84M,103.16M,186.83M,1.369B,742.22M,4.406B,7.361B,3.723M,2.525B,1.102B,2.955B,4.836B,1.853B,941.83M,256.45M,1.219B
CERN,2020-06,-149.67M,441.02M,211.96M,0,295.71M,0.44,0.44,2.231B,1.993B,1.118B,2020-06,18.52M,134.75M,0,0,1.993B,381.93M,1.338B,146.90M,529.47M,171.53M,36.78M,178.96M,1.330B,779.42M,4.018B,6.879B,3.712M,2.054B,1.007B,2.861B,4.826B,1.855B,971.49M,261.54M,1.184B
CERN,2020-03,-159.36M,398.78M,254.42M,0,316.61M,0.48,0.47,2.185B,1.963B,1.157B,2020-03,23.46M,147.16M,0,0,1.963B,378.53M,1.338B,178.38M,544.80M,183.97M,36.81M,185.32M,1.412B,776.50M,3.863B,6.736B,3.702M,1.964B,1.018B,2.873B,4.773B,1.855B,978.95M,295.95M,1.151B
CERN,2019-12,-118.66M,541.77M,277.39M,0,360.02M,0.49,0.49,2.187B,3.701B,1.165B,2019-12,23.18M,154.33M,0,0,1.982B,377.66M,1.038B,182.83M,519.28M,191.70M,37.37M,188.20M,1.442B,770.80M,4.317B,6.895B,3.676M,2.097B,1.027B,2.577B,4.798B,1.550B,982.02M,273.44M,1.140B
CERN,2019-09,-128.55M,632.70M,271.78M,0,308.44M,0.26,0.26,2.127B,1.988B,1.158B,2019-09,23.16M,81.94M,0,0,1.988B,353.71M,1.039B,88.78M,539.96M,102.31M,20.38M,187.53M,1.429B,860.06M,4.411B,6.937B,3.662M,2.213B,1.002B,2.526B,4.724B,1.525B,1.069B,275.92M,1.155B
CERN,2019-06,-112.85M,953.52M,268.67M,0,320.92M,0.4,0.39,2.146B,1.998B,1.162B,2019-06,23.16M,126.97M,0,0,1.998B,347.66M,1.039B,131.12M,537.40M,154.12M,27.15M,181.05M,1.431B,828.68M,4.717B,7.276B,3.647M,2.602B,1.031B,2.559B,4.674B,1.528B,1.031B,328.40M,1.229B
CERN,2019-03,-100.59M,903.67M,253.20M,0,337.81M,0.51,0.51,2.147B,1.924B,1.137B,2019-03,24.10M,166.22M,0,0,1.924B,343.79M,438.82M,197.94M,521.35M,206.38M,40.16M,180.36M,1.390B,736.38M,5.129B,6.999B,3.629M,2.424B,940.62M,1.869B,4.575B,928.74M,938.73M,290.95M,1.159B
CERN,2018-12,-103.55M,775.41M,236.96M,0,399.19M,0.4,0.4,2.147B,3.274B,1.129B,2018-12,25.03M,131.32M,0,0,1.744B,336.38M,438.80M,164.13M,489.46M,171.79M,40.47M,181.47M,1.366B,761.62M,4.928B,6.709B,3.622M,2.319B,962.69M,1.780B,4.390B,817.56M,964.58M,293.53M,1.183B
CERN,2018-09,-101.01M,813.55M,230.33M,0,352.78M,0.51,0.51,2.151B,0,1.110B,2018-09,24.74M,169.38M,0,0,1.697B,373.86M,438.78M,207.16M,551.93M,214.10M,44.72M,172.30M,1.340B,708.74M,5.066B,6.785B,3.619M,2.387B,907.02M,1.720B,4.399B,812.64M,902.58M,258.43M,1.211B
CERN,2018-06,-92.66M,885.56M,238.78M,2.155M,278.67M,0.51,0.51,2.157B,2.908B,1.129B,2018-06,15.34M,169.36M,0,0,1.666B,375.70M,438.76M,208.29M,554.86M,214.88M,45.53M,168.28M,1.368B,730.57M,4.879B,6.529B,3.605M,2.379B,835.69M,1.650B,4.150B,814.46M,920.66M,284.20M,1.152B
CERN,2018-03,-71.49M,921.36M,231.28M,6.804M,311.02M,0.48,0.48,2.162B,2.659B,1.062B,2018-03,14.30M,160.00M,0,0,1.601B,369.43M,438.77M,195.22M,485.12M,200.08M,40.08M,161.62M,1.293B,682.24M,4.900B,6.512B,3.599M,2.365B,802.94M,1.611B,4.146B,808.20M,866.37M,210.05M,1.041B
CERN,2017-12,-73.38M,805.77M,229.13M,11.58M,311.34M,1.02,1,2.155B,0,1.085B,2017-12,15.75M,336.66M,0,0,1.603B,336.45M,515.13M,219.05M,466.67M,221.66M,-115.00M,162.48M,1.314B,680.68M,4.785B,6.469B,3.592M,2.380B,789.60M,1.684B,4.089B,894.37M,865.60M,219.00M,1.043B
CERN,2017-09,-72.74M,852.05M,202.90M,13.99M,327.62M,0.53,0.52,2.156B,0,1.073B,2017-09,15.69M,177.42M,0,0,1.587B,340.37M,521.02M,247.91M,465.26M,250.42M,72.99M,153.83M,1.276B,648.80M,4.564B,6.232B,3.568M,2.232B,806.86M,1.668B,4.001B,861.39M,825.20M,204.32M,1.021B
CERN,2017-06,-83.54M,636.99M,223.06M,18.49M,325.79M,0.54,0.53,2.157B,0,1.069B,2017-06,14.55M,179.68M,0,0,1.594B,336.51M,524.92M,249.39M,497.42M,252.05M,72.37M,142.84M,1.292B,654.02M,4.356B,6.059B,3.556M,2.012B,841.71M,1.703B,4.046B,861.43M,819.54M,259.09M,1.037B
CERN,2017-03,-99.65M,531.91M,198.99M,17.40M,338.07M,0.52,0.52,2.140B,0,1.061B,2017-03,19.01M,173.21M,0,0,1.569B,324.05M,532.75M,244.13M,478.07M,243.01M,69.80M,145.90M,1.260B,648.59M,4.113B,5.803B,3.545M,1.826B,833.54M,1.690B,3.977B,856.79M,817.37M,207.00M,986.35M
CERN,2016-12,-110.16M,356.45M,215.00M,26.20M,311.84M,0.45,0.44,2.129B,0,1.043B,2016-12,14.74M,149.69M,0,0,1.553B,319.06M,537.55M,212.03M,507.36M,215.72M,66.02M,145.97M,1.258B,662.38M,3.928B,5.630B,3.537M,1.619B,845.40M,1.702B,4.011B,856.62M,830.79M,238.13M,944.94M
CERN,2016-09,-84.75M,692.68M,182.97M,36.62M,308.71M,0.5,0.49,2.131B,0,1.002B,2016-09,19.70M,169.98M,0,0,1.476B,306.51M,535.92M,242.22M,482.73M,241.81M,71.83M,136.76M,1.185B,599.74M,4.278B,5.949B,3.536M,1.998B,828.06M,1.670B,3.950B,842.43M,759.36M,219.53M,985.16M
CERN,2016-06,-82.35M,629.89M,205.56M,38.41M,299.75M,0.49,0.48,2.114B,0,1.010B,2016-06,16.69M,166.45M,0,0,1.438B,364.31M,546.17M,241.31M,476.94M,243.78M,77.33M,135.16M,1.216B,610.29M,4.054B,5.780B,3.516M,1.934B,815.09M,1.726B,3.846B,910.48M,769.09M,242.12M,983.31M
CERN,2016-03,-67.68M,503.45M,175.59M,41.76M,279.91M,0.44,0.43,2.096B,0,962.54M,2016-03,22.58M,150.36M,0,0,1.366B,348.55M,553.68M,215.45M,454.26M,217.13M,66.77M,133.53M,1.138B,591.96M,3.916B,5.594B,3.511M,1.729B,775.93M,1.678B,3.866B,902.23M,747.09M,209.39M,941.79M
CERN,2015-12,-76.35M,513.18M,199.22M,41.80M,278.44M,0.49,0.48,2.050B,2.312B,976.08M,2015-12,15.79M,166.11M,0,0,1.309B,350.38M,563.35M,227.13M,457.63M,227.93M,61.82M,141.26M,1.175B,583.46M,3.870B,5.562B,3.503M,1.828B,777.87M,1.692B,3.734B,913.73M,748.94M,215.51M,1.034B
CERN,2015-09,-64.64M,464.54M,190.58M,57.84M,265.64M,0.43,0.42,2.038B,1.865B,937.30M,2015-09,23.70M,147.28M,0,0,1.187B,273.44M,572.83M,215.35M,515.85M,215.67M,68.39M,132.81M,1.128B,564.59M,3.837B,5.523B,3.499M,1.804B,839.34M,1.686B,3.719B,846.26M,721.95M,207.89M,1.053B
CERN,2015-06,-56.82M,558.05M,192.32M,55.45M,274.22M,0.33,0.33,1.978B,1.611B,933.68M,2015-06,28.63M,115.04M,0,0,1.155B,275.68M,567.31M,171.74M,448.18M,170.66M,55.62M,138.45M,1.126B,598.98M,3.864B,5.485B,3.495M,1.884B,777.85M,1.621B,3.601B,842.99M,761.94M,208.73M,1.003B
CERN,2015-03,-62.22M,684.16M,168.66M,61.83M,301.91M,0.32,0.32,1.965B,0,827.43M,2015-03,22.55M,110.93M,0,0,1.103B,285.55M,564.34M,166.91M,428.56M,167.12M,56.19M,127.27M,996.09M,514.99M,3.710B,5.353B,3.486M,1.911B,792.30M,1.642B,3.441B,849.88M,660.52M,195.71M,940.57M
CERN,2014-12,-44.10M,1.421B,172.84M,67.46M,209.66M,0.43,0.42,867.37M,0,753.19M,2014-12,23.79M,147.87M,0,0,924.26M,267.41M,62.87M,205.29M,357.20M,208.48M,60.60M,106.91M,926.03M,437.58M,3.566B,4.531B,3.47M,2.349B,634.32M,964.60M,2.182B,330.28M,547.89M,160.28M,672.78M
CERN,2014-09,-23.43M,1.332B,140.06M,60.04M,215.53M,0.38,0.37,856.70M,0,700.08M,2014-09,28.60M,129.00M,0,0,889.49M,238.55M,86.76M,188.15M,395.55M,190.34M,61.33M,97.03M,840.15M,411.29M,3.396B,4.393B,3.461M,2.235B,671.12M,996.43M,2.157B,325.31M,511.93M,169.23M,617.20M
CERN,2014-06,-5.348M,988.79M,162.37M,59.29M,228.17M,0.38,0.37,845.99M,0,689.39M,2014-06,31.71M,129.03M,0,0,863.68M,236.90M,96.08M,191.63M,385.07M,194.37M,65.34M,97.33M,851.76M,397.20M,3.260B,4.265B,3.457M,1.903B,672.52M,1.006B,2.362B,332.98M,497.76M,148.85M,614.93M
CERN,2014-03,-10.30M,1.031B,129.10M,55.66M,231.51M,0.35,0.34,812.45M,0,655.66M,2014-03,28.26M,119.53M,0,0,845.10M,228.46M,104.83M,178.00M,324.50M,180.99M,61.47M,91.54M,784.76M,386.11M,3.246B,4.191B,3.452M,1.915B,611.67M,944.95M,2.276B,333.28M,477.66M,125.74M,564.09M
CERN,2013-12,-13.43M,879.38M,142.12M,54.11M,209.75M,0.17,0.17,798.63M,0,653.21M,2013-12,32.30M,60.06M,0,0,792.78M,178.55M,111.72M,83.75M,376.58M,86.50M,26.44M,92.44M,795.33M,464.23M,3.168B,4.098B,3.443M,1.762B,640.43M,930.70M,2.337B,290.27M,569.46M,145.02M,582.93M
CERN,2013-09,-12.92M,921.83M,119.58M,51.87M,195.20M,0.34,0.33,771.61M,0,608.25M,2013-09,28.23M,115.34M,0,0,724.89M,173.51M,131.03M,169.24M,337.37M,172.75M,57.40M,83.00M,727.83M,356.02M,3.077B,3.966B,3.437M,1.701B,584.44M,888.98M,2.265B,304.54M,439.02M,147.02M,529.30M
CERN,2013-06,-24.32M,969.52M,125.80M,48.93M,179.18M,0.33,0.32,750.93M,1.313B,581.76M,2013-06,23.84M,112.91M,2.25M,2.25M,674.63M,154.52M,132.97M,166.46M,377.33M,169.19M,56.28M,82.28M,707.56M,333.02M,2.951B,3.844B,3.43M,1.713B,605.44M,892.93M,2.131B,287.49M,415.30M,169.74M,527.90M
CERN,2013-03,-14.29M,1.005B,127.23M,46.90M,193.97M,0.32,0.31,736.86M,1.180B,552.80M,2013-03,22.11M,110.04M,2.70M,2.70M,606.45M,158.02M,135.47M,156.57M,331.55M,159.61M,49.57M,81.06M,680.03M,315.17M,2.899B,3.765B,1.726M,1.728B,572.42M,865.91M,2.038B,293.49M,396.23M,148.88M,512.08M
CERN,2012-12,-5.255M,1.037B,153.11M,59.58M,189.65M,0.325,0.315,646.97M,0,557.27M,2012-12,23.68M,111.81M,1.976M,1.976M,569.71M,154.15M,136.56M,160.44M,330.88M,167.70M,55.89M,78.62M,710.38M,318.20M,2.834B,3.704B,3.442M,1.791B,580.11M,870.82M,1.914B,290.71M,396.83M,141.21M,577.85M
CERN,2012-09,-6.174M,1.039B,149.58M,54.98M,179.78M,0.29,0.28,539.15M,0,526.90M,2012-09,24.31M,98.89M,0,0,551.66M,136.09M,141.68M,147.70M,152.40M,151.05M,52.16M,78.09M,676.48M,301.11M,2.697B,3.470B,1.715M,1.746B,496.01M,773.78M,1.725B,277.77M,379.21M,134.78M,542.42M
CERN,2012-06,-12.93M,980.00M,147.50M,50.13M,163.49M,0.29,0.28,537.13M,0,489.86M,2012-06,22.52M,97.83M,0,0,534.61M,139.45M,125.95M,136.08M,149.11M,138.90M,41.07M,73.51M,637.36M,280.27M,2.568B,3.299B,1.712M,1.661B,465.13M,730.52M,1.638B,265.40M,353.78M,123.87M,492.53M
CERN,2012-03,-3.999M,893.84M,158.01M,44.78M,164.85M,0.26,0.255,537.55M,0,483.20M,2012-03,14.14M,88.71M,0,0,495.92M,144.33M,107.86M,127.44M,141.53M,130.06M,41.36M,71.14M,641.21M,284.62M,2.444B,3.140B,1.704M,1.591B,443.52M,695.71M,1.548B,252.19M,355.76M,113.57M,535.50M
CERN,2011-12,-11.97M,774.78M,132.05M,39.72M,153.14M,0.27,0.26,535.94M,0,483.58M,2011-12,23.30M,91.19M,0,0,489.00M,164.02M,86.82M,137.73M,245.86M,139.96M,48.77M,73.32M,615.63M,272.52M,2.311B,3.000B,1.696M,1.502B,438.72M,689.56M,1.498B,250.84M,345.85M,85.54M,563.21M
