Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CF,2020-12,-320.00M,683.00M,922.00M,337.00M,130.00M,0.4,0.4,2.478B,14.04B,180.00M,2020-12,287.00M,87.00M,-38.00M,-38.00M,7.891B,1.184B,3.886B,139.00M,424.00M,117.00M,-2.00M,1.102B,52.00M,2.922B,12.02B,2.00M,1.367B,906.00M,6.42B,10.66B,5.514B,41.00M,85.00M,265.00M
CF,2020-09,-388.00M,553.00M,764.00M,93.00M,143.00M,-0.13,-0.13,2.459B,13.94B,83.00M,2020-09,298.00M,-28.00M,-48.00M,-48.00M,8.008B,1.201B,4.155B,38.00M,427.00M,-9.00M,-13.00M,847.00M,49.00M,2.826B,11.93B,2.00M,1.171B,681.00M,6.456B,10.76B,5.775B,45.00M,427.00M,234.00M
CF,2020-06,-426.00M,563.00M,870.00M,92.00M,8.00M,0.89,0.89,2.447B,13.80B,334.00M,2020-06,273.00M,190.00M,-32.00M,-32.00M,8.07B,1.175B,4.15B,277.00M,498.00M,251.00M,33.00M,1.204B,51.00M,2.873B,11.95B,2.00M,1.136B,615.00M,6.374B,10.81B,5.759B,57.00M,498.00M,250.00M
CF,2020-03,-440.00M,753.00M,767.00M,594.00M,239.00M,0.31,0.31,2.448B,13.73B,204.00M,2020-03,379.00M,68.00M,-43.00M,-43.00M,8.225B,1.217B,4.155B,144.00M,397.00M,104.00M,13.00M,971.00M,54.00M,2.728B,12.44B,2.00M,1.48B,1.235B,7.038B,10.96B,5.803B,60.00M,397.00M,251.00M
CF,2019-12,-366.00M,287.00M,822.00M,90.00M,119.00M,0.26,0.25,2.475B,13.82B,227.00M,2019-12,351.00M,55.00M,-47.00M,-47.00M,8.45B,1.246B,4.15B,100.00M,438.00M,107.00M,13.00M,1.049B,63.00M,2.897B,12.17B,2.00M,974.00M,665.00M,6.535B,11.20B,5.87B,127.00M,79.00M,242.00M
CF,2019-09,-374.00M,1.019B,810.00M,586.00M,184.00M,0.29,0.29,2.45B,13.64B,228.00M,2019-09,296.00M,65.00M,-59.00M,-59.00M,8.511B,1.235B,4.385B,202.00M,466.00M,133.00M,19.00M,1.038B,56.00M,2.98B,12.90B,2.00M,1.669B,1.245B,7.221B,11.23B,5.976B,26.00M,466.00M,311.00M
CF,2019-06,-344.00M,858.00M,1.003B,587.00M,21.00M,1.28,1.28,2.464B,13.69B,499.00M,2019-06,290.00M,283.00M,-55.00M,-55.00M,8.617B,1.207B,4.40B,474.00M,429.00M,422.00M,102.00M,1.502B,62.00M,3.066B,12.86B,2.00M,1.488B,1.042B,7.045B,11.38B,6.003B,25.00M,429.00M,313.00M
CF,2019-03,-341.00M,671.00M,781.00M,85.00M,301.00M,0.4,0.4,2.475B,13.61B,220.00M,2019-03,446.00M,90.00M,-56.00M,-56.00M,8.756B,1.135B,4.903B,158.00M,435.00M,110.00M,-8.00M,1.001B,58.00M,2.955B,12.94B,2.00M,1.412B,826.00M,7.272B,11.53B,6.446B,62.00M,435.00M,264.00M
CF,2018-12,-371.00M,682.00M,890.00M,0,149.00M,0.21,0.21,2.468B,13.31B,242.00M,2018-12,309.00M,49.00M,-57.00M,-57.00M,8.623B,1.117B,4.698B,181.00M,550.00M,141.00M,46.00M,1.132B,51.00M,2.958B,12.66B,2.00M,1.274B,705.00M,6.93B,11.39B,6.225B,61.00M,106.00M,235.00M
CF,2018-09,-308.00M,1.022B,867.00M,0,313.00M,0.13,0.13,2.48B,13.35B,173.00M,2018-09,264.00M,30.00M,-55.00M,-55.00M,8.772B,1.087B,4.697B,131.00M,467.00M,83.00M,12.00M,1.04B,53.00M,3.436B,13.16B,2.00M,1.597B,788.00M,6.993B,11.56B,6.205B,42.00M,467.00M,273.00M
CF,2018-06,-309.00M,728.00M,988.00M,798.00M,21.00M,0.63,0.63,2.485B,13.28B,312.00M,2018-06,257.00M,148.00M,-59.00M,-59.00M,8.841B,1.051B,4.695B,256.00M,452.00M,218.00M,44.00M,1.30B,53.00M,3.556B,12.99B,2.00M,1.348B,482.00M,6.665B,11.64B,6.183B,56.00M,452.00M,338.00M
CF,2018-03,-248.00M,936.00M,767.00M,797.00M,154.00M,0.27,0.27,2.512B,13.30B,190.00M,2018-03,401.00M,63.00M,-57.00M,-57.00M,9.031B,1.076B,4.693B,154.00M,457.00M,105.00M,17.00M,957.00M,57.00M,3.594B,13.52B,2.00M,1.66B,626.00M,6.857B,11.86B,6.231B,36.00M,457.00M,247.00M
CF,2017-12,-263.00M,835.00M,956.00M,0,89.00M,1.99,1.98,2.50B,13.25B,143.00M,2017-12,275.00M,465.00M,-70.00M,-70.00M,9.175B,1.047B,4.692B,97.00M,474.00M,-17.00M,-520.00M,1.099B,51.00M,3.579B,13.46B,2.00M,1.465B,580.00M,6.779B,12.00B,6.199B,46.00M,101.00M,307.00M
CF,2017-09,-275.00M,1.992B,859.00M,0,92.00M,-0.37,-0.37,2.499B,13.26B,11.00M,2017-09,316.00M,-87.00M,-76.00M,-76.00M,9.372B,1.592B,4.988B,-32.00M,642.00M,-115.00M,-47.00M,870.00M,45.00M,3.167B,14.86B,2.00M,2.651B,1.551B,8.617B,12.21B,7.066B,43.00M,642.00M,279.00M
CF,2017-06,-325.00M,2.001B,951.00M,0,5.00M,0.01,0.01,2.489B,13.10B,173.00M,2017-06,325.00M,3.00M,-78.00M,-78.00M,9.441B,1.632B,4.986B,114.00M,616.00M,29.00M,5.00M,1.124B,49.00M,3.27B,14.94B,2.00M,2.675B,1.441B,8.546B,12.26B,7.105B,59.00M,616.00M,282.00M
CF,2017-03,-378.00M,1.312B,930.00M,0,184.00M,-0.1,-0.1,2.478B,12.99B,107.00M,2017-03,364.00M,-23.00M,-79.00M,-79.00M,9.552B,1.616B,5.78B,55.00M,657.00M,-22.00M,-13.00M,1.037B,46.00M,3.279B,15.18B,2.00M,2.805B,853.00M,8.802B,12.38B,7.949B,52.00M,657.00M,252.00M
CF,2016-12,-398.00M,1.164B,770.00M,0,42.00M,-1.38,-1.38,2.473B,12.89B,97.00M,2016-12,339.00M,-320.00M,-69.00M,-69.00M,9.652B,1.63B,5.778B,164.00M,639.00M,-335.00M,-47.00M,867.00M,32.00M,3.348B,15.13B,2.00M,2.655B,686.00M,8.639B,12.48B,7.953B,-67.00M,82.00M,236.00M
CF,2016-09,-273.00M,1.554B,678.00M,0,86.00M,-0.13,-0.13,2.494B,12.84B,2.00M,2016-09,312.00M,-30.00M,-29.00M,-29.00M,9.725B,1.642B,5.54B,-99.00M,844.00M,-131.00M,-131.00M,680.00M,44.00M,3.86B,15.63B,2.00M,2.931B,966.00M,8.652B,12.70B,7.686B,101.00M,844.00M,207.00M
CF,2016-06,-243.00M,2.008B,607.00M,0,13.00M,0.2,0.2,2.503B,12.44B,527.00M,2016-06,231.00M,47.00M,-60.00M,-60.00M,9.413B,1.787B,5.54B,412.00M,743.00M,178.00M,95.00M,1.134B,52.00M,3.984B,15.76B,2.00M,3.374B,773.00M,8.597B,12.39B,7.824B,115.00M,743.00M,239.00M
CF,2016-03,-202.00M,2.689B,787.00M,0,227.00M,0.11,0.11,2.534B,11.99B,217.00M,2016-03,304.00M,26.00M,-37.00M,-37.00M,9.052B,955.00M,5.539B,111.00M,884.00M,62.00M,15.00M,1.004B,45.00M,4.042B,15.58B,2.00M,3.52B,1.273B,8.387B,12.06B,7.114B,106.00M,884.00M,262.00M
CF,2015-12,-250.00M,286.00M,835.00M,0,162.00M,0.11,0.11,2.546B,11.31B,280.00M,2015-12,321.00M,27.00M,-39.00M,-39.00M,8.539B,916.00M,5.537B,247.00M,923.00M,99.00M,63.00M,1.115B,50.00M,4.035B,12.68B,2.00M,1.127B,1.215B,8.296B,11.56B,7.081B,33.00M,102.00M,267.00M
