Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CHD,2020-12,-77.60M,183.10M,737.90M,351.40M,0,0.61,0.59,5.340B,1.362B,557.40M,2020-12,495.40M,150.20M,-14.00M,-14.00M,612.80M,1.075B,1.812B,190.60M,1.037B,176.90M,26.70M,1.295B,366.80M,3.020B,7.414B,292.80M,1.112B,1.389B,4.394B,6.302B,3.006B,366.80M,600.80M,398.80M
CHD,2020-09,-90.80M,549.10M,675.80M,1.60M,0,0.87,0.85,4.752B,1.317B,565.20M,2020-09,497.70M,216.20M,-13.90M,-13.90M,579.50M,962.90M,1.812B,273.80M,970.30M,261.50M,45.30M,1.241B,291.40M,3.210B,7.077B,292.80M,1.444B,971.90M,3.867B,5.632B,2.895B,291.40M,595.30M,372.80M
CHD,2020-06,-98.30M,451.70M,634.70M,65.80M,0,0.77,0.75,4.776B,1.29B,559.60M,2020-06,455.50M,189.70M,-16.80M,-16.80M,568.70M,941.20M,1.811B,250.70M,930.80M,236.00M,46.30M,1.194B,308.90M,2.999B,6.919B,292.80M,1.277B,996.60M,3.920B,5.642B,2.924B,308.90M,605.20M,344.50M
CHD,2020-03,-99.40M,1.047B,633.20M,971.90M,0,0.94,0.92,4.800B,1.272B,532.00M,2020-03,395.70M,229.80M,-16.30M,-16.30M,566.70M,923.30M,1.811B,314.60M,797.10M,299.40M,69.60M,1.165B,217.40M,2.818B,7.486B,292.80M,1.829B,1.769B,4.668B,5.657B,2.899B,217.40M,516.00M,353.50M
CHD,2019-12,-66.70M,155.70M,620.20M,252.90M,0,0.59,0.58,4.830B,1.266B,524.00M,2019-12,417.40M,144.40M,-18.00M,-18.00M,573.00M,895.10M,1.810B,195.20M,839.40M,177.70M,33.30M,1.144B,328.80M,2.668B,6.657B,292.80M,956.40M,1.092B,3.990B,5.701B,2.897B,328.80M,480.80M,356.40M
CHD,2019-09,-80.70M,114.70M,581.70M,373.60M,0,0.64,0.62,4.857B,1.242B,507.70M,2019-09,388.80M,157.30M,-18.90M,-18.90M,553.10M,900.10M,1.810B,216.80M,768.50M,200.60M,43.30M,1.089B,290.90M,2.559B,6.610B,292.80M,908.80M,1.142B,4.051B,5.701B,2.909B,290.90M,463.10M,384.40M
CHD,2019-06,-68.40M,97.90M,597.90M,410.60M,0,0.56,0.55,4.883B,1.240B,481.50M,2019-06,401.50M,138.50M,-18.90M,-18.90M,559.00M,877.10M,1.809B,187.40M,774.10M,170.30M,31.80M,1.079B,294.10M,2.605B,6.663B,292.80M,925.90M,1.185B,4.058B,5.737B,2.873B,294.10M,473.90M,383.70M
CHD,2019-03,-59.50M,97.90M,573.90M,397.50M,0,0.71,0.7,4.249B,1.227B,470.80M,2019-03,399.50M,175.70M,-17.80M,-17.80M,558.80M,818.60M,1.509B,240.80M,735.80M,225.10M,49.40M,1.045B,230.00M,2.499B,5.961B,292.80M,913.70M,1.133B,3.461B,5.047B,2.328B,230.00M,471.50M,384.60M
CHD,2018-12,-53.60M,316.70M,600.10M,598.30M,0,0.58,0.57,4.267B,1.267B,474.30M,2018-12,382.80M,142.80M,-19.70M,-19.70M,598.20M,757.30M,1.509B,193.40M,728.00M,176.10M,33.30M,1.074B,280.90M,2.454B,6.069B,292.80M,1.078B,1.326B,3.615B,4.991B,2.289B,280.90M,433.10M,345.30M
CHD,2018-09,-42.90M,188.30M,577.50M,301.40M,0,0.6,0.58,4.287B,1.248B,460.10M,2018-09,390.60M,146.30M,-19.40M,-19.40M,587.90M,783.00M,1.804B,204.20M,726.00M,187.30M,41.00M,1.038B,255.90M,2.353B,5.967B,292.80M,960.30M,1.027B,3.614B,5.007B,2.586B,255.90M,468.50M,361.50M
CHD,2018-06,-49.30M,89.30M,573.00M,410.30M,0,0.5,0.49,4.305B,1.240B,454.90M,2018-06,369.20M,121.70M,-20.20M,-20.20M,593.10M,774.90M,1.803B,173.80M,690.50M,155.40M,33.70M,1.028B,281.10M,2.221B,5.899B,292.80M,870.40M,1.101B,3.678B,5.029B,2.578B,281.10M,428.50M,348.60M
CHD,2018-03,-33.70M,119.80M,554.50M,552.70M,0,0.64,0.63,4.323B,1.236B,451.50M,2018-03,357.20M,157.80M,-20.10M,-20.10M,600.60M,766.80M,1.802B,220.30M,678.00M,200.70M,42.90M,1.006B,231.20M,2.143B,5.943B,292.80M,891.40M,1.231B,3.800B,5.052B,2.569B,231.20M,447.90M,361.10M
CHD,2017-12,-36.40M,278.90M,551.70M,270.90M,0,1.63,1.6,4.279B,1.226B,481.40M,2017-12,330.70M,405.60M,-18.70M,-18.70M,607.70M,758.40M,2.103B,214.70M,664.10M,198.70M,-206.90M,1.033B,266.70M,2.218B,6.015B,292.80M,1.000B,935.00M,3.797B,5.015B,2.862B,266.70M,403.90M,345.90M
