Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CHRW,2020-12,-46.00M,243.80M,4.218B,66.17M,1.09,1.08,1.661B,798.77M,331.32M,2020-12,0,147.81M,-12.03M,-12.03M,498.73M,22.18M,1.362B,206.80M,1.635B,194.77M,46.96M,4.549B,124.52M,1.880B,5.144B,13.43M,2.942B,1.840B,3.264B,2.203B,1.425B,124.52M,1.327B,2.647B
CHRW,2020-09,-70.86M,252.57M,3.938B,126.67M,1.01,1,1.592B,523.06M,286.37M,2020-09,0,136.53M,-7.465M,-7.465M,523.06M,44.94M,1.372B,168.24M,1.503B,160.77M,24.24M,4.225B,118.13M,1.873B,5.075B,13.59M,2.853B,1.761B,3.201B,2.222B,1.440B,118.13M,1.281B,2.534B
CHRW,2020-06,-84.09M,362.24M,3.314B,64.60M,1.07,1.06,1.592B,527.75M,313.97M,2020-06,0,143.94M,-10.21M,-10.21M,527.75M,51.92M,1.373B,188.79M,1.483B,178.58M,34.64M,3.628B,125.18M,1.704B,4.826B,13.47M,2.604B,1.673B,3.121B,2.222B,1.448B,125.18M,1.303B,2.173B
CHRW,2020-03,-108.34M,294.57M,3.567B,391.34M,0.58,0.57,1.583B,557.71M,237.73M,2020-03,0,78.15M,-15.23M,-15.23M,557.71M,55.77M,1.379B,109.44M,1.325B,94.21M,16.07M,3.805B,128.29M,1.587B,4.848B,13.46M,2.607B,1.805B,3.261B,2.242B,1.456B,128.29M,1.165B,2.216B
CHRW,2019-12,-76.15M,447.86M,3.513B,204.16M,0.73,0.73,1.434B,800.84M,279.88M,2019-12,0,99.11M,-10.78M,-10.78M,519.28M,39.78M,1.352B,136.81M,1.239B,126.02M,26.92M,3.793B,143.08M,1.671B,4.641B,13.49M,2.640B,1.556B,2.970B,2.001B,1.414B,143.08M,1.075B,2.107B
CHRW,2019-09,-90.90M,384.42M,3.543B,55.85M,1.08,1.07,1.385B,473.35M,312.87M,2019-09,0,146.89M,-13.18M,-13.18M,473.35M,37.21M,1.470B,201.08M,1.271B,187.90M,41.01M,3.856B,111.78M,1.673B,4.637B,13.52M,2.683B,1.434B,2.963B,1.953B,1.529B,111.78M,1.096B,2.225B
CHRW,2019-06,-72.33M,355.31M,3.553B,54.79M,1.23,1.22,1.403B,484.74M,356.33M,2019-06,0,169.18M,-6.615M,-6.615M,484.74M,36.34M,1.470B,227.54M,1.349B,220.92M,51.74M,3.909B,128.80M,1.659B,4.684B,13.57M,2.707B,1.496B,3.025B,1.978B,1.528B,128.80M,1.148B,2.279B
CHRW,2019-03,-66.64M,445.47M,3.413B,53.67M,1.17,1.16,1.400B,482.70M,338.70M,2019-03,0,161.79M,-17.14M,-17.14M,482.70M,40.41M,1.553B,224.55M,1.310B,207.41M,45.62M,3.751B,114.15M,1.653B,4.697B,13.69M,2.728B,1.430B,3.045B,1.969B,1.615B,114.15M,1.128B,2.223B
CHRW,2018-12,-71.94M,378.62M,3.763B,5.00M,1.36,1.34,1.402B,498.85M,374.47M,2018-12,0,187.15M,-9.456M,-9.456M,228.30M,35.76M,1.341B,255.52M,1.275B,246.06M,58.91M,4.138B,118.95M,1.595B,4.427B,13.73M,2.753B,1.433B,2.832B,1.674B,1.399B,118.95M,1.091B,2.322B
CHRW,2018-09,-57.41M,297.80M,3.933B,0,1.27,1.25,1.385B,0,358.74M,2018-09,0,175.90M,-6.526M,-6.526M,231.96M,44.56M,1.341B,245.97M,1.394B,239.45M,63.55M,4.292B,112.77M,1.567B,4.493B,13.80M,2.805B,1.515B,2.926B,1.688B,1.411B,112.77M,1.168B,2.453B
