Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CI,2020-12,-861.00M,11.51B,3.374B,11.4,11.3,79.83B,2020-12,4.135B,3.288B,-337.00M,-337.00M,4.205B,8.939B,29.54B,27.34B,5.378B,1.236B,41.86B,3.966B,50.32B,155.45B,4.00M,28.90B,30.71B,105.12B,92.14B,43.88B,44.56B,18.82B,17.39B
CI,2020-09,-541.00M,6.668B,6.449B,3.81,3.78,80.18B,2020-09,1.388B,0,-336.00M,-336.00M,4.203B,9.142B,29.54B,25.02B,1.804B,406.00M,40.98B,3.301B,48.03B,160.04B,4.00M,25.63B,31.47B,112.00B,92.56B,49.00B,38.84B,17.87B,18.96B
CI,2020-06,-788.00M,8.375B,4.75B,4.77,4.73,80.38B,2020-06,1.754B,0,-374.00M,-374.00M,4.255B,9.17B,31.77B,25.26B,2.289B,529.00M,39.30B,3.407B,47.37B,159.63B,4.00M,26.64B,30.01B,112.26B,92.38B,51.02B,36.61B,17.27B,18.27B
CI,2020-03,-1.527B,5.425B,4.34B,3.19,3.15,80.75B,2020-03,1.181B,0,-391.00M,-391.00M,4.317B,9.066B,32.15B,23.97B,1.397B,208.00M,38.44B,3.398B,45.08B,154.71B,4.00M,22.21B,28.31B,109.62B,92.85B,41.25B,36.28B,16.38B,16.78B
CI,2019-12,-941.00M,5.556B,5.514B,2.64,2.61,81.16B,2019-12,977.00M,0,-391.00M,-391.00M,4.512B,9.387B,31.89B,22.89B,1.261B,277.00M,38.34B,3.957B,45.34B,155.77B,4.00M,21.89B,28.40B,110.43B,92.96B,51.02B,36.68B,15.54B,16.34B
CI,2019-09,-858.00M,5.948B,4.712B,3.6,3.57,81.55B,2019-09,1.351B,0,-411.00M,-411.00M,4.448B,9.284B,34.04B,22.56B,1.763B,409.00M,38.61B,3.413B,44.70B,154.85B,4.00M,22.94B,27.27B,110.15B,93.24B,53.03B,36.43B,15.36B,16.99B
CI,2019-06,-965.00M,5.275B,2.31B,3.73,3.7,82.17B,2019-06,1.408B,0,-428.00M,-428.00M,4.538B,9.407B,36.88B,22.63B,1.758B,348.00M,38.84B,3.38B,43.82B,154.40B,4.00M,22.30B,24.94B,110.58B,94.42B,55.77B,36.66B,15.91B,17.02B
CI,2019-03,-1.282B,6.638B,2.915B,3.61,3.56,82.88B,2019-03,1.368B,0,-452.00M,-452.00M,4.523B,9.403B,37.57B,22.99B,1.788B,416.00M,37.96B,3.303B,42.41B,154.35B,4.00M,22.96B,25.91B,111.94B,94.89B,56.48B,35.72B,15.63B,16.33B
CI,2018-12,-1.711B,5.90B,2.955B,0.41,0.4,83.51B,2018-12,144.00M,0,-286.00M,-286.00M,4.562B,9.453B,39.52B,22.14B,228.00M,81.00M,14.26B,3.48B,41.03B,153.23B,4.00M,21.88B,25.09B,112.19B,95.80B,58.06B,13.74B,15.07B,15.98B
CI,2018-09,-1.857B,24.13B,9.00M,3.18,3.14,6.129B,2018-09,772.00M,0,-99.00M,-99.00M,1.559B,0,25.04B,10.50B,1.033B,259.00M,11.46B,2.872B,15.56B,82.96B,74.00M,33.52B,10.50B,67.40B,37.15B,31.01B,10.32B,10.50B,9.389B
CI,2018-06,-1.843B,3.854B,109.00M,3.32,3.29,6.147B,2018-06,806.00M,3.288B,-56.00M,-56.00M,1.554B,0,5.195B,10.41B,1.102B,294.00M,11.48B,2.837B,14.74B,63.10B,74.00M,13.14B,10.52B,48.36B,37.77B,11.72B,10.32B,10.41B,9.289B
CI,2018-03,-1.547B,3.016B,110.00M,3.78,3.72,6.17B,2018-03,915.00M,3.205B,-57.00M,-57.00M,1.552B,0,5.191B,10.75B,1.218B,301.00M,11.38B,2.745B,14.20B,63.14B,74.00M,12.42B,10.86B,48.95B,38.64B,11.75B,10.10B,10.75B,9.40B
CI,2017-12,-1.082B,5.108B,240.00M,1.13,1.1,6.509B,2017-12,266.00M,3.077B,0,0,1.563B,0,5.199B,4.452B,758.00M,491.00M,10.66B,0,13.71B,61.76B,74.00M,14.03B,4.692B,48.05B,12.69B,13.86B,18.02B,489.00M,8.918B
CI,2017-09,-1.124B,3.831B,141.00M,2.25,2.21,6.001B,2017-09,560.00M,3.183B,0,0,1.526B,0,5.207B,9.585B,824.00M,262.00M,10.49B,0,14.14B,61.94B,74.00M,13.30B,9.726B,47.79B,36.73B,11.53B,3.478B,9.585B,9.469B
CI,2017-06,-1.146B,3.749B,141.00M,3.2,3.15,6.00B,2017-06,813.00M,3.183B,0,0,1.509B,0,4.622B,9.449B,1.134B,324.00M,10.42B,0,14.55B,61.74B,74.00M,13.47B,9.59B,47.19B,36.26B,10.90B,3.066B,9.449B,9.721B
CI,2017-03,-1.252B,4.458B,142.00M,2.34,2.3,5.982B,2017-03,598.00M,3.118B,0,0,1.519B,0,4.621B,9.437B,890.00M,297.00M,10.47B,0,14.23B,61.15B,74.00M,14.00B,9.579B,46.92B,35.54B,10.89B,3.268B,9.437B,9.54B
CI,2016-12,-1.382B,3.876B,276.00M,1.49,1.47,6.404B,2016-12,382.00M,3.264B,0,0,1.536B,0,4.756B,8.946B,605.00M,231.00M,10.28B,0,13.72B,59.36B,74.00M,13.43B,9.222B,45.63B,35.10B,10.36B,17.96B,8.946B,9.555B
CI,2016-09,-715.00M,4.221B,271.00M,1.78,1.76,6.007B,2016-09,456.00M,3.256B,0,0,1.561B,0,4.78B,8.924B,742.00M,290.00M,9.88B,0,13.97B,60.76B,74.00M,14.34B,9.195B,46.78B,35.87B,10.92B,3.103B,8.924B,10.12B
CI,2016-06,-844.00M,2.923B,300.00M,2,1.97,6.017B,2016-06,510.00M,3.267B,0,0,1.556B,0,4.789B,9.146B,813.00M,310.00M,9.96B,0,13.36B,59.51B,74.00M,13.96B,9.446B,46.14B,34.63B,10.31B,2.956B,9.146B,11.03B
CI,2016-03,-988.00M,2.866B,399.00M,2.04,2,6.029B,2016-03,519.00M,0,0,0,1.534B,0,4.791B,9.392B,819.00M,305.00M,9.884B,0,12.68B,58.88B,74.00M,13.55B,9.791B,46.20B,34.36B,10.23B,2.936B,9.392B,10.68B
CI,2015-12,-1.25B,2.349B,149.00M,1.66,1.64,6.587B,2015-12,426.00M,3.283B,0,0,1.534B,34.00M,5.02B,8.848B,659.00M,241.00M,9.528B,0,12.04B,57.09B,74.00M,12.86B,8.997B,45.04B,33.34B,10.29B,2.997B,8.848B,10.51B
CI,2015-09,-1.215B,2.475B,149.00M,2.14,2.1,6.04B,2015-09,547.00M,3.446B,0,0,1.483B,0,5.056B,8.913B,878.00M,334.00M,9.389B,0,11.77B,56.91B,74.00M,13.12B,9.062B,45.12B,32.67B,10.25B,2.742B,8.913B,10.65B
