Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CINF,2020-12,769.00M,900.00M,54.00M,6.52,6.47,0,2020-12,1.049B,-14.00M,-14.00M,213.00M,1.299B,845.00M,0,1.316B,267.00M,2.694B,0,10.79B,27.54B,397.00M,3.592B,54.00M,16.75B,22.19B,11.85B,5.00M,0,2.627B
CINF,2020-09,686.00M,914.00M,123.00M,3.01,2.99,0,2020-09,484.00M,-13.00M,-13.00M,211.00M,1.077B,844.00M,0,614.00M,130.00M,2.227B,0,9.745B,26.37B,397.00M,3.662B,123.00M,16.62B,20.96B,11.69B,5.00M,0,2.675B
CINF,2020-06,597.00M,706.00M,122.00M,5.65,5.63,0,2020-06,909.00M,-14.00M,-14.00M,209.00M,979.00M,845.00M,0,1.145B,236.00M,2.714B,0,9.258B,25.45B,397.00M,3.593B,122.00M,16.19B,20.11B,11.39B,5.00M,0,2.796B
CINF,2020-03,204.00M,486.00M,114.00M,-7.56,-7.56,0,2020-03,-1.226B,-13.00M,-13.00M,208.00M,660.00M,846.00M,0,-1.576B,-350.00M,-99.00M,0,8.042B,23.37B,397.00M,3.21B,114.00M,15.32B,18.47B,10.63B,5.00M,0,2.667B
CINF,2019-12,448.00M,767.00M,39.00M,3.84,3.79,0,2019-12,626.00M,-13.00M,-13.00M,207.00M,1.079B,845.00M,0,781.00M,155.00M,2.152B,0,9.864B,25.41B,397.00M,3.418B,39.00M,15.54B,20.33B,10.86B,6.00M,0,2.597B
CINF,2019-09,442.00M,787.00M,38.00M,1.51,1.49,0,2019-09,248.00M,-14.00M,-14.00M,207.00M,972.00M,847.00M,0,294.00M,46.00M,1.70B,0,9.371B,24.74B,397.00M,3.413B,38.00M,15.37B,19.67B,10.73B,5.00M,0,2.566B
CINF,2019-06,364.00M,803.00M,37.00M,2.62,2.59,0,2019-06,428.00M,-13.00M,-13.00M,207.00M,932.00M,847.00M,0,530.00M,102.00M,1.913B,0,9.131B,24.34B,397.00M,3.507B,37.00M,15.21B,19.18B,10.68B,4.00M,0,2.634B
CINF,2019-03,210.00M,802.00M,32.00M,4.27,4.22,0,2019-03,695.00M,-13.00M,-13.00M,202.00M,817.00M,845.00M,0,867.00M,172.00M,2.159B,0,8.63B,23.35B,397.00M,3.364B,32.00M,14.72B,18.41B,10.32B,8.00M,0,2.512B
CINF,2018-12,22.00M,784.00M,32.00M,-2.78,-2.78,0,2018-12,-452.00M,-13.00M,-13.00M,195.00M,627.00M,834.00M,0,-581.00M,-129.00M,710.00M,0,7.833B,21.94B,397.00M,3.159B,32.00M,14.10B,17.24B,9.684B,6.00M,0,2.331B
CINF,2018-09,-4.00M,616.00M,30.00M,3.4,3.38,0,2018-09,553.00M,-14.00M,-14.00M,191.00M,797.00M,830.00M,0,618.00M,65.00M,1.915B,0,8.334B,22.48B,397.00M,2.991B,30.00M,14.15B,17.95B,9.796B,3.00M,0,2.331B
