Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CL,2020-12,-4.345B,888.00M,1.681B,404.00M,0.76,0.75,6.718B,8.751B,2.643B,2020-12,1.673B,647.00M,-57.00M,-57.00M,3.716B,426.00M,7.81B,959.00M,3.818B,894.00M,202.00M,4.324B,1.633B,743.00M,15.92B,1.466B,4.338B,4.404B,14.82B,11.58B,10.42B,1.684B,1.912B,1.264B
CL,2020-09,-4.421B,989.00M,1.613B,265.00M,0.81,0.81,6.549B,8.38B,2.54B,2020-09,1.578B,698.00M,-36.00M,-36.00M,3.506B,406.00M,6.971B,1.018B,4.216B,967.00M,222.00M,4.153B,1.518B,653.00M,15.47B,1.466B,4.367B,4.481B,14.39B,11.10B,9.912B,1.522B,1.648B,1.292B
CL,2020-06,-4.519B,997.00M,1.528B,508.00M,0.74,0.74,6.415B,8.197B,2.369B,2020-06,1.524B,635.00M,-35.00M,-35.00M,3.483B,400.00M,6.884B,946.00M,4.072B,891.00M,216.00M,3.897B,1.395B,268.00M,15.14B,1.466B,4.212B,4.58B,14.41B,10.93B,9.829B,1.423B,1.689B,1.231B
CL,2020-03,-4.578B,854.00M,1.632B,510.00M,0.83,0.83,6.381B,8.167B,2.465B,2020-03,1.301B,715.00M,-36.00M,-36.00M,3.487B,415.00M,7.336B,952.00M,3.933B,895.00M,147.00M,4.097B,1.473B,-113.00M,15.07B,1.466B,4.248B,4.443B,14.73B,10.82B,10.29B,1.513B,1.701B,1.551B
CL,2019-12,-4.273B,883.00M,1.601B,659.00M,0.75,0.75,6.175B,8.58B,2.414B,2019-12,1.40B,643.00M,-32.00M,-32.00M,3.75B,507.00M,7.824B,994.00M,3.309B,870.00M,188.00M,4.015B,1.412B,117.00M,15.03B,1.466B,4.179B,4.038B,14.48B,10.86B,10.44B,1.42B,1.711B,1.44B
CL,2019-09,-4.215B,948.00M,1.612B,505.00M,0.67,0.67,6.067B,8.389B,2.316B,2019-09,1.371B,578.00M,-35.00M,-35.00M,3.689B,587.00M,7.646B,856.00M,3.726B,794.00M,167.00M,3.928B,1.429B,-324.00M,15.03B,1.466B,4.349B,4.231B,14.85B,10.68B,10.62B,1.46B,1.434B,1.495B
CL,2019-06,-4.119B,863.00M,1.558B,5.00M,0.68,0.68,4.145B,8.476B,2.308B,2019-06,1.322B,586.00M,-38.00M,-38.00M,3.793B,303.00M,6.64B,888.00M,3.777B,823.00M,205.00M,3.866B,1.369B,-347.00M,13.15B,1.466B,4.255B,3.782B,13.16B,8.896B,9.379B,1.42B,1.502B,1.59B
CL,2019-03,-4.16B,843.00M,1.597B,6.00M,0.65,0.65,4.129B,8.398B,2.287B,2019-03,1.278B,560.00M,-40.00M,-40.00M,3.821B,306.00M,6.655B,879.00M,3.859B,814.00M,214.00M,3.884B,1.365B,-552.00M,12.88B,1.466B,4.133B,3.865B,13.09B,8.75B,9.228B,1.408B,1.615B,1.547B
CL,2018-12,-4.188B,726.00M,1.558B,12.00M,0.7,0.7,4.167B,8.336B,2.253B,2018-12,1.25B,606.00M,-37.00M,-37.00M,3.881B,235.00M,6.354B,882.00M,3.236B,832.00M,189.00M,3.811B,1.328B,-102.00M,12.16B,1.466B,3.793B,3.341B,11.96B,8.368B,8.623B,1.371B,1.76B,1.40B
CL,2018-09,-4.172B,841.00M,1.576B,85.00M,0.6,0.6,4.199B,8.451B,2.269B,2018-09,1.245B,523.00M,-36.00M,-36.00M,3.871B,325.00M,6.519B,874.00M,3.662B,820.00M,258.00M,3.845B,1.369B,-430.00M,12.57B,1.466B,4.141B,3.747B,12.64B,8.43B,8.892B,1.395B,1.518B,1.532B
