Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CLX,2020-12,-575.00M,732.00M,1.005B,361.00M,2.06,2.03,2.852B,3.862B,837.00M,2020-12,609.00M,259.00M,-24.00M,-24.00M,1.543B,128.00M,2.796B,341.00M,1.377B,332.00M,71.00M,40.00M,1.842B,456.00M,1.184B,6.855B,131.00M,2.103B,1.738B,5.475B,4.752B,3.737B,496.00M,1.377B,616.00M
CLX,2020-09,-623.00M,860.00M,996.00M,64.00M,3.28,3.22,2.844B,3.727B,920.00M,2020-09,534.00M,415.00M,-25.00M,-25.00M,1.457B,104.00M,3.049B,471.00M,1.452B,526.00M,109.00M,32.00M,1.916B,417.00M,1.115B,6.777B,159.00M,2.144B,1.516B,5.466B,4.633B,3.95B,449.00M,1.452B,685.00M
CLX,2020-06,-640.00M,871.00M,1.054B,64.00M,2.45,2.41,2.471B,3.618B,929.00M,2020-06,454.00M,310.00M,-23.00M,-23.00M,1.394B,62.00M,3.058B,381.00M,1.066B,395.00M,85.00M,42.00M,1.983B,493.00M,908.00M,6.213B,159.00M,2.02B,1.418B,5.305B,4.193B,3.887B,548.00M,746.00M,648.00M
CLX,2020-03,-656.00M,496.00M,951.00M,703.00M,1.92,1.89,2.464B,3.547B,832.00M,2020-03,457.00M,241.00M,-24.00M,-24.00M,1.344B,66.00M,2.565B,340.00M,1.091B,297.00M,56.00M,39.00M,1.783B,453.00M,695.00M,5.85B,159.00M,1.75B,1.794B,5.155B,4.10B,3.361B,492.00M,1.091B,726.00M
CLX,2019-12,-601.00M,168.00M,810.00M,568.00M,1.48,1.46,2.493B,3.54B,639.00M,2019-12,514.00M,185.00M,-25.00M,-25.00M,1.355B,76.00M,2.57B,255.00M,945.00M,235.00M,50.00M,34.00M,1.449B,350.00M,555.00M,5.459B,159.00M,1.303B,1.513B,4.904B,4.156B,3.391B,384.00M,945.00M,544.00M
CLX,2019-09,-615.00M,150.00M,843.00M,506.00M,1.61,1.59,2.492B,3.502B,663.00M,2019-09,504.00M,203.00M,-25.00M,-25.00M,1.346B,68.00M,2.577B,285.00M,952.00M,258.00M,55.00M,30.00M,1.506B,348.00M,550.00M,5.397B,159.00M,1.266B,1.458B,4.847B,4.131B,3.389B,378.00M,952.00M,556.00M
CLX,2019-06,-602.00M,111.00M,893.00M,396.00M,1.91,1.88,2.503B,3.184B,734.00M,2019-06,512.00M,241.00M,-22.00M,-22.00M,1.034B,50.00M,2.287B,295.00M,886.00M,292.00M,51.00M,38.00M,1.627B,384.00M,559.00M,5.116B,159.00M,1.305B,1.44B,4.557B,3.811B,3.117B,439.00M,655.00M,631.00M
CLX,2019-03,-564.00M,178.00M,878.00M,321.00M,1.46,1.44,2.504B,3.125B,673.00M,2019-03,556.00M,187.00M,-24.00M,-24.00M,1.00B,60.00M,2.286B,262.00M,940.00M,240.00M,53.00M,34.00M,1.551B,377.00M,781.00M,5.162B,159.00M,1.393B,1.261B,4.381B,3.769B,3.12B,411.00M,940.00M,587.00M
CLX,2018-12,-577.00M,162.00M,830.00M,235.00M,1.42,1.4,2.505B,3.101B,643.00M,2018-12,578.00M,182.00M,-24.00M,-24.00M,992.00M,71.00M,2.285B,255.00M,951.00M,224.00M,42.00M,32.00M,1.473B,356.00M,742.00M,5.073B,159.00M,1.365B,1.186B,4.331B,3.708B,3.145B,388.00M,951.00M,528.00M
CLX,2018-09,-547.00M,162.00M,885.00M,280.00M,1.65,1.62,2.527B,3.072B,678.00M,2018-09,519.00M,210.00M,-24.00M,-24.00M,988.00M,68.00M,2.285B,295.00M,955.00M,268.00M,58.00M,32.00M,1.563B,351.00M,677.00M,5.058B,159.00M,1.317B,1.235B,4.381B,3.741B,3.146B,383.00M,955.00M,568.00M
