Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CMA,2021-03,-105.00M,30.64B,0,2.46,2.43,0,1.418B,2021-03,350.00M,49.80B,456.00M,2.852B,1.48B,448.00M,98.00M,649.00M,294.00M,8.152B,86.29B,1.535B,36.03B,1.48B,78.14B,66.03B,76.66B,294.00M,0,5.388B
CMA,2020-12,168.00M,30.97B,0,1.5,1.49,0,1.417B,2020-12,215.00M,50.75B,459.00M,5.728B,1.482B,278.00M,63.00M,669.00M,291.00M,8.05B,88.13B,1.535B,36.92B,1.482B,80.08B,66.41B,78.60B,291.00M,0,5.954B
CMA,2020-09,116.00M,26.39B,10.00M,1.45,1.44,0,1.419B,2020-09,211.00M,50.79B,456.00M,5.754B,1.534B,259.00M,48.00M,652.00M,274.00M,7.874B,83.63B,1.535B,32.38B,1.544B,75.76B,66.50B,74.21B,274.00M,0,5.994B
CMA,2020-06,158.00M,26.22B,752.00M,0.81,0.8,0,0,2020-06,113.00M,51.85B,450.00M,6.521B,1.602B,140.00M,27.00M,656.00M,265.00M,7.802B,84.40B,1.536B,32.10B,2.354B,76.60B,65.21B,74.24B,265.00M,0,5.874B
CMA,2020-03,174.00M,18.03B,2.263B,-0.46,-0.46,0,0,2020-03,-65.00M,51.96B,454.00M,7.434B,1.872B,-86.00M,-21.00M,693.00M,257.00M,7.402B,76.34B,1.141B,23.92B,4.135B,68.94B,65.59B,64.80B,257.00M,0,5.891B
CMA,2019-12,-235.00M,18.37B,71.00M,1.87,1.85,0,0,2019-12,269.00M,49.14B,457.00M,7.269B,1.44B,351.00M,82.00M,734.00M,273.00M,7.327B,73.40B,1.141B,23.80B,1.511B,66.08B,62.15B,64.56B,273.00M,0,5.43B
CMA,2019-09,-336.00M,16.69B,51.00M,1.98,1.96,0,0,2019-09,292.00M,50.26B,467.00M,7.311B,1.477B,372.00M,80.00M,776.00M,269.00M,7.20B,72.85B,1.141B,22.12B,1.528B,65.65B,63.30B,64.12B,269.00M,0,5.428B
CMA,2019-06,-382.00M,16.06B,1.733B,1.95,1.94,0,0,2019-06,298.00M,50.57B,470.00M,6.558B,1.386B,385.00M,87.00M,788.00M,260.00M,7.323B,72.54B,1.141B,21.50B,3.119B,65.21B,63.52B,62.10B,260.00M,0,5.439B
CMA,2019-03,-513.00M,15.83B,935.00M,2.14,2.11,0,0,2019-03,339.00M,49.12B,474.00M,6.848B,1.407B,424.00M,85.00M,781.00M,275.00M,7.409B,70.69B,1.141B,21.10B,2.342B,63.28B,61.94B,60.94B,275.00M,0,5.267B
CMA,2018-12,-609.00M,16.74B,44.00M,1.91,1.88,0,0,2018-12,310.00M,48.98B,475.00M,6.463B,1.243B,400.00M,90.00M,799.00M,264.00M,7.507B,70.82B,1.141B,21.36B,1.287B,63.31B,61.64B,62.02B,250.00M,0,4.618B
CMA,2018-09,-611.00M,17.84B,84.00M,1.89,1.86,0,1.382B,2018-09,318.00M,47.88B,472.00M,6.418B,1.154B,381.00M,63.00M,768.00M,273.00M,7.786B,71.45B,1.141B,23.10B,1.238B,63.66B,60.34B,62.42B,261.00M,0,5.264B
CMA,2018-06,-589.00M,17.71B,58.00M,1.9,1.87,0,1.416B,2018-06,326.00M,48.66B,467.00M,5.583B,1.057B,419.00M,93.00M,774.00M,270.00M,8.079B,71.99B,1.141B,22.86B,1.115B,63.91B,61.17B,62.79B,259.00M,0,5.154B
CMA,2018-03,-553.00M,18.94B,48.00M,1.62,1.59,0,0,2018-03,281.00M,48.08B,468.00M,5.594B,1.058B,335.00M,54.00M,732.00M,274.00M,8.00B,72.34B,1.141B,23.79B,1.106B,64.34B,60.65B,63.23B,258.00M,0,4.849B
CMA,2017-12,-451.00M,16.88B,10.00M,0.65,0.63,0,0,2017-12,112.00M,47.99B,466.00M,4.622B,1.069B,330.00M,218.00M,731.00M,270.00M,7.963B,71.57B,1.141B,21.84B,1.079B,63.60B,60.76B,62.52B,255.00M,0,4.963B
CMA,2017-09,-359.00M,17.29B,509.00M,1.29,1.26,0,0,2017-09,226.00M,48.02B,467.00M,4.637B,1.018B,334.00M,108.00M,729.00M,258.00M,8.034B,72.02B,1.141B,22.18B,1.527B,63.98B,60.92B,62.46B,251.00M,0,4.89B
CMA,2017-06,-361.00M,16.66B,541.00M,1.15,1.13,0,0,2017-06,203.00M,48.23B,484.00M,5.143B,997.00M,302.00M,99.00M,688.00M,250.00M,7.985B,71.45B,1.141B,21.30B,1.538B,63.46B,61.18B,61.92B,236.00M,0,4.637B
