Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
CMCSA,2020-12,1.884B,11.74B,9.438B,3.146B,2.963B,0.7379,0.73,178.76B,106.38B,18.27B,2020-12,0,3.38B,-1.044B,-1.044B,52.00B,28.05B,100.61B,3.918B,22.69B,4.416B,979.00M,27.71B,11.10B,90.32B,273.87B,54.00M,26.74B,28.80B,182.13B,247.13B,153.34B,14.35B,11.36B,11.47B
CMCSA,2020-09,212.00M,13.71B,8.565B,4.429B,2.888B,0.44,0.44,175.49B,104.42B,16.97B,2020-09,0,2.019B,-1.22B,-1.22B,50.47B,27.90B,100.00B,4.076B,22.19B,2.77B,739.00M,25.53B,9.571B,86.18B,268.94B,54.00M,27.37B,29.51B,181.37B,241.57B,151.86B,12.89B,10.98B,10.31B
CMCSA,2020-06,-1.279B,13.94B,6.817B,4.046B,2.403B,0.65,0.65,173.12B,102.75B,16.90B,2020-06,0,2.988B,-1.112B,-1.112B,48.98B,27.95B,100.76B,4.647B,22.00B,3.955B,946.00M,23.72B,8.987B,83.61B,265.98B,54.00M,27.48B,28.44B,181.19B,238.49B,152.74B,12.25B,10.43B,10.23B
CMCSA,2020-03,-1.144B,8.516B,8.301B,2.973B,2.634B,0.47,0.46,173.64B,102.01B,18.31B,2020-03,0,2.147B,-1.212B,-1.212B,48.44B,27.86B,100.60B,4.852B,21.99B,2.924B,700.00M,26.61B,10.19B,81.51B,262.42B,54.00M,24.08B,27.60B,179.64B,238.34B,152.04B,13.46B,9.963B,10.80B
CMCSA,2019-12,1.047B,5.50B,9.30B,4.452B,2.768B,0.6945,0.68,173.15B,101.56B,19.10B,2019-12,0,3.162B,-1.113B,-1.113B,48.32B,28.18B,97.76B,5.247B,23.07B,4.061B,861.00M,28.40B,10.67B,82.73B,263.41B,54.00M,25.39B,30.29B,179.54B,238.02B,149.25B,13.85B,10.83B,11.29B
CMCSA,2019-09,-1.159B,3.507B,8.316B,1.039B,2.944B,0.71,0.7,170.09B,99.77B,18.51B,2019-09,0,3.217B,-1.167B,-1.167B,46.79B,27.99B,99.85B,5.34B,22.01B,4.063B,775.00M,26.83B,9.991B,78.14B,256.37B,54.00M,22.32B,25.99B,177.21B,234.05B,151.22B,13.17B,10.20B,10.68B
CMCSA,2019-06,-62.00M,3.919B,8.255B,6.365B,2.642B,0.69,0.68,171.94B,98.51B,18.60B,2019-06,0,3.125B,-1.137B,-1.137B,46.05B,28.00B,101.25B,5.356B,22.00B,4.164B,961.00M,26.86B,9.971B,76.85B,256.56B,54.00M,21.36B,31.01B,178.72B,235.19B,147.72B,13.25B,10.01B,10.84B
CMCSA,2019-03,422.00M,3.498B,8.569B,4.629B,2.485B,0.78,0.77,172.39B,97.65B,18.29B,2019-03,0,3.553B,-1.15B,-1.15B,45.72B,27.82B,104.46B,5.182B,20.80B,4.708B,1.076B,26.86B,9.788B,74.96B,256.19B,54.00M,20.27B,27.92B,180.33B,235.92B,152.41B,13.11B,10.23B,10.74B
CMCSA,2018-12,-368.00M,3.814B,9.252B,4.398B,2.182B,0.5548,0.55,171.71B,95.74B,18.59B,2018-12,0,2.511B,-1.129B,-1.129B,44.44B,27.59B,107.34B,4.514B,21.02B,3.068B,486.00M,27.85B,10.88B,71.61B,251.68B,54.00M,21.85B,27.60B,179.18B,229.84B,151.58B,14.08B,8.494B,11.10B
CMCSA,2018-09,374.00M,10.62B,6.711B,3.173B,1.633B,0.63,0.62,122.09B,90.79B,15.42B,2018-09,0,2.886B,-830.00M,-830.00M,39.86B,25.17B,69.71B,4.836B,14.82B,3.895B,999.00M,22.14B,8.111B,71.52B,200.64B,54.00M,23.21B,19.63B,128.29B,177.43B,108.66B,10.59B,7.036B,8.983B
CMCSA,2018-06,461.00M,5.726B,6.30B,2.634B,1.746B,0.7,0.69,122.50B,90.09B,15.44B,2018-06,0,3.216B,-806.00M,-806.00M,39.36B,25.14B,61.95B,5.014B,14.63B,4.285B,1.077B,21.74B,8.018B,70.69B,191.25B,54.00M,18.22B,19.01B,119.50B,173.03B,100.50B,10.42B,6.94B,8.847B
CMCSA,2018-03,608.00M,6.03B,7.429B,3.039B,1.578B,0.67,0.66,122.25B,89.46B,15.36B,2018-03,0,3.118B,-777.00M,-777.00M,39.07B,24.70B,63.68B,4.645B,14.56B,3.994B,818.00M,22.79B,8.118B,69.48B,190.88B,55.00M,18.75B,19.18B,120.17B,172.12B,100.99B,10.72B,7.349B,8.759B
CMCSA,2017-12,379.00M,3.428B,6.905B,5.134B,1.687B,3.226,3.17,121.36B,88.39B,15.17B,2017-12,0,15.00B,-807.00M,-807.00M,38.47B,24.26B,59.42B,4.129B,15.17B,3.444B,-11.61B,22.08B,8.432B,68.62B,187.46B,55.00M,16.34B,21.99B,118.00B,171.12B,96.01B,11.04B,6.908B,8.834B
CMCSA,2017-09,381.00M,4.114B,6.059B,5.241B,1.572B,0.56,0.55,121.64B,87.80B,15.02B,2017-09,0,2.642B,-766.00M,-766.00M,37.86B,35.60B,59.72B,4.779B,14.64B,4.083B,1.409B,21.08B,8.139B,55.43B,185.30B,55.00M,15.96B,21.45B,129.04B,169.34B,107.59B,10.24B,6.976B,7.915B
CMCSA,2017-06,428.00M,2.693B,6.33B,6.358B,1.448B,0.53,0.52,121.61B,87.12B,14.96B,2017-06,0,2.521B,-758.00M,-758.00M,37.17B,35.41B,57.21B,4.568B,14.47B,3.909B,1.367B,21.29B,7.881B,55.00B,183.03B,56.00M,14.83B,22.28B,127.18B,168.20B,104.91B,10.39B,6.73B,7.849B
CMCSA,2017-03,342.00M,4.022B,6.061B,3.509B,1.234B,0.54,0.53,121.94B,86.62B,14.53B,2017-03,0,2.573B,-755.00M,-755.00M,36.63B,35.35B,58.28B,4.542B,14.33B,3.917B,1.262B,20.59B,7.516B,55.06B,182.48B,56.00M,15.24B,19.07B,124.83B,167.23B,105.76B,9.984B,6.658B,7.525B
CMCSA,2016-12,98.00M,3.301B,6.422B,5.48B,1.132B,0.4842,0.475,119.87B,85.95B,14.94B,2016-12,0,2.279B,-756.00M,-756.00M,36.25B,34.85B,55.57B,4.236B,14.92B,3.709B,1.309B,21.36B,8.336B,53.94B,180.50B,56.00M,16.36B,21.54B,124.33B,164.14B,102.79B,10.70B,6.915B,7.955B
CMCSA,2016-09,34.00M,2.807B,7.003B,3.333B,1.34B,0.47,0.46,120.52B,85.20B,14.32B,2016-09,0,2.237B,-751.00M,-751.00M,35.66B,34.52B,57.10B,4.44B,13.36B,3.724B,1.40B,21.32B,7.481B,53.48B,177.92B,28.00M,15.23B,18.04B,122.10B,162.70B,104.06B,9.876B,6.594B,7.533B
CMCSA,2016-06,1.00M,4.665B,5.492B,2.934B,1.611B,0.42,0.41,116.17B,84.02B,13.78B,2016-06,0,2.028B,-732.00M,-732.00M,34.90B,34.51B,52.63B,4.066B,13.06B,3.358B,1.278B,19.27B,7.322B,53.10B,171.98B,28.00M,14.78B,17.60B,116.71B,157.21B,99.11B,9.711B,6.359B,6.708B
CMCSA,2016-03,-84.00M,5.628B,5.431B,4.119B,1.393B,0.44,0.43,115.42B,82.73B,13.36B,2016-03,0,2.134B,-703.00M,-703.00M,34.12B,33.82B,51.52B,4.089B,13.57B,3.535B,1.311B,18.79B,6.992B,52.64B,170.60B,29.00M,15.18B,19.08B,116.09B,155.42B,97.00B,9.27B,6.333B,6.375B
CMCSA,2015-12,-174.00M,2.295B,5.836B,3.627B,1.302B,0.4043,0.395,115.11B,81.76B,13.41B,2015-12,0,1.971B,-674.00M,-674.00M,33.66B,33.57B,48.99B,4.002B,13.25B,3.218B,1.162B,19.24B,7.137B,52.27B,166.57B,29.00M,12.30B,18.18B,112.60B,154.27B,94.42B,9.407B,6.215B,6.896B
CMCSA,2015-09,-195.00M,2.03B,5.582B,3.152B,1.265B,0.405,0.4,109.46B,79.63B,13.09B,2015-09,0,1.996B,-659.00M,-659.00M,32.17B,33.13B,44.60B,4.001B,12.94B,3.264B,1.223B,18.67B,6.903B,51.72B,158.96B,29.00M,11.50B,17.36B,106.99B,147.46B,89.63B,9.086B,5.996B,6.527B
CMCSA,2015-06,-166.00M,3.63B,5.669B,3.887B,1.122B,0.425,0.42,109.34B,78.31B,13.07B,2015-06,0,2.137B,-713.00M,-713.00M,31.57B,33.20B,44.64B,4.105B,12.56B,3.488B,1.313B,18.74B,6.808B,52.40B,159.67B,29.00M,13.32B,17.56B,106.94B,146.36B,89.38B,8.969B,5.88B,7.016B
CMCSA,2015-03,-188.00M,4.095B,5.463B,4.18B,970.00M,0.41,0.405,109.16B,77.16B,12.39B,2015-03,0,2.059B,-656.00M,-656.00M,31.13B,32.86B,42.95B,3.89B,13.35B,3.402B,1.261B,17.85B,6.434B,52.17B,158.76B,30.00M,12.92B,18.50B,106.25B,145.84B,87.74B,8.50B,6.157B,6.144B
